T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,0.0,0.65535,-0.65536,3.8701181102362017,-3.8702362204724414
40,-1.0000000003174e-05,-0.65537,0.65536,-1.31073,3.8701771653543116,-11.610826771653544
60,0.65536,-1.96609,0.65536,-1.96609,7.740472440944883,-23.221535433070866
80,0.65536,-1.96609,1.31072,-1.96609,11.610708661417323,-23.221535433070866
100,0.65536,-1.31074,0.65536,-1.31073,7.740472440944883,-15.481122047244094
120,-1.0000000003174e-05,-1.96609,0.65537,-1.96608,3.8702362204724223,-23.221476377952758
140,0.0,-1.96609,0.65536,-1.96608,3.8702362204724414,-23.221476377952758
160,0.0,-2.62144,0.65537,-1.96608,3.8702952755905513,-27.091653543307086
180,9.9999999960687e-06,-1.96608,1.0000000003174e-05,-1.31072,0.0001181102362160002,-19.351181102362204
200,-0.65535,-1.31072,1.9999999999243e-05,-1.31071,-3.870059055118115,-15.480885826771654
220,-0.65534,-1.31071,-0.65533,-0.65535,-7.740177165354331,-11.610590551181103
240,-1.31069,-0.65535,-0.65533,-0.65535,-11.610354330708663,-7.740354330708661
260,-1.31069,-0.65534,-1.31069,1.9999999999243e-05,-15.480590551181102,-3.870000000000005
280,-1.96605,1.0000000003174e-05,-1.96604,1.9999999999243e-05,-23.221003937007875,0.00017716535434498227
300,-1.96605,-1.3107,-1.96604,-0.65534,-23.221003937007875,-11.610472440944882
320,-2.6214,0.65538,-1.96604,0.65539,-27.091181102362206,7.740767716535434
340,-2.6214,1.31075,-2.62139,1.31075,-30.961358267716538,15.481299212598426
360,-3.27676,1.31075,-2.62139,1.31075,-34.831594488188976,15.481299212598426
380,-3.93211,1.96611,-2.62138,1.31075,-38.701712598425196,19.351535433070868
400,-3.27674,0.65539,-2.62138,0.65539,-34.831417322834646,7.740826771653544
420,-3.93211,0.65539,-3.27674,1.31075,-42.57194881889764,11.611062992125985
440,-3.9321,1.31075,-3.27674,1.31074,-42.57188976377953,15.481240157480316
460,-3.9321,1.96611,-3.27673,1.31074,-42.571830708661416,19.351476377952757
480,-3.93209,1.31074,-3.27673,0.65538,-42.57177165354331,11.610944881889765
500,-3.93209,0.65538,-3.27672,0.65539,-42.571712598425194,7.740767716535434
520,-3.93208,0.65538,-3.27672,1.31075,-42.571653543307086,11.611003937007874
540,-3.93207,1.96611,-3.27671,2.62148,-42.57153543307087,27.09206692913386
560,-3.93208,2.62148,-3.27672,3.27685,-42.571653543307086,34.83265748031496
580,-3.27672,3.27685,-1.966,3.93221,-30.960944881889766,42.573188976377956
600,-2.62137,3.27686,-1.31065,3.93222,-23.220590551181107,42.57330708661418
620,-1.31066,3.27686,-0.6553,4.58759,-11.61,46.44360236220472
640,-1.31066,4.58759,7.0000000000903e-05,4.5876,-7.739704724409443,54.18419291338583
660,-0.65529,4.5876,7.0000000000903e-05,5.24297,-3.869409448818892,58.054547244094486
680,-0.65529,5.24297,8.0000000004077e-05,5.24297,-3.869350393700764,61.924842519685036
700,7.9999999996971e-05,5.24297,0.65544,4.58761,3.871181102362187,58.054606299212594
720,7.9999999996971e-05,3.93225,1.31081,3.93225,7.741476377952738,46.443897637795274
740,0.65545,4.58761,1.31081,4.58761,11.611771653543308,54.18437007874016
760,0.65545,3.93225,1.31081,3.27689,11.611771653543308,42.57366141732283
780,1.31081,2.62153,2.62153,1.96617,23.22248031496063,27.09271653543307
800,1.31081,1.96617,5.89839,3.93229,42.5740157480315,34.83342519685039
