T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-0.65536,0.0,-3.8702362204724414
40,0.0,-1.0000000003174e-05,0.65536,-1.0000000003174e-05,3.8702362204724414,-0.00011811023625796063
60,0.65536,-1.0000000003174e-05,0.65537,-1.0000000003174e-05,7.740531496062992,-0.00011811023625796063
80,0.65536,0.65535,0.65537,-1.0000000003174e-05,7.740531496062992,3.8701181102362017
100,1.0000000003174e-05,0.65535,0.65537,-1.0000000003174e-05,3.8703543307086803,3.8701181102362017
120,0.0,1.31072,0.65537,-1.0000000003174e-05,3.8702952755905513,7.740413385826754
140,0.0,1.31071,0.65537,-1.0000000003174e-05,3.8702952755905513,7.7403543307086435
160,0.65536,1.31072,0.65537,0.65535,7.740531496062992,11.610649606299212
180,0.65537,1.96608,0.65537,1.31071,7.740590551181103,19.351122047244097
200,0.65537,1.96608,0.65537,1.96608,7.740590551181103,23.221417322834647
220,1.0000000003174e-05,2.62144,0.65537,1.96608,3.8703543307086803,27.091653543307086
240,0.0,2.62143,0.0,1.96607,0.0,27.09153543307087
260,-0.65537,3.2768,0.0,1.96607,-3.8702952755905513,30.961830708661417
280,-9.9999999960687e-06,3.27679,0.0,1.96607,-5.905511808701989e-05,30.96177165354331
300,-9.9999999960687e-06,2.62143,0.0,1.96606,-5.905511808701989e-05,27.091476377952755
320,0.65536,1.3107,2.62158,-2.62147,19.35200787401575,-7.740767716535434
340,3.93238,-1.31076,3.93237,-1.96612,46.44537401574803,-19.351653543307087
360,3.27699,-1.31075,3.277,-2.62147,38.704665354330714,-23.221771653543307
380,3.27699,-1.31075,3.27699,-2.62147,38.7046062992126,-23.221771653543307
400,3.27699,-1.96611,3.27699,-3.27684,38.7046062992126,-30.962303149606303
420,2.62163,-2.62147,2.62163,-3.27684,30.96413385826772,-34.83253937007874
440,2.62163,-2.62148,3.277,-3.27685,34.83442913385827,-34.83265748031496
460,3.27699,-2.62149,3.277,-3.27685,38.704665354330714,-34.83271653543307
480,3.277,-2.62148,3.277,-3.93222,38.70472440944882,-38.702952755905514
500,3.277,-3.27685,2.62164,-3.93222,34.83448818897638,-42.573248031496064
520,2.62164,-3.27686,3.27701,-3.93222,34.83454724409449,-42.57330708661418
540,2.62164,-3.27686,3.27701,-3.93223,34.83454724409449,-42.573366141732286
560,2.62164,-3.27686,2.62165,-4.58759,30.96431102362205,-46.44360236220472
