T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,1.31074,-1.31072,1.31072,-11.610708661417265,15.481062992125985
40,-1.31071,1.31074,-1.30817,0.65536,-15.465826771653543,11.610826771653544
60,-1.96608,1.31074,-1.31073,0.65536,-19.351240157480316,11.610826771653544
80,-8.5198,-4.58752,-5.24322,-9.8304,-81.27767716535433,-85.1451968503937
100,-4.5879,-9.83038,-3.93253,-10.48575,-50.31750000000001,-119.97714566929135
120,-3.93254,-10.48575,-3.27719,-11.79648,-42.57714566929134,-131.58797244094487
140,-3.27719,-11.14111,-3.2772,-11.79649,-38.70702755905512,-135.45826771653543
160,-3.2772,-11.79648,-3.27721,-12.45186,-38.70714566929134,-143.19885826771653
180,-2.62185,-12.45186,-3.27721,-13.10724,-34.83696850393701,-150.93956692913386
200,-3.27721,-13.10724,-3.27721,-13.76263,-38.70720472440945,-158.6803346456693
220,-3.27721,-13.76261,-3.27722,-13.76263,-38.70726377952756,-162.55062992125985
240,-3.93258,-13.76262,-3.93258,-13.76265,-46.44779527559056,-162.55080708661418
260,-4.58794,-13.76264,-3.93259,-13.76266,-50.31809055118111,-162.55098425196852
280,-4.58795,-14.41801,-3.93259,-15.0734,-50.318149606299215,-174.16187007874015
300,-4.58795,-15.07339,-3.9326,-16.38413,-50.31820866141732,-185.77275590551181
320,-4.58796,-16.38413,-4.58796,-17.03952,-54.18850393700787,-197.38375984251965
340,-3.9326,-17.03951,-4.58797,-17.69489,-50.31832677165354,-205.1244094488189
360,-4.58797,-17.03951,-4.58797,-17.03953,-54.1886220472441,-201.25417322834645
380,-4.58796,-17.03952,-5.24333,-17.6949,-58.05879921259842,-205.1245275590551
400,-5.24332,-17.03953,-5.24333,-18.35027,-61.92903543307087,-208.99488188976375
420,-5.24332,-18.35026,-5.24333,-19.00564,-61.92903543307087,-220.6057086614173
440,-5.24333,-19.00563,-5.24333,-19.00566,-61.92909448818898,-224.4761220472441
460,-5.24325,-18.35029,-4.58789,-19.66101,-58.05791338582677,-224.47618110236223
480,-5.24326,-19.66101,-5.24326,-19.66102,-61.92826771653544,-232.2167125984252
500,-5.24325,-19.661,-5.24326,-19.66102,-61.92820866141733,-232.2166535433071
520,-5.24325,-19.661,-5.89862,-19.66102,-65.79844488188976,-232.2166535433071
540,-6.55397,-19.66102,-5.89862,-19.66104,-73.53891732283465,-232.21688976377953
560,-6.55397,-19.66103,-6.55397,-20.31641,-77.40909448818897,-236.0872440944882
580,-6.55397,-20.3164,-6.55397,-20.31641,-77.40909448818897,-239.9575393700788
600,-6.55397,-20.97177,-6.55398,-21.62714,-77.40915354330708,-251.56836614173227
620,-7.20933,-21.62713,-6.55398,-21.62715,-81.27938976377953,-255.43866141732286
640,-6.55397,-21.62714,-5.89862,-22.93788,-73.53891732283465,-263.17925196850393
660,-6.55397,-22.2825,-6.55397,-22.93788,-77.40909448818897,-267.0494881889764
680,-7.20932,-22.93787,-6.55401,-26.21471,-81.27950787401575,-290.27114173228347
700,-7.20941,-25.55934,-6.55402,-25.55934,-81.28009842519685,-301.881968503937
720,-6.55401,-25.55933,-6.55402,-26.21471,-77.40962598425197,-305.75220472440947
740,-6.55401,-25.55933,-6.55401,-26.21471,-77.40956692913386,-305.75220472440947
760,-7.20937,-26.21469,-6.55401,-26.87007,-81.2798031496063,-313.49267716535434
780,-6.55401,-26.87006,-7.20937,-27.52544,-81.2798031496063,-321.2332677165354
800,-7.20937,-27.52543,-6.55401,-28.1808,-81.2798031496063,-328.97379921259846
820,-7.20936,-27.52543,-7.20937,-27.52545,-85.14998031496063,-325.1036220472441
840,-7.86472,-27.52543,-7.86472,-26.87009,-92.8903937007874,-321.23338582677167
860,-8.52007,-26.21471,-8.52007,-26.21472,-100.63074803149607,-309.62261811023626
880,-9.17543,-25.55934,-9.83079,-25.55936,-112.24145669291339,-301.8820866141732
