T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65536,-1.0000000003174e-05,0.0,-5.9055118128980315e-05,-3.8702362204724414
40,-0.65538,-0.65537,-0.65536,0.0,-7.740590551181103,-3.8702952755905513
60,-0.65537,-1.0000000003174e-05,2.62148,1.31073,11.610885826771653,7.740472440944863
80,13.1074,2.62147,19.00574,3.27685,189.64452755905512,34.83259842519685
100,19.00572,3.93222,18.35036,5.24295,220.60677165354332,54.18407480314961
120,18.35034,4.58758,19.00571,4.58758,220.606594488189,54.1840157480315
140,19.0057,3.27685,19.0057,3.93221,224.47677165354332,42.573188976377956
160,19.00569,2.62148,19.00569,3.27684,224.47665354330712,34.83259842519685
180,19.00569,2.62148,19.66105,2.62147,228.34688976377953,30.962303149606303
200,19.00569,2.62147,19.0057,3.27684,224.47671259842525,34.83253937007874
220,19.00569,2.62147,19.0057,3.27684,224.47671259842525,34.83253937007874
240,19.00569,2.62147,19.0057,3.27683,224.47671259842525,34.83248031496063
260,18.35032,2.62212,18.35034,3.27684,216.7361811023622,34.8363779527559
280,18.35033,2.62148,18.35034,3.9322,216.73624015748032,38.70283464566929
300,17.69497,2.62148,17.69498,3.27684,208.99576771653543,34.83259842519685
320,17.69497,3.27683,17.69499,3.9322,208.99582677165355,42.573011811023626
340,17.03962,2.62147,17.03962,2.62147,201.25535433070866,30.962244094488188
360,20.97181,3.27683,36.04534,5.89832,336.7154527559055,54.18395669291339
380,43.9098,5.89832,43.25444,7.20907,514.7494488188977,77.40584645669291
400,42.59906,7.20908,43.25443,7.86444,507.0087992125984,89.01685039370079
420,43.25443,7.20907,43.90979,7.20907,514.7493307086614,85.14649606299213
440,43.90978,6.55369,44.56514,7.20905,522.4896850393701,81.27602362204725
460,45.22048,5.89831,45.87584,5.89831,537.9703937007874,69.66507874015748
480,45.87582,5.24294,46.53118,4.58758,545.7106299212599,58.05425196850394
500,47.18653,3.93221,47.18653,3.93221,557.3212204724409,46.44342519685039
520,47.18652,3.93221,47.18653,3.93221,557.3211614173229,46.44342519685039
540,47.18652,3.93221,47.84188,3.27686,561.1913385826772,42.573248031496064
560,47.84188,2.62149,47.84188,3.27685,565.0615748031497,34.83271653543307
580,47.18652,2.62149,47.84189,3.27685,561.1913976377953,34.83271653543307
600,47.84189,2.62148,47.84189,2.62149,565.0616929133859,30.962421259842518
620,47.84188,1.96612,47.8419,2.62149,565.061692913386,27.09218503937008
640,47.84188,1.96613,47.84189,2.62148,565.0616338582678,27.09218503937008
660,47.18653,1.31076,26.2148,0.0001099999999993,433.4724212598425,7.741358267716532
680,-27.5252,-4.58734,-55.05076,-3.9319,-487.6533070866142,-50.310472440944885
700,-55.05088,-2.6212,-55.05087,0.0001999999999995,-650.2071850393702,-15.478346456692917
720,-55.05088,0.000160000000001,-55.05087,0.0001299999999986,-650.2071850393702,0.0017125984251944882
740,-55.05088,-1.96599,-55.05087,-2.62138,-650.2071850393702,-27.090767716535435
760,-55.05088,-3.27677,-55.05087,-3.27677,-650.2071850393702,-38.70200787401575
780,-55.05088,-4.58751,-55.05087,-3.93215,-650.2071850393702,-50.31295275590551
800,-55.05088,-5.89824,-55.05087,-5.24288,-650.2071850393702,-65.7940157480315
820,-55.05088,-5.89825,-55.05087,-5.89826,-650.2071850393702,-69.66442913385826
840,-55.05088,-6.55362,-55.05087,-6.55362,-650.2071850393702,-77.40496062992126
860,-55.05088,-7.20899,-55.05087,-6.55363,-650.2071850393702,-81.27531496062993
880,-55.05088,-7.20899,-55.05087,-6.55363,-650.2071850393702,-81.27531496062993
900,-55.05088,-7.86436,-55.05087,-7.209,-650.2071850393702,-89.01590551181103
920,-55.05088,-8.51972,-55.05087,-7.86436,-650.2071850393702,-96.7563779527559
940,-55.05088,-8.51973,-55.05087,-7.86437,-650.2071850393702,-96.75649606299213
960,-55.05088,-8.51973,-55.05087,-8.51973,-650.2071850393702,-100.62673228346456
980,-55.05088,-9.1751,-55.05087,-8.51974,-650.2071850393702,-104.49708661417323
1000,-55.05088,-9.17511,-55.05087,-8.51974,-650.2071850393702,-104.49714566929136
1020,-55.05088,-8.51974,-55.05087,-7.86438,-650.2071850393702,-96.75661417322834
1040,-55.05088,-7.86439,-55.05087,-8.51975,-650.2071850393702,-96.75673228346459
1060,-55.05088,-8.51976,-55.05087,-8.51975,-650.2071850393702,-100.62702755905512
1080,-55.05088,-9.17512,-55.05087,-9.17511,-650.2071850393702,-108.3675
1100,-55.05088,-10.48585,-55.05087,-9.17512,-650.2071850393702,-116.10809055118109
1120,-55.05088,-9.17512,-55.05087,-9.17512,-650.2071850393702,-108.36755905511811
1140,-55.05088,-10.48584,-55.05087,-10.48585,-650.2071850393702,-123.84856299212598
1160,-55.05088,-11.14122,-55.05087,-10.48586,-650.2071850393702,-127.71897637795276
1180,-55.05088,-11.14122,-55.05087,-11.14122,-650.2071850393702,-131.5892125984252
1200,-55.05088,-11.79659,-55.05087,-11.79659,-650.2071850393702,-139.3298031496063
1220,-55.05088,-12.45196,-55.05087,-11.79659,-650.2071850393702,-143.20009842519687
1240,-55.05088,-12.45196,-55.05087,-11.7966,-650.2071850393702,-143.20015748031497
1260,-55.05088,-13.10733,-55.05087,-13.10733,-650.2071850393702,-154.8109842519685
1280,-55.05088,-13.10734,-55.05087,-11.79662,-650.2071850393702,-147.07062992125987
1300,-52.42932,-11.14127,-51.11858,-11.14125,-611.503346456693,-131.5896850393701
1320,-51.77397,-11.14125,-51.77397,-11.14125,-611.5035826771654,-131.58956692913387
1340,-51.11862,-12.45198,-51.11862,-13.10734,-603.7632283464567,-150.94086614173227
1360,-51.11863,-13.76272,-50.46327,-13.76273,-599.8931102362205,-162.55187007874017
1380,-51.11864,-14.41809,-50.46328,-14.41809,-599.8932283464567,-170.29240157480314
1400,-50.46329,-15.07346,-50.46329,-15.07345,-596.0231102362205,-178.03293307086614
1420,-51.11866,-15.07347,-50.4633,-15.07346,-599.8934645669291,-178.03305118110237
1440,-51.11866,-15.72883,-51.11866,-15.07347,-603.7637007874016,-181.9033464566929
1460,-51.11866,-15.72883,-51.11866,-15.07347,-603.7637007874016,-181.9033464566929
1480,-51.11867,-15.72883,-51.11866,-15.72883,-603.7637598425197,-185.77358267716536
1500,-46.53108,-15.07347,-36.70051,-13.76275,-491.52513779527567,-170.2926377952756
1520,-34.07904,-15.07348,-34.7344,-14.4181,-406.37858267716535,-174.16287401574803
1540,-34.73442,-14.4181,-34.07906,-14.4181,-406.3788188976378,-170.2925196850394
1560,-34.73443,-15.07347,-34.73443,-15.07347,-410.2491732283465,-178.0331102362205
1580,-34.73444,-15.72884,-34.07907,-15.72884,-406.3789960629922,-185.77370078740157
1600,-34.07908,-16.38421,-34.07908,-16.38421,-402.50881889763775,-193.51429133858267
1620,-34.07909,-17.03958,-34.07908,-17.03957,-402.5088779527559,-201.25482283464567
1640,-34.07909,-17.69494,-34.07908,-17.03958,-402.5088779527559,-205.12511811023626
1660,-34.73445,-17.69494,-34.07908,-17.69494,-406.37911417322834,-208.99535433070866
1680,-34.07909,-18.35031,-34.73445,-17.69494,-406.3791732283465,-212.86564960629923
1700,-34.73445,-18.35031,-34.0791,-17.69495,-406.3792322834646,-212.86570866141733
1720,-34.73446,-19.00567,-34.0791,-19.00567,-406.3792913385827,-224.47641732283464
1740,-34.07912,-19.66105,-32.76839,-19.66104,-394.76875984251967,-232.2170669291339
1760,-32.11304,-20.97178,-32.11303,-20.31641,-379.28781496063,-243.8278937007874
1780,-32.11304,-20.97178,-31.45767,-20.97177,-375.41757874015747,-247.69812992125986
1800,-32.11304,-20.97179,-32.11304,-21.62713,-379.287874015748,-251.5684251968504
1820,-31.45769,-22.28251,-28.83622,-20.31642,-356.06639763779526,-251.56848425196853
1840,-15.07346,-18.35032,-6.55364,-17.69495,-127.71909448818897,-212.86576771653546
1860,-5.24291,-18.3503,-5.89829,-17.69493,-65.79448818897639,-212.86553149606297
1880,-5.89829,-19.00565,-4.58757,-19.00566,-61.92437007874016,-224.47624015748033
1900,-4.58759,-20.31639,-4.58758,-20.3164,-54.184074803149606,-239.95742125984253
1920,-3.93224,-20.97177,-3.93223,-20.3164,-46.443720472440944,-243.8277755905512
1940,-3.93225,-20.97177,-3.93224,-20.97176,-46.44383858267717,-247.69801181102363
1960,-3.93225,-21.62713,-3.93225,-20.97177,-46.443897637795274,-251.56830708661417
1980,-3.93226,-21.62713,-3.93225,-21.62713,-46.44395669291339,-255.43854330708663
2000,-3.93225,-21.62714,-3.93225,-21.62713,-46.443897637795274,-255.43860236220476
2020,-3.93226,-22.2825,-3.93225,-21.62714,-46.44395669291339,-259.3088976377953
2040,-3.93225,-22.2825,-3.93225,-21.62713,-46.443897637795274,-259.3088385826772
2060,-4.58762,-22.2825,-4.58761,-21.62714,-54.18442913385827,-259.3088976377953
2080,-3.93226,-22.2825,-3.27688,-21.62714,-42.57366141732283,-259.3088976377953
2100,7.86441,-19.66106,20.97183,-16.38423,170.29275590551183,-212.86588582677166
2120,26.2148,-13.76277,25.55942,-11.79665,305.75326771653545,-150.9414566929134
2140,24.90403,-11.14127,24.90403,-9.17518,294.1420866141732,-119.97903543307086
2160,24.90401,-7.86447,24.90401,-6.55374,294.1418503937008,-85.1469094488189
2180,24.24864,-5.89839,24.90399,-4.58767,290.27143700787406,-61.925551181102364
2200,24.24862,-4.58768,24.24862,-3.27695,286.40102362204726,-46.44466535433071
2220,24.24861,-3.27695,24.24862,-1.96623,286.40096456692913,-30.963661417322832
2240,24.24861,-2.6216,24.24861,-1.96623,286.400905511811,-27.093484251968505
2260,23.59325,-1.96624,24.24862,-1.96623,282.5307283464567,-23.223248031496063
2280,23.59325,-1.96623,23.59326,-1.96623,278.66049212598426,-23.22318897637795
2300,23.59325,-1.96624,23.59326,-1.96624,278.66049212598426,-23.223307086614174
2320,23.59325,-2.6216,24.24861,-1.96624,282.5306692913386,-27.093543307086616
2340,23.59324,-2.6216,24.24861,-2.6216,282.53061023622047,-30.963779527559055
2360,24.2486,-3.27697,24.24861,-3.27697,286.40084645669293,-38.704370078740155
2380,30.80227,-1.96623,45.8758,0.65526,452.8232480314961,-7.7419488188976375
2400,51.11878,-0.65546,50.4634,1.31066,599.8947637795276,3.869291338582676
2420,50.46337,1.31066,51.77409,1.96602,603.7645275590552,19.35047244094488
2440,52.42944,1.31064,53.08479,1.31064,623.115531496063,15.48
2460,53.74014,0.65526,53.74014,1.31063,634.726062992126,11.609586614173228
2480,53.74012,-0.0001099999999993,53.74013,1.31062,634.7258858267717,7.73923228346457
2500,53.74012,0.65604,54.39549,0.65526,638.5961220472441,7.743897637795275
2520,54.39548,0.65525,55.05085,0.65525,646.336594488189,7.7391732283464565
2540,54.39549,-0.0001099999999993,55.05086,-0.0001100000000064,646.3367125984252,-0.0012992125984582676
2560,53.08475,-1.31083,19.66112,-4.58755,429.601594488189,-34.83295275590552
2580,-30.1467,-9.17502,-55.05074,-7.86423,-503.1344881889764,-100.62549212598425
2600,-55.05086,-7.20892,-55.05087,-5.24286,-650.2070669291339,-73.53413385826771
2620,-55.05088,-5.2429,-55.05087,-5.89829,-650.2071850393702,-65.79442913385827
2640,-55.05088,-7.8644,-55.05087,-7.20906,-650.2071850393702,-89.01649606299213
2660,-55.05088,-9.17516,-55.05087,-8.5198,-650.2071850393702,-104.49779527559056
2680,-55.05088,-9.83054,-55.05087,-9.17518,-650.2071850393702,-112.23850393700786
2700,-55.05088,-10.48592,-55.05087,-9.83056,-650.2071850393702,-119.97921259842519
2720,-55.05088,-10.48593,-55.05087,-11.14129,-650.2071850393702,-127.7198031496063
2740,-55.05088,-11.79666,-55.05087,-11.79666,-650.2071850393702,-139.33062992125983
2760,-55.05088,-12.45204,-55.05087,-11.79667,-650.2071850393702,-143.20104330708662
2780,-55.05088,-12.45204,-55.05087,-12.45203,-650.2071850393702,-147.07127952755906
2800,-55.05088,-12.45204,-55.05087,-12.45205,-650.2071850393702,-147.0713976377953
2820,-55.05088,-13.76277,-55.05087,-13.10741,-650.2071850393702,-158.68216535433072
