T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,1.0000000003174e-05,-1.0000000003174e-05,-0.65536,-0.00011811023625796063,-3.8701771653543116
40,-2.0000000006348e-05,1.0000000003174e-05,-1.0000000003174e-05,-0.65537,-0.00017716535438694092,-3.8702362204724223
60,-0.65538,0.0,-0.65537,-1.31072,-7.740649606299213,-7.740472440944883
80,-0.65538,1.0000000003174e-05,-1.0000000003174e-05,-1.31072,-3.8704133858267897,-7.740413385826754
100,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-0.65536,-0.00011811023625796063,-7.7404133858267725
120,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-1.31071,-0.00011811023625796063,-11.610590551181103
140,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-1.96607,-0.00011811023625796063,-15.480826771653545
160,-1.0000000003174e-05,-1.96606,0.0,-2.62143,-5.9055118128980315e-05,-27.091476377952755
180,0.65535,-1.96606,0.0,-2.62143,3.8701771653543307,-27.091476377952755
200,-1.0000000003174e-05,-1.96607,0.0,-3.27679,-5.9055118128980315e-05,-30.96177165354331
220,0.65535999999999,-2.62142,0.0,-2.62143,3.870236220472382,-30.9617125984252
240,0.65535999999999,-2.62142,0.65535999999999,-3.27679,7.740472440944764,-34.831948818897644
260,-1.0000000003174e-05,-3.27678,0.0,-3.93215,-5.9055118128980315e-05,-42.57242125984252
280,0.0,-3.27678,-0.65536,-3.93215,-3.8702362204724414,-42.57242125984252
300,0.0,-3.27678,-0.65536,-3.93215,-3.8702362204724414,-42.57242125984252
320,-1.0000000003174e-05,-3.27678,-1.0000000003174e-05,-4.58751,-0.00011811023625796063,-46.442657480314956
340,-2.0000000006348e-05,-3.27678,0.65534,-3.93214,3.8699999999999624,-42.57236220472441
360,0.65534,-3.27678,0.65534,-3.27679,7.7402362204724415,-38.702185039370086
380,0.65533,-2.62142,0.65533,-2.62143,7.74011811023622,-30.9617125984252
400,1.31068,-1.96606,0.65533,-2.62143,11.610295275590552,-27.091476377952755
420,0.65532,-1.96606,1.31068,-2.62143,11.61023622047244,-27.091476377952755
440,0.65532,-1.3107,0.65532,-2.62143,7.74,-23.221240157480317
460,0.65531,-1.96606,1.31068,-2.62143,11.610177165354331,-27.091476377952755
480,1.31067,-1.96606,1.31068,-2.62142,15.480413385826772,-27.091417322834648
500,1.31067,-1.96605,1.96604,-2.6214,19.350649606299214,-27.091240157480314
520,1.96603,-1.31068,2.6214,-1.96604,27.0911220472441,-19.350708661417325
540,3.27676,-1.31068,2.6214,-1.96605,34.831653543307084,-19.350767716535433
560,2.6214,-1.31069,2.6214,-1.96605,30.961417322834645,-19.350826771653544
580,2.62139,-1.96605,2.6214,-2.62142,30.961358267716538,-27.091358267716533
600,2.62139,-1.96605,1.96604,-2.62142,27.0911220472441,-27.091358267716533
620,2.6214,-1.96605,2.6214,-2.62142,30.961417322834645,-27.091358267716533
640,2.62139,-1.96606,1.96603,-2.62142,27.091062992125984,-27.091417322834648
660,2.62139,-1.96606,2.6214,-2.62142,30.961358267716538,-27.091417322834648
680,2.62138,-1.96606,1.96604,-2.62143,27.091062992125984,-27.091476377952755
700,2.62138,-1.96606,2.62139,-3.27679,30.961240157480315,-30.961712598425198
720,2.62138,-2.62143,1.96604,-3.27679,27.091062992125984,-34.83200787401575
740,1.96603,-3.27678,3.27676,-3.27679,30.961358267716538,-38.702185039370086
760,13.76268,0.65539,20.31638,1.9999999999243e-05,201.25429133858268,3.8705314960629873
780,19.00565,-0.65534,17.69494,-1.31072,216.73576771653543,-11.610590551181103
800,16.38422,-0.65537,16.38422,-1.96611,193.5144094488189,-15.481181102362205
820,15.72885,-0.65539999999999,15.07349,-1.31077,181.90358267716536,-11.611240157480257
840,15.07349,-1.31076,14.41813,-1.96614,174.1631102362205,-19.351771653543306
860,14.41813,-1.31077,13.76277,-2.6215,166.4226377952756,-23.22206692913386
880,13.76276,-1.96615,13.76276,-3.27688,162.55228346456693,-30.962775590551182
900,13.76274,-2.62152,13.76274,-3.93225,162.5520472440945,-38.70336614173228
920,13.76271,-3.93226,13.76268,-5.24299,162.5515157480315,-54.18454724409449
940,13.76263,-5.243,13.76258,-6.55375,162.55045275590552,-69.66584645669292
960,14.41788,-7.20912,15.07321,-9.17522,174.15998031496062,-96.75791338582678
980,15.07316,-9.83059,15.72849,-12.45204,181.89950787401574,-131.5903346456693
1000,15.72846,-13.1074,16.3838,-15.72886,189.63933070866142,-170.29287401574803
1020,16.38377,-17.03957,16.38376,-18.3503,193.50903543307084,-208.99529527559056
1040,17.69445,-19.66102,17.69443,-20.97174,208.98944881889764,-239.95724409448817
1060,17.69442,-20.97173,18.34979,-21.6271,212.85950787401575,-251.5678937007874
1080,18.34977,-20.97173,18.34977,-21.62709,216.72956692913385,-251.5678346456693
1100,18.34976,-20.31635,18.34977,-20.97172,216.72950787401578,-243.82718503937008
1120,18.34975,-19.66098,19.00512,-19.66098,220.59962598425201,-232.21629921259841
1140,18.34974,-18.35025,19.0051,-19.00561,220.59944881889766,-220.60547244094488
1160,19.00508,-17.69488,19.00507,-18.35025,224.46938976377956,-212.8649409448819
1180,19.00505,-17.03952,18.34969,-17.69488,220.59885826771654,-205.1244094488189
1200,19.00502,-17.0395,19.00502,-17.0395,224.4687401574803,-201.25393700787401
