T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.9999999999243e-05,-1.0000000003174e-05,-1.0000000003174e-05,-9.9999999960687e-06,-0.00017716535434498227,-0.0001181102362160002
40,-0.65539,-1.9999999999243e-05,-0.65283,0.65535000000001,-7.725708661417323,3.870059055118173
60,-1.31075,-1.9999999999243e-05,-1.31074,0.65534,-15.481240157480316,3.870000000000005
80,-1.31076,0.65534,-1.31075,0.65534,-15.481358267716535,7.7402362204724415
100,-1.96612,1.31069,-1.96611,0.65534,-23.221830708661418,11.61041338582677
120,-1.96613,1.31069,-1.96612,0.65533,-23.221948818897637,11.610354330708663
140,-2.62149,1.31068,-1.96612,0.65533,-27.09218503937008,11.610295275590552
160,-2.6215,1.31067,-2.62148,0.65533,-30.962480314960633,11.61023622047244
180,-2.6215,0.65532,-1.96612,0.65533,-27.09224409448819,7.74005905511811
200,-1.96614,1.31068,-1.96613,1.31069,-23.22206692913386,15.480531496062994
220,-1.96615,1.31069,-1.96613,0.65533,-23.22212598425197,11.610354330708663
240,-2.62151,1.31069,-1.96613,1.31069,-27.092362204724413,15.480590551181102
260,-1.96614,1.31068,-1.96613,1.31069,-23.22206692913386,15.480531496062994
280,-2.62151,1.31068,-2.62149,1.96604,-30.962598425196852,19.350708661417325
300,-2.6215,1.31067,-2.62149,1.31068,-30.962539370078744,15.480413385826772
320,-2.6215,1.96604,-2.62149,1.96604,-30.962539370078744,23.220944881889764
340,-1.96614,2.62139,2.62145,3.27678,3.869940944881889,34.8317125984252
360,3.27683,2.62139,3.27684,3.27676,38.702775590551184,34.831594488188976
380,2.62147,3.93213,2.62149,3.93213,30.96236220472441,46.44248031496063
400,1.96611,3.93212,1.96613,3.93213,23.22188976377953,46.44242125984252
420,1.31076,3.27676,1.96614,3.93213,19.351771653543306,42.57218503937008
440,1.96612,3.93212,1.31078,3.93213,19.35177165354331,46.44242125984252
460,0.6554,3.93213,0.65542,4.58749,7.741062992125985,50.31271653543307
480,0.65541,4.58748,0.65543,4.58749,7.741181102362205,54.1828937007874
500,5.000000000166e-05,4.58749,-0.65529,4.5875,-3.8695275590551086,54.18301181102363
520,-1.31066,5.24285,-1.31065,5.24287,-15.48017716535433,61.92354330708662
540,-1.96602,5.89822,-1.31064,5.89823,-19.35035433070866,69.6640748031496
560,-2.62138,6.55358,-2.62136,6.55359,-30.96106299212599,77.40454724409449
580,-3.27673,7.20895,-2.62135,7.20896,-34.83118110236221,85.14513779527559
600,-3.27673,7.86432,-3.27671,7.20896,-38.70141732283465,89.01543307086615
620,0.0001000000000033,8.51968,7.86454,9.17506,46.44472440944884,104.49649606299212
640,9.83066,10.48576,9.83067,9.83041,116.11021653543307,119.97738188976378
660,9.83066,10.48577,10.48602,10.48577,119.98039370078742,123.84767716535434
680,11.14137,10.48576,11.79674,10.48576,135.46127952755907,123.84755905511813
700,12.45209,10.48576,11.79674,10.48577,143.20175196850394,123.84761811023623
720,12.45208,10.48576,13.10745,9.83042,150.94210629921258,119.97744094488189
740,12.45207,9.83042,13.10745,9.83042,150.94204724409448,116.10732283464567
760,13.10743,9.83042,13.10744,9.17506,154.81222440944882,112.23708661417322
780,12.45207,9.17505,12.45208,8.51969,147.07175196850395,104.49649606299215
800,12.45206,9.17505,12.45208,8.5197,147.07169291338585,104.49655511811024
820,12.45207,8.51969,12.45208,9.17506,147.07175196850395,104.49655511811024
840,11.7967,9.17506,11.79671,9.17507,139.33116141732282,108.3669094488189
860,11.7967,9.17506,12.45207,9.83043,143.20139763779528,112.23714566929135
880,16.38426,9.17506,24.90408,9.17506,243.8287795275591,108.36685039370079
900,29.49165,9.17502,32.76851,9.17507,367.6781102362205,108.36667322834647
920,32.11314,9.17505,32.11314,9.17507,379.28905511811024,108.36685039370079
940,32.76849,9.17506,32.76851,9.17507,387.02952755905517,108.3669094488189
960,33.42385,8.51969,33.42387,8.51971,394.7700000000001,100.62637795275592
980,33.42385,8.5197,34.07922,7.86434,398.6401771653544,96.75614173228347
1000,33.42385,8.5197,34.07922,7.86435,398.6401771653544,96.7562007874016
1020,34.07921,7.86434,34.73458,7.20899,406.3806496062993,89.0157283464567
1040,34.73456,7.20898,34.73458,7.20899,410.25082677165364,85.14549212598426
1060,34.73457,7.20898,34.73459,5.89826,410.2509448818897,77.40496062992126
