T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-3.9322,-1.31072,-12.45202,-0.65537,-96.75720472440945,-11.610767716535433
40,-11.14127,-1.31072,-7.86444,1.31072,-112.23844488188978,0.0
60,-9.17516,2.62146,-9.17516,2.62145,-108.368031496063,30.96206692913386
80,-9.17515,3.27682,-9.17515,3.27681,-108.36791338582678,38.70253937007874
100,-9.17515,2.62146,-8.51979,3.27681,-104.49767716535435,34.832303149606304
120,-8.51978,2.62145,-8.51978,2.62144,-100.62732283464568,30.96194881889764
140,-8.51978,2.62144,-7.86442,1.96607,-96.75708661417323,27.091594488188978
160,-7.86442,1.31071,-7.86442,1.96606,-92.88685039370078,19.351003937007874
180,-7.86443,1.31071,-7.86444,1.96606,-92.88702755905513,19.351003937007874
200,-7.86444,1.31071,-7.20908,1.3107,-89.01685039370079,15.480767716535434
220,-7.20909,0.65534,-5.24299,1.31069,-73.53590551181102,11.61041338582677
240,-2.9999999995312e-05,1.31071,-0.65539,1.96605,-3.870590551181074,19.350944881889767
260,-1.31076,1.31069,-0.65541,2.62141,-11.611240157480315,23.221062992125987
280,-0.65541,2.62142,-0.65541,2.6214,-7.741062992125985,30.961535433070868
300,-0.65541,1.96605,-1.31077,2.6214,-11.611299212598425,27.091240157480314
320,-0.65541,2.62141,-1.31077,2.6214,-11.611299212598425,30.96147637795276
340,-0.65541,2.62141,-1.31077,3.27677,-11.611299212598425,34.831771653543306
360,-0.65541,3.27677,-0.65541,3.27676,-7.741062992125985,38.70194881889764
380,-1.31077,2.6214,-1.31077,3.27676,-15.481535433070867,34.831653543307084
400,-1.31077,2.6214,-0.6554,3.27676,-11.611240157480315,34.831653543307084
420,-1.31076,2.62139,-0.6554,1.96603,-11.611181102362204,27.091062992125984
440,-0.6554,1.31067,-0.6554,1.31066,-7.740944881889764,15.480295275590551
460,-3.9999999998486e-05,0.6553,-0.65539,1.31066,-3.870649606299203,11.61
480,-0.6554,1.31066,-0.6554,1.31065,-7.740944881889764,15.48017716535433
500,-0.6554,1.31065,-3.9999999998486e-05,1.31065,-3.8707086614173134,15.480118110236223
520,-0.6554,1.31065,-0.6554,1.31064,-7.740944881889764,15.480059055118112
540,-0.6554,0.65529,-2.9999999995312e-05,1.31064,-3.8706496062991844,11.60982283464567
560,-2.9999999995312e-05,1.31064,-3.9999999998486e-05,1.966,-0.0004133858267350276,19.350236220472443
580,-0.6554,1.31064,0.65532,1.31063,-0.0004724409448817066,15.479940944881891
600,-3.9999999998486e-05,1.966,-3.9999999998486e-05,1.96599,-0.0004724409448640079,23.22041338582677
620,-2.9999999995312e-05,1.96599,-3.9999999998486e-05,1.96598,-0.0004133858267350276,23.22029527559055
640,-3.9999999998486e-05,1.96598,0.65532,1.96598,3.8697637795275677,23.220236220472444
660,0.65532,1.96598,0.65532,1.96598,7.74,23.220236220472444
680,0.65532,1.96598,1.31068,1.96597,11.61023622047244,23.220177165354333
700,1.31068,1.96597,1.31068,1.96597,15.480472440944883,23.22011811023622
720,1.31068,1.96597,1.96604,1.96596,19.350708661417325,23.22005905511811
740,2.6214,1.96596,2.6214,1.96596,30.961417322834645,23.22
760,2.6214,1.96596,3.27677,2.62131,34.8317125984252,27.090177165354334
780,3.27677,1.96595,3.27677,2.6213,38.70200787401575,27.09005905511811
800,3.27678,2.6213,3.93214,3.27666,42.57236220472441,34.83047244094489
820,3.27678,3.27666,3.93215,3.27665,42.57242125984252,38.700649606299216
840,3.93215,3.27665,4.58751,3.932,50.31295275590551,42.57076771653543
860,4.58751,3.27664,5.24286,2.62127,58.05336614173228,34.830177165354336
880,4.5875,2.62127,5.24286,2.62126,58.053307086614176,30.95982283464567
900,5.24286,2.62126,5.89822,2.62125,65.79377952755905,30.959704724409452
920,5.24285,1.96589,5.89821,2.62124,65.79366141732284,27.08935039370079
940,5.24285,2.62124,5.8982,3.27659,65.79360236220472,34.829704724409446
960,5.8982,2.62123,5.8982,2.62122,69.66377952755906,30.959350393700788
980,5.8982,2.62122,5.89821,2.62121,69.66383858267717,30.959232283464573
1000,5.89821,1.96586,6.55357,1.96586,73.53413385826771,23.218818897637796
