T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,-3.27682,0.0,-2.62146,5.9055118128980315e-05,-34.83236220472441
40,-0.65535,-5.24291,-0.65536,-5.24291,-7.7404133858267725,-61.92413385826772
60,-1.3107,-7.86435,-1.3107,-7.20899,-15.480708661417323,-89.01578740157481
80,-2.62142,-9.83044,-3.93214,-9.83044,-38.70212598425197,-116.1075590551181
100,-3.93212,-11.14117,-4.58749,-9.83045,-50.31265748031496,-123.84814960629923
120,-4.58748,-11.14118,-3.93213,-10.48582,-50.31265748031496,-127.71850393700787
140,-4.58747,-11.14119,-4.58748,-9.83047,-54.18277559055119,-123.84838582677166
160,-5.8982,-11.1412,-5.8982,-9.83047,-69.66377952755906,-123.84844488188976
180,-5.89819,-11.1412,-5.24283,-9.17511,-65.7934251968504,-119.97820866141734
200,-5.89817,-9.17511,-6.55354,-7.86439,-73.53372047244095,-100.62696850393701
220,-7.20889,-8.51976,-7.2089,-7.86439,-85.14442913385827,-96.75679133858267
240,-6.55353,-7.86439,-7.2089,-6.55367,-81.27419291338583,-85.14602362204725
260,-7.20888,-6.55367,-7.2089,-5.24295,-85.14437007874017,-69.66507874015748
280,-6.55353,-5.89831,-7.2089,-3.27686,-81.27419291338583,-54.18407480314961
300,-8.51961,-1.96615,-8.51962,1.96602,-100.62537401574804,-0.0007677165354328552
320,-7.86425,4.58745,-5.24282,9.83034,-77.40395669291338,85.14442913385827
340,-1.96602,13.76249,1.31077,19.66075,-3.8695866141732282,197.38133858267716
360,7.86438,28.83578,13.7626,37.35546,127.71838582677165,390.8931496062992
380,22.28231,43.90905,38.01109,52.42874,356.0633858267717,568.9239566929134
400,66.19165,51.11804,108.79003,52.42877,1033.3563779527558,611.4969094488189
420,142.21338,51.11807,183.50102,52.42881,1923.5102362204725,611.4973228346457
440,230.03155,51.1181,294.25677,52.42885,3096.1908661417324,611.4977362204725
460,294.25669,51.11817,294.25654,52.42893,3475.471830708662,611.4986220472441
480,294.25635,51.11819,294.25611,52.42894,3475.467283464567,611.4987992125984
500,294.25597,51.11824,294.25596,52.42902,3475.464153543307,611.4995669291338
520,294.25597,51.11836,294.25596,52.42911,3475.464153543307,611.5008070866143
540,294.25597,51.1184,294.25596,52.42913,3475.464153543307,611.5011614173228
560,294.25597,51.11841,294.25596,52.42915,3475.464153543307,611.5013385826772
580,294.25597,51.11844,294.25596,52.42917,3475.464153543307,611.5016338582677
600,294.25597,51.11846,294.25596,52.4292,3475.464153543307,611.5019291338582
620,294.25597,51.11848,294.25596,52.42921,3475.464153543307,611.5021062992126
640,294.25597,51.11849,294.25596,52.42922,3475.464153543307,611.5022244094488
660,294.25597,51.11849,294.25596,52.42922,3475.464153543307,611.5022244094488
680,294.25599,51.1185,294.25599,52.42923,3475.464448818898,611.502342519685
700,294.25601,51.11849,294.25603,52.42922,3475.4648031496067,611.5022244094488
720,294.25604,51.11849,294.25604,52.42922,3475.4650393700786,611.5022244094488
740,294.25606,51.11849,294.25604,52.42922,3475.465157480315,611.5022244094488
760,294.25607,51.11849,294.25608,52.42922,3475.4654527559055,611.5022244094488
780,294.2561,51.11848,294.25611,52.42921,3475.465807086614,611.5021062992126
800,294.25613,51.11848,294.25614,52.42921,3475.4661614173224,611.5021062992126
820,294.25616,51.11848,294.25618,52.4292,3475.46657480315,611.5020472440945
840,294.2562,51.11847,294.2562,52.4292,3475.4669291338582,611.5019881889765
860,294.25622,51.11847,294.25623,52.42919,3475.4672244094486,611.5019291338582
880,294.25626,51.11847,294.25626,52.42919,3475.4676377952756,611.5019291338582
900,294.25628,51.11846,294.25628,52.42918,3475.4678740157483,611.501811023622
920,294.25629,51.11846,294.25883,52.42918,3475.4829921259843,611.501811023622
940,294.25631,51.11845,294.2563,52.42917,3475.4681692913387,611.5016929133858
960,294.25632,51.11845,294.25633,52.42918,3475.468405511811,611.501751968504
980,286.39203,51.11845,289.66883,52.42917,3401.934212598426,611.5016929133858
1000,285.08132,51.11845,289.01347,52.42918,3390.323562992126,611.501751968504
1020,294.25635,51.11845,285.73666,52.42917,3425.155570866142,611.5016929133858
1040,281.80451,51.11845,283.77059,52.42918,3340.0104330708664,611.501751968504
1060,281.80452,51.11845,281.14916,52.42918,3324.5296062992134,611.501751968504
1080,281.80453,51.11845,283.11526,52.42918,3336.1404921259846,611.501751968504
1100,283.11546,51.11846,284.42632,52.42919,3351.6246850393704,611.5018700787402
1120,289.0139,51.11847,286.39244,52.42919,3398.068937007874,611.5019291338582
1140,280.49422,51.11846,278.52815,52.4292,3301.313208661417,611.5019291338582
1160,279.18352,51.11847,277.87279,52.42919,3289.7026181102365,611.5019291338582
1180,282.46031,51.11846,279.83885,52.42918,3320.6643307086615,611.501811023622
1200,275.90671,51.11845,283.77099,52.42917,3305.1832677165353,611.5016929133858
1220,283.11563,51.11844,277.87272,52.42916,3312.923326771654,611.5015748031497
1240,277.21737,51.11843,277.21737,52.42916,3274.2209055118115,611.5015157480315
1260,272.62986,51.11842,265.4209,52.42915,3177.4651181102367,611.5013976377952
1280,259.52267,51.11841,256.24586,52.42915,3045.8771456692916,611.5013385826772
1300,247.72619,51.11841,239.20651,52.42913,2875.586811023622,611.501220472441
1320,230.03149,51.11838,216.26895,52.42911,2635.6325196850394,611.5009251968505
1340,199.22962,51.11836,184.15635,52.42907,2264.0903740157482,611.5005708661417
1360,170.39381,51.11833,157.94199,52.42904,1938.9909448818898,611.5002165354331
1380,148.76698,51.11829,142.86875,52.429,1722.258248031496,611.4997440944883
1400,134.34909,51.11825,125.82943,52.42896,1536.4873228346457,611.4992716535434
1420,115.3437,51.11822,109.44547,51.11821,1327.495098425197,603.7584448818898
1440,104.20261,48.49676,100.27047,47.84139,1207.518188976378,568.9260826771654
1460,104.20283,48.49672,115.34426,51.77352,1296.537933070866,592.1470866141733
1480,118.62129,49.80743,114.0338,50.4628,1373.9473818897638,592.1470275590551
1500,108.13556,49.80744,105.51413,51.77352,1261.7107677165354,599.8875590551181
1520,102.89272,48.4967,98.3052,48.4967,1188.176692913386,572.7956692913385
1540,95.02843,46.53062,90.44092,47.18599,1095.291437007874,553.4445472440946
1560,87.16414,45.87527,83.23198,48.49671,1006.2762992125985,557.314842519685
1580,78.64448,47.18599,75.36768,47.18601,909.5206299212598,557.3149606299213
1600,72.09089,45.87528,68.15874,45.21993,828.2458464566929,537.9638385826771
