T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.0,0.65536,-0.65537,0.0,-3.8702952755905513
40,-0.65536,-0.65536,0.0,-0.65536,-3.8702362204724414,-7.740472440944883
60,-0.65536,0.0,0.0,-0.65537,-3.8702362204724414,-3.8702952755905513
80,-0.65536,-0.65536,-0.65535,-0.65537,-7.7404133858267725,-7.740531496062992
100,-1.96607,-0.65536,-1.96607,-0.65537,-23.221299212598424,-7.740531496062992
120,-2.62143,-0.65536,-2.62142,0.0,-30.9617125984252,-3.8702362204724414
140,-3.93214,0.0,-3.93213,0.0,-46.44253937007874,0.0
160,-5.24284,0.65537,-4.58747,0.0,-58.05301181102363,3.8702952755905513
180,-5.89819,0.65537,-5.8982,0.65535999999999,-69.66372047244094,7.740531496062933
200,-10.48575,0.65537,-11.14112,9.9999999960687e-06,-127.71773622047245,3.8703543307086377
220,-11.79647,0.65537,-11.14111,0.65537,-135.4581496062992,7.740590551181103
240,-11.79647,0.65537,-11.14111,0.65537,-135.4581496062992,7.740590551181103
260,-11.79647,0.65537,-11.14111,9.9999999960687e-06,-135.4581496062992,3.8703543307086377
280,-11.14111,9.9999999960687e-06,-9.8304,-0.65536,-123.8475,-3.870177165354354
300,-10.48576,-0.65536,-9.17505,-0.65536,-116.10714566929136,-7.740472440944883
320,-9.17506,-1.31072,-8.5197,-1.96609,-104.49661417322837,-19.351240157480316
340,-8.51971,-1.96608,-7.86435,-1.96609,-96.75625984251968,-23.221476377952758
360,-8.51971,-1.96609,-7.86435,-2.62145,-96.75625984251968,-27.091771653543308
380,-7.86435,-2.62145,-7.20899,-2.62146,-89.01578740157481,-30.96206692913386
400,-7.86436,-2.62146,-2.62144,-2.62147,-61.92401574803149,-30.96218503937008
420,4.58761,-1.31076,8.51982,-0.65541,77.40608267716536,-11.611240157480315
440,7.86445,-0.6554,8.51981,-0.65541,96.75744094488188,-7.741003937007874
460,7.2091,-1.31076,8.51981,-1.31076,92.88726377952754,-15.481417322834645
480,7.2091,-1.31077,7.86446,-1.96613,89.01708661417324,-19.351771653543306
500,6.55374,-1.96613,7.2091,-2.62149,81.27661417322835,-27.09224409448819
520,6.55375,-1.96612,5.89839,-1.96613,73.53625984251968,-23.221948818897637
540,5.24303,-1.96613,5.8984,-2.62148,65.79584645669291,-27.09218503937008
560,4.58769,-2.62148,5.24305,-3.27685,58.055551181102366,-34.83265748031496
580,2.6216,-3.27684,-13.10725,-7.86437,-61.92312992125984,-65.7945472440945
600,-40.63271,-12.45189,-59.63837,-13.7626,-592.1520472440945,-154.80998031496065
620,-60.29371,-12.45186,-59.63832,-11.7965,-708.2600196850394,-143.19897637795276
640,-60.29367,-11.79649,-59.63831,-12.45185,-708.2597244094488,-143.19885826771653
660,-60.29366,-11.79649,-59.6383,-11.79648,-708.2596062992127,-139.328562992126
680,-60.29367,-11.79648,-59.6383,-11.79648,-708.2596653543308,-139.3285039370079
700,-60.29367,-11.79648,-59.63831,-12.45185,-708.2597244094488,-143.19879921259843
720,-60.29367,-12.45185,-59.63831,-13.10721,-708.2597244094488,-150.9393307086614
740,-60.29367,-13.10721,-59.63831,-13.76257,-708.2597244094488,-158.6798031496063
760,-60.29367,-13.76256,-59.63831,-13.76257,-708.2597244094488,-162.54998031496064
780,-60.29367,-14.41793,-59.63832,-14.41793,-708.2597834645669,-170.29051181102363
800,-60.29368,-15.0733,-59.63833,-15.07331,-708.2599015748032,-178.03116141732283
820,-60.2937,-15.07331,-59.63834,-15.07331,-708.2600787401575,-178.03122047244094
840,-60.2937,-15.07331,-59.63834,-15.07332,-708.2600787401575,-178.03127952755904
860,-60.2937,-15.07331,-59.63833,-15.07332,-708.2600196850394,-178.03127952755904
880,-60.29368,-15.07331,-59.63831,-15.07331,-708.2597834645669,-178.03122047244094
900,-60.29366,-14.41795,-59.63829,-15.07331,-708.2595472440945,-174.1609842519685
920,-60.29364,-15.07331,-59.63827,-15.07331,-708.2593110236221,-178.03122047244094
940,-60.29362,-14.41794,-59.63826,-15.0733,-708.2591338582678,-174.1608661417323
960,-60.29358,-14.41794,-59.6381,-15.07331,-708.2579527559055,-174.1609251968504
980,-57.67195,-15.07332,-57.67194,-15.07332,-681.1647047244095,-178.03133858267717
1000,-60.29338,-15.07331,-59.638,-15.72867,-708.2561811023622,-181.9014566929134
1020,-60.29335,-16.38403,-59.63798,-17.69475,-708.2558858267716,-201.25263779527558
1040,-60.29332,-18.3501,-59.63795,-19.00546,-708.255531496063,-220.60370078740155
1060,-60.29329,-19.00546,-59.63792,-19.66081,-708.2551771653543,-228.34411417322835
1080,-60.29327,-19.66081,-59.63791,-20.31617,-708.255,-236.08452755905512
1100,-60.29327,-20.97153,-59.63792,-21.6269,-708.2550590551182,-251.565531496063
1120,-60.29328,-22.28226,-59.63793,-22.93763,-708.2551771653543,-267.046594488189
1140,-60.2933,-22.93763,-59.63795,-23.59299,-708.2554133858268,-274.787125984252
1160,-60.29331,-24.24836,-59.63796,-24.90372,-708.255531496063,-290.2681889763779
1180,-60.29332,-24.24835,-59.63796,-24.90371,-708.2555905511812,-290.2680708661417
1200,-60.29331,-24.24835,-59.63784,-22.93764,-708.2548228346457,-278.6574212598425
1220,-57.67167,-23.59301,-56.36094,-23.59301,-673.4209251968505,-278.65759842519685
1240,-58.98239,-22.93764,-58.98239,-23.59301,-696.6424015748032,-274.7873031496063
1260,-60.29311,-22.93764,-59.63775,-22.93764,-708.2531102362204,-270.9170078740157
1280,-60.29311,-22.28228,-59.63774,-22.93764,-708.2530511811025,-267.0467716535433
1300,-60.2931,-22.28229,-59.63774,-22.28228,-708.2529921259843,-263.176594488189
1320,-60.29309,-22.28228,-59.63773,-22.28228,-708.252874015748,-263.17653543307085
1340,-60.29308,-22.28228,-59.63771,-22.28228,-708.2526968503937,-263.17653543307085
1360,-60.29307,-22.28228,-59.63771,-22.93764,-708.2526377952756,-267.0467716535433
1380,-60.29307,-22.93764,-59.63771,-23.59301,-708.2526377952756,-274.7873031496063
1400,-60.29307,-22.93765,-59.63771,-23.59301,-708.2526377952756,-274.7873622047244
1420,-60.29308,-23.593,-59.63772,-24.24837,-708.2527559055119,-282.5277755905512
1440,-60.29308,-24.24837,-59.63772,-24.24837,-708.2527559055119,-286.3980708661418
1460,-60.29309,-24.24837,-59.63774,-24.90373,-708.2529330708662,-290.2683070866142
1480,-60.2931,-24.24837,-59.63774,-24.24837,-708.2529921259843,-286.3980708661418
1500,-60.29308,-23.59301,-57.67153,-22.28231,-696.6413976377953,-270.9172440944882
1520,-51.11781,-21.62695,-51.1178,-21.62695,-603.7536023622047,-255.43641732283467
1540,-53.0839,-20.97159,-52.42854,-21.62695,-623.1049606299213,-251.5661811023622
1560,-54.39461,-21.62694,-53.73926,-21.62694,-638.5858464566929,-255.43629921259844
1580,-55.70533,-21.62694,-55.04998,-21.62694,-654.0667913385827,-255.43629921259844
1600,-56.36069,-21.62693,-55.70534,-21.62693,-661.8072637795276,-255.43618110236224
1620,-57.01605,-21.62693,-57.01605,-21.62693,-673.4179133858268,-255.43618110236224
1640,-57.67141,-20.97157,-57.01605,-21.62693,-677.2881496062993,-251.56594488188978
1660,-57.6714,-20.97157,-56.36068,-20.97157,-673.4177952755905,-247.6957086614173
1680,-57.01603,-20.31621,-56.36067,-20.97157,-669.5474409448819,-243.82547244094488
1700,-56.36066,-20.97157,-55.70529,-20.97157,-661.8067913385827,-247.6957086614173
1720,-55.70528,-20.31621,-55.04992,-20.31621,-654.0661417322835,-239.95523622047247
1740,-56.36064,-20.31621,-57.016,-20.31621,-669.5470866141732,-239.95523622047247
1760,-60.29284,-20.97158,-59.63748,-21.62694,-708.2499212598425,-251.566062992126
1780,-60.29284,-20.31621,-59.63747,-20.31621,-708.2498622047244,-239.95523622047247
1800,-60.29283,-20.3162,-59.63747,-20.31621,-708.2498031496064,-239.95517716535434
1820,-60.29283,-20.31621,-59.63748,-20.31621,-708.2498622047244,-239.95523622047247
1840,-60.29284,-20.31621,-59.63748,-20.31622,-708.2499212598425,-239.95529527559054
1860,-60.29285,-19.66085,-59.63748,-19.66086,-708.2499803149607,-232.2148228346457
1880,-60.29284,-19.66086,-59.63748,-20.31622,-708.2499212598425,-236.08511811023624
1900,-60.29284,-20.31622,-59.63748,-20.31621,-708.2499212598425,-239.95529527559054
1920,-60.29283,-19.66085,-59.63748,-20.31622,-708.2498622047244,-236.0850590551181
1940,-60.29284,-19.66086,-59.63748,-20.31622,-708.2499212598425,-236.08511811023624
1960,-60.29284,-20.31622,-59.63754,-20.97158,-708.2502755905512,-243.82559055118108
1980,-60.29297,-20.97159,-59.63762,-21.62695,-708.2515157480315,-251.5661811023622
2000,-60.29297,-20.97158,-59.6376,-20.31622,-708.2513976377953,-243.82559055118108
2020,-60.29297,-20.31622,-59.63761,-20.97159,-708.2514566929134,-243.8256496062992
2040,-60.29296,-20.31622,-59.6376,-20.31622,-708.2513385826771,-239.95535433070867
2060,-60.29296,-20.31622,-59.6376,-20.31622,-708.2513385826771,-239.95535433070867
2080,-60.29296,-20.31621,-59.63761,-20.97158,-708.2513976377953,-243.825531496063
2100,-60.29295,-20.31621,-59.6375,-20.31622,-708.2506889763779,-239.95529527559054
2120,-60.2928,-19.66086,-59.63744,-19.66085,-708.2494488188977,-232.2148228346457
2140,-60.29281,-19.00549,-59.63744,-19.00549,-708.2495078740158,-224.4742913385827
2160,-60.2928,-19.00549,-59.63744,-19.00549,-708.2494488188977,-224.4742913385827
2180,-60.29279,-19.00549,-59.63743,-19.66085,-708.2493307086614,-228.34452755905517
2200,-60.29279,-19.00549,-59.63743,-19.00549,-708.2493307086614,-224.4742913385827
2220,-60.29278,-19.00549,-59.63742,-19.0055,-708.2492125984252,-224.47435039370083
2240,-60.29278,-19.00549,-59.63742,-19.00549,-708.2492125984252,-224.4742913385827
2260,-60.29278,-19.00549,-59.63742,-19.66085,-708.2492125984252,-228.34452755905517
2280,-60.29278,-19.00548,-59.63742,-19.00549,-708.2492125984252,-224.47423228346457
2300,-60.29278,-19.00548,-59.63739,-19.00549,-708.249035433071,-224.47423228346457
2320,-53.08365,-17.69478,-46.52993,-17.03943,-588.2691732283465,-205.12328740157483
2340,-49.15138,-16.38406,-49.80676,-16.38406,-584.3984645669292,-193.5125196850394
2360,-50.46211,-15.72869,-50.46211,-15.7287,-596.0091732283465,-185.7719881889764
2380,-51.11747,-15.72869,-51.11747,-16.38405,-603.7496456692913,-189.64216535433073
2400,-51.77283,-16.38405,-51.77283,-16.38405,-611.4901181102363,-193.51240157480314
2420,-52.42819,-16.38405,-51.77283,-17.03941,-615.3603543307087,-197.3826377952756
2440,-53.08355,-17.03941,-52.42819,-17.03941,-623.1008267716536,-201.25287401574803
2460,-53.08355,-16.38405,-53.08355,-17.03941,-626.971062992126,-197.3826377952756
2480,-53.73892,-17.69477,-53.73891,-17.69477,-634.711594488189,-208.9933464566929
2500,-54.39428,-17.69477,-54.39428,-17.69477,-642.452125984252,-208.9933464566929
2520,-53.73892,-17.69477,-53.73892,-17.69477,-634.7116535433071,-208.9933464566929
2540,-53.73893,-17.69477,-53.08358,-17.69478,-630.841594488189,-208.99340551181103
2560,-53.73894,-17.69478,-53.08358,-18.35014,-630.8416535433071,-212.86370078740157
2580,-53.73894,-17.69478,-53.08358,-17.69478,-630.8416535433071,-208.99346456692916
2600,-53.73894,-17.69478,-55.04967,-18.35014,-642.4524212598426,-212.86370078740157
2620,-57.67113,-18.35014,-57.01576,-18.35014,-677.284783464567,-216.733937007874
2640,-57.01576,-17.69478,-57.01576,-17.69477,-673.4144881889764,-208.99340551181103
2660,-57.67112,-17.03941,-56.3604,-17.69478,-673.4144881889764,-205.12316929133857
2680,-57.01575,-17.03941,-56.3604,-17.69478,-669.5441929133858,-205.12316929133857
2700,-57.01575,-17.03941,-56.36039,-17.03942,-669.5441338582677,-201.25293307086613
2720,-56.36039,-17.03942,-56.36039,-17.03941,-665.6738976377953,-201.25293307086613
2740,-57.01575,-17.03941,-56.36038,-17.03941,-669.5440748031497,-201.25287401574803
2760,-56.36039,-16.38405,-55.70503,-17.03941,-661.8036614173229,-197.3826377952756
2780,-48.49598,-15.07333,-39.9762,-14.41798,-522.4735039370079,-174.16127952755906
2800,-38.01007,-13.76262,-37.35471,-13.76261,-445.0675984251968,-162.55057086614173
2820,-38.66544,-13.10725,-37.35471,-13.10725,-448.9378937007874,-154.81003937007875
2840,-38.66543,-11.79652,-59.63695,-12.45189,-580.5258661417323,-143.19927165354332
2860,-38.66543,-11.79652,-38.66543,-11.79652,-456.6783070866142,-139.32897637795276
2880,-39.32078,-11.79652,-38.66542,-11.79651,-460.54842519685036,-139.32891732283466
2900,-39.32078,-11.14115,-38.66542,-11.14116,-460.54842519685036,-131.58844488188976
2920,-39.32078,-11.14115,-38.66542,-11.14116,-460.54842519685036,-131.58844488188976
2940,-39.97614,-10.48579,-38.66542,-11.14115,-464.4186614173228,-127.71814960629922
2960,-39.97614,-11.14115,-39.32078,-11.14115,-468.2888976377953,-131.58838582677166
2980,-39.97615,-10.48578,-39.32078,-9.83042,-468.2889566929134,-119.9775590551181
3000,-39.97614,-9.83042,-39.32078,-9.83042,-468.2888976377953,-116.10732283464567
3020,-39.97614,-9.17505,-39.97614,-9.17505,-472.15913385826775,-108.36673228346457
3040,-40.6315,-8.51969,-39.97614,-8.51969,-476.0293700787402,-100.6262598425197
3060,-40.6315,-8.51968,-39.97614,-7.86432,-476.0293700787402,-96.75590551181102
3080,-41.28686,-7.20894,-40.6315,-7.20895,-483.7698425196851,-85.14501968503937
3100,-41.94222,-7.20894,-41.28687,-7.86431,-491.510374015748,-89.01525590551181
3120,-49.15128,-11.79647,-59.63736,-17.03937,-642.4525984251969,-170.2903937007874
