T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,2.62146,-0.65536,1.31074,-3.8701771653543116,23.221653543307088
40,-1.31071,3.27683,-1.31072,1.31075,-15.480885826771654,27.09200787401575
60,-1.31071,3.93221,-1.96607,2.62148,-19.351062992125986,38.7028937007874
80,-1.96606,4.58759,-2.62143,3.93222,-27.091476377952755,50.313838582677164
100,-2.62142,5.24296,-3.27678,3.93224,-34.83188976377953,54.18425196850394
120,-3.27677,5.89833,-3.27679,5.24296,-38.70212598425197,65.79501968503936
140,-2.62142,7.20906,-1.96608,6.55368,-27.09153543307087,81.27602362204725
160,-1.96607,7.86442,-1.96609,7.20905,-23.221417322834647,89.01655511811025
180,-1.31072,9.17515,-1.31073,7.20906,-15.481003937007873,96.75714566929133
200,-1.96608,9.17515,-13.10734,8.51979,-89.01625984251969,104.49767716535435
220,-28.1808,11.14126,-34.07912,11.14127,-367.67669291338586,131.5897440944882
240,-33.42373,13.76274,-32.76837,13.10737,-390.8982283464567,158.68175196850393
260,-32.76836,15.72883,-32.76836,14.41811,-387.02787401574807,178.0331102362205
280,-32.76835,17.03956,-32.113,15.72883,-383.1575787401575,193.51411417322836
300,-32.11299,17.69492,-32.113,17.03956,-379.287342519685,205.12488188976383
320,-32.76834,19.00565,-32.76836,18.35028,-387.0277559055118,220.60588582677167
340,-32.76835,20.31638,-32.76835,19.66101,-387.0277559055118,236.08694881889764
360,-32.76833,22.28248,-33.4237,21.62711,-390.8978149606299,259.30860236220474
380,-33.42369,24.24857,-33.4237,22.93784,-394.7680511811023,278.65990157480314
400,-34.07905,25.55931,-34.07906,25.5593,-402.5085236220472,301.8815551181102
420,-34.07905,27.5254,-34.73442,26.87003,-406.3787598425197,321.2328543307087
440,-34.07904,28.83614,-34.07905,28.83612,-402.508405511811,340.5842125984252
460,-34.7344,30.14687,-35.38977,29.4915,-414.1191141732284,352.1950984251969
480,-35.38975,30.80224,-35.38976,29.49151,-417.9892322834646,356.06545275590554
500,-35.38975,31.45761,-35.38976,30.14687,-417.9892322834646,363.80598425196854
520,-36.0451,32.11297,-36.04511,30.80224,-425.72958661417323,371.54651574803154
540,-36.04509,32.11297,-36.0451,30.80224,-425.7294685039371,371.54651574803154
560,-36.04509,32.76834,-36.0451,31.4576,-425.7294685039371,379.28704724409454
580,-36.70044,33.4237,-36.70045,31.45761,-433.4698228346457,383.1573425196851
600,-36.70044,33.42371,-36.70044,31.45761,-433.46976377952757,383.1574015748032
620,-36.70043,32.76834,-36.04508,31.45761,-429.599468503937,379.2871062992126
640,-36.70043,32.11298,-36.04508,30.80224,-429.599468503937,371.54657480314967
660,-36.04507,31.45762,-36.04508,30.14688,-425.72923228346457,363.80610236220474
680,-36.04506,31.45761,-36.04507,29.49152,-425.72911417322837,359.93580708661415
700,-36.04505,30.80225,-36.04507,29.49151,-425.72905511811035,356.06551181102367
720,-36.04505,30.80224,-36.04506,28.83615,-425.7289960629922,352.1952165354331
740,-36.04505,30.14688,-36.04505,28.83615,-425.7289370078741,348.3249803149606
760,-33.42359,29.49152,-17.69479,28.18079,-301.8801968503937,340.5845078740158
780,-7.20887,29.49153,-4.58739,28.83615,-69.66295275590552,344.45480314960633
800,-4.58738,30.80225,-3.93204,29.49151,-50.311535433070866,356.06551181102367
