T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,0.65536,-0.65536,0.65536,-7.740472440944823,7.740472440944883
40,-0.65535999999999,0.0,-0.65536,0.65536,-7.740472440944823,3.8702362204724414
60,-1.31073,0.65536,-1.31072,0.65536,-15.481003937007873,7.740472440944883
80,-1.31073,0.65537,-1.31073,0.65537,-15.481062992125985,7.740590551181103
100,-1.31074,0.65537,-1.96609,0.65537,-19.351358267716535,7.740590551181103
120,-1.31074,0.65537,-1.31073,0.65536,-15.481122047244094,7.740531496062992
140,-1.9661,0.0,-1.9661,0.0,-23.221653543307088,0.0
160,-1.96611,0.0,-1.9661,0.0,-23.221712598425196,0.0
180,-2.62147,-0.65536,-2.62147,-0.65536,-30.962244094488188,-7.740472440944883
200,-2.62148,-1.31072,-2.62148,-1.31073,-30.96236220472441,-15.481003937007873
220,-2.62149,-1.96609,-2.62149,-1.9661,-30.962480314960633,-23.221594488188977
240,-2.6215,-1.9661,-2.62149,-1.9661,-30.962539370078744,-23.221653543307088
260,-3.27686,-1.9661,-2.62149,-1.9661,-34.832775590551186,-23.221653543307088
280,-2.62149,-1.9661,-2.62226,-1.9661,-30.967027559055122,-23.221653543307088
300,-2.62149,-1.31074,-2.62148,-1.31074,-30.962421259842518,-15.481181102362205
320,-2.62149,-1.31073,-2.62148,-1.31074,-30.962421259842518,-15.481122047244094
340,-3.9322,-0.65537,-3.27683,-0.65537,-42.573011811023626,-7.740590551181103
360,-3.9322,-1.31073,-3.93219,-0.65537,-46.44324803149607,-11.610826771653544
380,-3.93219,-0.65537,-4.58754,-0.65537,-50.31336614173228,-7.740590551181103
400,-4.58755,-0.65536,-4.58754,-0.65537,-54.18360236220473,-7.740531496062992
420,-3.93218,-0.65537,-4.58753,-1.0000000003174e-05,-50.313248031496066,-3.8703543307086803
440,-5.2429,-1.0000000003174e-05,-3.93216,-1.0000000003174e-05,-54.18342519685039,-0.00011811023625796063
460,7.86444,-1.0000000003174e-05,17.03962,0.65536,147.07122047244096,3.8701771653543116
480,19.6611,0.65538,19.00574,1.31074,228.34748031496065,11.610944881889765
500,18.35038,1.9661,18.3504,1.9661,216.73688976377954,23.221653543307088
520,19.00575,1.96611,18.35041,2.62147,220.6072440944882,27.09200787401575
540,17.69504,2.62148,18.35041,2.62147,212.86683070866144,30.962303149606303
560,17.69505,2.62148,17.69505,2.62147,208.99665354330708,30.962303149606303
580,17.69505,2.62148,17.69506,1.96611,208.9967125984252,27.09206692913386
600,18.35041,1.96611,18.35041,1.96611,216.73712598425197,23.221771653543307
620,19.00575,1.96611,19.00576,1.96611,224.47742125984254,23.221771653543307
640,19.00575,1.31075,19.6611,1.31075,228.34753937007872,15.481299212598426
660,19.66109,0.65538,26.21475,1.31075,270.9203149606299,11.611003937007874
680,41.94364,2.62152,51.11886,3.27689,549.5816929133858,34.83312992125985
700,52.42961,2.62152,51.77424,3.27688,615.3770669291339,34.83307086614173
720,51.77422,3.2769,51.77423,3.93226,611.506594488189,42.573779527559054
740,51.11886,3.93226,51.77423,3.93226,607.6363582677166,46.4440157480315
760,51.77422,3.93226,51.77423,3.93226,611.506594488189,46.4440157480315
780,51.77422,3.93227,51.77423,3.2769,611.506594488189,42.57383858267717
800,51.77422,3.2769,52.42958,3.93226,615.3767716535433,42.573779527559054
820,51.77421,3.93226,51.77422,3.2769,611.5064763779527,42.573779527559054
840,52.42957,3.93226,51.77422,3.27689,615.3767125984252,42.57372047244095
860,47.842,3.27689,45.87589,3.27689,553.4521062992126,38.7034251968504
880,45.87588,3.93225,46.53125,3.93225,545.7113976377952,46.443897637795274
900,46.53124,3.93226,46.53125,3.93226,549.5816338582678,46.4440157480315
920,46.53124,3.93226,46.53124,3.27689,549.5815748031496,42.57372047244095
940,46.53124,3.2769,46.53124,3.27689,549.5815748031496,38.703484251968504
960,46.53123,3.2769,46.53124,2.62153,549.5815157480315,34.83324803149607
980,46.53123,2.62153,46.53124,2.62153,549.5815157480315,30.962952755905512
1000,46.53123,2.62153,48.49734,2.62154,561.1923425196851,30.963011811023623
1020,58.98328,3.9323,66.19238,4.58769,739.2263385826772,50.31490157480315
1040,68.1585,4.5877,68.1585,5.89842,805.0216535433071,61.925905511811024
1060,68.15849,5.89842,68.1585,5.89843,805.0215944881891,69.66643700787401
1080,68.15849,6.55379,67.50314,6.55379,801.1513582677165,77.40696850393701
1100,67.50313,6.5538,67.50314,6.5538,797.2811220472441,77.40708661417322
1120,67.50313,6.5538,67.50314,6.5538,797.2811220472441,77.40708661417322
1140,67.50313,6.5538,67.50314,5.89843,797.2811220472441,73.53679133858267
1160,67.50313,5.89843,66.84778,5.89843,793.4108858267716,69.66649606299214
1180,66.84777,5.89843,66.19241,5.89843,785.6703543307086,69.66649606299214
1200,66.84777,5.89843,66.84778,5.89843,789.5406496062992,69.66649606299214
1220,70.77998,5.24308,78.64445,5.89846,882.4277362204725,65.79649606299213
1240,82.57668,5.24309,82.57671,5.24309,975.3152952755906,61.926259842519684
1260,81.92133,5.89846,81.92134,5.89846,967.5748228346457,69.66685039370078
1280,81.92133,5.89846,81.92134,5.89846,967.5748228346457,69.66685039370078
1300,81.26597,5.89846,81.26598,5.89846,959.8343503937008,69.66685039370078
1320,81.26597,5.89847,81.26598,5.89846,959.8343503937008,69.6669094488189
1340,81.92132,5.89846,82.57668,5.89846,971.4448818897638,69.66685039370078
1360,82.57666,5.89846,82.57667,5.89846,975.3149409448819,69.66685039370078
1380,83.23201,5.89846,83.88738,5.89846,986.9255314960631,69.66685039370078
1400,83.88737,6.55382,83.88737,6.55382,990.7957086614174,77.40732283464567
1420,83.88736,6.55382,83.88737,6.55382,990.7956496062993,77.40732283464567
1440,83.88736,6.55382,83.88736,6.55382,990.7955905511811,77.40732283464567
1460,85.85345,6.55382,97.65019,6.55385,1083.6829133858269,77.4075
1480,108.13613,7.86459,108.79153,8.51996,1281.0688582677167,96.75915354330708
1500,107.48079,9.17534,107.4808,10.48607,1269.4582086614173,116.11068897637796
1520,107.4808,10.48608,107.4808,11.7968,1269.4582677165356,131.59181102362206
1540,107.4808,12.45217,107.48081,13.10754,1269.4583267716537,150.9431692913386
1560,107.48081,13.10756,107.48082,13.76292,1269.4584448818898,158.68393700787402
1580,106.82545,13.76293,106.82545,13.76292,1261.717913385827,162.55423228346456
1600,106.17009,14.41829,106.82546,14.41829,1257.8477362204726,170.29476377952759
1620,106.17009,15.07365,106.1701,15.07365,1253.9775,178.03523622047246
1640,105.51473,15.07366,105.51474,15.72902,1246.2370275590552,181.9055905511811
1660,106.1701,16.3844,108.13622,17.03977,1265.588503937008,197.38683070866145
1680,108.13623,17.69515,108.13624,18.35051,1277.199625984252,212.86807086614172
1700,106.82551,19.00588,106.82552,19.66124,1261.718681102362,228.3491338582677
1720,106.82551,19.66124,104.85943,19.00587,1250.1079133858268,228.34907480314962
1740,85.19825,15.07365,45.22058,9.17533,770.189940944882,143.20263779527562
1760,6.55369,4.58775,-18.35022,3.27702,-69.66454724409449,46.44549212598425
1780,-17.03942,5.24313,-15.72864,5.89851,-193.5121653543307,65.79708661417322
1800,-16.38401,6.55387,-16.38401,6.55386,-193.51192913385827,77.40785433070866
1820,-15.72865,6.55386,-15.72863,7.20922,-185.77133858267717,81.278031496063
1840,-15.72863,7.20923,-15.72862,7.86459,-185.77116141732284,89.0186220472441
1860,-15.72862,7.20923,-15.07325,7.20922,-181.90080708661418,85.14832677165354
1880,-15.07326,7.20922,-15.07325,7.20923,-178.03057086614174,85.14832677165354
1900,-15.07325,6.55386,-15.07324,6.55385,-178.03045275590551,77.40773622047244
1920,-15.07326,6.55385,-15.07324,5.89848,-178.03051181102362,73.53738188976378
1940,-15.07325,5.89848,-15.07324,5.89847,-178.03045275590551,69.66702755905513
1960,-14.41789,5.24311,-14.41789,4.58774,-170.29003937007874,58.05620078740158
1980,-14.41789,4.58774,-14.41788,3.93237,-170.28998031496064,50.31561023622048
2000,-14.41789,3.277,-14.41788,3.27699,-170.28998031496064,38.704665354330714
2020,-13.76253,2.62163,-1.31058,2.62163,-89.01442913385827,30.96413385826772
2040,9.83071,2.62165,13.10757,2.62164,135.46228346456692,30.96431102362205
2060,12.4522,3.27701,11.79685,3.277,143.20305118110235,38.70478346456693
2080,11.79684,3.277,12.45221,2.62163,143.20305118110235,34.83442913385827
2100,11.79684,2.62163,11.79685,1.96627,139.33281496062992,27.09389763779528
2120,11.79684,2.62163,12.45221,1.96626,143.20305118110235,27.093838582677165
2140,12.4522,1.96625,11.79685,1.31089,143.20305118110235,19.353188976377954
2160,12.45219,1.31089,13.10755,0.65552,150.94334645669292,11.612657480314962
2180,13.10754,0.65551,14.41826,0.0001400000000018,162.55393700787403,3.871948818897649
2200,14.41824,0.0001499999999978,15.0736,-0.65523,174.16440944881893,-3.8685826771653677
2220,15.07359,-0.65523,15.72895,-0.65523,181.90476377952757,-7.738937007874016
2240,15.72893,-1.3106,15.72894,-0.65525,185.77482283464568,-11.609350393700788
2260,17.69501,-1.96597,31.45777,-0.65522,290.27232283464565,-15.479468503937008
2280,40.63297,-0.6552,43.90984,-1.31057,499.268562992126,-11.608877952755906
2300,42.5991,-1.31057,41.94374,-0.65522,499.2687401574803,-11.608996062992126
2320,42.59909,-0.65521,43.25446,-0.65522,507.0091535433071,-7.738759842519685
2340,42.59908,-0.65522,43.25445,-0.65522,507.0090354330709,-7.738818897637795
2360,43.25443,-1.31059,43.25443,-1.3106,510.87909448818897,-15.479468503937008
2380,43.25442,-1.96596,43.25443,-1.31061,510.87903543307084,-19.34982283464567
2400,43.25442,-1.96597,43.25443,-1.96597,510.87903543307084,-23.22011811023622
2420,43.25441,-1.96598,43.90978,-2.62134,514.7491535433071,-27.090472440944882
2440,43.90977,-2.62134,43.90977,-2.62134,518.6193307086614,-30.960708661417325
2460,43.90977,-2.62134,44.56513,-2.62134,522.489566929134,-30.960708661417325
2480,44.56512,-2.62135,45.22049,-2.62135,530.2299803149607,-30.960826771653544
2500,54.39567,-2.62133,58.98329,-1.96597,669.5607874015749,-27.09035433070866
2520,59.63865,-2.62133,58.98328,-2.62134,700.5232086614174,-30.960649606299217
2540,58.98327,-2.62134,58.98328,-1.96598,696.6528543307087,-27.090472440944882
2560,58.98327,-2.62134,59.63864,-2.62135,700.5230905511811,-30.960767716535432
2580,58.98327,-1.96598,59.63864,-1.96599,700.5230905511811,-23.22029527559055
2600,58.98327,-2.62135,58.98328,-2.62135,696.6528543307087,-30.960826771653544
2620,58.98327,-1.96599,58.98328,-2.62135,696.6528543307087,-27.090590551181105
2640,59.63863,-1.96599,58.98328,-2.62135,700.5230905511811,-27.090590551181105
2660,58.98327,-1.96599,59.63864,-1.96599,700.5230905511811,-23.220354330708663
2680,59.63864,-1.96599,59.63864,-1.31062,704.3933858267717,-19.35005905511811
2700,59.63864,-1.96599,58.98329,-1.31063,700.5232086614174,-19.35011811023622
2720,59.63864,-1.96599,59.63865,-1.966,704.3934448818898,-23.22041338582677
2740,61.60475,-1.966,73.40138,-1.31062,797.2802952755907,-19.35011811023622
2760,88.47493,-0.65523,96.99483,0.0001400000000018,1095.2938582677166,-3.868641732283454
2780,98.30561,0.0001499999999978,97.65024,1.31087,1157.2195866141733,7.742244094488177
2800,97.65023,1.31088,97.65024,1.96624,1153.3492322834645,19.35307086614173
2820,97.65024,1.96624,97.65025,1.96624,1153.349350393701,23.223307086614174
2840,97.65023,2.6216,96.99488,1.96624,1149.478996062992,27.093543307086616
2860,96.99487,1.96625,96.99489,2.62161,1145.6088188976378,27.093661417322835
2880,96.33952,1.96625,96.33953,2.6216,1137.868405511811,27.093602362204727
2900,96.33952,2.62161,96.33953,2.62161,1137.868405511811,30.963897637795277
2920,96.33953,2.62161,95.68418,3.27697,1133.9982874015748,34.83413385826772
2940,95.68417,3.27697,96.33954,3.27697,1133.9982874015748,38.704370078740155
2960,96.33954,3.27697,97.6503,3.93234,1145.6092913385826,42.57466535433071
2980,97.65031,4.58771,97.65031,4.58771,1153.3501181102363,54.18555118110237
3000,98.30566,4.58772,98.30566,4.58772,1161.090472440945,54.185669291338584
3020,98.96101,3.93236,98.96101,4.58772,1168.8308267716536,50.31543307086614
3040,99.61635,4.58772,99.61636,4.58772,1176.5711220472442,54.185669291338584
3060,99.61634,4.58772,99.61635,4.58771,1176.5710039370078,54.18561023622048
3080,99.61634,4.58771,101.58244,4.58771,1188.1817716535434,54.18555118110237
3100,106.17004,4.58773,108.79153,4.58774,1269.4580905511812,54.18584645669292
3120,110.10227,5.2431,109.44691,5.2431,1296.5502755905513,61.92637795275591
3140,109.4469,5.24311,109.4469,5.89846,1292.6799212598426,65.79667322834646
3160,109.4469,5.2431,109.4469,5.89846,1292.6799212598426,65.79661417322835
3180,109.44689,5.2431,109.44689,5.2431,1292.6798031496062,61.92637795275591
3200,109.44689,5.24309,110.10225,5.24309,1296.5500393700788,61.926259842519684
3220,110.10224,5.24309,110.10225,5.24309,1300.4202165354332,61.926259842519684
3240,110.10224,5.89845,110.10224,5.24308,1300.4201574803149,65.79643700787402
3260,110.10224,5.24308,110.7576,5.24308,1304.2903937007875,61.92614173228347
3280,110.10223,5.24307,95.0287,1.96623,1211.40312992126,42.5746062992126
3300,60.94934,-1.31064,24.90392,-7.20895,507.0074409448819,-50.312539370078746
3320,-2.62159,-10.48579,-12.45205,-9.83043,-89.01755905511811,-119.97767716535434
3340,-9.83055,-9.17505,-9.17516,-7.86432,-112.23844488188978,-100.62620078740159
3360,-9.17517,-7.20896,-8.5198,-7.20897,-104.49785433070865,-85.14525590551182
3380,-7.86444,-7.20896,-7.20906,-6.55361,-89.01673228346456,-81.27501968503937
3400,-7.20907,-6.5536,-7.20906,-6.5536,-85.14643700787401,-77.40472440944882
3420,-7.20907,-6.55361,-7.20906,-6.55361,-85.14643700787401,-77.40484251968505
3440,-6.55116,-6.55361,-7.20906,-6.55362,-81.26114173228346,-77.40490157480315
3460,-6.5537,-6.55361,-5.89833,-5.89825,-73.53561023622048,-73.5346062992126
3480,1.31072,-3.27676,5.24298,-0.65527,38.702952755905514,-23.220649606299215
3500,4.58762,-0.65526,5.24298,9.9999999996214e-05,58.05472440944882,-3.869055118110258
3520,4.58762,0.0001099999999993,4.58763,9.9999999996214e-05,54.18454724409449,0.0012401574802877954
3540,5.24299,9.9999999996214e-05,5.243,9.9999999996214e-05,61.925137795275596,0.0011811023621600078
3560,5.24299,9.9999999996214e-05,5.243,9.0000000000146e-05,61.925137795275596,0.001122047244072992
3580,5.243,9.0000000000146e-05,5.24301,-0.65528,61.92525590551181,-3.869232283464566
3600,5.243,-0.65528,5.243,-1.31065,61.925196850393704,-11.60982283464567
3620,5.243,-1.31065,7.86446,-1.31066,77.40625984251969,-15.48017716535433
3640,17.03963,-1.31064,19.66114,-0.65527,216.73683070866142,-11.609704724409449
3660,20.3165,-0.65527,20.31651,-0.65528,239.95872047244094,-7.739468503937009
3680,19.66115,-0.65528,20.31652,-0.65528,236.08860236220474,-7.739527559055118
3700,19.66115,-0.65528,19.66116,-0.65529,232.2183661417323,-7.739586614173229
3720,19.66115,-1.31064,19.66116,-0.65529,232.2183661417323,-11.60982283464567
3740,19.66115,-1.31065,20.31651,-1.31065,236.0885433070866,-15.480118110236223
3760,20.3165,-1.96601,20.97186,-1.96602,243.82889763779528,-23.220649606299215
3780,20.97185,-1.96602,28.83624,-2.62138,294.1422637795276,-27.09094488188976
3800,44.56512,-1.31063,53.08495,-0.65526,576.6736417322835,-11.609586614173228
3820,53.74032,0.0001099999999993,53.08495,0.65548,630.8578937007875,3.871594488188972
3840,53.08494,1.31085,53.08495,2.62158,626.9875393700788,23.223011811023625
3860,53.08495,3.27695,53.08495,3.93232,626.9875984251969,42.57442913385827
3880,53.08495,5.24306,52.4296,5.24306,623.1174212598426,61.925905511811024
3900,53.08495,5.24306,53.08496,5.24307,626.987657480315,61.92596456692913
3920,53.08495,5.89843,53.08495,5.89843,626.9875984251969,69.66649606299214
3940,53.74031,5.89844,53.08496,5.89844,630.8578937007875,69.66661417322835
3960,53.74031,6.5538,53.74032,6.5538,634.7281299212599,77.40708661417322
3980,54.39567,6.5538,53.74031,5.89843,638.5983070866142,73.53679133858267
4000,54.39567,5.89843,55.7064,5.89843,650.2090748031496,69.66649606299214
4020,68.15841,5.89845,76.67826,6.55383,855.3346653543307,73.53708661417323
4040,79.95512,6.55382,79.29974,6.55382,940.4814566929134,77.40732283464567
4060,78.64437,6.55381,79.29974,6.55381,932.7408070866142,77.40720472440945
4080,79.29973,6.55381,79.29973,6.5538,936.6109842519685,77.40714566929135
4100,79.95508,6.5538,79.29973,5.89844,940.4811614173228,73.53685039370079
4120,79.29972,6.5538,79.29973,5.89843,936.6109251968504,73.53679133858267
4140,79.29973,5.89843,79.95509,6.55378,940.4812204724409,73.53667322834646
4160,79.29973,5.89842,79.95509,5.24305,940.4812204724409,65.79608267716536
4180,79.95509,5.24305,79.95509,5.24305,944.3514566929134,61.92578740157481
4200,79.95509,5.24304,79.95509,4.58768,944.3514566929134,58.05543307086614
4220,79.95509,5.24304,79.95764,4.58767,944.3665157480316,58.05537401574803
4240,79.95509,4.58767,89.13027,4.58769,998.535590551181,54.18519685039371
4260,102.23777,5.89845,108.79152,5.24309,1246.2359645669292,65.79649606299213
4280,108.79152,5.24309,108.79152,5.89845,1284.9392125984252,65.79649606299213
4300,108.13615,6.55382,108.79153,6.55382,1281.0689763779528,77.40732283464567
4320,108.13616,7.20919,108.79153,7.20919,1281.069035433071,85.14791338582678
4340,108.13616,7.20919,108.13618,7.86455,1277.1988582677166,89.01814960629922
4360,108.79153,7.86455,108.79154,7.86455,1284.9393897637794,92.88838582677167
4380,108.79153,7.86455,108.13618,7.86455,1281.069153543307,92.88838582677167
4400,108.79153,7.20918,108.79154,7.20917,1284.9393897637794,85.14773622047244
4420,108.79153,7.20917,108.79154,6.5538,1284.9393897637794,81.27738188976377
4440,112.72374,5.89845,115.34524,6.55381,1346.8640551181104,73.53696850393702
4460,114.68987,5.89845,114.68988,6.55381,1354.6048228346458,73.53696850393702
4480,115.34523,6.55381,115.34524,6.5538,1362.3452952755906,77.40714566929135
4500,115.34523,6.5538,116.00059,6.5538,1366.215472440945,77.40708661417322
4520,116.00057,5.89843,116.65593,6.55379,1373.9557086614172,73.53673228346457
4540,115.34519,5.24305,95.68404,1.31083,1246.2356102362205,38.7040157480315
4560,57.01708,-3.27678,21.62703,-6.55361,464.43372047244094,-58.053484251968506
4580,2.62135,-9.17509,3.93216,-8.51972,38.70183070866142,-104.4969094488189
4600,6.55363,-7.86435,6.55364,-7.20899,77.40513779527559,-89.01578740157481
4620,6.55362,-7.209,7.209,-7.209,81.27531496062991,-85.14566929133858
4640,7.86435,-7.209,7.86436,-6.55364,92.88608267716535,-81.27543307086614
4660,7.86436,-6.55363,7.86436,-6.55364,92.88614173228346,-77.40513779527559
4680,7.86435,-6.55364,7.86436,-5.89828,92.88608267716535,-73.53496062992126
4700,8.5197,-5.89829,8.51971,-5.89829,100.62643700787402,-69.66484251968504
4720,8.5197,-6.55366,8.51971,-5.8983,100.62643700787402,-73.5351968503937
4740,8.5197,-5.89831,8.5197,-6.55367,100.62637795275592,-73.53531496062993
4760,8.51969,-6.55367,8.5197,-6.55368,100.6263188976378,-77.40561023622048
4780,8.51969,-6.55368,8.51969,-7.20905,100.6262598425197,-81.27596456692915
4800,8.51968,-7.20905,11.14115,-7.20905,116.10726377952757,-85.1462598425197
4820,18.35019,-7.86441,21.62706,-7.20905,236.0861220472441,-89.01649606299213
4840,23.59315,-7.8644,22.93781,-7.20904,274.78913385826775,-89.0163779527559
4860,22.9378,-7.20904,22.9378,-7.20904,270.9188976377953,-85.14614173228347
4880,22.9378,-7.8644,22.93781,-7.86441,270.9189566929134,-92.88667322834645
4900,22.9378,-7.86441,22.93781,-7.86441,270.9189566929134,-92.88673228346457
4920,22.93781,-8.51977,22.93782,-8.51978,270.9190748031496,-100.62726377952755
4940,23.59317,-9.17514,34.07908,-9.17513,340.5841535433071,-108.36773622047244
4960,46.53112,-9.17513,53.08486,-8.51975,588.2833464566929,-104.49732283464566
4980,52.42947,-7.8644,52.42947,-7.8644,619.2457086614173,-92.88661417322835
5000,53.08482,-7.20904,53.08484,-7.20904,626.9861811023621,-85.14614173228347
5020,53.74019,-6.55368,54.39555,-6.55369,638.5968897637796,-77.4057283464567
5040,55.05091,-5.89833,55.70627,-5.89834,654.0778346456693,-69.66537401574803
5060,56.36162,-5.89835,57.01699,-5.24299,669.5587204724409,-65.79531496062992
5080,57.01697,-5.243,-41.94238,-5.24301,89.02316929133859,-61.92525590551181
5100,57.67233,-5.24302,58.32769,-5.24303,685.0394881889764,-61.92549212598425
5120,58.98304,-5.24303,58.98305,-5.24304,696.6501377952756,-61.92561023622047
5140,58.98303,-5.8984,58.98304,-5.24305,696.6500196850394,-65.79596456692914
5160,59.63839,-5.89841,59.6384,-5.89841,704.3904921259843,-69.6662598425197
5180,60.29375,-5.89843,60.29375,-5.89843,712.1309055118111,-69.66649606299214
5200,65.53668,-5.89843,80.6102,-4.58767,863.072125984252,-61.92578740157481
5220,90.44078,-3.93229,93.71766,-3.93229,1087.5498425196852,-46.44437007874016
5240,93.06227,-3.27694,92.40691,-3.27693,1095.2904330708661,-38.70395669291339
5260,93.06227,-3.27694,93.06227,-3.27694,1099.1606692913385,-38.7040157480315
5280,92.4069,-3.27695,92.40691,-3.27695,1091.4201377952757,-38.70413385826772
5300,92.4069,-3.27695,93.06226,-3.27696,1095.29031496063,-38.70419291338583
5320,93.71761,-3.27696,93.7176,-3.27696,1106.900846456693,-38.70425196850394
5340,94.37295,-3.93233,95.0283,-3.27697,1118.511318897638,-42.5746062992126
5360,94.37293,-3.27697,95.0283,-3.27697,1118.5112007874015,-38.704370078740155
5380,95.68364,-3.27697,95.68365,-3.27698,1130.1217913385826,-38.70442913385827
5400,95.68363,-3.27698,95.68363,-3.27698,1130.1216141732284,-38.70448818897638
5420,95.68362,-3.27698,95.68363,-3.27699,1130.1215551181103,-38.704547244094485
5440,95.68362,-3.27698,95.68363,-2.62163,1130.1215551181103,-34.83431102362205
5460,95.68362,-3.27699,98.3051,-3.27698,1145.6026771653544,-38.704547244094485
5480,105.5142,-3.27698,110.7572,-3.27696,1277.1933070866141,-38.704370078740155
5500,112.72332,-3.27696,112.06796,-2.62159,1327.5075590551182,-34.83395669291339
5520,112.06795,-2.62159,112.06796,-2.62159,1323.6372637795275,-30.963661417322832
5540,112.06795,-1.96622,111.41259,-1.96623,1319.766968503937,-23.22312992125984
5560,112.06794,-1.96623,112.06794,-1.96624,1323.637086614173,-23.223248031496063
5580,112.06794,-1.96623,112.7233,-2.6216,1327.5073228346457,-27.093484251968505
5600,112.72329,-2.6216,112.7233,-2.6216,1331.3775,-30.963779527559055
5620,112.06793,-2.62161,114.6894,-2.62161,1339.118090551181,-30.963897637795277
5640,120.58775,-1.96622,126.4861,-1.9662,1459.0975393700787,-23.222952755905514
5660,131.72904,-0.65546,131.72906,-0.65546,1555.8549212598425,-7.741653543307088
5680,131.07368,-0.65546,131.07368,-0.65546,1548.1143307086613,-7.741653543307088
5700,131.07368,-0.65547,130.41833,-0.65548,1544.244153543307,-7.741830708661418
5720,131.07368,-0.65548,130.41833,-0.65548,1544.244153543307,-7.741889763779527
5740,130.41832,-1.31084,131.07369,-0.65548,1544.244153543307,-11.61212598425197
5760,130.41832,-0.65548,130.41833,-1.31084,1540.3739173228344,-11.61212598425197
5780,130.41832,-1.31084,130.41832,-1.31085,1540.3738582677165,-15.482421259842521
5800,129.10759,-1.31085,129.76296,-1.96621,1528.763090551181,-19.35271653543307
