T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65539,1.9661,-0.65537,1.31074,-7.740708661417324,19.351417322834646
40,4.58754,3.9322,11.1413,1.96611,92.88685039370078,34.83253937007874
60,13.10741,3.27684,13.10742,2.62148,154.8119881889764,34.83259842519685
80,13.76273,5.89831,13.76275,5.89831,162.5520472440945,69.66507874015748
100,14.41808,7.20905,14.4181,6.55368,170.29240157480314,81.27596456692915
120,14.41808,7.86441,14.4181,6.55368,170.29240157480314,85.14620078740157
140,14.41807,8.51978,14.41809,7.86441,170.29228346456694,96.75702755905512
160,15.07342,9.17514,14.41808,7.86441,174.16240157480314,100.62726377952757
180,15.07342,9.8305,14.41808,8.51977,174.16240157480314,108.36773622047244
200,15.07342,10.48586,15.07344,8.51977,178.0326377952756,112.23797244094489
220,15.07342,9.8305,14.41808,9.17513,174.16240157480314,112.23797244094489
240,14.41805,10.48586,14.41807,9.17513,170.2920472440945,116.10820866141734
260,14.41804,9.8305,15.07342,8.51977,174.1621653543307,108.36773622047244
280,14.41803,9.17514,14.41804,7.86441,170.29175196850395,100.62726377952757
300,14.41801,8.51978,13.1073,5.89832,162.55104330708662,85.1462598425197
320,12.45191,5.89832,12.45193,5.24295,147.06992125984252,65.79490157480315
340,12.4519,7.20905,12.45192,6.55368,147.06980314960632,81.27596456692915
360,12.45189,7.86442,12.45192,6.55368,147.0697440944882,85.14625984251967
380,12.45189,7.86442,12.45192,6.55368,147.0697440944882,85.14625984251967
400,13.10726,7.86441,13.10729,7.20904,154.8103346456693,89.01643700787403
420,13.10726,9.17514,13.10729,7.86441,154.8103346456693,100.62726377952757
440,13.10727,9.17514,13.1073,7.8644,154.81045275590552,100.62720472440947
460,13.76264,9.8305,14.41802,8.51977,166.42122047244095,108.36773622047244
480,13.76264,9.8305,13.76267,8.51977,162.55104330708662,108.36773622047244
500,13.76264,9.8305,14.41803,7.8644,166.42127952755905,104.4974409448819
520,11.79654,7.8644,1.31071,7.20905,77.40501968503938,89.01643700787403
540,-2.62153,8.51979,-1.31078,8.51978,-23.2223031496063,100.6273818897638
560,-8.0000000004077e-05,10.48588,-0.65543,9.17514,-3.8711220472441186,116.10838582677167
580,-1.31081,10.48588,-0.65543,9.17514,-11.611653543307087,116.10838582677167
600,-0.65546,10.48588,-0.65544,9.83051,-7.741535433070867,119.9786811023622
620,-0.65545,10.48588,-1.31079,9.83051,-11.611653543307087,119.9786811023622
640,-1.31081,10.48588,-1.3108,9.83051,-15.481948818897639,119.9786811023622
660,-1.96619,11.7966,-2.62153,10.48588,-27.092834645669292,131.58944881889764
680,-2.62156,11.79661,-2.62154,10.48589,-30.963188976377953,131.58956692913387
700,-3.27693,12.45199,-3.27692,11.14126,-38.70383858267717,139.3302165354331
720,-3.27693,13.10736,-3.93228,11.79663,-42.57407480314961,147.07080708661417
740,-3.9323,13.76272,-3.93228,13.10736,-46.44437007874016,158.68157480314963
760,-5.24303,13.76274,-11.14129,11.14128,-96.75779527559055,147.0709842519685
780,-11.14134,13.10737,-10.48595,12.45201,-127.72021653543307,150.94122047244096
800,-10.48598,14.41811,-10.48597,13.10737,-123.85009842519685,162.5520472440945
820,-10.486,15.07347,-11.14134,13.10738,-127.72051181102363,166.42234251968503
840,-11.14136,14.41812,-11.14134,12.45202,-131.59074803149605,158.68192913385826
860,-11.14137,13.76275,-11.14135,11.14129,-131.5908661417323,147.07110236220473
880,-7.86454,12.45201,13.10722,10.4859,30.960708661417325,135.46009842519683
900,21.62709,9.17517,21.62715,8.5198,255.43842519685043,104.49785433070865
920,20.97172,11.14127,21.62711,10.48591,251.5678937007874,127.71956692913386
940,20.97173,12.452,20.97175,11.14127,247.69771653543307,139.3303346456693
960,20.97172,12.452,21.62711,11.79663,251.5678937007874,143.20057086614173
980,20.97173,13.10736,20.97175,11.79663,247.69771653543307,147.07080708661417
1000,20.97172,13.10736,20.97174,11.79662,247.69759842519687,147.07074803149607
1020,20.97171,13.10736,20.31638,11.79662,243.82730314960628,147.07074803149607
1040,19.661,12.45199,19.66101,11.79662,232.21659448818903,143.2004527559055
1060,19.00563,12.45199,19.00565,11.14126,224.47606299212597,139.3302165354331
1080,19.66098,12.45199,19.661,11.14126,232.21641732283467,139.3302165354331
1100,19.66097,13.10735,19.661,11.14125,232.21635826771654,143.2003937007874
1120,19.00561,11.79662,19.00564,11.14125,224.47588582677164,135.4598622047244
1140,19.66098,12.45199,19.661,11.14125,232.21641732283467,139.33015748031497
1160,19.66098,11.79662,22.28251,10.48589,247.69777559055117,131.58962598425197
1180,26.87013,11.79663,27.52557,9.83053,321.23444881889765,127.71944881889765
1200,27.52554,11.79664,27.52556,10.4859,325.1049212598425,131.5898031496063
1220,27.52554,11.79663,27.52556,10.4859,325.1049212598425,131.5897440944882
1240,27.52553,12.45199,27.52556,11.14126,325.10486220472444,139.3302165354331
1260,27.52553,12.452,27.52556,11.14126,325.10486220472444,139.3302755905512
1280,27.52553,12.45199,27.52555,11.14126,325.1048031496063,139.3302165354331
1300,27.52552,12.45199,27.52555,11.14126,325.10474409448824,139.3302165354331
1320,27.52553,13.10736,27.52555,10.4859,325.1048031496063,139.3302755905512
1340,27.52553,11.79663,28.83638,10.4859,332.84592519685043,131.5897440944882
1360,33.42409,12.45201,38.01172,9.83055,421.8650196850394,131.58992125984253
1380,36.70096,11.79665,36.70096,11.14129,433.47590551181105,135.4602755905512
1400,36.70093,13.10738,36.04559,11.79665,429.6054330708662,147.0710433070866
1420,36.04556,13.10738,36.70095,11.79665,429.60537401574805,147.0710433070866
1440,36.70092,13.76275,36.70094,12.45201,433.4755511811024,154.8115748031496
1460,36.70091,13.10738,36.70094,11.79664,433.47549212598426,147.0709842519685
1480,37.35627,11.79665,51.11897,10.48591,522.4915748031497,131.58992125984253
1500,67.50311,9.17517,69.46923,8.5198,808.8917716535434,104.49785433070865
1520,66.84772,10.48591,67.5031,9.83055,793.4103543307086,119.97909448818898
1540,68.15844,11.14128,68.81382,10.48591,808.8912992125985,127.71962598425196
1560,68.15844,11.79664,67.5031,10.48591,801.1508267716536,131.58986220472443
1580,68.15843,11.79664,68.15846,11.14127,805.0210039370079,135.46009842519683
1600,68.15844,12.452,68.81383,11.14127,808.8913582677164,139.3303346456693
1620,68.8138,12.452,68.15846,11.79662,808.8912992125985,143.20051181102363
1640,68.15844,13.10736,68.15846,11.14126,805.0210629921261,143.20051181102363
1660,68.15844,13.10736,68.15847,11.79662,805.0211220472441,147.07074803149607
1680,67.50308,12.452,67.50311,11.79662,797.2806496062992,143.20051181102363
1700,67.50309,12.452,67.50311,11.14126,797.2807086614174,139.3302755905512
1720,66.84773,12.45199,66.84775,11.14126,789.5402362204725,139.3302165354331
1740,66.84773,12.45199,66.84776,11.14126,789.5402952755907,139.3302165354331
1760,66.19237,11.79663,67.50312,10.48589,789.5402952755907,131.5896850393701
1780,66.84774,11.14126,68.15849,9.17516,797.2808858267717,119.97885826771655
1800,81.92118,11.14126,96.33937,11.14126,1052.7197834645672,131.5896850393701
1820,98.30551,11.14127,96.33941,9.83055,1149.477874015748,123.84933070866143
1840,96.33937,12.45201,96.99476,11.14127,1141.7369881889763,139.3303937007874
1860,96.99473,11.79664,97.65011,11.14127,1149.477401574803,135.46009842519683
1880,96.99473,12.45199,96.99475,9.83053,1145.6071653543306,131.5896850393701
1900,96.99472,9.83054,97.65011,7.86443,1149.4773425196852,104.49785433070865
1920,97.65009,9.17517,98.30547,7.86443,1157.217874015748,100.62755905511811
1940,98.30545,8.5198,98.30546,7.20907,1161.0880511811024,92.88702755905513
1960,98.30544,7.86444,98.30546,5.89834,1161.087992125984,81.27625984251968
1980,99.61616,7.20908,98.30545,4.58762,1168.828405511811,69.66555118110237
2000,77.33371,0.65544,28.18138,-6.55356,623.1206102362205,-34.831417322834646
2020,13.1077,-8.51966,-3.27659,-7.86431,58.05773622047245,-96.75572834645668
2040,-13.76251,-5.24284,-12.45176,-4.58749,-154.80868110236221,-58.053129921259846
2060,-9.83034,-1.31066,-9.17499,-1.31067,-112.23620078740159,-15.480295275590551
2080,-8.51967,5.9999999997729e-05,-7.8643,5.000000000166e-05,-96.75572834645668,0.0006496062992089901
2100,-7.86434,2.62151,-7.86433,1.96613,-92.88584645669292,27.092362204724413
2120,-7.86436,2.6215,-7.86434,1.31075,-92.88602362204725,23.221948818897637
2140,-8.51973,1.96612,-8.51972,1.9999999999243e-05,-100.62667322834645,11.61106299212598
2160,-9.83047,0.65538,-10.48582,-1.31072,-119.9780905511811,-3.8701181102362217
2180,-11.14122,-1.31072,-11.79657,-3.27681,-135.45938976377954,-27.091712598425197
2200,-13.10733,-2.62144,-13.10732,-4.58754,-154.8109251968504,-42.572716535433074
2220,-17.03953,-3.93217,-22.93781,-5.89825,-236.08665354330708,-58.053661417322836
2240,-22.28247,-3.27679,-20.31636,-3.27679,-251.5678937007874,-38.702244094488194
2260,-20.97174,-0.65532,-20.97172,-1.31069,-247.69759842519687,-11.610295275590552
2280,-20.31637,0.6554,-19.66099,-0.65533,-236.0867716535433,0.0004133858267717392
2300,-19.66101,1.31076,-19.00563,2.9999999995312e-05,-228.34629921259844,7.740885826771626
2320,-19.00565,1.96612,-19.00562,0.65539,-224.4760039370079,15.481358267716535
2340,-18.35029,2.62148,-17.03955,1.31074,-208.99511811023623,23.221771653543307
2360,-17.03957,2.62147,-16.38419,1.31074,-197.3844094488189,23.221712598425196
2380,-16.38421,2.62146,-16.38418,1.31073,-193.51411417322834,23.221594488188977
2400,-15.72884,1.9661,-15.72883,9.9999999960687e-06,-185.77364173228347,11.61088582677163
2420,-15.72886,1.31074,-15.72884,9.9999999960687e-06,-185.7738188976378,7.74064960629919
2440,-16.38423,1.31074,-16.38421,-0.65535,-193.5144094488189,3.870413385826772
2460,-17.03959,1.9999999999243e-05,-13.10739,-1.31072,-178.03334645669293,-7.740354330708667
2480,-0.65543,-0.65536,6.55368,-3.27682,34.83218503937008,-23.221535433070866
2500,9.8305,-2.62145,10.4859,-3.93218,119.97874015748033,-38.70253937007874
2520,10.48587,-1.96608,10.48589,-3.93217,123.84897637795275,-34.83218503937008
2540,10.48587,-3.2768,10.48589,-3.93217,123.84897637795275,-42.57265748031496
2560,10.48587,-2.62144,10.48589,-3.27681,123.84897637795275,-34.83218503937008
2580,9.8305,-1.96608,9.83053,-3.27682,116.10844488188977,-30.962007874015747
2600,9.17514,-1.96608,9.17517,-3.27682,108.36797244094488,-30.962007874015747
2620,9.83051,-1.31072,9.83053,-2.62145,116.10850393700788,-23.221476377952758
2640,9.17514,-1.31072,9.17516,-2.62146,108.36791338582678,-23.221535433070866
2660,8.51978,-1.9661,9.17517,-3.93219,104.49773622047243,-34.83242125984252
2680,8.51978,-1.96609,8.5198,-4.58755,100.6274409448819,-38.70259842519685
2700,7.86441,-3.93219,7.20907,-5.89828,89.01661417322835,-58.05395669291339
2720,10.48589,-6.55363,18.35044,-8.51972,170.2932874015748,-89.01584645669291
2740,21.62741,-9.17507,22.93822,-10.48581,263.18285433070866,-116.1075590551181
2760,21.62747,-9.83044,21.62747,-10.48581,255.4425590551181,-119.97785433070867
2780,21.62745,-9.17508,21.62746,-9.83045,255.4423818897638,-112.23738188976378
2800,20.97209,-8.51973,20.97212,-9.83047,247.70202755905513,-108.36732283464568
2820,20.31674,-8.51974,20.31678,-9.83048,239.96173228346456,-108.36744094488189
2840,20.31675,-7.86438,20.97214,-9.83048,243.83202755905515,-104.49720472440944
2860,20.97212,-8.51976,20.97214,-9.17513,247.70232283464568,-104.49738188976379
2880,21.62747,-7.8644,21.6275,-9.17513,255.44273622047245,-100.62714566929134
2900,20.97211,-7.20904,20.97213,-9.17513,247.70220472440946,-96.75690944881889
2920,20.97211,-7.20904,21.62749,-8.51978,251.57244094488192,-92.88673228346457
2940,21.62746,-6.55368,21.62749,-7.86442,255.44261811023622,-85.14625984251967
2960,20.97212,-7.20906,22.28287,-8.51979,255.44285433070866,-92.88690944881891
2980,20.97213,-7.20906,21.62752,-8.51979,251.57273622047242,-92.88690944881891
3000,22.28286,-7.20906,22.28288,-9.17515,263.18350393700786,-96.75714566929133
3020,22.28287,-9.17514,22.93826,-9.83051,267.05391732283465,-112.2380905511811
3040,22.93823,-8.51977,22.93825,-9.17514,270.924094488189,-104.4975
3060,22.28288,-7.20904,22.93827,-8.51977,267.0540354330709,-92.88667322834645
3080,22.93825,-6.55368,22.93827,-7.8644,270.92433070866144,-85.14614173228347
3100,22.93824,-5.89831,22.2829,-7.20905,267.0539763779528,-77.40566929133858
3120,23.59363,-6.55368,27.5259,-9.83051,301.8869881889764,-96.75702755905512
3140,28.18127,-8.51978,27.52591,-9.17514,328.9794094488189,-104.49755905511813
3160,26.87052,-7.20903,26.87054,-7.8644,317.3684645669291,-89.0163188976378
3180,26.87051,-6.55367,26.21518,-7.8644,313.49816929133857,-85.14608267716535
3200,24.90442,-5.8983,24.90444,-7.20903,294.1468110236221,-77.40549212598427
3220,24.24905,-5.8983,23.59371,-7.20903,282.5359842519685,-77.40549212598427
3240,23.59369,-5.24294,23.59372,-7.20903,278.66580708661417,-73.5352559055118
3260,23.59369,-5.89831,23.59372,-7.86439,278.66580708661417,-81.2757874015748
3280,23.5937,-6.55367,23.59373,-9.17512,278.6659251968504,-92.88655511811024
3300,23.59371,-7.86438,23.59374,-11.1412,278.6660433070866,-112.23767716535433
3320,23.59372,-10.48583,23.59375,-14.41801,278.6661614173228,-147.06992125984252
3340,24.24911,-16.38409,41.28868,-20.97165,387.0341929133858,-220.60476377952756
3360,61.60506,-19.66091,64.22658,-22.93771,743.1002362204724,-251.56665354330707
3380,62.26044,-21.62698,62.26043,-22.28234,735.359468503937,-259.30700787401577
3400,61.60505,-20.9716,61.60506,-22.28233,727.6187598425197,-255.43659448818897
3420,61.60503,-20.31624,60.9497,-20.97161,723.748405511811,-243.82588582677167
3440,61.60503,-19.66088,62.26042,-20.97161,731.488877952756,-239.9556496062992
3460,62.91575,-19.00552,62.91577,-19.66089,743.0995275590552,-228.3449409448819
3480,63.57111,-18.35016,64.22648,-18.35016,754.7101771653543,-216.73417322834646
3500,64.22645,-15.72871,64.22647,-15.72871,758.5802362204724,-185.7721653543307
3520,64.22644,-14.41798,64.88182,-14.41799,762.4503543307087,-170.29116141732283
3540,64.88179,-12.4519,64.88181,-13.10727,766.3204724409449,-150.93998031496065
3560,64.22642,-11.14117,64.88179,-12.4519,762.450059055118,-139.3291535433071
3580,64.22639,-10.4858,64.88177,-11.14118,762.4497637795275,-127.71838582677165
3600,64.22638,-10.48581,66.84785,-11.79655,774.0604133858268,-131.58874015748032
3620,77.98907,-7.86436,86.5089,-8.51972,971.4447047244096,-96.7563779527559
3640,87.81963,-6.55362,87.16426,-7.20899,1033.3694291338584,-81.2752559055118
3660,87.16422,-4.58753,87.81959,-5.2429,1033.3689566929133,-58.05372047244094
3680,87.81957,-3.27681,87.81958,-4.58753,1037.2390748031496,-46.442952755905516
3700,87.81956,-2.62144,87.81958,-2.62145,1037.2390157480315,-30.96194881889764
3720,87.1642,-1.31072,87.81958,-2.62145,1033.3687795275591,-23.221476377952758
3740,85.19811,-2.62144,58.32818,-9.17508,847.5962007874017,-69.66448818897638
3760,18.35082,-11.79652,6.55395,-11.14116,147.07541338582678,-135.45874015748032
3780,-20.31615,-10.48578,-27.52524,-11.7965,-282.5278937007874,-131.58826771653543
3800,-24.90381,-7.86432,-22.9377,-7.86432,-282.5286023622047,-92.88566929133859
3820,-22.93774,-5.24287,-22.28237,-5.89823,-267.0478937007874,-65.79389763779528
3840,-22.93777,-3.93215,-21.62703,-4.58751,-263.17795275590555,-50.31295275590551
3860,-21.62706,-3.27678,-21.62704,-4.58752,-255.43759842519685,-46.44271653543307
3880,-20.97172,-3.27678,-20.31633,-4.58752,-243.82706692913385,-46.44271653543307
3900,-20.97171,-2.62142,-20.97169,-4.58751,-247.69724409448818,-42.57242125984252
3920,-20.97172,-2.62141,-20.97171,-3.93215,-247.69742125984257,-38.70212598425197
3940,-20.97174,-2.62141,-20.97173,-3.93215,-247.69765748031494,-38.70212598425197
3960,-21.62712,-2.62141,-21.62709,-3.93215,-255.43824803149607,-38.70212598425197
3980,-21.62712,-3.27677,-21.6271,-4.58751,-255.43830708661417,-46.44259842519685
4000,-22.28249,-2.6214,-22.28246,-4.5875,-263.1788385826772,-42.57224409448819
4020,-22.28249,-3.27677,-18.35023,-3.27679,-239.95700787401574,-38.70212598425197
4040,-7.20901,-0.65534,7.0000000000903e-05,-1.31071,-42.57248031496063,-11.610531496062993
4060,0.65542,2.9999999995312e-05,7.0000000000903e-05,-0.65534,3.871003937007879,-3.8699409448819173
4080,0.65541,0.6554,0.65542,1.9999999999243e-05,7.741122047244096,3.870590551181098
4100,0.6554,1.31076,0.65542,2.9999999995312e-05,7.741062992125985,7.740885826771626
4120,0.65541,1.31076,0.65543,2.9999999995312e-05,7.741181102362205,7.740885826771626
4140,0.65541,1.31076,0.65543,2.9999999995312e-05,7.741181102362205,7.740885826771626
4160,1.31077,1.31076,1.3108,0.65539,15.481712598425199,11.611122047244095
4180,0.65541,1.31076,1.31079,2.9999999995312e-05,11.611417322834646,7.740885826771626
4200,1.31077,1.31076,0.65543,0.65539,11.611417322834646,11.611122047244095
4220,0.65541,1.96612,1.31079,0.65539,11.611417322834646,15.481358267716535
4240,0.6554,1.96612,0.65542,0.6554,7.741062992125985,15.481417322834645
4260,0.65539,1.96613,0.65542,1.31076,7.741003937007874,19.3517125984252
4280,1.96612,1.31076,16.38427,-2.62141,108.36844488188977,-7.740059055118111
4300,24.90422,-3.93213,24.90438,-5.24287,294.1452755905512,-54.18307086614174
4320,24.90436,-3.93213,24.90436,-4.5875,294.1459842519685,-50.312775590551176
4340,24.90434,-3.27676,25.55972,-4.5875,298.0161023622048,-46.44248031496063
4360,24.90433,-3.27677,24.90435,-4.5875,294.1457480314961,-46.44253937007874
4380,24.90432,-3.27677,24.90434,-4.58751,294.14562992125985,-46.44259842519685
4400,25.55968,-3.27678,25.5597,-4.58751,301.8861023622047,-46.442657480314956
4420,24.90432,-3.27678,25.5597,-4.58751,298.01586614173226,-46.442657480314956
4440,24.90432,-3.27678,24.90434,-5.24288,294.14562992125985,-50.31295275590551
4460,26.87045,-3.93214,33.42419,-5.89824,356.0707086614173,-58.0534251968504
4480,36.04564,-5.24288,35.39029,-7.20897,421.8657283464567,-73.5345472440945
4500,35.39026,-5.24288,36.04564,-5.89824,421.8655511811024,-65.7940157480315
4520,35.39026,-5.24287,35.39028,-6.55361,417.99531496062997,-69.66425196850395
4540,35.39026,-5.24287,34.73492,-6.55361,414.1250787401575,-69.66425196850395
4560,34.7349,-5.89824,34.73491,-7.20897,410.2547834645669,-77.40478346456693
4580,34.07953,-6.55361,34.07955,-8.5197,402.51425196850386,-89.01561023622047
4600,34.07953,-7.86434,34.07956,-9.83043,402.5143110236221,-104.49667322834645
