T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65536,0.65536,0.0,7.740472440944883,-3.8702362204724414
40,1.31072,-0.65535,0.65536,2.0000000006348e-05,11.610708661417323,-3.8700590551180727
60,1.31072,-0.65534,0.65536,0.65537,11.610708661417323,0.00017716535433055802
80,1.96608,-0.65534,1.31072,1.0000000003174e-05,19.351181102362204,-3.8700590551180913
100,1.96608,-0.65535,1.31072,1.0000000003174e-05,19.351181102362204,-3.8701181102362017
120,2.62144,-0.65535,1.31073,-0.65535,23.221476377952758,-7.740354330708661
140,2.62145,-0.65535,1.96608,-0.65535,27.091712598425197,-7.740354330708661
160,2.62145,-1.31071,1.96609,-1.31071,27.091771653543308,-15.480826771653545
180,2.62144,-1.31071,1.96608,-1.31072,27.091653543307086,-15.480885826771654
200,2.62144,-1.96608,1.96608,-1.31073,27.091653543307086,-19.351240157480316
220,3.2768,-2.62144,2.62144,-1.96609,34.832125984251974,-27.091712598425197
240,3.2768,-3.27681,3.2768,-2.62145,38.70236220472441,-34.83224409448819
260,3.93216,-3.27681,3.2768,-2.62146,42.57259842519685,-34.832303149606304
280,3.93216,-3.27682,3.93216,-3.27682,46.44283464566929,-38.70259842519685
300,4.58752,-3.93218,3.93216,-3.27683,50.31307086614173,-42.572893700787404
320,4.58752,-3.93218,3.93215,-3.27683,50.31301181102362,-42.572893700787404
340,4.58752,-3.93218,3.93215,-3.93219,50.31301181102362,-46.443129921259846
360,4.58751,-4.58755,3.93215,-3.93219,50.31295275590551,-50.313425196850396
380,4.58751,-4.58755,4.58751,-3.93219,54.183188976377956,-50.313425196850396
400,5.24287,-5.24291,4.58751,-4.58755,58.0534251968504,-58.05389763779528
420,5.24287,-5.24291,4.58751,-4.58755,58.0534251968504,-58.05389763779528
440,5.24287,-4.58755,4.58751,-4.58755,58.0534251968504,-54.18366141732284
460,5.24287,-5.24291,4.58751,-5.24291,58.0534251968504,-61.92413385826772
480,5.89824,-5.24291,5.24288,-5.24291,65.7940157480315,-61.92413385826772
500,5.89824,-5.89827,5.89824,-5.24292,69.66425196850395,-65.79442913385827
520,6.55359,-5.89827,5.89823,-5.89827,73.53437007874015,-69.66460629921261
540,6.55359,-5.89827,5.89823,-5.89828,73.53437007874015,-69.66466535433071
560,6.55359,-6.55364,7.86432,-7.86438,85.14513779527559,-85.1457874015748
580,24.24849,-13.76267,38.01129,-20.31635,367.67586614173234,-201.25405511811024
600,47.84187,-26.87002,46.53114,-26.21468,557.3209251968503,-313.4923228346457
620,48.49719,-27.5254,48.49718,-26.87005,572.8013976377953,-321.2329724409449
640,50.46325,-27.52541,49.80788,-27.52542,592.152342519685,-325.10332677165354
