T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535,0.0,0.0,-0.65535000000001,-3.8701771653543307,-3.8701771653543897
40,0.65536,-0.65537,0.65535,-1.96609,7.7404133858267725,-15.481062992125985
60,0.65535,-0.65538,1.31071,-1.9661,11.610590551181103,-15.481181102362205
80,1.31071,-1.96611,1.96607,-2.62147,19.351062992125986,-27.09200787401575
100,1.96607,-2.62148,-7.209,-3.27682,-30.96218503937008,-34.83248031496063
120,-17.69482,1.0000000003174e-05,-19.66094,0.65537,-220.60488188976376,3.8703543307086803
140,-17.69485,3.2768,-17.69484,3.93219,-208.99423228346458,42.57277559055118
160,-17.69484,5.24291,-18.35021,4.58756,-212.86446850393705,58.05395669291339
180,-18.35021,5.89828,-18.35022,4.58757,-216.73482283464566,61.924311023622046
200,-19.00558,4.58756,-18.35022,3.9322,-220.60511811023625,50.31354330708661
220,-19.00558,5.24292,-18.35022,3.93221,-220.60511811023625,54.18383858267716
240,-18.35023,5.24292,-18.35023,5.24294,-216.735,61.924370078740154
260,-18.35022,6.55365,-18.35022,5.89831,-216.73488188976378,73.5351968503937
280,-17.69486,7.86438,-17.0395,7.20903,-205.12417322834642,89.01620078740156
300,-17.0395,8.51974,-16.38414,8.51975,-197.38370078740158,100.6269094488189
320,-16.38413,10.48583,-15.72877,10.48584,-189.64311023622045,123.84844488188976
340,-15.0734,11.14119,-14.41805,11.1412,-174.1621062992126,131.58891732283465
360,-14.41804,12.45192,-13.76268,12.45193,-166.4215748031496,147.06998031496062
380,-13.76268,13.76264,-13.76268,13.10729,-162.55133858267718,158.68068897637795
400,-13.10732,14.41802,-13.10732,13.76267,-154.81086614173228,166.42139763779528
420,-13.76268,15.72873,-13.10732,15.07339,-158.68110236220474,181.90228346456692
440,-13.76268,16.38411,-14.41804,16.38412,-166.4215748031496,193.5131692913386
460,-14.41803,17.03947,-15.0734,16.38411,-174.16198818897638,197.38334645669292
480,-15.07339,17.03947,-15.0734,16.38411,-178.03222440944882,197.38334645669292
500,-15.72876,17.69483,-15.72876,17.03948,-185.77275590551181,205.12387795275592
520,-16.38412,18.35019,-16.38412,17.69484,-193.51322834645669,212.8643503937008
540,-17.03947,19.00556,-17.69484,19.00557,-205.12387795275592,224.47517716535435
560,-17.69483,19.66093,-18.3502,19.00557,-212.8643503937008,228.3454724409449
580,-18.3502,20.97165,-18.35019,20.3163,-216.73458661417322,243.8264763779528
600,-19.00555,20.31629,-18.35019,20.31631,-220.60476377952756,239.95629921259842
620,-18.35019,22.28239,-18.35019,21.62703,-216.73452755905515,259.30759842519683
640,-18.35018,22.93775,-18.35019,22.93776,-216.73446850393705,270.91836614173235
660,-18.35018,23.59311,-18.35018,22.93776,-216.73440944881892,274.78860236220476
680,-18.35018,23.59311,-17.69482,22.93776,-212.86417322834646,274.78860236220476
700,-18.35018,23.59312,-18.35018,23.59313,-216.73440944881892,278.6589566929134
720,-19.00554,24.24848,-19.00555,22.93777,-224.47494094488192,278.6589566929134
740,-19.00555,23.59312,-19.00555,22.93777,-224.475,274.78872047244096
760,-19.00555,23.59312,-19.00556,22.93777,-224.47505905511812,274.78872047244096
780,-19.00557,24.24848,-18.35021,23.59313,-220.60500000000002,282.5291929133858
800,-19.00558,24.90384,-19.00558,23.59313,-224.47535433070865,286.39942913385823
820,-19.00558,24.90384,-18.35022,24.24849,-220.60511811023625,290.2696653543307
840,-18.35023,24.90384,-24.90385,20.31632,-255.43748031496065,267.04818897637796
860,-30.14678,19.66096,-29.49142,20.31633,-352.19409448818897,236.08635826771658
880,-28.83605,22.28241,-29.49142,20.9717,-344.453562992126,255.43765748031495
900,-30.14678,21.62704,-30.14679,20.31633,-356.06438976377956,247.69706692913388
920,-30.14679,20.97168,-30.14679,20.31633,-356.06444881889763,243.82683070866142
940,-30.80215,20.97169,-30.1468,20.31633,-359.9347440944882,243.82688976377955
960,-30.80216,20.97169,-30.80216,20.31634,-363.80503937007876,243.82694881889765
980,-31.45752,20.97169,-32.11288,19.66098,-375.4157480314961,239.95671259842518
1000,-31.45752,19.66096,-31.45752,17.69487,-371.54551181102363,220.60529527559055
1020,-31.45752,19.00558,-32.11288,19.00559,-375.4157480314961,224.47541338582678
1040,-31.45752,19.66094,-32.11288,18.35023,-375.4157480314961,224.47541338582678
1060,-32.11288,19.66094,-32.11288,19.00559,-379.2859842519685,228.34564960629922
1080,-32.11288,19.66094,-32.11288,19.00559,-379.2859842519685,228.34564960629922
1100,-32.76824,19.66094,-32.76823,19.66095,-387.02639763779536,232.21588582677168
1120,-32.76823,20.97167,-32.76823,20.97168,-387.0263385826772,247.69694881889765
1140,-33.42359,22.2824,-34.07895,22.28241,-398.6370472440945,263.1780118110236
1160,-34.07894,23.59312,-34.73431,22.93829,-406.37746062992136,274.7917913385827
1180,-35.38966,23.59312,-35.38967,22.93777,-417.9881692913386,274.78872047244096
1200,-35.38967,24.24848,-36.70039,23.59313,-425.7287007874016,282.5291929133858
1220,-37.35575,24.24849,-37.35575,23.59314,-441.2096456692914,282.5293110236221
1240,-38.0111,24.90385,-38.0111,24.90387,-448.95,294.1400787401575
1260,-38.66646,25.55922,-38.66646,24.90387,-456.6904724409449,298.010374015748
1280,-39.32182,25.55923,-39.97718,25.55924,-468.30118110236225,301.8807283464567
1300,-39.97718,25.55923,-39.97718,24.90388,-472.1714173228346,298.0104921259843
1320,-40.63253,26.2146,-40.63254,25.55925,-479.9118307086614,305.75108267716536
1340,-41.28789,26.86996,-41.28789,26.21461,-487.6522440944882,313.4915551181102
1360,-41.28789,27.52532,-41.94324,26.86998,-491.5224212598425,321.2320866141733
1380,-41.94324,27.52533,-41.94324,27.52534,-495.3925984251969,325.10238188976376
1400,-43.25396,28.18069,-43.25396,27.52534,-510.8735433070866,328.9726181102362
1420,-43.90931,28.1807,-43.90932,27.52534,-518.6139566929133,328.97267716535436
1440,-44.56468,27.52533,-43.90933,25.55925,-522.4843110236221,313.49161417322836
1460,-44.56469,26.2146,-44.5647,24.90388,-526.3546653543307,301.8807874015748
1480,-45.22005,26.86996,-44.5647,26.21461,-530.2249015748032,313.4915551181102
1500,-43.90934,26.86996,-43.90934,25.55925,-518.6142519685039,309.62131889763776
1520,-43.25399,26.21459,-42.59863,24.90388,-507.00366141732286,301.8807283464567
1540,-41.94326,25.55923,-41.94327,23.59316,-495.3928937007874,290.27001968503936
1560,-41.28791,24.24851,-40.63255,22.93779,-483.78224409448825,278.65925196850395
1580,-40.63256,22.93778,-40.63256,20.9717,-479.912125984252,259.30795275590555
1600,-40.63256,20.97169,-40.63257,19.66098,-479.9121850393701,239.95671259842518
1620,-38.01111,21.62704,-35.38964,21.62706,-433.4689960629922,255.43759842519685
1640,-36.045,22.28242,-36.70038,21.62707,-429.59870078740164,259.3080118110236
1660,-36.04502,22.28242,-36.70038,21.62707,-429.59881889763784,259.3080118110236
1680,-36.70038,21.62705,-36.70039,19.66097,-433.4691141732283,243.82688976377955
1700,-36.70038,19.00559,-37.35576,18.35024,-437.3394094488189,220.60529527559055
1720,-38.01112,18.35023,-38.01114,17.69487,-448.9503543307087,212.8647637795276
1740,-38.6665,18.35022,-38.66651,16.38414,-456.6910039370079,205.12417322834642
1760,-39.32188,17.69486,-39.32189,17.03951,-464.43171259842524,205.12423228346455
1780,-39.97725,17.03951,-39.3219,17.03952,-468.30206692913384,201.25411417322837
1800,-39.97726,18.35024,-40.63262,17.69489,-476.0425984251969,212.8649409448819
1820,-41.28799,19.00561,-40.63263,17.6949,-483.78318897637797,216.73529527559057
1840,-40.63263,19.66097,-41.28798,19.66098,-483.78312992125984,232.2162401574803
1860,-41.28798,21.62706,-41.28798,20.31635,-487.6533070866142,247.6973031496063
1880,-41.28797,21.62706,-41.94333,21.62707,-491.52342519685044,255.4377755905512
1900,-41.94332,22.93777,-41.94331,22.93778,-495.3934842519685,270.9186023622047
1920,-42.59866,24.2485,-42.59866,23.59314,-503.1337795275591,282.52937007874016
1940,-42.59865,24.90385,-41.94329,23.59313,-499.2634251968504,286.39948818897636
1960,-41.94328,24.24848,-41.28792,22.93777,-491.5228346456693,278.6589566929134
