T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,0.0,-0.65537,3.8702362204724414,-7.740590551181103
40,0.0,-1.31074,0.0,-0.65538,0.0,-11.610944881889765
60,0.0,-1.31074,0.0,-1.31074,0.0,-15.481181102362205
80,-1.0000000003174e-05,-1.9661,0.0,-1.96611,-5.9055118128980315e-05,-23.221712598425196
100,0.65535,-1.96612,0.65536,-1.96611,7.7404133858267725,-23.221830708661418
120,1.31071,-2.62148,1.31071,-2.62148,15.480826771653545,-30.96236220472441
140,1.96606,-2.62148,1.96606,-2.62148,23.221181102362205,-30.96236220472441
160,1.96605,-3.27685,2.62395,-2.62149,27.106299212598426,-34.83271653543307
180,2.62395,-3.27685,3.27676,-2.62149,34.8467125984252,-34.83271653543307
200,2.6214,-3.27686,2.6214,-3.27686,30.961417322834645,-38.703070866141736
220,3.93212,-3.27686,3.93212,-3.27686,46.44236220472441,-38.703070866141736
240,3.93212,-3.93222,3.93212,-3.93222,46.44236220472441,-46.443543307086614
260,3.93212,-3.93223,4.58748,-3.27686,50.31259842519685,-42.573366141732286
280,4.58747,-3.27687,4.58747,-3.93223,54.182716535433066,-42.573425196850394
300,4.58748,-3.27687,4.58748,-3.27686,54.182834645669296,-38.703129921259844
320,4.58747,-3.27687,4.58748,-2.62149,54.18277559055119,-34.832834645669294
340,5.24284,-2.6215,5.24283,-1.96613,61.92324803149607,-27.0923031496063
360,4.58748,-1.96613,5.24284,-1.96613,58.05307086614174,-23.22200787401575
380,5.24284,-1.31077,5.24284,-1.31076,61.92330708661418,-15.481476377952756
400,5.24539,-1.31076,5.24284,-3.9999999998486e-05,61.938366141732295,-7.740944881889755
420,5.24284,-0.6554,5.24284,-0.6554,61.92330708661418,-7.740944881889764
440,5.8982,-0.6554,5.24284,-3.9999999998486e-05,65.79354330708662,-3.8707086614173134
460,5.24284,-3.9999999998486e-05,5.24284,0.65532,61.92330708661418,3.8697637795275677
480,5.24284,-3.9999999998486e-05,5.24283,0.65533,61.92324803149607,3.8698228346456776
500,5.24284,0.65533,5.24284,0.65532,61.92330708661418,7.74005905511811
520,5.24284,0.65533,5.24284,0.65532,61.92330708661418,7.74005905511811
540,5.24284,0.65532,5.24285,0.65533,61.92336614173229,7.74005905511811
560,4.58748,0.65532,5.24284,1.31069,58.05307086614174,11.610295275590552
580,4.58749,0.65532,4.58748,1.31068,54.1828937007874,11.61023622047244
600,5.24284,0.65532,4.58748,1.31069,58.05307086614174,11.610295275590552
620,9.83043,1.96605,20.97176,2.62142,181.9026968503937,27.091358267716533
640,22.28254,2.62142,21.62716,3.27679,259.30925196850393,34.831948818897644
660,21.62715,3.27678,20.9718,3.93215,251.56860236220476,42.57242125984252
680,20.97179,5.24288,20.97179,5.24288,247.69830708661416,61.92377952755906
700,20.31642,5.89823,20.97179,6.5536,243.82801181102363,73.53442913385828
