T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65536,-0.65536,0.0,-3.8702362204724414,3.8702362204724414
40,1.0000000003174e-05,0.65536,-0.65535,0.0,-3.8701181102362017,3.8702362204724414
60,1.0000000003174e-05,0.65536,1.9999999999243e-05,1.0000000003174e-05,0.00017716535434498227,3.8702952755905704
80,1.0000000003174e-05,0.65536,1.9999999999243e-05,0.65537,0.00017716535434498227,7.740531496062992
100,1.0000000003174e-05,0.65536,1.9999999999243e-05,0.65536,0.00017716535434498227,7.740472440944883
120,1.0000000003174e-05,1.31072,-0.65535,1.31073,-3.8701181102362017,15.481003937007873
140,-0.65535,1.96609,-1.31071,1.31073,-11.610590551181103,19.351299212598423
160,-0.65536,1.96609,-1.31071,1.31073,-11.610649606299212,19.351299212598423
180,-1.31072,2.62145,-1.96608,1.9661,-19.351181102362204,27.09183070866142
200,-1.96608,2.62146,-1.96607,1.9661,-23.221358267716536,27.091889763779527
220,-1.31072,2.62146,-1.96608,2.62146,-19.351181102362204,30.96212598425197
240,-1.31072,2.62146,-1.96607,2.62145,-19.351122047244097,30.96206692913386
260,-1.31071,3.27682,-1.31071,2.62146,-15.480826771653545,34.83236220472441
280,-1.31071,3.27682,-1.96607,3.27682,-19.351062992125986,38.70259842519685
300,-1.96607,3.93218,-2.62143,3.27682,-27.09153543307087,42.57283464566929
320,-1.96607,3.93218,-2.62143,3.93218,-27.09153543307087,46.44307086614173
340,-1.96607,3.93218,-2.62142,3.93219,-27.091476377952755,46.443129921259846
360,-2.62143,4.58754,-2.62142,3.9322,-30.9617125984252,50.31342519685039
380,-2.62142,4.58755,-2.62141,3.9322,-30.961594488188975,50.313484251968504
400,-2.62141,4.58755,-3.27677,4.58755,-34.831771653543306,54.18366141732284
420,-3.27676,5.24291,-3.27676,4.58755,-38.701889763779526,58.05389763779528
440,-3.27677,4.58755,-3.27677,4.58755,-38.70200787401575,54.18366141732284
