T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.65535,-1.31073,-0.65537,-11.610767716535433,-0.00011811023622059054
40,-1.31073,0.65536,-1.31074,-1.31073,-15.481122047244094,-3.87029527559055
60,-1.31074,-1.9999999999243e-05,-1.31075,-0.65538,-15.481240157480316,-3.8704724409448774
80,-1.9661,-0.65537,-1.96611,-1.9661,-23.221712598425196,-15.481122047244094
100,-1.96611,-1.31074,-2.62147,-1.31074,-27.09200787401575,-15.481181102362205
120,-3.27683,-1.0000000003174e-05,-2.62148,-0.65536,-34.83253937007874,-3.8702952755905704
140,-3.27684,0.0,-3.27684,-0.65536,-38.70283464566929,-3.8702362204724414
160,-3.9322,0.65536,-4.58756,0.0,-50.31354330708661,3.8702362204724414
180,-4.58756,0.65536,-5.24292,9.9999999960687e-06,-58.054015748031496,3.8702952755905278
200,-5.24292,0.65537,-5.24293,1.9999999999243e-05,-61.924311023622046,3.8704133858267675
220,-5.89829,0.65537,-5.24294,9.9999999960687e-06,-65.79466535433072,3.8703543307086377
240,-5.89829,0.65537,-5.8983,1.9999999999243e-05,-69.66490157480315,3.8704133858267675
260,-6.55365,1.31074,-6.55366,-0.65534,-77.40537401574804,3.870472440944882
280,-6.55366,0.65538,-7.20902,1.9999999999243e-05,-81.27566929133859,3.8704724409448774
300,-7.20902,1.31075,-7.20902,3.9999999998486e-05,-85.14590551181102,7.740885826771645
320,-7.20903,1.31075,-7.20902,0.6554,-85.14596456692914,11.611122047244095
340,-7.86439,1.31076,-6.55367,3.9999999998486e-05,-85.14602362204725,7.740944881889755
360,-6.55367,1.9999999999243e-05,-4.58757,-1.96606,-65.79472440944882,-11.610472440944887
380,1.31078,-3.93211,3.93226,-4.58747,30.96283464566929,-50.31248031496063
400,3.93224,-1.31064,2.62151,9.0000000000146e-05,38.70324803149607,-7.739468503937007
420,3.27687,1.31082,3.93222,1.31083,42.573366141732286,15.482185039370078
440,3.93222,2.62156,3.93222,1.96621,46.443543307086614,27.09312992125984
460,4.58759,2.62157,4.58758,1.31086,54.184074803149606,23.223011811023625
480,4.58758,2.62158,4.58758,1.31087,54.1840157480315,23.22312992125984
500,4.58757,1.96622,4.58758,1.31087,54.18395669291339,19.3528937007874
520,4.58758,1.31088,4.58757,0.0001599999999939,54.18395669291339,7.742362204724374
540,4.58757,1.31089,4.58757,0.65553999999999,54.18389763779528,11.612775590551124
560,3.93221,2.62162,4.58756,1.96625,50.31360236220472,27.09372047244095
580,4.58757,2.62162,4.58756,1.96625,54.18383858267716,27.09372047244095
600,3.9322,2.62161,4.58756,1.96625,50.31354330708661,27.093661417322835
620,3.9322,2.62161,4.58756,1.96624,50.31354330708661,27.093602362204727
640,4.58757,1.96624,4.58757,1.96623,54.18389763779528,23.223248031496063
660,3.93222,3.27696,3.93222,1.96625,46.443543307086614,30.96383858267717
680,2.62149,3.27695,-11.7966,-1.96605,-54.183720472440946,7.741535433070864
700,-28.8362,-5.24292,-36.04527,-6.55362,-383.15828740157485,-69.66460629921261
720,-34.73454,0.65544,-32.1131,3.9323,-394.7695275590552,27.092952755905515
740,-32.1131,5.24303,-32.76848,5.24304,-383.15893700787404,61.92561023622047
760,-32.11311,6.55376,-32.11312,5.8984,-379.2887598425197,73.5363779527559
780,-32.11313,6.55376,-32.76849,5.8984,-383.15917322834645,73.5363779527559
800,-33.42385,7.20913,-33.42386,6.55376,-394.76994094488197,81.2769094488189
820,-33.42386,7.86448,-34.07923,7.20912,-398.6402952755906,89.01732283464568
840,-34.07922,7.86447,-34.07923,7.86447,-402.51053149606304,92.88744094488189
860,-34.73459,8.51983,-34.7346,7.20911,-410.2511220472441,92.8874409448819
880,-36.04532,7.86447,-35.38996,6.55373,-421.8618897637796,85.14685039370079
900,-35.38995,7.2091,-36.04532,7.20909,-421.86183070866144,85.14679133858267
920,-36.70068,7.86444,-36.70069,7.20908,-433.472657480315,89.01685039370079
940,-36.70069,7.20908,-36.04534,6.55371,-429.6025393700788,81.27631889763781
960,-36.7007,5.89835,-36.7007,5.89835,-433.47283464566925,69.66555118110236
980,-36.7007,5.89834,-36.7007,5.24299,-433.47283464566925,65.79525590551181
1000,-37.35607,5.24298,-37.35607,4.58761,-441.21342519685044,58.054665354330716
1020,-38.01142,4.58761,-37.35607,3.93224,-445.0836023622048,50.31407480314961
1040,-38.01142,4.5876,-38.01143,3.93223,-448.95383858267724,50.31395669291339
1060,-38.01143,4.58759,-38.01143,3.93223,-448.95389763779525,50.31389763779527
1080,-38.66679,3.93224,-36.04532,1.96616,-441.21324803149605,34.83307086614174
1100,-30.14695,-0.65526,-26.8701,0.65546,-336.7148622047244,0.0011811023622047244
1120,-29.49156,3.27693,-29.49156,5.24303,-348.3255118110236,50.31472440944883
1140,-29.49156,6.55376,-28.83621,5.8984,-344.4553346456693,73.5363779527559
1160,-29.49157,6.55375,-30.14694,5.24302,-352.1959251968504,69.66596456692913
1180,-30.14693,6.55374,-30.14694,5.89838,-356.06616141732286,73.53614173228347
1200,-30.14694,7.86446,-30.14694,5.89837,-356.066220472441,81.27655511811024
1220,-30.14694,5.89834,-29.49159,4.58761,-352.19604330708665,61.92490157480316
1240,-30.14696,5.24296,-30.14697,3.93224,-356.0665157480315,54.18425196850394
1260,-30.14697,3.93224,-30.14699,3.27688,-356.06669291338585,42.57354330708662
1280,-29.49162,3.93224,-29.49162,3.93224,-348.326220472441,46.44377952755906
1300,-29.49162,4.58761,-30.14698,4.5876,-352.1964566929134,54.18431102362205
1320,-30.14697,5.24297,-29.49161,5.24296,-352.1963385826772,61.92478346456693
1340,-29.4916,5.89832,-29.4916,5.24296,-348.3259842519685,65.79496062992126
1360,-30.14695,5.89833,-29.49159,5.24297,-352.1961023622047,65.79507874015748
1380,-29.49158,7.20904,-28.83622,5.89831,-344.45551181102365,77.40561023622048
1400,-28.18084,6.55366,-27.52548,5.8983,-328.97433070866145,73.5351968503937
1420,-26.8701,6.55366,-17.03955,0.65544,-259.3089566929134,42.573425196850394
1440,-7.86436,7.9999999996971e-05,-7.20898,3.27691,-89.01578740157481,19.352303149606282
1460,-7.86435,9.1752,-6.55361,9.83057,-85.14543307086615,112.23879921259842
1480,-5.24287,11.1413,-4.5875,10.48595,-58.05336614173228,127.71998031496064
1500,-3.27677,10.48594,-1.96604,9.83058,-30.96147637795276,119.97944881889765
1520,-1.31067,10.48593,-0.6553,10.48592,-11.61005905511811,123.84950787401576
1540,-0.65529,11.14126,7.9999999996971e-05,10.48589,-3.869350393700805,127.71938976377953
1560,7.9999999996971e-05,10.48589,7.9999999996971e-05,9.83051,0.000944881889728004,119.97874015748033
1580,-0.65528,10.48587,-0.65529,9.17515,-7.739586614173229,116.10838582677167
1600,-0.65529,9.8305,-1.31066,9.17514,-11.60994094488189,112.23803149606299
1620,-1.96602,9.17515,-2.62138,8.51979,-27.09094488188976,104.49767716535435
