T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,9.9999999960687e-06,0.0,0.65537,5.9055118128980315e-05,3.8703543307086377
40,0.0,9.9999999960687e-06,0.0,0.65537,0.0,3.8703543307086377
60,-0.65535999999999,9.9999999960687e-06,0.0,0.65536,-3.870236220472382,3.8702952755905278
80,-0.65535999999999,9.9999999960687e-06,0.0,0.65537,-3.870236220472382,3.8703543307086377
100,-0.65535999999999,0.65537,-0.65535999999999,0.65537,-7.740472440944764,7.740590551181103
120,-1.31072,0.65538,-1.31072,0.65537,-15.480944881889766,7.740649606299213
140,-0.65535999999999,0.65537,-0.65535999999999,1.31073,-7.740472440944764,11.610826771653544
160,-1.31072,0.65537,-1.31072,1.31073,-15.480944881889766,11.610826771653544
180,-1.31072,0.65538,-1.31072,1.31073,-15.480944881889766,11.610885826771653
200,-1.31072,9.9999999960687e-06,1.31083,9.9999999960687e-06,0.000649606299211609,0.00011811023617403978
220,9.1753,-0.65534,10.48604,9.9999999960687e-06,116.11027559055118,-3.870059055118134
240,9.1753,1.9999999999243e-05,9.1753,9.9999999960687e-06,108.36968503937008,0.0001771653543030219
260,9.1753,9.9999999960687e-06,9.1753,9.9999999960687e-06,108.36968503937008,0.00011811023617403978
280,9.83066,9.9999999960687e-06,9.83066,0.0,116.11015748031497,5.905511808701989e-05
300,9.83066,9.9999999960687e-06,9.83065,9.9999999960687e-06,116.11009842519685,0.00011811023617403978
320,9.1753,-0.65535000000001,9.83066,0.0,112.23992125984253,-3.8701771653543897
340,9.1753,-0.65535000000001,9.1753,0.0,108.36968503937008,-3.8701771653543897
360,9.1753,-0.65535000000001,9.1753,0.0,108.36968503937008,-3.8701771653543897
380,9.1753,-0.65536,9.83066,0.0,112.23992125984253,-3.8702362204724414
400,9.17529,-0.65536,9.83064,0.0,112.23974409448819,-3.8702362204724414
420,9.83064,-0.65536,10.486,0.0,119.98015748031496,-3.8702362204724414
440,11.14136,0.0,11.14135,0.0,131.59080708661418,0.0
460,11.14135,0.0,11.79671,0.65536,135.4609842519685,3.8702362204724414
480,12.45208,0.0,13.10744,0.65536,150.94204724409448,3.8702362204724414
500,13.76281,0.65537,14.41817,1.31073,166.42311023622048,11.610826771653544
520,14.41818,0.65537,15.7289,1.31072,178.03393700787402,11.610767716535433
540,16.38426,9.9999999960687e-06,16.38426,0.65536,193.51488188976379,3.8702952755905278
560,16.38426,9.9999999960687e-06,17.03962,0.65536,197.38511811023622,3.8702952755905278
580,17.03962,9.9999999960687e-06,16.38425,0.65536,197.38505905511812,3.8702952755905278
600,16.38425,0.65537,17.03961,0.0,197.38500000000005,3.8702952755905513
620,9.17524,1.31073,1.31079,3.27682,61.925374015748034,27.09183070866142
640,3.0000000002417e-05,3.93219,0.6554,4.58755,3.870649606299227,50.313425196850396
660,0.6554,3.9322,0.6554,4.58755,7.740944881889764,50.313484251968504
680,0.6554,4.58755,3.0000000002417e-05,5.24291,3.870649606299227,58.05389763779528
700,3.0000000002417e-05,4.58755,3.0000000002417e-05,5.2429,0.00035433070868996455,58.05383858267717
720,-0.65532,4.58755,3.0000000002417e-05,4.58754,-3.8698228346456554,54.18360236220473
740,-0.65532,4.58755,-0.65533,5.2429,-7.74005905511811,58.05383858267717
760,4.0000000005591e-05,4.58755,-0.65532,5.24291,-3.8697637795275264,58.05389763779528
