T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.65536,0.0,3.8702362204724414
80,0.0,0.0,-0.65536,0.65536,-3.8702362204724414,3.8702362204724414
100,0.0,0.0,0.0,0.65536,0.0,3.8702362204724414
120,-0.65536,0.65536,-0.65536,0.65536,-7.740472440944883,7.740472440944883
140,-0.65536,0.65536,-0.65535,0.65536,-7.7404133858267725,7.740472440944883
160,-0.65535,0.65537,-0.65535,1.31073,-7.740354330708661,11.610826771653544
180,-0.65534,1.31073,-0.65534,1.31073,-7.7402362204724415,15.481062992125985
200,-0.65534,1.31073,1.9999999999243e-05,1.31073,-3.870000000000005,15.481062992125985
220,1.9999999999243e-05,1.31073,-0.65534,1.31073,-3.870000000000005,15.481062992125985
240,-0.65534,1.31073,1.9999999999243e-05,1.96609,-3.870000000000005,19.351299212598423
260,-0.65533,1.9661,2.9999999995312e-05,2.62146,-3.8698818897638065,27.091889763779527
280,2.9999999995312e-05,1.9661,2.9999999995312e-05,2.62147,0.00035433070860604724,27.09194881889764
300,1.9999999999243e-05,1.96611,1.9999999999243e-05,2.62147,0.00023622047243200396,27.09200787401575
320,9.9999999960687e-06,2.62148,0.65537,2.62149,3.8703543307086377,30.962421259842518
340,9.9999999960687e-06,2.62149,9.9999999960687e-06,3.27686,0.00011811023617403978,34.832775590551186
360,9.9999999960687e-06,3.93222,0.65537,4.58759,3.8703543307086377,50.313838582677164
380,0.65537,4.5876,0.65538,5.89833,7.740649606299213,61.92478346456693
400,0.65538,6.5537,0.65539,7.86443,7.740767716535434,85.14643700787401
420,0.6554,8.5198,0.6554,9.17517,7.740944881889764,104.49785433070865
440,3.9999999998486e-05,9.83054,0.65541,11.14128,3.8707677165354237,123.84933070866143
460,0.65541,11.14128,5.9999999997729e-05,11.79665,3.8708858267716404,135.4602165354331
480,0.65541,12.45201,0.65542,12.45202,7.741122047244096,147.0710433070866
500,5.9999999997729e-05,13.10738,2.9999999995312e-05,12.45203,0.0005314960629510295,150.9413976377953
520,-0.65534,11.79667,-0.65532,13.1074,-7.74011811023622,147.07127952755906
540,-0.65532,13.1074,-0.65532,14.41814,-7.74,162.55240157480316
560,-0.65532,14.41814,-0.65531,14.41814,-7.73994094488189,170.29299212598426
580,-0.65532,14.41814,-0.65531,14.41814,-7.73994094488189,170.29299212598426
600,-0.65532,13.76278,-0.65532,13.76278,-7.74,162.55251968503936
620,-0.65532,13.76278,-0.65531,14.41814,-7.73994094488189,166.42275590551182
640,-1.31067,14.41814,-0.65531,14.41815,-11.610118110236222,170.29305118110238
660,-1.31067,14.41814,-1.31067,15.07351,-15.480354330708662,174.16328740157482
680,-1.31067,15.07351,-1.31066,16.38424,-15.480295275590551,185.77411417322836
700,-1.31066,16.38424,-1.31065,17.03961,-15.48017716535433,197.38494094488192
720,-1.31065,17.03961,-1.31065,17.69498,-15.480118110236223,205.125531496063
740,-1.31065,18.35034,-1.31065,19.0057,-15.480118110236223,220.60653543307086
760,-1.96601,18.35035,-1.966,19.00571,-23.220531496062993,220.6066535433071
780,-1.96601,19.00571,-1.96601,19.66108,-23.220590551181104,228.3471850393701
800,-1.96601,19.66108,-1.31063,20.9718,-19.350236220472443,239.95795275590552
820,-0.65523,20.97179,-1.31059,20.9718,-11.609173228346457,247.6983661417323
840,-1.31059,21.62716,-1.31059,22.28253,-15.479409448818897,259.3091929133858
860,-1.31059,22.93789,-1.31059,22.9379,-15.479409448818897,270.9200196850394
880,-1.31059,22.93789,-1.31059,23.59325,-15.479409448818897,274.7901968503937
900,-1.96595,23.59325,-1.31059,23.59325,-19.349645669291338,278.6604330708662
920,-1.31059,22.93789,-1.31059,23.59325,-15.479409448818897,274.7901968503937
940,-1.31059,23.59325,-1.31058,23.59325,-15.47935039370079,278.6604330708662
960,-1.31059,22.93788,-1.31059,22.28252,-15.479409448818897,267.0496062992126
980,-1.31059,22.28251,-1.31059,22.28251,-15.479409448818897,263.17925196850393
1000,-1.31059,20.97178,-1.3106,20.97177,-15.479468503937008,247.69812992125986
1020,-1.3106,20.3164,-0.65525,20.3164,-11.609350393700788,239.95748031496066
1040,-0.65526,20.31639,-0.65527,20.31639,-7.7393503937007875,239.9573622047244
1060,9.0000000000146e-05,19.66101,9.0000000000146e-05,19.66101,0.0010629921259859762,232.2166535433071
1080,7.9999999996971e-05,19.661,7.9999999996971e-05,19.66099,0.000944881889728004,232.21647637795277
1100,7.0000000000903e-05,19.66098,0.65543,19.66096,3.8710629921259887,232.21618110236219
1120,0.65543,19.00559,1.96616,20.97167,15.481830708661416,236.08618110236222
1140,7.86449,22.93775,10.48596,22.28237,108.36879921259842,267.04795275590556
1160,9.83059,22.28236,9.83059,22.28235,116.10933070866143,263.17742125984256
1180,9.83059,21.62699,9.83058,20.97162,116.1092716535433,251.566594488189
1200,9.83058,20.31625,9.83058,19.66088,116.10921259842519,236.0854133858268
1220,9.83057,19.0055,9.83057,17.69478,116.10909448818897,216.73393700787406
1240,10.48592,17.0394,10.48592,16.38403,123.84944881889764,197.38246062992124
1260,10.48591,15.0733,10.48591,14.41793,123.84933070866143,174.1608070866142
1280,10.48591,13.1072,10.48591,12.45183,123.84933070866143,150.9391535433071
1300,10.4859,11.1411,10.4859,10.48573,123.84921259842521,127.71750000000002
1320,10.4859,9.83036,10.48589,9.17498,123.84915354330708,112.23625984251969
1340,10.48589,7.86426,10.48589,7.20888,123.84909448818897,89.01460629921259
1360,10.48588,5.89815,11.14124,5.24279,127.71921259842522,65.79295275590552
1380,10.48588,4.58741,10.48588,3.93204,123.84897637795275,50.3117125984252
