T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65535999999999,9.9999999960687e-06,0.0,5.905511808701989e-05,3.870236220472382
40,0.0,0.65535999999999,0.0,0.65535999999999,0.0,7.740472440944764
60,-0.65535999999999,1.31072,0.0,0.65535999999999,-3.870236220472382,11.610708661417265
80,-0.65535999999999,0.656,-0.65535,0.65535999999999,-7.740413385826713,7.744251968503877
100,-0.65535999999999,1.31072,-1.31071,0.65535999999999,-11.610649606299154,11.610708661417265
120,-0.65535999999999,1.31072,-0.65536,0.65535999999999,-7.740472440944823,11.610708661417265
140,-1.31073,0.65535999999999,-1.31072,0.65535,-15.481003937007873,7.740413385826713
160,-1.31073,0.65535,-1.31072,0.65535999999999,-15.481003937007873,7.740413385826713
180,-1.31073,0.65537,-1.31072,0.65535999999999,-15.481003937007873,7.740531496062933
200,-1.96609,0.65535999999999,-1.31072,0.65535,-19.351240157480316,7.740413385826713
220,-1.96609,1.31072,-1.96608,0.65535,-23.221476377952758,11.610649606299212
240,-1.96609,0.65535,-1.96608,-1.0000000003174e-05,-23.221476377952758,3.8701181102362017
260,-9.17511,-1.31075,-14.41806,-0.65538,-139.3297440944882,-11.611003937007874
280,-15.72879,0.65535999999999,-15.72876,0.65537,-185.77293307086615,7.740531496062933
300,-15.72877,2.62146,-16.38413,2.62147,-189.64311023622045,30.96218503937008
320,-16.38414,2.62148,-16.38413,3.27684,-193.51340551181104,34.83259842519685
340,-16.38414,2.62148,-16.38413,2.62147,-193.51340551181104,30.962303149606303
360,-17.0395,3.27684,-17.03949,2.62147,-201.25387795275594,34.83253937007874
380,-17.03949,2.62148,-17.03949,2.62147,-201.2538188976378,30.962303149606303
400,-17.03953,2.62148,-17.03949,2.62147,-201.25405511811024,30.962303149606303
420,-17.0395,2.62146,-16.38413,1.9661,-197.38364173228348,27.091889763779527
440,-16.38414,2.62145,-16.38413,1.96608,-193.51340551181104,27.091712598425197
460,-16.38414,1.96608,-16.38414,1.96608,-193.51346456692912,23.221417322834647
480,-16.38414,2.62144,-16.38413,1.96608,-193.51340551181104,27.091653543307086
500,-16.38414,2.62144,-16.38413,2.62144,-193.51340551181104,30.96188976377953
520,-16.38414,2.62143,-16.38413,1.96607,-193.51340551181104,27.09153543307087
540,-16.38414,1.96607,-16.38413,1.96607,-193.51340551181104,23.221299212598424
560,-16.38414,1.96606,-15.72877,1.3107,-189.64316929133858,19.350944881889763
580,-16.38414,1.3107,-16.38413,1.3107,-193.51340551181104,15.480708661417323
600,-16.38414,1.96607,-16.38413,1.96607,-193.51340551181104,23.221299212598424
620,-16.38414,1.96607,-16.38413,1.96607,-193.51340551181104,23.221299212598424
640,-17.0395,2.62143,-16.38414,1.96606,-197.38370078740158,27.091476377952755
660,-17.0395,1.96607,-16.38414,1.96606,-197.38370078740158,23.221240157480317
680,-17.0395,1.96606,-17.0395,1.96607,-201.25393700787401,23.221240157480317
700,-17.0395,2.62143,-17.0395,2.62143,-201.25393700787401,30.96177165354331
720,-17.0395,2.62143,-17.0395,2.62144,-201.25393700787401,30.961830708661417
740,-17.69486,3.27681,-17.69485,3.93216,-208.99435039370076,42.57265748031496
760,-17.69486,3.93217,-17.69485,3.93217,-208.99435039370076,46.442952755905516
780,-18.35022,3.93217,-18.35021,3.93217,-216.73482283464566,46.442952755905516
800,-18.35022,3.93217,-18.35021,4.58753,-216.73482283464566,50.31318897637796
820,-18.35022,3.93218,-18.35021,3.93217,-216.73482283464566,46.443011811023624
840,-18.35021,3.93217,-19.00557,3.93217,-220.60500000000002,46.442952755905516
860,-19.00558,3.27681,-19.00557,3.2768,-224.47529527559055,38.702421259842524
880,-19.00557,3.2768,-19.66093,3.2768,-228.3454724409449,38.70236220472441
900,-19.66094,2.62144,-19.66093,2.62143,-232.21576771653542,30.961830708661417
920,-20.3163,2.62144,-20.31629,2.62143,-239.95624015748032,30.961830708661417
940,-20.97165,3.2768,-20.31629,3.27679,-243.82641732283466,38.7023031496063
960,-19.66094,4.58751,-19.66093,5.89823,-232.21576771653542,61.92366141732283
980,-18.35021,6.55359,-18.35021,7.20895,-216.73476377952758,81.27484251968504
1000,-19.00557,7.20896,-19.00556,7.86432,-224.47517716535435,89.01543307086615
1020,-19.00557,8.51969,-18.3502,7.86432,-220.6049409448819,96.75596456692914
1040,-19.00556,7.86433,-19.00556,7.20896,-224.47511811023622,89.01549212598425
1060,-19.00556,7.20896,-19.66092,6.5536,-228.34535433070866,81.27496062992127
1080,-19.66093,6.5536,-19.66092,5.89823,-232.2156496062992,73.53442913385828
1100,-19.66092,5.89824,-15.72872,5.89826,-208.99393700787402,69.66437007874016
1120,-14.41797,5.89828,-15.72869,6.55364,-178.0314566929134,73.53496062992126
1140,-16.38406,6.55364,-16.38406,5.89828,-193.5125196850394,73.53496062992126
1160,-16.38406,5.89828,-17.03942,5.24291,-197.3827559055118,65.79442913385827
1180,-17.03943,5.89827,-16.38406,5.2429,-197.38281496062993,65.79431102362206
1200,-17.03943,5.89826,-17.03942,5.24289,-201.2530511811024,65.79419291338583
1220,-17.03944,4.58752,-18.35015,4.58752,-208.99364173228346,54.18330708661417
1240,-17.69479,4.58752,-9.17503,3.93217,-158.68003937007876,50.31312992125985
1260,-3.93207,3.27683,-5.89814,2.62147,-58.05242125984252,34.83248031496063
1280,-7.20889,4.58756,-7.86424,5.24292,-89.01454724409447,58.054015748031496
1300,-8.51961,5.89828,-9.17496,5.89829,-104.49549212598424,69.66478346456692
1320,-41.94298,6.55365,-9.83033,5.89828,-305.7478937007874,73.53501968503937
1340,-9.17497,5.89828,-9.83033,5.89827,-112.23602362204724,69.66466535433071
1360,-9.83034,5.89828,-9.83033,5.24291,-116.10631889763779,65.79442913385827
1380,-9.83034,5.89828,-9.83033,5.24291,-116.10631889763779,65.79442913385827
1400,-9.83034,5.24291,-9.83033,4.58754,-116.10631889763779,58.05383858267717
1420,-9.83034,5.2429,-10.4857,5.24291,-119.97661417322836,61.924074803149615
1440,-10.4857,5.89828,-9.83034,5.24291,-119.97661417322836,65.79442913385827
1460,-10.4857,5.24291,-9.83034,4.58754,-119.97661417322836,58.05383858267717
1480,-10.48571,5.24291,-10.4857,4.58754,-123.84690944881889,58.05383858267717
1500,-10.48571,4.58755,-10.4857,4.58754,-123.84690944881889,54.18360236220473
1520,-10.4857,4.58754,-10.4857,4.58754,-123.84685039370079,54.183543307086616
1540,-10.4857,4.58754,-10.48569,5.2429,-123.84679133858268,58.05377952755905
1560,-10.48569,4.58755,-10.48569,4.58754,-123.84673228346458,54.18360236220473
1580,-10.48569,4.58755,-10.48569,4.58754,-123.84673228346458,54.18360236220473
1600,-9.83033,4.58754,-8.51959,5.89829,-108.36566929133859,61.92419291338583
1620,-8.51958,7.20904,-8.51957,7.20904,-100.62490157480315,85.14614173228347
1640,-8.51957,7.8644,-8.51957,8.51977,-100.62484251968505,96.75690944881889
1660,-9.17494,8.51978,-9.17492,7.86441,-108.36531496062992,96.75702755905512
1680,-9.17493,8.51978,-9.17492,9.17514,-108.36525590551182,104.49755905511813
1700,-9.17493,9.17515,-9.17492,9.8305,-108.36525590551182,112.2380905511811
1720,-9.83028,9.83051,-9.83028,10.48586,-116.10566929133859,119.97856299212599
1740,-9.17491,10.48586,-9.83026,11.14123,-112.2352559055118,127.71903543307086
1760,-10.48563,11.79659,-9.83025,12.45194,-119.97566929133859,143.19998031496064
1780,-9.83026,12.45195,-10.4856,14.41804,-119.97555118110238,158.68104330708664
1800,-10.48561,15.0734,-10.48559,16.38413,-123.84566929133858,185.77281496062992
1820,-11.14095,16.38414,-6.55339,17.69488,-104.49413385826772,201.25405511811024
1840,2.62176,19.00567,5.24328,20.31642,46.44708661417323,232.2170669291339
1860,4.58792,22.93789,3.93256,26.21472,50.317795275590555,290.2713188976378
1880,3.27721,28.83618,2.62186,30.80229,34.837027559055116,352.19568897637794
1900,1.96649,32.11303,1.9665,33.42377,23.226318897637796,387.02834645669293
1920,1.31114,34.73452,1.31115,36.04525,15.485964566929134,417.9907677165355
1940,0.65579,37.35599,0.6558,38.01137,7.745610236220473,445.0828346456693
1960,0.0004300000000014,38.01137,0.0004300000000014,37.35601,0.005078740157496851,445.0829527559055
1980,-0.65494,38.66673,0.0004199999999983,38.01137,-3.86527559055119,452.8234251968504
2000,0.0004200000000054,37.35601,0.65577,36.70064,3.8751377952756223,437.3424212598426
2020,0.65577,36.70064,0.65576,36.04528,7.745255905511811,429.6018897637795
2040,0.65575,36.04528,0.65575,36.04528,7.745078740157481,425.73165354330706
2060,1.3111,36.04527,1.96646,36.04527,19.355669291338582,425.7315354330709
2080,1.96645,36.04527,1.96646,36.04527,23.225846456692913,425.7315354330709
2100,2.62181,36.04527,2.62182,36.04527,30.966318897637795,425.7315354330709
2120,2.62181,36.04527,2.62182,36.04526,30.966318897637795,425.7314763779528
2140,3.93253,36.04526,3.93254,35.38989,46.44726377952756,421.86112204724407
2160,7.86472,34.73454,15.07379,35.38995,135.46364173228346,414.1210039370079
2180,15.72919,36.04532,15.72919,36.70069,185.7778346456693,429.6024212598425
2200,15.72919,38.01141,15.07384,39.32214,181.90765748031495,456.69419291338585
2220,15.07383,39.32214,15.07384,39.32213,178.03742125984255,464.4346653543308
2240,15.07383,39.9775,14.41848,39.32214,174.16718503937008,468.30496062992125
2260,14.41847,39.32213,14.41848,39.32213,170.29694881889765,464.43460629921265
2280,13.76311,38.66677,14.41847,38.0114,166.42665354330708,452.8238385826771
2300,13.7631,37.35604,13.76311,36.0453,162.55635826771655,433.47248031496065
2320,13.7631,35.38993,14.41847,34.73457,166.42659448818898,414.121062992126
2340,14.41845,33.42384,14.41846,32.76847,170.2967125984252,390.89946850393704
2360,14.41845,32.1131,14.41845,31.45773,170.2966535433071,375.41828740157484
2380,14.41844,30.80237,14.41845,30.147,170.296594488189,359.93722440944885
