T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,0.65535,-0.65536,0.0,-3.8701771653543116,3.8701771653543307
40,-0.65535,-9.9999999960687e-06,-0.65536,0.0,-7.7404133858267725,-5.905511808701989e-05
60,-0.65535,-9.9999999960687e-06,-0.65535,0.0,-7.740354330708661,-5.905511808701989e-05
80,-0.65534,-1.9999999999243e-05,-1.31071,-1.0000000003174e-05,-11.610531496062993,-0.00017716535434498227
100,-0.65534,-0.65537,-1.31071,-0.65537,-11.610531496062993,-7.740590551181103
120,-1.3107,-0.65538,-1.31071,-0.65537,-15.480767716535434,-7.740649606299213
140,-1.96606,-0.65537,-1.96607,-0.65537,-23.221240157480317,-7.740590551181103
160,-2.62142,-1.31073,-1.96606,-1.31073,-27.091417322834648,-15.481062992125985
180,-2.62142,-1.31074,-2.62142,-1.31073,-30.96165354330709,-15.481122047244094
200,-2.62141,-1.31074,-2.62142,-1.31073,-30.961594488188975,-15.481122047244094
220,-2.62141,-1.31074,-2.62142,-1.9661,-30.961594488188975,-19.351417322834646
240,-2.62141,-1.9661,-2.62142,-1.9661,-30.961594488188975,-23.221653543307088
260,-2.62141,-1.9661,-3.27678,-1.9661,-34.831830708661414,-23.221653543307088
280,-2.62141,-1.96611,-3.27678,-2.62146,-34.831830708661414,-27.09194881889764
300,-2.62141,-1.96611,-3.27677,-1.9661,-34.831771653543306,-23.221712598425196
320,-3.93213,-2.62147,-3.27677,-2.62147,-42.57224409448819,-30.962244094488188
340,-3.27676,-2.62147,-3.93213,-2.62146,-42.57218503937008,-30.96218503937008
360,-3.27677,-2.62148,-3.93213,-1.96611,-42.57224409448819,-27.09206692913386
380,-3.93212,-1.96612,-3.27677,-1.96612,-42.57218503937008,-23.22188976377953
400,-3.27677,-2.62149,-3.27677,-3.27685,-38.70200787401575,-34.83271653543307
420,-3.27677,-3.27685,-3.27677,-3.93221,-38.70200787401575,-42.573188976377956
440,-2.62141,-4.58758,-2.62141,-4.58757,-30.961535433070868,-54.18395669291339
460,-2.6214,-4.58758,-2.62141,-4.58758,-30.96147637795276,-54.1840157480315
480,-2.62141,-5.24294,-2.62141,-5.24294,-30.961535433070868,-61.924488188976376
500,-2.6214,-5.24295,-3.27677,-5.24294,-34.8317125984252,-61.9245472440945
520,-3.27677,-5.24295,-3.27677,-5.24294,-38.70200787401575,-61.9245472440945
540,-2.62141,-5.24295,-2.62141,-5.24294,-30.961535433070868,-61.9245472440945
560,-2.62141,-5.24295,-2.62142,-5.8983,-30.961594488188975,-65.79478346456693
580,-2.62141,-5.24295,-2.62142,-5.24294,-30.961594488188975,-61.9245472440945
600,-2.62141,-5.24295,-2.62141,-5.8983,-30.961535433070868,-65.79478346456693
620,-2.6214,-5.24295,-2.62141,-5.24294,-30.96147637795276,-61.9245472440945
640,-2.6214,-5.24294,-1.96605,-5.24294,-27.091240157480314,-61.924488188976376
660,-2.6214,-4.58758,-1.96604,-4.58758,-27.091181102362206,-54.1840157480315
680,-1.96604,-4.58759,-1.96604,-5.24294,-23.220944881889764,-58.05431102362205
700,-1.31068,-4.58758,-1.96605,-4.58758,-19.350767716535433,-54.1840157480315
720,-1.31068,-4.58758,-1.96605,-4.58757,-19.350767716535433,-54.18395669291339
740,-1.96605,-5.24294,-1.96606,-5.24293,-23.221122047244098,-61.92442913385827
760,-1.96605,-5.8983,-1.96605,-5.24293,-23.221062992125987,-65.79466535433072
780,-2.62141,-5.8983,-2.62141,-7.20902,-30.961535433070868,-77.40543307086614
800,-2.62141,-7.8644,-3.27677,-8.51976,-34.831771653543306,-96.7568503937008
820,-1.96604,-9.17512,4.58765,-9.17509,15.481948818897639,-108.36738188976379
840,8.51991,-9.1751,7.86454,-7.86437,96.75856299212599,-100.62679133858269
860,8.51989,-6.55365,7.86454,-5.24291,96.75844488188977,-69.66472440944882
880,7.86455,-5.24292,7.86454,-4.58755,92.88832677165354,-58.05395669291339
