T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,-9.9999999960687e-06,-0.65537,3.870177165354354,-7.740590551181103
40,0.65536,-1.31074,-9.9999999960687e-06,-1.31073,3.870177165354354,-15.481122047244094
60,0.65537,-1.31074,-9.9999999960687e-06,-0.65537,3.8702362204724636,-11.610885826771653
80,0.65536,-1.31074,0.65535000000001,-1.31073,7.740413385826831,-15.481122047244094
100,0.65537,-1.31074,0.65535000000001,-1.31073,7.7404724409449415,-15.481122047244094
120,1.31073,-1.31074,0.0,-1.31073,7.740531496062992,-15.481122047244094
140,1.31073,-1.9661,0.65536,-1.31074,11.610767716535433,-19.351417322834646
160,1.31073,-1.9661,0.65536,-1.9661,11.610767716535433,-23.221653543307088
180,0.65537,-1.96611,0.65536,-1.9661,7.740531496062992,-23.221712598425196
200,1.31005,-2.62148,0.65536,-1.96612,11.606751968503938,-27.09212598425197
220,1.31073,-2.62148,1.0000000003174e-05,-2.62147,7.740590551181121,-30.962303149606303
240,1.31074,-2.62149,0.65536,-2.62149,11.610826771653544,-30.962480314960633
260,1.31073,-3.27685,1.31072,-3.93222,15.481003937007873,-42.573248031496064
280,1.96609,-6.55369,2.62142,-10.48591,27.091594488188978,-100.62755905511811
300,3.93219,-24.90395,-2.62125,-49.15254,7.741771653543307,-437.34147637795274
320,-15.07278,-98.96029,-22.93663,-157.9433,-224.46501968503938,-1517.1471850393702
340,-25.55724,-209.7172,-22.93414,-249.69405,-286.36641732283465,-2713.058562992126
360,-17.03589,-271.97573,-20.96829,-271.31953,-224.4341338582677,-3208.4365748031496
380,-19.65757,-271.97438,-20.9683,-271.31878,-239.91655511811024,-3208.4241732283463
400,-16.38082,-271.97408,-10.48266,-271.31886,-158.64259842519684,-3208.422874015748
420,0.65827,-271.97461,6.55587,-271.31987,42.60318897637796,-3208.4319685039372
440,15.73033,-271.97595,19.66236,-264.76749,209.01194881889765,-3169.7447244094487
460,11.79802,-231.99981,7.86529,-197.26567,116.1219094488189,-2535.0323622047244
480,8.52007,-165.80821,9.83037,-137.62745,108.36874015748032,-1791.942874015748
500,11.79626,-113.37889,9.8301,-92.40713,127.7147244094488,-1215.2717716535433
520,9.17471,-74.71221,6.55326,-60.94949,92.8817125984252,-801.1517716535433
540,6.55328,-50.4636,5.24257,-41.9438,69.66053149606299,-545.7129921259842
560,4.58724,-35.39011,3.27652,-30.14715,46.43952755905513,-387.031062992126
580,3.27654,-28.18102,1.96582,-25.55953,30.958818897637794,-317.3654527559055
600,1.96839,-23.59342,1.31048,-21.6273,19.363405511811028,-267.05149606299216
620,1.3105,-20.97192,0.65513,-19.66117,11.608051181102363,-239.95919291338586
640,1.31051,-19.66116,0.65515000000001,-19.00579,11.608228346456752,-228.34812992125984
660,1.31052,-19.00579,0.65515000000001,-19.00578,11.608287401574863,-224.47777559055123
680,1.31053,-19.00577,0.65516,-18.35039,11.608405511811023,-220.6072440944882
700,1.31053,-18.35039,0.65516,-18.35038,11.608405511811023,-216.73683070866144
720,1.31054,-18.35039,1.31053,-17.69502,15.478759842519686,-212.86659448818895
740,1.96591,-17.69502,1.31054,-17.03965,19.349114173228347,-205.12600393700788
760,1.96591,-17.03964,1.31054,-16.38427,19.349114173228347,-197.38529527559055
