T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.3107,0.0,1.0000000003174e-05,-0.65535999999999,-7.740295275590532,-3.870236220472382
40,-1.3107,-1.31071,-0.65535,-1.31072,-11.610531496062993,-15.480885826771654
60,-1.3107,-1.31071,1.0000000003174e-05,-1.31072,-7.740295275590532,-15.480885826771654
80,-0.65534,-1.31072,5.24286,2.62144,27.091653543307086,7.740472440944883
100,-7.20915,9.17505,-10.48601,10.48579,-104.49897637795277,116.10732283464567
120,-7.20914,11.79652,-5.89842,12.45188,-77.4068503937008,143.1992125984252
140,-7.20913,12.45189,-5.89841,13.10725,-77.40673228346456,150.9398031496063
160,-6.55376,12.45189,-5.89841,13.10726,-73.53643700787401,150.93986220472442
180,-6.55374,13.76263,-7.2091,13.76264,-81.27661417322835,162.55080708661418
200,-8.51981,14.41801,-7.20909,15.07337,-92.88720472440944,174.16169291338582
220,-9.17515,15.72874,-8.5198,15.72875,-104.49773622047243,185.77257874015748
240,-10.48587,15.72875,-9.17516,15.07339,-116.10844488188977,181.90240157480315
260,-10.48587,16.38412,-9.17514,17.03949,-116.10832677165355,197.38352362204722
280,-9.83047,17.69487,-8.51973,19.00559,-108.36732283464568,216.73500000000004
300,-7.86433,20.31634,-9.83041,24.90387,-104.49649606299212,267.04848425196855
320,-13.10721,24.24853,-7.20893,22.28245,-119.97720472440946,274.78925196850395
340,-3.93208,26.21461,-1.96595,24.90391,-34.830885826771656,301.8810236220472
360,-3.93194,21.62713,-4.58724,19.66106,-50.310118110236225,243.8278937007874
380,-7.86396,18.35036,-9.82998,17.69501,-104.49177165354332,212.86635826771652
400,-15.07275,17.69502,-16.38339,17.69501,-185.7646062992126,208.9962401574803
420,-19.00476,17.69501,-19.66009,17.03964,-228.3357283464567,205.12588582677168
440,-20.97077,17.03964,-20.31542,17.03962,-243.81608267716535,201.25547244094489
460,-19.00471,17.69496,-15.07259,19.00566,-201.2438976377953,216.73594488188976
480,-13.10652,20.97174,-9.82974,22.93782,-135.45035433070868,259.3084251968504
500,-9.82972,24.9039,-8.51901,24.90389,-108.35864173228346,294.1404921259842
520,-9.8297,25.55926,-13.76183,25.55927,-139.3200590551181,301.88108267716535
540,-5.24193,24.90394,8.52073,25.55931,19.362992125984256,298.0113188976378
560,1.96709,26.87004,1.3117,26.87004,19.36293307086614,317.36267716535434
580,0.0009900000000016,27.5254,1.31168,28.83612,7.751988188976387,332.8436220472441
600,0.65632,28.83612,2.62238,29.49147,19.36240157480315,344.45427165354334
620,3.27774,29.49148,5.89916,29.49148,54.19429133858268,348.3245669291339
640,6.55453,29.49148,9.83133,30.14685,96.76688976377953,352.1948622047244
660,11.14206,29.4915,13.76349,29.49149,147.0800196850394,348.3247440944882
680,13.10813,29.4915,14.41884,29.49149,162.5608464566929,348.3247440944882
700,12.45277,28.83613,13.10811,28.83613,150.9500787401575,340.5842125984252
720,10.48667,28.83612,39.32254,28.83609,294.1488779527559,340.5839173228347
740,63.57108,28.83609,68.15863,28.83609,777.9313582677166,340.5837401574803
760,64.88179,29.49145,65.53713,29.49144,770.190472440945,348.3241535433071
780,65.53715,28.83607,66.1925,27.52534,777.9310039370079,332.8429724409449
800,66.19254,25.55926,66.19254,24.24855,781.801653543307,294.1406102362205
820,66.19258,22.93784,67.50332,22.93785,789.5427165354331,270.91942913385833
840,68.15873,23.59323,69.46948,24.24861,812.7650196850395,282.53055118110234
860,69.46952,26.21472,71.43562,28.18082,832.1169685039372,321.23350393700787
880,72.09102,30.8023,74.05711,33.42378,863.0795078740157,379.287874015748
900,74.05715,35.3899,75.36788,36.70064,882.431279527559,425.7315354330709
920,74.71255,38.01138,76.02327,38.01138,890.1721653543307,448.95330708661425
940,76.67865,38.66674,77.33401,38.01139,909.5235826771655,452.8236023622047
960,76.67865,36.70067,76.67865,36.04531,905.653346456693,429.60224409448824
980,77.33401,35.38995,80.61082,34.7346,932.7450590551183,414.1213582677165
1000,89.13062,33.42389,93.06279,32.11317,1075.9453346456694,387.0298818897638
1020,91.0967,31.45781,91.75201,29.49172,1079.8152165354331,359.9381692913386
1040,90.44127,26.87025,91.75193,23.59342,1075.944094488189,298.0137992125984
1060,90.44116,19.66122,90.4411,15.72902,1068.2023228346457,208.99748031496063
1080,89.13034,14.41828,89.78565,9.83072,1056.5904921259844,143.20275590551182
1100,87.81951,4.58779,88.4748,0.0002100000000027,1041.10812992126,27.094488188976396
1120,93.71772,-3.27664,97.64988,-6.55346,1130.1236220472442,-58.051771653543305
1140,96.33913,-7.20883,95.02835,-8.51957,1130.122913385827,-92.88425196850395
1160,94.37296,-9.8303,93.71757,-10.48568,1110.7708464566929,-119.97625984251968
1180,93.71758,-11.14104,94.37294,-11.14102,1110.7707874015748,-131.58696850393702
1200,93.7176,-11.14101,95.02831,-11.79637,1114.6412007874017,-135.45696850393702
1220,94.37298,-11.79636,95.68369,-11.79638,1122.381909448819,-139.32720472440946
1240,95.02834,-11.79638,95.68369,-13.10712,1126.2521456692914,-147.06791338582678
1260,93.7176,-13.10713,95.0283,-14.41786,1114.6411417322836,-162.54915354330709
1280,94.37295,-15.07324,94.37293,-15.07325,1114.6410236220472,-178.03045275590551
1300,100.92662,-15.07326,114.034,-16.38397,1269.4524803149607,-185.77104330708661
1320,115.34476,-16.38397,115.34473,-14.41787,1362.339507874016,-181.90062992125985
1340,115.34474,-12.45177,116.0001,-11.14104,1366.2096850393702,-139.32761811023622
1360,114.68939,-10.48567,115.34474,-11.79638,1358.4692716535433,-131.58690944881891
1380,114.03401,-10.48566,113.3786,-11.14104,1342.9878543307086,-127.71673228346457
1400,110.75714,-15.07323,110.10173,-17.69471,1304.2846653543306,-193.5114566929134
1420,108.13562,-19.66083,109.44629,-20.31621,1284.9325393700788,-236.0848818897638
1440,108.79092,-20.31622,112.72307,-20.31623,1308.1534842519686,-239.9554133858268
1460,127.14123,-20.97159,143.52547,-20.31619,1598.4253937007875,-243.82547244094488
1480,144.83622,-15.7286,144.83623,-13.76246,1710.6640748031498,-174.15980314960632
1500,144.83628,-13.76241,146.14703,-14.41775,1718.4053740157478,-166.41826771653544
1520,145.49168,-15.72845,146.14702,-18.3499,1722.2757874015747,-201.25009842519685
1540,144.18094,-20.97137,144.83627,-24.24819,1706.7945472440945,-267.04464566929136
