T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,-9.9999999960687e-06,-1.0000000003174e-05,-5.905511808701989e-05,-5.9055118128980315e-05
40,-9.9999999960687e-06,-0.65537,-9.9999999960687e-06,-0.65537,-0.00011811023617403978,-7.740590551181103
60,-9.9999999960687e-06,-0.65537,-9.9999999960687e-06,-0.65537,-0.00011811023617403978,-7.740590551181103
80,-9.9999999960687e-06,-1.31073,-1.9999999999243e-05,-1.31073,-0.0001771653543030219,-15.481062992125985
100,0.65534,-1.31073,0.65533,-1.31073,7.740177165354331,-15.481062992125985
120,0.65534,-1.96609,0.65533,-1.31074,7.740177165354331,-19.351358267716535
140,0.65534,-1.31073,0.65534,-1.9661,7.7402362204724415,-19.351358267716535
160,0.65534,-1.96609,0.65533,-1.9661,7.740177165354331,-23.221594488188977
180,0.65534,-1.96609,0.65533,-1.9661,7.740177165354331,-23.221594488188977
200,0.65533,-1.9661,0.65532,-1.96611,7.74005905511811,-23.221712598425196
220,0.65533,-1.9661,1.31069,-2.62146,11.610354330708663,-27.091889763779527
240,0.65533,-2.62146,0.65532,-2.62146,7.74005905511811,-30.96212598425197
260,0.65533,-2.62146,0.65532,-2.62147,7.74005905511811,-30.96218503937008
280,0.65533,-3.27683,0.65532,-3.27683,7.74005905511811,-38.70271653543307
300,0.65532,-3.27682,0.65531,-3.27683,7.73994094488189,-38.70265748031496
320,0.65531,-3.27683,1.31067,-3.27683,11.610118110236222,-38.70271653543307
340,1.31067,-3.27683,1.31067,-3.27683,15.480354330708662,-38.70271653543307
360,1.31067,-2.62147,1.96603,-3.27683,19.350590551181103,-34.83248031496063
380,1.31067,-3.27683,1.31066,-3.27683,15.480295275590551,-38.70271653543307
400,1.31067,-2.62147,1.31066,-3.27683,15.480295275590551,-34.83248031496063
420,0.6553,-2.62147,1.96602,-2.62147,15.48023622047244,-30.962244094488188
440,1.31067,-2.62147,1.31066,-2.62147,15.480295275590551,-30.962244094488188
460,0.6553,-2.62147,0.65531,-3.27683,7.73982283464567,-34.83248031496063
480,0.65531,-2.62147,0.65531,-2.62147,7.7398818897637796,-30.962244094488188
500,0.65531,-2.62147,-4.9999999994554e-05,-2.62147,3.8696456692913705,-30.962244094488188
520,-4.9999999994554e-05,-2.62146,-4.9999999994554e-05,-1.9661,-0.0005905511810380394,-27.091889763779527
540,-0.6554,-1.9661,-0.6554,-1.31074,-7.740944881889764,-19.351417322834646
560,-0.6554,-1.31073,-0.6554,-0.65537,-7.740944881889764,-11.610826771653544
580,-1.31075,0.0,-1.31075,0.0,-15.481299212598426,0.0
600,-1.31075,0.65537,-1.96611,1.31074,-19.351535433070868,11.610885826771653
620,-1.9661,1.96611,-1.9661,2.62147,-23.221653543307088,27.09200787401575
640,-2.62144,3.27685,-2.62145,3.93222,-30.96194881889764,42.573248031496064
660,-0.6553,5.24296,1.96622,5.89834,7.741653543307088,65.79507874015749
680,1.31089,7.86445,0.65554,9.83055,11.61277559055118,104.49803149606299
700,0.0001999999999995,11.79667,0.0002200000000058,13.76278,0.00248031496066063,150.94163385826772
720,-0.65513,14.41815,-0.65513,15.07353,-7.737755905511811,174.16346456692912
740,-1.31047,16.38426,-1.31048,17.03963,-15.478051181102364,197.38517716535435
760,-1.31047,16.38428,-1.31047,17.03964,-15.477992125984253,197.38535433070865
780,-1.31047,17.03964,-1.31047,17.03964,-15.477992125984253,201.2555905511811
