T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,-0.65537,0.65536,-0.65537,3.8701771653543116,-7.740590551181103
40,-1.0000000003174e-05,-0.65537,0.65536,-1.31073,3.8701771653543116,-11.610826771653544
60,0.65535,-1.31072,0.65537,-1.96609,7.740472440944881,-19.351240157480316
80,0.0,-1.31072,0.65537,-1.96609,3.8702952755905513,-19.351240157480316
100,0.0,-1.31071,0.65538,-1.31072,3.870354330708661,-15.480885826771654
120,0.65537,-1.31072,0.65539,-1.31072,7.740708661417324,-15.480944881889766
140,0.65537,-1.31072,1.31075,-1.31073,11.610944881889765,-15.481003937007873
160,0.65537,-1.31072,1.31074,-1.96609,11.610885826771653,-19.351240157480316
180,1.31073,-1.31072,1.9661,-1.96608,19.351358267716535,-19.351181102362204
200,1.31073,-1.96607,2.62146,-2.62145,23.221594488188977,-27.091653543307086
220,2.62144,-1.96608,2.62145,-2.62144,30.96194881889764,-27.091653543307086
240,2.62143,-1.96607,3.27681,-2.62144,34.832125984251974,-27.091594488188978
260,2.62143,-2.62143,2.62144,-2.62143,30.961830708661417,-30.96177165354331
280,2.62143,-1.96607,3.2768,-2.62143,34.83206692913386,-27.09153543307087
300,2.62142,-1.96607,3.2768,-1.96607,34.83200787401575,-23.221299212598424
320,3.27678,-2.62143,3.93215,-2.62144,42.57242125984252,-30.961830708661417
340,3.93124,-2.62143,4.58751,-2.62144,50.30757874015749,-30.961830708661417
360,4.58749,-3.2768,5.24286,-2.62144,58.05324803149606,-34.832125984251974
380,5.24285,-2.62144,5.24286,-2.62144,61.92348425196851,-30.96188976377953
400,5.24284,-2.62143,5.24286,-2.62144,61.9234251968504,-30.961830708661417
420,5.89821,-2.62144,6.55358,-2.62144,73.53419291338584,-30.96188976377953
440,5.24284,-2.62143,-6.55371,-0.65529,-7.741358267716533,-19.350708661417325
460,-12.45203,7.0000000000903e-05,-11.14131,-1.31065,-139.33074803149609,-7.739645669291334
480,-9.17522,-0.6553,-9.17522,-0.65531,-108.36874015748032,-7.73982283464567
500,-8.51988,-0.65531,-8.51986,-1.31067,-100.62838582677166,-11.610118110236222
520,-8.51988,-1.31067,-8.51986,-1.31067,-100.62838582677166,-15.480354330708662
540,-7.86452,-1.31066,-8.51986,-0.6553,-96.75814960629921,-11.61
560,-7.86451,-1.31066,-7.20914,-0.65531,-89.01761811023623,-11.61005905511811
580,-7.86452,-1.31066,-7.20914,-0.6553,-89.01767716535433,-11.61
