T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65535,9.9999999960687e-06,-0.65535999999999,5.905511808701989e-05,-7.740413385826713
40,0.0,-1.31071,0.65537,-1.96607,3.8702952755905513,-19.351062992125986
60,0.65535,-1.96607,0.65535999999999,-2.62143,7.740413385826713,-27.09153543307087
80,0.65535,-2.62143,0.65535999999999,-2.62144,7.740413385826713,-30.961830708661417
100,0.65535,-2.62145,0.65534,-2.62146,7.740295275590552,-30.96206692913386
120,0.65532,-1.96611,1.31068,-2.62149,11.61023622047244,-27.09212598425197
140,0.65531,-2.6215,0.65531,-2.62151,7.7398818897637796,-30.96265748031496
160,1.31066,-2.62151,1.31067,-2.62151,15.480295275590551,-30.96271653543307
180,1.31067,-2.62152,1.96603,-2.62153,19.350590551181103,-30.962893700787404
200,1.96602,-2.62153,1.96603,-2.62153,23.220767716535434,-30.962952755905512
220,1.96602,-2.62153,2.62138,-2.62154,27.09094488188976,-30.963011811023623
240,1.96602,-2.62154,2.62138,-2.62155,27.09094488188976,-30.963129921259842
260,2.62137,-2.62156,2.62138,-2.62156,30.961122047244096,-30.963307086614176
280,2.62137,-2.62156,2.62138,-2.62157,30.961122047244096,-30.963366141732287
300,3.27673,-2.62156,2.62138,-2.62157,34.83135826771654,-30.963366141732287
320,2.62138,-1.96621,2.62138,-2.62158,30.961181102362204,-27.093248031496064
340,2.62138,-1.96622,2.62138,-2.62158,30.961181102362204,-27.09330708661417
360,2.62138,-1.96622,2.62139,-1.96622,30.961240157480315,-23.223070866141732
380,2.62139,-1.96622,2.62139,-1.96622,30.961299212598426,-23.223070866141732
400,1.96603,-1.96622,1.96604,-1.96622,23.220885826771653,-23.223070866141732
420,1.96603,-1.31085,1.96604,-1.31085,23.220885826771653,-15.48248031496063
440,1.96603,-1.31085,1.96604,-0.65549,23.220885826771653,-11.612244094488188
460,2.6214,-0.65548,2.62141,-0.65549,30.96147637795276,-7.7419488188976375
480,2.6214,-0.65548,2.62141,-0.65549,30.96147637795276,-7.7419488188976375
500,1.96604,-0.65548,2.62142,-0.65549,27.091299212598425,-7.7419488188976375
520,2.62141,-0.65548,2.62141,-0.65549,30.961535433070868,-7.7419488188976375
540,2.62141,-0.65548,2.62142,-0.65549,30.961594488188975,-7.7419488188976375
560,2.62141,-0.0001299999999986,2.62142,-0.0001299999999986,30.961594488188975,-0.0015354330708496065
