T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535999999999,0.0,-9.9999999960687e-06,0.0,3.8701771653542942,0.0
40,-1.0000000003174e-05,0.0,-0.65537,-0.65537,-3.8703543307086803,-3.8702952755905513
60,0.65535999999999,0.0,0.0,-0.65537,3.870236220472382,-3.8702952755905513
80,-1.0000000003174e-05,0.0,-9.9999999960687e-06,-0.65536,-0.0001181102362160002,-3.8702362204724414
100,0.0,0.0,0.0,-0.65537,0.0,-3.8702952755905513
120,0.0,0.65536,0.0,0.0,0.0,3.8702362204724414
140,0.65535999999999,0.65536,0.0,0.0,3.870236220472382,3.8702362204724414
160,0.65535,0.65537,-0.65535999999999,0.0,-5.905511805095954e-05,3.8702952755905513
180,1.31072,1.31073,1.96611,1.31073,19.351358267716538,15.481062992125985
200,2.62148,1.9661,1.31076,1.9661,23.22188976377953,23.221653543307088
220,1.96612,3.27683,1.31075,2.62146,19.35159448818898,34.83242125984252
240,1.96611,2.62146,1.31075,1.9661,19.351535433070868,27.091889763779527
260,2.62148,2.62146,1.31076,1.9661,23.22188976377953,27.091889763779527
280,1.96612,2.62146,1.31076,1.9661,19.351653543307087,27.091889763779527
300,1.96612,3.27682,1.31076,2.62145,19.351653543307087,34.832303149606304
320,1.96612,2.62146,1.31076,1.96609,19.351653543307087,27.09183070866142
340,1.31076,1.96609,0.6554,1.31073,11.611181102362204,19.351299212598423
360,1.31077,1.31073,1.31077,0.65536,15.481535433070867,11.610767716535433
380,1.31077,1.31073,0.65541,1.31072,11.611299212598425,15.481003937007873
400,1.96613,1.31072,0.65541,1.31072,15.481535433070867,15.480944881889766
420,1.31077,1.31072,0.65541,0.65536,11.611299212598425,11.610708661417323
440,1.31077,0.65536,0.65541,0.65535,11.611299212598425,7.7404133858267725
460,1.31078,0.65536,6.0000000004834e-05,0.65536,7.7411811023622334,7.740472440944883
480,0.65542,0.65536,6.0000000004834e-05,-1.0000000003174e-05,3.8709448818897925,3.8701771653543116
500,0.65542,0.0,6.0000000004834e-05,-1.9999999999243e-05,3.8709448818897925,-0.00011811023621600198
520,0.65542,-1.0000000003174e-05,-0.6553,-0.65537,0.0007086614173228877,-3.8703543307086803
540,5.9999999997729e-05,-1.0000000003174e-05,-0.6553,-0.65537,-3.869527559055131,-3.8703543307086803
560,7.0000000000903e-05,-0.65537,7.0000000000903e-05,-1.31073,0.0008267716535539725,-11.610826771653544
580,0.65544,-0.65537,-0.65528999999999,-0.65537,0.0008858267717124536,-7.740590551181103
600,7.9999999996971e-05,-0.65536,-0.65528,-0.65537,-3.869291338582695,-7.740531496062992
620,7.9999999996971e-05,0.0,-0.65528,-0.65536,-3.869291338582695,-3.8702362204724414
640,9.0000000000146e-05,0.0,-0.65526999999999,-0.65536,-3.8691732283463964,-3.8702362204724414
660,-0.65526000000001,0.0,-1.31063,-0.65536,-11.609586614173287,-3.8702362204724414
680,-1.31063,-0.65536,-1.96598,-1.31072,-19.35005905511811,-11.610708661417323
700,-1.31062,-0.65536,-1.96598,-1.31072,-19.35,-11.610708661417323
720,-1.31062,-0.65535,-1.31062,-1.31072,-15.479763779527559,-11.610649606299212
740,-0.65526000000001,-1.31072,-1.31062,-1.31073,-11.609527559055175,-15.481003937007873
760,-0.65527,-1.31073,-0.65528,-1.31073,-7.739468503937009,-15.481062992125985
780,7.9999999996971e-05,-0.65537,-0.65528999999999,-1.31073,-3.869350393700746,-11.610826771653544
800,7.0000000000903e-05,-0.65537,-0.65528999999999,-1.31074,-3.869409448818833,-11.610885826771653
820,7.0000000000903e-05,-0.65537,-0.6553,-1.31074,-3.869468503937002,-11.610885826771653
840,7.0000000000903e-05,-1.31074,-0.65528999999999,-1.31074,-3.869409448818833,-15.481181102362205
860,7.0000000000903e-05,-1.9661,7.0000000000903e-05,-1.96611,0.0008267716535539725,-23.221712598425196
880,7.0000000000903e-05,-1.31074,-0.6553,-2.62147,-3.869468503937002,-23.221712598425196
900,5.9999999997729e-05,-2.62147,13.1074,-3.93221,77.40625984251967,-38.70283464566929
920,23.59335,-3.93221,20.97191,-3.27686,263.1806692913386,-42.573248031496064
940,20.97188,-1.31076,20.97189,-1.31077,247.69942913385827,-15.481476377952756
960,21.62725,-1.31076,20.97188,-1.31077,251.56966535433074,-15.481476377952756
980,21.62724,-1.31077,20.97188,-1.31077,251.5696062992126,-15.481535433070867
1000,21.62724,-0.6554,20.97188,-1.31077,251.5696062992126,-11.611240157480315
1020,21.62724,-0.65541,20.97188,-1.31077,251.5696062992126,-11.611299212598425
1040,21.62724,-0.65541,20.97188,-1.31077,251.5696062992126,-11.611299212598425
1060,21.62724,-0.65541,20.97187,-0.65542,251.5695472440945,-7.741122047244096
1080,22.2826,-0.65542,21.62724,-0.65542,259.3100787401575,-7.741181102362205
1100,21.62724,-5.000000000166e-05,20.97187,-0.65542,251.5695472440945,-3.8708858267716626
1120,22.28259,-5.000000000166e-05,21.62723,-0.65542,259.3099606299213,-3.8708858267716626
1140,21.62724,-0.65542,21.62724,-1.96615,255.43984251968504,-15.481712598425199
1160,22.2826,-1.31078,21.62724,-1.96615,259.3100787401575,-19.35194881889764
1180,21.62724,-1.96615,21.62724,-2.62152,255.43984251968504,-27.092539370078743
1200,22.2826,-2.62153,20.97188,-3.2769,255.43984251968504,-34.83324803149607
1220,21.62725,-3.27689,20.97188,-3.93227,251.56966535433074,-42.573779527559054
1240,21.62725,-3.93226,20.97444,-4.58763,251.58478346456693,-50.31431102362205
1260,21.62725,-4.58763,20.97189,-5.24299,251.5697244094488,-58.05484251968504
1280,21.62725,-5.24299,20.97189,-6.55372,251.5697244094488,-69.66561023622047
1300,21.62725,-6.55372,20.97189,-7.20908,251.5697244094488,-81.27637795275591
1320,21.62726,-7.20908,20.9719,-7.86445,251.56984251968504,-89.0169094488189
1340,21.62726,-7.20909,21.62726,-7.86446,255.44007874015747,-89.01702755905511
1360,22.28262,-7.86445,21.62727,-8.51982,259.31037401574804,-96.75750000000001
1380,21.62727,-7.86446,20.97191,-9.17518,251.56996062992124,-100.62779527559054
1400,21.62728,-8.51982,21.62728,-9.83054,255.4403149606299,-108.36826771653543
1420,21.62728,-9.17518,21.62728,-9.83054,255.4403149606299,-112.23850393700786
1440,21.62728,-9.83054,21.62729,-11.14127,255.44037401574803,-123.84927165354331
1460,22.28265,-10.48591,21.62729,-11.14127,259.31066929133857,-127.71956692913386
1480,22.28265,-10.48591,21.6273,-11.79664,259.3107283464567,-131.58986220472443
1500,22.28266,-11.79664,21.6273,-12.452,259.31078740157477,-143.20062992125986
1520,22.28266,-12.452,21.6273,-13.10737,259.31078740157477,-150.94116141732286
1540,22.28267,-13.10738,21.62731,-13.76274,259.31090551181103,-158.68181102362206
1560,22.28268,-13.76274,21.62732,-15.07347,259.31102362204723,-170.2925787401575
1580,22.28268,-15.07346,21.62732,-16.3842,259.31102362204723,-185.77358267716536
1600,21.62733,-16.3842,22.28269,-17.69492,259.3111417322835,-201.25464566929136
1620,22.93805,-17.69492,22.28269,-17.69493,267.05161417322836,-208.9951771653543
1640,23.5934,-17.69493,23.5934,-18.3503,278.66220472440943,-212.86553149606297
1660,24.90411,-18.3503,24.24874,-19.00566,290.27273622047244,-220.606062992126
1680,24.9041,-18.3503,24.24874,-18.35031,290.2726771653543,-216.73588582677164
1700,24.9041,-18.3503,24.90409,-19.00567,294.1428543307087,-220.6061220472441
1720,25.55945,-19.66104,17.03966,-19.00566,251.5695472440945,-228.3466535433071
1740,4.58763,-19.66102,1.3108,-19.00565,34.83324803149607,-228.34647637795277
1760,3.93228,-17.03956,3.27692,-17.03955,42.5740157480315,-201.25458661417323
1780,3.93227,-16.38419,3.27692,-16.3842,42.57395669291339,-193.51411417322834
1800,3.93228,-16.3842,3.93227,-17.03957,46.444192913385834,-197.38446850393703
1820,4.58763,-17.03957,3.93227,-17.69494,50.31437007874016,-205.12505905511813
1840,4.58763,-17.69494,3.93227,-18.35031,50.31437007874016,-212.86564960629923
1860,3.93227,-18.3503,3.93227,-17.69494,46.44413385826772,-212.8655905511811
1880,4.58763,-17.03958,3.93227,-17.69495,50.31437007874016,-205.12517716535433
1900,4.58763,-17.69495,3.93227,-17.03958,50.31437007874016,-205.12517716535433
1920,4.58763,-16.38423,3.27691,-16.38422,46.44413385826772,-193.51446850393702
1940,3.93227,-15.72886,3.27691,-14.41813,42.57389763779528,-178.03340551181103
1960,3.27691,-12.45203,2.62155,-12.45203,34.83342519685039,-147.07122047244096
1980,4.58764,-9.83058,8.51985,-10.48594,77.40643700787402,-119.97944881889765
2000,8.51987,-9.17521,7.20916,-5.89838,92.88797244094488,-89.01726377952755
2020,7.86452,-3.27692,7.20916,-3.93228,89.01779527559056,-42.5740157480315
2040,7.86453,-3.93228,7.86453,-4.58765,92.88814960629922,-50.31454724409449
2060,7.86453,-5.24301,7.86452,-5.24301,92.88809055118111,-61.92531496062992
2080,8.51989,-4.58765,7.86453,-4.58765,96.75838582677164,-54.18484251968504
2100,8.51989,-3.93228,7.86453,-3.93229,96.75838582677164,-46.44431102362205
2120,8.51989,-3.27693,17.69504,-2.62156,154.81257874015748,-34.83360236220473
2140,26.2149,-1.96618,23.59345,-0.0001000000000033,294.1437992125984,-11.611889763779546
2160,22.93808,2.62137,22.93809,2.62136,270.92226377952755,30.961003937007874
2180,22.93809,2.62137,22.28272,2.62136,267.05202755905515,30.961003937007874
2200,22.93808,1.96599,22.28271,1.96599,267.0519094488189,23.220354330708663
2220,22.28271,1.96599,22.28271,1.31063,263.18161417322835,19.35011811023622
2240,22.93807,1.96599,21.62735,1.31062,263.18161417322835,19.35005905511811
2260,22.28271,1.31063,21.62735,1.31062,259.31137795275595,15.479822834645669
2280,21.62735,1.31063,21.62735,0.65526,255.44114173228348,11.609586614173228
2300,21.62735,1.31062,20.97199,0.65526,251.57090551181102,11.609527559055119
2320,21.62735,1.31062,20.972,-0.0001099999999993,251.57096456692915,7.73923228346457
2340,20.972,-0.0001000000000033,20.972,-0.65547,247.70078740157481,-3.8714763779527748
2360,34.07935,-1.31083,47.84217,-0.65547,483.7885039370079,-11.612007874015749
2380,51.11905,1.31062,48.49759,2.62135,588.2872440944882,23.22029527559055
2400,49.15295,3.93208,49.15294,3.27671,580.546594488189,42.57159448818898
2420,50.46364,3.93207,49.80828,3.2767,592.1570078740157,42.571476377952756
2440,50.46363,3.27671,50.46363,2.62133,596.027125984252,34.830944881889764
2460,51.11898,2.62134,50.46362,2.62133,599.8972440944882,30.960649606299217
2480,51.11898,2.62133,50.46361,2.62132,599.8971850393701,30.960531496062995
2500,51.11897,2.62133,50.46361,1.96596,599.8971259842519,27.090295275590552
2520,51.77433,1.96596,50.46361,1.31059,603.7673622047243,19.34970472440945
2540,51.77433,1.96596,51.11897,1.31059,607.6375984251969,19.34970472440945
2560,51.11897,1.96595,50.4636,1.31059,599.8970669291339,19.349645669291338
2580,51.11897,1.96595,51.11896,1.31059,603.7673031496064,19.349645669291338
2600,51.77433,1.96595,51.11896,1.96594,607.6375393700787,23.219822834645672
2620,51.77432,1.96595,51.11897,1.31059,607.6375393700787,19.349645669291338
2640,51.77433,1.96595,51.77433,1.31058,611.5078346456693,19.34958661417323
2660,51.77433,1.31059,51.11896,0.65522,607.6375393700787,11.609114173228347
2680,52.42968,1.31059,51.77432,1.31058,615.3779527559055,15.47935039370079
2700,51.77432,1.31058,51.77432,0.65522,611.5077165354331,11.609055118110236
2720,52.42968,1.96595,51.77432,1.31058,615.3779527559055,19.34958661417323
2740,52.42968,1.31059,56.36188,1.96595,642.4698425196851,19.349645669291338
2760,70.12467,4.58742,74.71233,3.93206,855.3366141732283,50.311889763779526
2780,74.05695,6.55351,72.74623,7.20888,866.9479133858268,81.27395669291339
2800,74.05695,8.51961,73.40159,8.51962,870.8181496062992,100.62537401574804
2820,73.40159,9.17498,72.74622,9.17497,863.0776181102362,108.36584645669292
2840,73.40159,9.83034,72.74623,9.17497,863.0776771653543,112.23608267716537
2860,73.40159,9.17498,72.74623,9.17497,863.0776771653543,108.36584645669292
2880,73.40159,9.17498,72.74623,9.17497,863.0776771653543,108.36584645669292
2900,72.74623,9.17498,72.09087,8.51961,855.3372047244094,104.49561023622046
2920,72.74624,9.17497,72.09088,8.51961,855.3373228346456,104.49555118110237
2940,72.74624,8.51961,72.74624,7.86425,859.2075590551182,96.75507874015747
2960,72.74624,8.51961,72.09088,7.86425,855.3373228346456,96.75507874015747
2980,72.74624,7.86425,72.09088,7.20889,855.3373228346456,89.0146062992126
3000,72.74624,7.86425,72.09088,7.20889,855.3373228346456,89.0146062992126
3020,72.74625,7.20889,72.09088,6.55353,855.3373818897638,81.27413385826772
