T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65538000000001,0.65537,2.0000000006348e-05,1.31073,3.8704724409449778,11.610826771653544
40,3.0000000009522e-05,1.31073,-0.65532999999999,1.31073,-3.869881889763664,15.481062992125985
60,5.000000000166e-05,1.9661,-0.65532999999999,1.31073,-3.8697637795274895,19.351358267716535
80,-0.65530999999999,1.96611,-1.31068,2.62147,-11.610177165354271,27.09200787401575
100,-0.65530999999999,2.62147,-1.96603,2.62148,-15.480354330708602,30.962303149606303
120,-1.96602,1.96613,-2.61884,1.96612,-27.075944881889765,23.221948818897637
140,-1.96602,1.96613,-2.62138,1.96613,-27.09094488188976,23.22200787401575
160,-1.96601,1.96613,-3.27675,2.62149,-30.961181102362204,27.09224409448819
180,-1.96601,1.96613,-2.62138,1.96613,-27.090885826771654,23.22200787401575
200,-1.966,1.96613,-2.62138,1.31077,-27.090826771653543,19.351771653543306
220,-1.31066,1.96614,-1.31067,1.31078,-15.480295275590551,19.35188976377953
240,-0.6553,1.31078,3.9999999998486e-05,1.31078,-3.869645669291347,15.481653543307088
260,0.6554,1.31078,2.9999999995312e-05,1.31078,3.8706496062991844,15.481653543307088
280,1.31076,1.31078,0.65538000000001,1.31078,11.611062992126044,15.481653543307088
300,0.6554,1.96615,0.65539,1.31078,7.740885826771653,19.35194881889764
320,0.6554,1.31078,-0.65532999999999,1.31078,0.0004133858268307471,15.481653543307088
340,4.0000000012697e-05,1.31078,2.9999999995312e-05,0.65543,0.00041338582681895076,11.611476377952757
360,-0.65530999999999,0.65542,-0.65532,6.0000000004834e-05,-7.73994094488183,3.8709448818897925
380,-0.65530999999999,0.65542,-1.31067,0.65542,-11.61011811023616,7.741181102362205
400,5.000000000166e-05,6.0000000004834e-05,-1.31067,6.0000000004834e-05,-7.73988188976377,0.0007086614173799291
420,-0.65528999999999,6.0000000004834e-05,-1.31066,6.0000000004834e-05,-11.609940944881831,0.0007086614173799291
440,-0.65527999999999,6.0000000004834e-05,-1.31065,6.0000000004834e-05,-11.60982283464561,0.0007086614173799291
460,-0.65527999999999,0.65542,-1.31065,6.0000000004834e-05,-11.60982283464561,3.8709448818897925
480,-0.65526999999999,0.65543,-1.31063,6.0000000004834e-05,-11.60964566929128,3.8710039370079024
500,-0.65526,0.65542,-0.65528,0.65542,-7.739409448818898,7.741181102362205
520,-0.65526,0.65542,-0.65527,6.0000000004834e-05,-7.7393503937007875,3.8709448818897925
540,0.0001000000000033,6.0000000004834e-05,-65.53591,6.0000000004834e-05,-387.0225,0.0007086614173799291
560,0.0001200000000096,0.65542,-1.31061,5.000000000166e-05,-7.73911417322829,3.8708858267716626
580,-0.65522999999999,6.0000000004834e-05,-1.3106,-0.6553,-11.609232283464507,-3.8695275590550895
600,-0.65522,-0.6553,-1.31059,-0.65531,-11.609114173228347,-7.73982283464567
620,-1.31057,-0.6553,-1.31057,-0.6553,-15.479173228346458,-7.739763779527559
640,-1.31055,-0.6553,-7.20882,-1.31063,-50.31124015748032,-11.60982283464567
660,-10.48561,-1.96597,-9.83025,-1.96599,-119.97555118110238,-23.220236220472444
680,-9.17488,-1.31063,-9.83025,-1.31063,-112.23501968503938,-15.47988188976378
700,-9.83023,-1.31062,-10.48559,-1.31062,-119.97531496062992,-15.479763779527559
720,-10.48558,-1.31062,-10.48558,-1.96598,-123.84543307086615,-19.35
740,-10.48556,-1.31061,-10.48558,-1.96597,-123.84531496062992,-19.34988188976378
760,-9.83021,-1.96596,-9.83022,-2.62132,-116.10490157480316,-27.09023622047244
780,-9.17486,-2.62132,-9.83022,-3.27668,-112.23472440944882,-34.83070866141732
800,-9.17485,-2.62131,-9.83022,-3.27667,-112.23466535433072,-34.8305905511811
820,-9.17485,-2.62131,-10.48557,-2.62131,-116.10484251968504,-30.96035433070866
840,-9.8302,-1.96594,-11.14093,-1.96594,-123.8452559055118,-23.21976377952756
860,-10.48555,-1.96594,-11.14092,-1.96595,-127.71537401574804,-23.219822834645672
880,-11.1409,-1.31057,-9.83018,-0.65523,-123.84496062992126,-11.609055118110236
900,-2.62114,0.0001200000000025,-2.62113,-0.65525,-30.958287401574808,-3.868877952755891
920,-2.62112,0.65548,-2.62115,1.31083,-30.958287401574808,11.612066929133858
940,-1.96578,1.31083,-2.62115,1.31083,-27.088169291338588,15.48224409448819
960,-1.96577,1.9662,-2.62114,1.9662,-27.08805118110236,23.22283464566929
980,-2.62112,3.27693,-3.2765,1.96621,-34.828464566929135,30.963425196850398
1000,-2.62112,1.96621,-3.27649,1.96621,-34.82840551181103,23.222952755905514
1020,-2.62112,1.96621,-3.93185,1.9662,-38.69864173228347,23.222893700787402
1040,-3.27647,2.62157,-3.93184,2.62157,-42.56875984251969,30.963425196850398
1060,-3.27647,2.62158,-3.93183,2.62157,-42.568700787401575,30.963484251968506
1080,-3.93182,3.27693,-4.58719,3.27693,-50.309114173228345,38.70389763779528
1100,-3.93182,3.9323,-4.58718,3.9323,-50.30905511811024,46.44448818897638
1120,-4.58716,4.58766,-4.58717,4.58766,-54.179114173228356,54.18496062992126
1140,-3.9318,5.24303,-4.58717,5.89839,-50.30887795275591,65.7957874015748
1160,-4.58715,5.89839,-5.24252,6.55375,-58.04923228346457,73.53625984251968
1180,-4.58715,6.55375,-4.58715,7.20911,-54.17893700787402,81.27673228346457
1200,-4.58714,7.86447,-5.24251,7.86447,-58.049114173228354,92.88744094488189
1220,-3.27641,9.83055,5.24335,11.79661,11.615787401574808,127.71944881889765
1240,9.83094,11.79661,7.86485,13.10733,104.50269685039369,147.0705118110236
1260,7.86485,14.41805,7.20948,14.41806,89.02163385826772,170.2919881889764
1280,8.52021,14.41806,7.86484,14.41807,96.7621062992126,170.2921062992126
1300,8.52021,14.41808,8.52019,14.41809,100.63228346456692,170.29234251968504
1320,9.17555,15.07346,8.52019,14.4181,104.50240157480316,174.1627559055118
1340,9.17556,15.72883,8.52019,15.72883,104.50246062992126,185.77358267716536
1360,9.17556,16.38419,8.52018,16.3842,104.50240157480316,193.51411417322834
1380,9.83091,17.69492,9.17555,17.69492,112.24287401574804,208.99511811023623
1400,9.83092,19.00565,9.17555,19.00564,112.24293307086614,224.4761220472441
1420,10.48628,19.66101,20.31675,24.24849,181.90765748031495,259.30807086614175
1440,34.73481,25.55918,38.01166,26.21453,429.6051377952756,305.75025590551184
1460,37.35628,27.52525,37.35626,27.52525,441.21578740157486,325.1013779527559
1480,38.01162,28.1806,38.0116,28.18061,448.9560236220473,332.8417913385827
1500,38.01161,28.18061,38.0116,28.18061,448.9559645669292,332.84185039370084
1520,38.66696,28.83598,38.01159,28.83598,452.8260826771654,340.5824409448819
1540,38.0116,29.49135,36.70087,28.836,441.215374015748,344.4528543307087
1560,36.70087,29.49137,35.39014,28.83601,425.7343110236221,344.45303149606303
1580,35.39014,28.83602,34.07941,28.83602,410.25324803149607,340.58291338582677
1600,33.42406,28.83603,32.11333,28.83603,387.03183070866135,340.58303149606303
1620,34.07942,30.80211,45.87601,35.38961,472.17773622047247,390.8959842519685
1640,54.3958,35.38959,53.08508,36.70031,634.7296062992126,425.7277559055118
1660,53.74044,38.6664,53.74043,38.6664,634.7295472440945,456.6897637795276
1680,55.70652,39.97712,55.05115,40.63248,654.0807283464568,476.0409448818898
1700,56.36189,41.28784,55.70651,41.9432,661.8212598425197,491.5218897637795
1720,57.01725,42.59856,57.01724,43.25392,673.4320275590552,507.0028346456693
1740,57.67261,43.25393,57.01724,43.25393,677.3022637795276,510.87318897637795
1760,57.01725,43.25394,56.36188,43.25394,669.5617913385827,510.8733070866142
1780,56.36189,43.25395,55.70652,43.25395,661.8213188976379,510.87342519685046
