T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,-0.65535999999999,-1.0000000003174e-05,-3.870236220472382,-5.9055118128980315e-05
40,-0.65535999999999,-0.65536,-0.65535999999999,-1.0000000003174e-05,-7.740472440944764,-3.8702952755905704
60,-0.65535,-0.65536,-0.65535,-1.0000000003174e-05,-7.740354330708661,-3.8702952755905704
80,-0.65535,-0.65536,-0.65535,-1.0000000003174e-05,-7.740354330708661,-3.8702952755905704
100,-0.65535,-0.65537,-0.65535,-1.0000000003174e-05,-7.740354330708661,-3.8703543307086803
120,-0.65534,0.0,-0.65534,-1.0000000003174e-05,-7.7402362204724415,-5.9055118128980315e-05
140,-1.3107,-0.65536,-1.31071,-1.0000000003174e-05,-15.480767716535434,-3.8702952755905704
160,-1.3107,0.0,-1.3107,-1.0000000003174e-05,-15.480708661417323,-5.9055118128980315e-05
180,-1.3107,-0.65537,-1.3107,-1.0000000003174e-05,-15.480708661417323,-3.8703543307086803
200,-1.3107,-0.65537,-0.65534,-1.0000000003174e-05,-11.610472440944882,-3.8703543307086803
220,-1.3107,-0.65537,-1.3107,0.0,-15.480708661417323,-3.8702952755905513
240,-1.3107,-1.0000000003174e-05,-1.3107,-1.0000000003174e-05,-15.480708661417323,-0.00011811023625796063
260,-1.31069,-1.0000000003174e-05,-1.31069,-1.0000000003174e-05,-15.480590551181102,-0.00011811023625796063
280,-1.31069,0.0,-1.31069,-1.0000000003174e-05,-15.480590551181102,-5.9055118128980315e-05
300,-1.31069,-0.65536,-1.96605,-1.0000000003174e-05,-19.350826771653544,-3.8702952755905704
320,-1.96604,-0.65537,-1.96605,-1.0000000003174e-05,-23.221003937007875,-3.8703543307086803
340,-1.31068,-1.0000000003174e-05,-1.96604,0.65535,-19.350708661417325,3.8701181102362017
360,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05,-23.220944881889764,-0.00011811023625796063
380,-1.31068,-0.65536,-1.31068,0.65535,-15.480472440944883,-5.9055118110623105e-05
400,-1.31068,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05,-19.350708661417325,-0.00017716535434498227
420,-1.96604,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05,-23.220944881889764,-0.00017716535434498227
440,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05,-23.220944881889764,-0.00011811023625796063
460,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05,-23.220944881889764,-0.00011811023625796063
480,-1.96604,-0.65537,-2.6214,-1.9999999999243e-05,-27.091181102362206,-3.8704133858267675
500,-1.96604,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05,-23.220944881889764,-0.00017716535434498227
520,-1.96605,-0.65537,-1.96606,-0.65538,-23.221122047244098,-7.740649606299213
540,-1.3107,-1.31074,-0.65534,-1.31075,-11.610472440944882,-15.481240157480316
560,-0.65534,-1.31075,-0.65535,-0.65539,-7.740295275590552,-11.611062992125985
580,1.0000000003174e-05,-1.31075,-0.65535,-0.6554,-3.8701181102362017,-11.611122047244095
600,-0.65534,-1.31075,-1.31071,-0.65539,-11.610531496062993,-11.611062992125985
620,-0.65535,-1.31075,-1.31071,-0.65539,-11.610590551181103,-11.611062992125985
640,-1.31071,-1.31074,-1.31071,-0.65539,-15.480826771653545,-11.611003937007874
660,-1.3107,-1.31075,-1.96606,-0.65539,-19.350944881889763,-11.611062992125985
680,-1.96606,-1.31075,-1.96605,-0.6554,-23.221122047244098,-11.611122047244095
700,3.9323,-1.31076,8.51992,-1.31076,73.53673228346457,-15.481417322834645
720,7.86457,-0.6554,7.2092,1.31069,89.01832677165355,3.8698228346456682
740,7.2092,1.3107,6.55384,2.62142,81.27779527559055,23.221181102362205
760,6.55384,2.62143,6.55383,3.27678,77.4075,34.831948818897644
780,6.55384,2.62142,6.55385,2.62142,77.40761811023623,30.96165354330709
800,5.8985,1.96607,5.8985,1.96605,69.66732283464567,23.221181102362205
820,6.55387,1.3107,5.89851,1.31069,73.53767716535432,15.480649606299213
840,5.89851,0.65534,5.89851,1.31069,69.66744094488189,11.61041338582677
860,5.89851,-2.0000000006348e-05,-41.94276,-3.0000000002417e-05,-212.85974409448818,-0.0002952755906029429
880,5.24316,-0.65538,5.24315,-0.65539,61.92702755905512,-7.740767716535434
900,4.5878,-0.65539,10.48613,-0.65541,89.0192716535433,-7.740944881889764
920,27.52573,-1.31077,36.04555,-0.65542,375.4209448818898,-11.611358267716536
940,34.73483,-4.0000000005591e-05,34.07947,1.31067,406.38366141732286,7.739940944881857
960,34.07947,0.65532,34.07947,0.65531,402.5134251968504,7.73994094488189
980,34.07947,0.65531,34.07947,1.31067,402.5134251968504,11.610118110236222
1000,34.07948,1.31067,34.07949,1.31067,402.5136023622047,15.480354330708662
1020,34.07949,1.31067,34.07949,1.31067,402.51366141732285,15.480354330708662
1040,34.07949,1.31067,34.07949,1.96602,402.51366141732285,19.350531496062995
1060,34.73485,0.6553,34.07949,1.31066,406.3838976377953,11.61
1080,34.07949,0.65531,34.0795,0.6553,402.513720472441,7.73982283464567
1100,34.0795,0.6553,34.73486,0.65529,406.38401574803146,7.739704724409449
1120,34.73486,-7.0000000000903e-05,34.73487,0.65529,410.25431102362205,3.869409448818892
1140,34.07951,-0.65543,34.73487,-7.0000000000903e-05,406.3841338582677,-3.8710629921259887
1160,34.73488,-0.65543,34.73488,-8.0000000004077e-05,410.2544881889763,-3.8711220472441186
1180,34.73489,-1.31079,34.73489,-0.65544,410.2546062992126,-11.611594488188976
1200,34.73489,-1.3108,34.73489,-1.31081,410.2546062992126,-15.481948818897639
1220,47.18683,-1.96617,63.57102,-1.96618,654.0817913385828,-23.222539370078742
1240,74.05693,-3.93228,74.05695,-3.27693,874.6882677165354,-42.57407480314961
1260,73.40157,-2.62156,72.74621,-1.9662,863.077440944882,-27.093070866141733
1280,72.7462,-2.62155,72.09084,-2.62156,855.3368503937008,-30.96324803149606
1300,72.74619,-2.62156,72.74619,-2.62156,859.206968503937,-30.963307086614176
1320,72.74619,-2.62155,72.09083,-2.62156,855.3367322834646,-30.96324803149606
1340,72.09083,-3.27691,72.09084,-1.96619,851.4665551181103,-30.963188976377953
1360,71.43547,-2.62155,72.09084,-2.62155,847.5963188976378,-30.963188976377953
1380,72.09084,-2.62155,72.09084,-1.96619,851.4666141732283,-27.092952755905515
1400,72.09084,-2.62155,72.09084,-1.96619,851.4666141732283,-27.092952755905515
1420,72.09084,-2.62155,72.09084,-2.62156,851.4666141732283,-30.96324803149606
1440,76.02306,-2.62155,87.16435,-1.31082,963.7051771653544,-23.22265748031496
1460,90.44122,-1.96618,89.13049,-0.65546,1060.4628543307088,-15.48212598425197
1480,88.47513,-0.65545,88.47514,-0.65545,1044.981909448819,-7.741535433070866
1500,88.47514,-1.31082,87.81979,-1.31082,1041.1117913385826,-15.48212598425197
1520,87.81979,-1.31081,88.47516,-1.31082,1041.111909448819,-15.48206692913386
1540,87.8198,-1.31081,87.8198,-0.65546,1037.2417322834647,-11.611830708661417
1560,87.8198,-0.65545,87.8198,-0.65546,1037.2417322834647,-7.741594488188976
1580,87.8198,-0.65545,87.8198,-0.65546,1037.2417322834647,-7.741594488188976
1600,87.8198,-1.31081,87.8198,-0.65545,1037.2417322834647,-11.611771653543308
1620,87.16444,-1.31081,87.8198,-0.65546,1033.3714960629923,-11.611830708661417
1640,93.06274,-1.31081,104.8594,-0.0001000000000033,1168.831535433071,-7.741594488188996
1660,108.79166,-1.31081,107.48092,-0.0001000000000033,1277.2002755905512,-7.741594488188996
1680,107.48091,-9.0000000000146e-05,107.48091,1.31063,1269.4595669291339,7.739409448818897
1700,106.82555,0.65528,107.48092,1.31063,1265.5893897637795,11.609704724409449
1720,107.48091,0.65528,107.48091,1.31063,1269.4595669291339,11.609704724409449
1740,107.48092,1.31064,106.82555,1.31063,1265.5893897637795,15.479940944881891
1760,107.48092,1.31064,106.82556,1.966,1265.5894488188976,19.350236220472443
1780,106.82556,1.966,106.82556,1.96599,1261.7192125984252,23.22041338582677
1800,104.85947,1.31065,85.19839,-1.3108,1122.3889370078741,-0.0008858267716527901
1820,48.49777,-8.51977,8.52041,-15.07337,336.72153543307087,-139.32956692913385
1840,-13.10676,-18.35016,-15.07287,-15.07335,-166.4151377952756,-197.38293307086616
1860,-13.76213,-13.7626,-13.76213,-11.79652,-162.54484251968506,-150.9396850393701
1880,-13.76212,-12.45188,-14.41747,-10.48581,-166.41490157480317,-135.45879921259842
1900,-14.41746,-10.48579,-14.41746,-9.17508,-170.28496062992127,-116.1075
1920,-14.41746,-8.51971,-14.41746,-7.86435,-170.28496062992127,-96.75625984251968
1940,-13.76211,-7.20898,-13.76212,-6.55362,-162.5446653543307,-81.27519685039371
1960,-13.10678,-6.55361,-12.45145,-5.24289,-150.93442913385826,-69.66437007874016
1980,-11.14075,-5.89824,-11.14076,-5.89824,-131.58372047244094,-69.66425196850395
2000,-11.14078,-5.89823,-11.14079,-4.58751,-131.5840748031496,-61.92366141732283
2020,-11.14079,-4.58751,-9.83007,-0.65534,-123.84366141732283,-30.961712598425198
