T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,0.65536,0.65535000000001,0.65535999999999,7.740413385826831,7.740472440944823
40,1.31071,1.31072,1.31071,1.31072,15.480826771653545,15.480944881889766
60,1.96607,1.31072,1.96607,1.31071,23.221299212598424,15.480885826771654
80,5.89827,1.3107,9.17512,1.3107,89.01608267716536,15.480708661417323
100,9.17512,1.96606,9.17511,2.62143,108.3675,27.091476377952755
120,9.17511,3.27679,9.1751,3.2768,108.36738188976379,38.7023031496063
140,9.17511,3.93216,9.17511,3.2768,108.36744094488189,42.57259842519685
160,9.83047,3.27681,9.17512,3.27681,112.23773622047246,38.70248031496063
180,9.83048,3.93217,9.17512,3.93217,112.23779527559056,46.442952755905516
200,9.83048,3.93216,9.17512,3.27681,112.23779527559056,42.57265748031496
220,9.83048,3.93216,9.17512,3.27681,112.23779527559056,42.57265748031496
240,9.17512,3.2768,9.17512,2.62144,108.36755905511811,34.832125984251974
260,9.17512,2.62143,8.51976,-3.0000000002417e-05,104.49732283464566,15.48070866141731
280,7.86441,-3.27688,7.86442,-10.48592,92.88679133858268,-81.27637795275591
300,7.20906,-21.62716,6.5537,-38.01132,81.27614173228346,-352.19574803149607
320,3.93225,-53.74014,1.31083,-68.15823,30.963070866141734,-719.8722637795275
340,0.0001099999999993,-78.64416,2.62158,-91.75151,15.482421259842516,-1006.2736417322835
360,8.51986,-100.27131,15.07349,-102.23739,139.3308070866142,-1195.9175196850395
380,19.661,-95.68369,19.661,-85.19779,232.2165354330709,-1068.197716535433
400,20.97172,-74.05654,22.9378,-68.1582,259.30818897637795,-839.8508267716536
420,23.59315,-62.25988,24.2485,-58.98304,282.5294291338583,-716.0014960629921
440,24.90386,-55.70621,24.90386,-55.05083,294.1400787401575,-654.0770078740157
460,25.55922,-52.42938,26.21458,-49.80791,305.7507874015748,-603.7635236220473
480,26.21458,-49.15255,26.21458,-49.80791,309.6210236220473,-584.4121653543307
500,26.21458,-49.80792,25.55923,-51.77402,305.7508464566929,-599.8933464566929
520,24.90387,-54.39549,24.90386,-57.67232,294.1401377952756,-661.8177755905512
540,24.90386,-58.98307,24.24851,-59.63842,290.26990157480316,-700.5206102362205
560,23.59314,-60.94917,23.59313,-60.94916,278.6590748031496,-719.8720275590551
580,24.2485,-58.3277,23.59314,-57.01696,282.52937007874016,-681.169251968504
600,23.59314,-54.3955,23.59314,-52.42939,278.6591338582677,-630.8556496062992
620,24.2485,-50.4633,23.59315,-50.46328,282.5294291338583,-596.0231102362205
640,24.24851,-49.80792,24.24851,-49.80791,286.3997244094488,-588.2824606299213
660,24.24851,-48.49718,24.90388,-47.18644,290.27001968503936,-565.0607480314961
680,25.55924,-45.8757,26.2146,-45.8757,305.7510236220472,-541.8389763779528
700,26.21459,-43.90961,26.21459,-43.25423,309.6211417322835,-514.7470866141732
720,26.86996,-41.28814,27.52533,-40.63276,321.23202755905515,-483.78484251968507
740,27.52533,-39.9774,28.18069,-39.97739,328.97255905511815,-472.1739566929134
760,28.18069,-39.32202,24.24849,-39.32201,309.6211417322835,-464.4332480314961
780,22.93774,-38.01128,24.24846,-36.70054,278.65866141732283,-441.2115354330709
800,25.55919,-34.73444,25.55919,-34.07906,301.8801968503937,-406.3789370078741
820,25.55919,-32.76833,26.21455,-32.11296,305.7504330708661,-383.1572244094489
840,26.86991,-30.80223,26.86991,-30.14685,317.3611417322835,-359.9355118110237
860,27.52527,-29.49149,28.18063,-28.83612,328.9718503937008,-344.45438976377955
880,28.18063,-27.52539,28.18063,-26.87002,332.84208661417324,-321.2327362204724
900,28.836,-26.21465,28.836,-25.55928,340.5826771653543,-305.7515551181102
920,29.49136,-25.55928,28.836,-25.55928,344.4529133858268,-301.8812598425197
940,29.49136,-24.90392,28.836,-25.55928,344.4529133858268,-298.0110236220473
960,29.49137,-25.55928,28.83601,-25.55928,344.45303149606303,-301.8812598425197
980,28.83602,-24.90392,28.83602,-25.55928,340.58291338582677,-298.0110236220473
1000,28.83602,-25.55928,29.49138,-25.55927,344.4531496062992,-301.88120078740155
1020,29.49138,-24.24855,30.14673,-24.90391,352.193562992126,-290.27043307086615
1040,30.14673,-25.55928,30.14672,-26.87002,356.06368110236224,-309.6218503937008
1060,30.14672,-29.49149,29.49135,-36.70052,352.1933267716536,-390.8976968503937
1080,28.18065,-51.11862,24.9039,-74.05652,313.491437007874,-739.2232677165355
1100,24.24848,-102.23751,29.49112,-146.80273,317.35984251968506,-1470.7100787401575
1120,35.38911,-190.0571,30.1463,-214.9609,387.0201377952756,-2391.838582677165
1140,20.97158,-203.16407,26.21462,-184.81378,278.65866141732283,-2291.207775590551
1160,27.52546,-171.70646,32.11292,-170.3958,352.19515748031495,-2020.288937007874
1180,43.25388,-174.32809,60.29289,-183.50335,611.4966732283465,-2113.177795275591
1200,71.43379,-190.05697,84.54099,-186.77997,921.1109055118111,-2225.4150000000004
1220,78.64287,-173.01714,63.56967,-160.56508,839.8378346456692,-1969.9737401574805
1240,53.08644,-147.45762,45.21966,-133.69482,580.5478346456694,-1660.34905511811
1260,38.0108,-117.96596,32.76795,-102.89251,417.98474409448824,-1304.2823031496064
1280,31.45724,-86.50836,32.76797,-74.0564,379.2827362204725,-948.2170866141731
1300,34.0787,-64.88128,34.07872,-58.3276,402.5044488188977,-727.6114960629922
1320,34.73408,-52.42931,35.38945,-49.15247,414.11533464566924,-599.8924015748032
1340,36.04481,-45.22028,36.04481,-43.25417,425.7261023622047,-522.4869094488189
1360,36.70017,-40.63272,36.70016,-38.01126,433.4665157480315,-464.43295275590555
1380,37.35552,-36.70052,38.01088,-34.73442,445.0771653543307,-421.85988188976376
1400,38.01087,-32.76833,38.01086,-32.11296,448.94722440944884,-383.1572244094489
1420,38.01086,-30.14687,38.01086,-29.49149,448.9471653543307,-352.19503937007875
1440,38.66622,-28.18076,38.01085,-27.5254,452.81734251968504,-328.9733858267716
1460,38.6662,-26.87003,38.01084,-26.87004,452.81716535433077,-317.36261811023627
1480,38.01084,-26.87005,37.35548,-27.52541,445.07669291338584,-321.233031496063
1500,43.90914,-25.55934,53.73972,-22.28251,576.6664960629921,-282.53061023622047
1520,62.25954,-19.66106,64.22565,-18.35032,746.959783464567,-224.47665354330712
1540,64.22563,-15.72886,63.57026,-15.07348,754.7001377952755,-181.90358267716536
1560,64.88099,-13.76275,64.88098,-13.76275,766.3108464566928,-162.55216535433073
1580,64.88098,-13.76275,64.22561,-14.4181,762.4404921259842,-166.42234251968503
1600,64.2256,-13.76274,64.88096,-13.76273,762.44031496063,-162.55198818897637
1620,64.22559,-13.10736,64.88095,-12.45199,762.4401968503937,-150.9410433070866
1640,64.88095,-11.14126,64.88095,-10.48589,766.3104330708661,-127.71938976377953
1660,64.88094,-9.83052,64.88093,-9.17515,766.3102559055118,-112.23820866141732
1680,64.22557,-7.86443,64.22557,-7.86442,758.5697244094489,-92.8869094488189
1700,63.57019,-7.20906,63.57019,-7.20906,750.8290157480315,-85.14637795275591
1720,63.57018,-6.55369,62.91482,-6.55369,746.9586614173229,-77.4057874015748
1740,62.91482,-5.24297,62.91482,-5.24296,743.0884251968504,-61.92478346456693
1760,63.57018,-4.58759,61.60409,-4.5876,739.2181299212599,-54.18419291338583
