T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-2.0000000006348e-05,0.65536,-1.0000000003174e-05,1.31072,-0.00017716535438694092,11.610708661417323
40,-0.65538,1.96608,-0.65538,2.62144,-7.740708661417322,27.091653543307086
60,-0.65538,3.93215,-1.31074,4.58751,-11.610944881889765,50.31295275590551
80,-1.31075,7.20895,-1.31075,7.86431,-15.481299212598426,89.01531496062992
100,-1.31075,9.83039,-1.96612,9.83038,-19.35159448818898,116.1069094488189
120,-1.96613,12.45182,-1.96613,12.45182,-23.22200787401575,147.0687401574803
140,-2.6215,13.76254,-2.6215,14.41861,-30.962598425196852,166.42411417322833
160,-3.27686,15.07326,-3.27686,15.07325,-38.703070866141736,178.03057086614174
180,-3.27687,16.38397,-3.27686,15.72861,-38.703129921259844,189.64122047244095
200,-3.27687,16.38397,-3.27686,16.38396,-38.703129921259844,193.51139763779528
220,-3.93223,16.38397,-3.27686,15.7286,-42.573366141732286,189.64116141732288
240,-3.93223,17.03933,-3.93223,16.38397,-46.443661417322836,197.38169291338582
260,-3.93224,17.03933,-3.93224,17.03932,-46.44377952755906,201.25187007874015
280,-3.93225,17.03932,-4.5876,17.03932,-50.31407480314961,201.25181102362205
300,-4.58761,17.69468,-4.58761,16.38395,-54.18437007874016,201.25175196850395
320,-4.58761,17.69468,-4.58761,17.03931,-54.18437007874016,205.12198818897642
340,-5.24297,17.69467,-4.58762,17.03931,-58.054665354330716,205.1219291338583
360,-4.58762,17.69467,-4.58762,17.03931,-54.18448818897638,205.1219291338583
380,-4.58763,17.69467,-4.58762,17.69467,-54.18454724409449,208.9921653543307
400,-4.58763,17.69467,-4.58762,17.69466,-54.18454724409449,208.99210629921262
420,-4.58763,18.35003,-4.58763,17.69466,-54.1846062992126,212.86234251968506
440,-5.243,18.35002,-4.58763,17.69466,-58.05490157480315,212.86228346456693
460,-4.58764,19.00538,-4.58764,18.35002,-54.184724409448826,220.60275590551183
480,-4.58765,19.00538,-5.243,18.35001,-58.055019685039376,220.6026968503937
500,-5.24302,19.00537,-5.24301,18.35001,-61.925374015748034,220.60263779527557
520,-5.24302,19.00537,-5.24302,18.35001,-61.92543307086614,220.60263779527557
540,-4.58768,19.00537,-4.58768,18.35001,-54.1851968503937,220.60263779527557
560,-4.58769,19.00537,-5.24305,19.00537,-58.055551181102366,224.47287401574803
580,-5.24306,19.66072,-5.24306,19.00537,-61.925905511811024,228.34305118110234
