T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65536000000001,1.0000000003174e-05,0.65537,5.9055118128980315e-05,7.740531496063053
40,0.0,1.31073,-0.65535,1.31073,-3.8701771653543307,15.481062992125985
60,1.0000000003174e-05,1.9661,1.0000000003174e-05,1.9661,0.00011811023625796063,23.221653543307088
80,-0.65534,3.27682,1.0000000003174e-05,3.27683,-3.8700590551180913,38.70265748031496
100,-0.65535,3.27683,1.9999999999243e-05,3.27683,-3.870059055118115,38.70271653543307
120,1.9999999999243e-05,3.93219,1.9999999999243e-05,3.27684,0.00023622047243200396,42.573011811023626
140,1.9999999999243e-05,3.9322,1.9999999999243e-05,3.9322,0.00023622047243200396,46.443307086614176
160,0.65538,3.9322,0.65538,3.27684,7.740708661417322,42.573070866141734
180,1.31074,3.9322,1.9661,3.9322,19.351417322834646,46.443307086614176
200,1.9661,4.58756,1.9661,3.93221,23.221653543307088,50.31360236220472
220,1.9661,4.58756,1.96611,4.58757,23.221712598425196,54.18383858267716
240,1.96611,5.24293,1.96611,5.24293,23.221771653543307,61.92437007874016
260,1.96611,5.89829,1.96611,5.8983,23.221771653543307,69.66490157480315
280,1.31075,6.55365,1.96611,5.8983,19.351535433070868,73.53513779527559
300,1.96611,6.55366,1.31075,6.55367,19.351535433070868,77.40549212598427
320,1.31075,7.20902,1.96611,7.20903,19.351535433070868,85.14596456692914
340,1.31075,7.20902,1.31075,7.20903,15.481299212598426,85.14596456692914
360,1.31074,7.86439,1.31075,7.8644,15.481240157480316,92.88655511811024
380,0.65538,8.51975,1.9999999999243e-05,7.8644,3.8704724409448774,96.75679133858267
400,1.9999999999243e-05,8.51975,-0.65535,8.51976,-3.870059055118115,100.62702755905512
420,-0.65535,7.86439,-1.31072,7.8644,-11.610649606299212,92.88655511811024
440,-1.96608,7.86439,-1.96609,7.20904,-23.221476377952758,89.0163188976378
460,-2.62145,7.86439,-1.9661,7.86439,-27.09183070866142,92.88649606299214
480,-2.62146,7.86439,-1.96609,7.86439,-27.09183070866142,92.88649606299214
500,-1.96609,8.51975,-1.96609,7.86439,-23.221535433070866,96.75673228346459
520,-1.96609,7.86439,-1.31072,7.86438,-19.351240157480316,92.88643700787402
540,-1.31072,8.51974,-0.65535,7.86438,-11.610649606299212,96.75661417322834
560,-0.65535,8.51974,-0.65535,7.86438,-7.740354330708661,96.75661417322834
580,1.0000000003174e-05,8.51973,1.9999999999243e-05,7.86437,0.00017716535434498227,96.75649606299213
600,1.0000000003174e-05,7.86437,1.9999999999243e-05,8.51973,0.00017716535434498227,96.75649606299213
620,0.65538,8.51973,0.65538,8.51973,7.740708661417322,100.62673228346456
640,1.9999999999243e-05,9.17509,1.9999999999243e-05,9.17509,0.00023622047243200396,108.36720472440946
660,1.9999999999243e-05,9.17509,0.65538,9.17509,3.8704724409448774,108.36720472440946
680,1.9999999999243e-05,9.17509,0.65538,9.17509,3.8704724409448774,108.36720472440946
700,7.86444,9.17508,13.10743,8.51969,123.84962598425197,104.49667322834645
720,13.10741,9.17505,12.45204,9.17506,150.94163385826772,108.36679133858269
740,12.45205,10.48579,13.10741,9.83042,150.94169291338585,119.97761811023624
760,13.10741,9.83042,-49.80715,9.17506,-216.73074803149606,112.23708661417322
780,12.45205,9.83041,13.1074,9.17505,150.94163385826772,112.236968503937
800,12.45204,9.17505,12.45205,8.51969,147.0713976377953,104.49649606299215
820,12.45205,9.17504,12.45205,8.51968,147.0714566929134,104.49637795275589
840,12.45205,8.51968,12.45205,7.86432,147.0714566929134,96.75590551181102
860,15.07352,7.20895,22.938,5.8982,224.47748031496062,77.40442913385827
880,24.24874,5.24283,23.59336,5.24284,282.53208661417324,61.92324803149607
900,23.59337,5.8982,23.59337,5.8982,278.6618503937008,69.66377952755906
920,24.24874,5.24283,24.24874,5.24284,286.4024409448819,61.92324803149607
940,24.24874,5.24283,24.24874,5.24283,286.4024409448819,61.92318897637795
960,24.90411,5.24283,24.90411,4.58747,294.143031496063,58.05295275590551
980,24.90411,4.58747,24.90412,3.93211,294.1430905511811,50.31248031496063
1000,24.90412,4.58747,25.55948,4.58747,298.01338582677164,54.182716535433066
1020,24.90412,4.58747,24.90412,4.58747,294.14314960629923,54.182716535433066
1040,24.90413,5.24283,24.90413,4.58747,294.14326771653543,58.05295275590551
1060,24.90413,5.24283,24.24877,4.58747,290.273031496063,58.05295275590551
1080,24.24877,5.89819,24.24877,5.24284,286.40279527559056,65.79348425196851
1100,24.24877,5.24283,26.87024,5.24283,301.8839173228347,61.92318897637795
1120,40.63304,7.86426,45.87605,7.20888,510.88045275590554,89.01460629921259
1140,45.22066,7.86424,44.56529,8.51961,530.2319881889764,96.75501968503937
1160,44.5653,9.17497,45.22066,9.17497,530.2320472440945,108.3657874015748
1180,45.22066,9.17497,45.87601,7.86425,537.9724606299213,100.62531496062992
1200,46.53137,7.86424,46.53136,8.51961,549.5830511811024,96.75501968503937
1220,47.18672,9.17496,47.18673,8.5196,557.3235236220473,104.49543307086616
1240,47.18673,9.17497,47.8421,9.17497,561.1938779527559,108.3657874015748
1260,47.8421,9.17497,48.49747,9.17497,568.9344685039371,108.3657874015748
1280,49.15283,9.17496,49.15284,9.17496,580.5452952755907,108.36566929133859
1300,49.80821,9.83032,49.80821,9.83032,588.2859448818898,116.10614173228348
1320,50.46358,9.83032,51.11895,8.51959,599.8968307086615,108.36561023622048
1340,57.01983,9.8303,61.60494,7.86421,700.5399803149606,104.4951377952756
1360,61.60491,8.51956,61.6049,8.51958,727.6169881889764,100.62484251968505
1380,61.6049,9.17494,62.26026,8.51958,731.4871653543307,104.49519685039368
1400,62.26026,9.17494,61.60489,8.51959,731.4871062992127,104.49525590551181
1420,61.60488,8.51959,-49.80633,8.51959,69.67647637795275,100.62507874015749
1440,60.29414,8.51959,60.9495,9.17496,716.0057480314961,104.49537401574803
1460,60.29413,9.17497,60.29412,9.83032,712.1353346456693,112.23596456692913
1480,60.29411,10.48569,60.29411,11.14105,712.135157480315,127.71696850393703
1500,60.29411,11.79641,60.29412,11.79642,712.1352165354332,139.32773622047245
1520,60.29412,12.45177,60.29412,12.45178,712.1352755905511,147.06820866141732
1540,60.29411,12.45177,60.29412,12.45177,712.1352165354332,147.06814960629922
1560,60.94948,12.45177,60.29412,11.79641,716.0055118110237,143.19791338582678
1580,60.94948,11.79641,69.4693,13.76249,770.1896456692914,150.93838582677168
1600,82.5768,15.72855,85.85363,14.41782,994.6678937007874,178.0297440944882
