T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-9.9999999960687e-06,0.0,-5.905511808701989e-05
40,-1.0000000003174e-05,-0.65537,0.0,-1.31074,-5.9055118128980315e-05,-11.610885826771653
60,0.65535,-1.31073,0.65535,-1.31074,7.740354330708661,-15.481122047244094
80,1.3107,-1.31074,1.31071,-1.9661,15.480767716535434,-19.351417322834646
100,1.3107,-1.31074,1.3107,-1.9661,15.480708661417323,-19.351417322834646
120,1.3107,-1.9661,1.3107,-1.9661,15.480708661417323,-23.221653543307088
140,1.96606,-1.96611,1.96606,-1.9661,23.221181102362205,-23.221712598425196
160,1.96605,-1.9661,1.96607,-1.96611,23.221181102362205,-23.221712598425196
180,1.96606,-1.96611,1.96607,-1.96611,23.221240157480317,-23.221771653543307
200,1.96606,-2.62147,1.96607,-2.62147,23.221240157480317,-30.962244094488188
220,2.62142,-2.62147,2.62143,-2.62147,30.9617125984252,-30.962244094488188
240,2.62143,-2.62148,2.62143,-3.27683,30.96177165354331,-34.83253937007874
260,2.62142,-3.27684,2.62143,-3.27684,30.9617125984252,-38.70283464566929
280,2.62142,-3.27684,2.62143,-3.9322,30.9617125984252,-42.573070866141734
300,2.62143,-3.27684,3.2768,-3.93221,34.83206692913386,-42.57312992125985
320,2.62143,-3.93221,2.62144,-3.93221,30.961830708661417,-46.44342519685039
340,2.62143,-3.93221,3.27679,-4.58757,34.83200787401575,-50.31366141732284
360,2.62143,-4.58757,2.62144,-4.58757,30.961830708661417,-54.18389763779528
380,2.62143,-3.93222,2.62144,-4.58758,30.961830708661417,-50.313779527559056
400,2.62143,-4.58758,1.96608,-4.58758,27.091594488188978,-54.1840157480315
420,2.62143,-4.58758,1.96608,-4.58757,27.091594488188978,-54.18395669291339
440,1.96608,-4.58758,7.20904,-1.96613,54.183779527559054,-38.70301181102362
460,13.10739,-0.65538,15.72889,0.65536,170.29299212598426,-0.00011811023621993492
480,16.38424,1.0000000003174e-05,16.38425,0.65537,193.51470472440946,3.8703543307086803
500,16.38424,0.65536,17.03961,0.0,197.38494094488192,3.8702362204724414
520,16.38424,1.0000000003174e-05,16.38425,0.0,193.51470472440946,5.9055118128980315e-05
540,16.38425,0.0,16.38425,0.0,193.51476377952758,0.0
560,16.38424,0.0,16.38425,-9.9999999960687e-06,193.51470472440946,-5.905511808701989e-05
580,17.03961,-0.65537,17.03961,-9.9999999960687e-06,201.25523622047245,-3.8703543307086377
600,17.03961,-9.9999999960687e-06,17.03961,-9.9999999960687e-06,201.25523622047245,-0.00011811023617403978
620,16.38425,0.0,16.38426,-9.9999999960687e-06,193.5148228346457,-5.905511808701989e-05
640,16.38425,-9.9999999960687e-06,16.38426,-9.9999999960687e-06,193.5148228346457,-0.00011811023617403978
660,16.38425,0.0,16.38426,0.65536,193.5148228346457,3.8702362204724414
680,16.38425,0.65537,15.72889,1.31073,189.64452755905512,11.610826771653544
700,16.38424,1.31074,16.38425,1.96609,193.51470472440946,19.351358267716535
720,16.38424,1.9661,17.03961,1.9661,197.38494094488192,23.221653543307088
740,17.03959,2.62146,17.0396,3.27683,201.2550590551181,34.83242125984252
760,16.38423,3.9322,17.03959,4.58758,197.38476377952756,50.31366141732284
780,17.03959,5.89831,16.38423,6.55368,197.38476377952756,73.53537401574803
800,16.38421,7.86441,15.72887,7.86441,189.64417322834643,92.88673228346457
820,15.07351,9.17515,13.76279,9.83052,170.29311023622049,112.23820866141732
840,13.7628,9.83052,13.76281,10.48589,162.55281496062992,119.97879921259843
860,13.7628,10.48588,14.41817,9.17515,166.42305118110235,116.10844488188977
880,14.41818,8.51979,11.14136,7.20906,150.9421653543307,92.88690944881891
900,-1.96598,5.24298,-11.14111,5.24299,-77.40407480314961,61.92501968503937
920,-11.79649,6.55372,-10.48576,7.86445,-131.58809055118112,85.14667322834646
940,-11.14113,8.51982,-11.79648,9.17519,-135.45832677165353,104.49809055118111
960,-11.79649,9.17519,-11.79648,9.17519,-139.328562992126,108.36838582677166
980,-11.79649,9.17519,-11.79648,9.1752,-139.328562992126,108.36844488188977
1000,-12.45184,9.83057,-12.45183,9.83057,-147.06891732283466,116.10909448818897
1020,-13.10719,10.48594,-12.45182,10.48594,-150.93903543307087,123.84968503937007
1040,-13.10719,10.48594,-13.10718,11.1413,-154.8092716535433,127.71992125984252
1060,-13.76255,11.1413,-12.45181,11.79666,-154.8092125984252,135.4603937007874
1080,-2.62125,15.07348,3.93253,15.72887,7.743779527559055,181.90364173228346
1100,5.24329,16.38425,3.93256,17.03961,54.188090551181105,197.38500000000005
1120,1.96647,17.69498,0.65576,17.69498,15.485610236220474,208.99582677165355
1140,-0.65496,17.69498,-0.65496,18.35034,-7.735748031496063,212.86606299212596
1160,-0.65497000000001,19.0057,0.000399999999999,19.0057,-3.8655708661417973,224.47677165354332
1180,0.0003899999999958,19.0057,0.65575,19.0057,3.8748425196850147,224.47677165354332
1200,1.31109,19.0057,1.96646,19.00569,19.355610236220475,224.47671259842525
1220,2.6218,19.00569,3.27716,19.00569,34.8363779527559,224.47665354330712
1240,3.27715,19.00569,3.93251,19.00568,42.57673228346457,224.476594488189
1260,4.58786,19.00568,5.24323,19.00567,58.05761811023622,224.47647637795276
1280,5.89858,19.00568,6.55395,19.00567,73.53856299212599,224.47647637795276
1300,6.55394,19.00567,7.20931,18.3503,81.27903543307086,220.6061220472441
1320,7.86466,18.3503,7.86467,18.3503,92.8897440944882,216.73582677165356
1340,7.86467,17.69494,8.52004,17.69493,96.76009842519684,208.99529527559056
1360,7.86467,17.03957,7.86467,16.38421,92.88980314960631,197.38452755905513
1380,7.20931,16.38421,7.20931,15.72885,85.14933070866142,189.64405511811023
1400,7.2093,16.38421,7.2093,15.72885,85.1492125984252,189.64405511811023
1420,7.86464,15.72886,7.86465,15.0735,92.88950787401575,181.9037007874016
1440,7.86464,15.72886,7.86464,15.07351,92.88944881889763,181.9037598425197
1460,8.51999,15.72887,8.51999,15.72887,100.6298031496063,185.77405511811025
1480,8.51998,16.38424,9.17535,16.38424,104.49998031496062,193.51464566929133
1500,9.17534,16.38425,9.8307,16.38425,112.2403937007874,193.51476377952758
1520,9.17534,16.38425,9.8307,17.03961,112.2403937007874,197.38500000000005
1540,9.8307,17.03961,9.8307,17.03961,116.11062992125984,201.25523622047245
1560,9.83069,17.03961,9.83069,17.03961,116.11051181102363,201.25523622047245
1580,10.48605,17.03961,19.66121,20.31643,178.035,220.60653543307086
1600,31.45789,24.24865,37.35625,24.90404,406.38271653543313,290.27179133858266
1620,38.66697,25.55941,39.97768,26.21477,464.4369094488189,305.753031496063
1640,39.97766,26.21477,40.63304,25.55941,476.0474409448819,305.753031496063
1660,41.28839,25.55941,41.28839,25.55941,487.6581496062992,301.8827952755906
1680,41.28838,25.55941,41.94374,25.55941,491.5282677165354,301.8827952755906
1700,41.94373,24.90405,41.28838,24.90405,491.52820866141735,294.1423228346457
