T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535,1.0000000003174e-05,0.0,0.0,-3.8701771653543307,5.9055118128980315e-05
40,-0.65535,1.0000000003174e-05,0.0,0.65537,-3.8701771653543307,3.8703543307086803
60,-0.65535,0.65537,-0.65537,0.0,-7.740472440944881,3.8702952755905513
80,-1.31072,-0.65535999999999,-0.65536,-0.65536,-11.610708661417323,-7.740472440944823
100,-1.31071,-0.65535999999999,-0.65536,1.0000000003174e-05,-11.610649606299212,-3.870177165354253
120,-1.31071,2.0000000006348e-05,-0.65536,1.0000000003174e-05,-11.610649606299212,0.00017716535438694092
140,-1.31071,-0.65534,-0.65536,1.0000000003174e-05,-11.610649606299212,-3.8700590551180913
160,-0.65534,3.0000000002417e-05,-0.65535,0.65539,-7.740295275590552,3.8705905511811167
180,-0.65534,0.6554,9.9999999960687e-06,0.65539,-3.870059055118134,7.740885826771653
200,-0.65534,0.65541,1.9999999999243e-05,1.31076,-3.870000000000005,11.611240157480315
220,-0.65534,0.65542,1.9999999999243e-05,1.31077,-3.870000000000005,11.611358267716536
240,-0.65533,0.65541,1.9999999999243e-05,1.31077,-3.8699409448818933,11.611299212598425
260,-1.31069,1.31078,1.9999999999243e-05,1.31078,-7.740177165354335,15.481653543307088
280,-1.31069,1.31079,-0.65534,1.31078,-11.61041338582677,15.481712598425199
300,1.9999999999243e-05,1.31078,0.65536,0.6554,3.8703543307086568,11.611299212598425
320,0.65536,0.65539,1.96607,0.65538,15.480885826771654,7.740767716535434
340,1.96607,0.65538,2.62142,0.65537,27.091476377952755,7.740649606299213
360,2.62143,1.31075,3.27678,1.9661,34.831948818897644,19.351476377952757
380,2.62143,1.96611,3.27678,2.62147,34.831948818897644,27.09200787401575
400,2.62144,2.62149,3.27679,3.27683,34.83206692913386,34.83259842519685
420,2.62144,3.27685,3.27679,3.27684,34.83206692913386,38.7028937007874
440,1.96608,3.27685,2.62143,3.93221,27.091594488188978,42.573188976377956
460,1.31071,3.93221,1.96607,3.93221,19.351062992125986,46.44342519685039
480,1.31071,3.27685,1.31071,3.27684,15.480826771653545,38.7028937007874
500,-7.86439,3.93223,-20.31633,5.89833,-166.4215748031496,58.05448818897638
520,-24.2485,7.20908,-22.28242,7.86445,-274.7888976377953,89.0169094488189
540,-22.93777,8.51983,-22.28242,9.17519,-267.0483661417323,104.49814960629921
