T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535,-1.0000000003174e-05,-1.0000000003174e-05,-0.65535,3.8701181102362017,-3.8702362204724596
40,0.65535,0.0,-1.0000000003174e-05,0.0,3.8701181102362017,0.0
60,0.65535,0.65535,-1.0000000003174e-05,0.0,3.8701181102362017,3.8701771653543307
80,-9.9999999960687e-06,-1.0000000003174e-05,-0.65537,0.65536,-3.8703543307086377,3.8701771653543116
100,-9.9999999960687e-06,0.65536,-0.65537,0.65536,-3.8703543307086377,7.740472440944883
120,-9.9999999960687e-06,0.65536,0.0,0.65537,-5.905511808701989e-05,7.740531496062992
140,0.0,0.65535,-1.31073,0.65536,-7.740531496062992,7.7404133858267725
160,-0.65537,0.65535,-1.96608,1.31072,-15.481003937007873,11.610649606299212
180,-1.31073,0.65535,-1.96609,0.65536,-19.351299212598423,7.7404133858267725
200,-1.31073,1.31072,-1.96608,1.31072,-19.351240157480316,15.480944881889766
220,1.0000000003174e-05,1.96607,5.24296,4.58754,30.96242125984254,38.702421259842524
240,7.20909,6.55363,5.243,7.20899,73.53596456692914,81.27531496062993
260,5.89836,7.20899,5.243,7.20899,65.79543307086615,85.14555118110236
280,5.89836,7.20898,4.58764,6.55363,61.925196850393704,81.27525590551181
300,5.24299,6.55362,4.58764,6.55442,58.05490157480315,77.40968503937009
320,5.243,7.20898,4.58764,7.20899,58.05496062992127,85.14549212598426
340,4.58764,7.20898,3.93228,7.20899,50.314488188976384,85.14549212598426
360,-0.65528,8.51971,-7.20894,9.17509,-46.442244094488196,104.4968503937008
380,-6.55358,9.83045,-6.55356,9.83045,-77.40437007874017,116.10767716535435
400,-5.8982,10.4858,-7.20892,10.48582,-77.40425196850394,123.84814960629923
420,-6.55356,11.14117,-7.20892,10.48581,-81.27448818897638,127.71838582677168
440,-7.20892,11.14116,-7.86427,10.48581,-89.01490157480315,127.71832677165355
460,-6.55356,11.14116,-7.86427,10.48581,-85.14466535433071,127.71832677165355
480,-7.86427,11.14116,-8.51963,10.48581,-96.75531496062993,127.71832677165355
500,-7.86428,11.14117,-9.17499,10.48581,-100.62561023622047,127.71838582677168
520,-8.51963,10.4858,-9.17499,9.83044,-104.4957874015748,119.97779527559055
540,-9.17499,9.83043,-9.83035,9.83044,-112.23625984251967,116.1075
560,-9.175,9.17508,-9.83036,9.17508,-112.23637795275593,108.36708661417323
580,-9.17501,8.51972,-9.17502,8.51973,-108.3663188976378,100.62667322834645
600,-8.51967,7.86435,-9.17503,7.209,-104.49625984251968,89.01584645669291
620,-8.51968,7.20899,-9.17505,7.209,-104.49643700787402,85.14561023622048
640,-7.86434,6.55363,-9.17506,5.89828,-100.62637795275592,73.53490157480316
660,-8.5197,5.89827,-9.83043,5.24292,-108.3669094488189,65.79442913385827
680,-9.17507,5.89827,-9.83043,5.24292,-112.23720472440947,65.79442913385827
700,-9.17508,5.89827,-3.27676,6.55362,-73.53448818897638,73.53478346456693
720,1.9662,7.20898,0.0001200000000025,7.20898,11.612125984251984,85.14543307086615
740,-0.65525,7.86434,-0.65525,7.20899,-7.7391732283464565,89.0157283464567
760,-0.65525,7.86434,-1.96597,7.86435,-15.47964566929134,92.88596456692913
780,-1.31061,7.86434,-2.62133,7.86435,-23.22011811023622,92.88596456692913
800,-2.62134,8.51971,-3.27669,7.86435,-34.830885826771656,96.75625984251968
820,-2.62134,7.86434,-3.2767,7.86435,-34.830944881889764,92.88596456692913
840,-3.2767,8.5197,-3.93206,8.51971,-42.57141732283465,100.62643700787402
860,-3.2767,8.5197,-3.93206,8.5197,-42.57141732283465,100.62637795275592
880,-3.2767,8.5197,-3.93206,8.5197,-42.57141732283465,100.62637795275592
900,-3.2767,8.5197,-4.58742,8.51971,-46.44165354330708,100.62643700787402
920,-3.2767,7.86434,-4.58742,7.86434,-46.44165354330708,92.88590551181103
940,-3.93205,8.5197,-4.58741,7.86434,-50.31177165354331,96.75614173228347
960,0.65552,8.51969,3.27701,8.5197,23.223602362204723,100.6263188976378
980,3.27702,8.51968,2.62165,9.17505,34.83466535433071,104.49643700787402
1000,3.27702,9.17505,2.62166,9.17505,34.83472440944882,108.36673228346457
1020,2.62166,9.17504,2.62166,9.17505,30.96448818897638,108.36667322834647
1040,2.62167,9.17504,1.96631,9.17505,27.09437007874016,108.36667322834647
1060,2.62167,9.17504,1.96631,8.51969,27.09437007874016,104.49643700787402
1080,1.96631,9.17504,1.31095,9.17505,19.353897637795278,108.36667322834647
1100,1.96631,9.17504,1.31096,9.17505,19.353956692913385,108.36667322834647
