T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,0.0,0.0025499999999994,0.65536,0.014999999999977559,3.8702362204724414
40,0.65535,0.65535,0.65537,0.65536,7.740472440944881,7.7404133858267725
60,0.65536,0.65536,0.65537,1.31072,7.740531496062992,11.610708661417323
80,1.31072,0.65535,1.31073,1.31072,15.481003937007873,11.610649606299212
100,1.31072,0.65535,1.96609,1.31072,19.351240157480316,11.610649606299212
120,1.96609,1.31071,1.96611,1.96608,23.221653543307088,19.351122047244097
140,1.96609,1.96608,2.62147,1.96608,27.091889763779527,23.221417322834647
160,2.62146,1.96607,2.62148,1.96608,30.962244094488188,23.221358267716536
180,2.62146,1.96608,2.62148,1.96608,30.962244094488188,23.221417322834647
200,2.62147,1.96607,2.62148,1.96608,30.962303149606303,23.221358267716536
220,3.27683,1.96607,2.62149,1.96607,34.83259842519685,23.221299212598424
240,3.27684,1.31071,2.62149,1.96607,34.83265748031496,19.351062992125986
260,3.27684,1.96607,3.27686,1.96607,38.702952755905514,23.221299212598424
280,3.27685,1.96606,3.27686,1.96607,38.70301181102363,23.221240157480317
300,2.62149,1.31071,3.27687,1.96607,34.832834645669294,19.351062992125986
320,3.27685,1.96607,2.62151,1.96607,34.832834645669294,23.221299212598424
340,3.27685,1.3107,2.62151,1.96607,34.832834645669294,19.351003937007874
360,3.27685,1.3107,2.62151,1.31071,34.832834645669294,15.480767716535434
380,2.6215,0.65534,5.24296,1.3107,46.443661417322836,11.610472440944882
400,11.14125,1.31069,13.10736,1.96605,143.2004527559055,19.350826771653544
420,11.14124,1.96605,10.48588,2.62142,127.71921259842522,27.091358267716533
440,6.55367,1.96606,-1.9999999999243e-05,2.62143,38.70265748031497,27.091476377952755
460,-0.6554,2.62143,0.65535000000001,3.2768,-0.00029527559049214065,34.83206692913386
480,1.3107,3.27679,0.65535000000001,3.2768,11.61053149606305,38.7023031496063
500,1.3107,3.27679,1.31072,3.93216,15.480826771653545,42.57253937007874
520,1.96607,3.93216,1.96609,4.58753,23.221417322834647,50.31312992125985
540,1.96608,4.58753,1.96609,5.24289,23.221476377952758,58.053661417322836
560,1.96608,5.24289,1.96609,5.89826,23.221476377952758,65.79419291338583
580,1.96608,5.89825,1.96609,5.89826,23.221476377952758,69.66442913385826
600,3.93218,5.89825,7.8644,6.55362,69.66484251968504,73.53466535433071
620,9.17513,6.55361,9.17514,7.20899,108.36773622047244,81.27519685039371
640,8.51976,7.20898,8.51978,7.86435,100.62720472440947,89.0157283464567
660,9.17513,7.86433,9.17514,7.86434,108.36773622047244,92.88584645669292
680,9.17513,7.86434,9.17514,7.86434,108.36773622047244,92.88590551181103
700,9.17513,7.86433,9.17515,7.86434,108.36779527559057,92.88584645669292
720,9.17513,7.86433,9.17515,8.5197,108.36779527559057,96.75608267716535
740,9.17513,7.86433,9.17514,8.5197,108.36773622047244,96.75608267716535
760,9.17514,7.86433,8.51979,8.51969,104.49761811023622,96.75602362204724
780,8.51978,8.51969,8.51979,8.5197,100.6273818897638,100.6263188976378
800,8.51978,8.51969,8.5198,8.5197,100.6274409448819,100.6263188976378
820,8.51978,8.51969,7.86443,9.17506,96.75714566929133,104.49655511811024
840,8.51978,8.51969,7.86443,9.17506,96.75714566929133,104.49655511811024
860,7.86442,8.51969,7.86443,9.17506,92.8869094488189,104.49655511811024
880,7.86442,9.17505,7.86443,9.17506,92.8869094488189,108.36679133858269
900,7.86442,9.17505,8.51979,9.17506,96.75714566929133,108.36679133858269
920,7.86442,9.17505,7.86443,9.17506,92.8869094488189,108.36679133858269
940,7.20906,9.17506,7.20908,9.17506,85.14649606299213,108.36685039370079
960,7.86443,9.17505,11.79664,9.17505,116.1086811023622,108.36673228346457
980,12.45201,8.51968,11.14129,9.83041,139.33051181102363,108.36667322834647
1000,11.14128,9.83041,11.14384,10.48579,131.60503937007874,119.9775590551181
1020,11.14128,9.83042,10.48593,10.48578,127.7197440944882,119.9775590551181
1040,11.14127,9.83042,11.14128,9.83042,131.58986220472443,116.10732283464567
1060,11.14127,9.83041,11.79664,9.83042,135.46009842519683,116.10726377952757
1080,12.45198,9.17505,12.45199,9.83041,147.07068897637797,112.236968503937
1100,12.45197,9.17505,12.45198,9.83042,147.07057086614174,112.23702755905512
1120,12.45198,9.17505,12.45199,9.83041,147.07068897637797,112.236968503937
1140,12.45198,9.17505,12.45199,9.83042,147.07068897637797,112.23702755905512
1160,12.45198,9.17505,12.45199,9.83041,147.07068897637797,112.236968503937
1180,12.45198,9.17505,12.45198,9.17505,147.07062992125987,108.36673228346457
1200,12.45198,9.17505,11.79663,9.17505,143.2004527559055,108.36673228346457
1220,12.45197,9.17504,12.45199,9.17505,147.07062992125987,108.36667322834647
1240,12.45197,9.17505,11.79663,9.17505,143.2003937007874,108.36673228346457
1260,12.45198,9.17504,15.07345,9.17504,162.55175196850394,108.36661417322834
1280,21.62712,9.17503,24.90399,9.83039,274.79001968503934,112.23673228346458
1300,24.24862,9.83039,23.59326,10.48577,282.53078740157486,119.97732283464568
1320,23.59325,10.48576,24.24862,10.48576,282.5307283464567,123.84755905511813
1340,24.2486,10.48576,23.59326,10.48576,282.5306692913386,123.84755905511813
1360,23.59324,10.48576,24.24861,10.48576,282.53061023622047,123.84755905511813
1380,23.59324,10.48576,23.59324,10.48577,278.66031496062993,123.84761811023623
1400,23.59323,10.48577,23.59324,11.14113,278.6602559055118,127.71791338582678
1420,23.59323,11.14112,22.93788,11.14113,274.79001968503934,131.58809055118112
1440,22.93787,11.14112,22.93788,10.48577,270.91978346456693,127.71785433070869
1460,22.28251,10.48577,22.28251,11.14113,263.17925196850393,127.71791338582678
1480,22.28251,10.48576,22.28251,11.14113,263.17925196850393,127.71785433070869
