T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,0.65535999999999,9.9999999960687e-06,0.0,0.0001181102362160002,3.870236220472382
40,-0.65535,0.0,9.9999999960687e-06,0.65537,-3.870118110236243,3.8702952755905513
60,-0.65534,0.0,9.9999999960687e-06,9.9999999960687e-06,-3.870059055118134,5.905511808701989e-05
80,-1.3107,0.65535999999999,2.9999999995312e-05,0.65536,-7.740177165354359,7.740472440944823
100,-1.96605,0.65535999999999,-1.31069,0.65537,-19.350826771653544,7.740531496062933
120,-1.96605,0.65537,-1.31069,0.65537,-19.350826771653544,7.740590551181103
140,-1.96604,1.31073,-1.30813,0.65537,-19.335649606299214,11.610826771653544
160,-1.96603,0.65537,-1.96604,0.65537,-23.220885826771653,7.740590551181103
180,-2.62139,0.65537,-1.96604,0.65537,-27.0911220472441,7.740590551181103
200,-2.62139,1.31073,-1.96603,0.65537,-27.091062992125984,11.610826771653544
220,-2.62139,0.65537,-1.96603,0.65537,-27.091062992125984,7.740590551181103
240,-3.27674,1.31073,-1.96602,0.65538,-30.961181102362207,11.610885826771653
260,-2.62138,1.31073,-1.96603,0.65538,-27.091003937007876,11.610885826771653
280,-3.27674,0.65537,-2.62138,0.65538,-34.831417322834646,7.740649606299213
300,-2.62138,1.31073,-1.96602,0.65538,-27.09094488188976,11.610885826771653
320,-3.27674,0.65537,-1.96602,0.65538,-30.961181102362207,7.740649606299213
340,-2.62138,0.65537,-1.96604,0.65537,-27.091062992125984,7.740590551181103
360,-2.62139,9.9999999960687e-06,-1.31068,9.9999999960687e-06,-23.220885826771653,0.00011811023617403978
380,-1.96604,9.9999999960687e-06,-1.31069,9.9999999960687e-06,-19.350767716535433,0.00011811023617403978
400,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06,-11.61029527559061,0.00011811023617403978
420,-1.96605,0.65537,-0.65532,9.9999999960687e-06,-15.480531496062994,3.8703543307086377
440,-1.31068,0.65537,-0.65532,0.65537,-11.61023622047244,7.740590551181103
460,-1.31068,0.65537,-0.65533000000001,9.9999999960687e-06,-11.61029527559061,3.8703543307086377
480,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06,-11.61029527559061,0.00011811023617403978
500,-1.31069,0.0,-1.31069,9.9999999960687e-06,-15.480590551181102,5.905511808701989e-05
520,-1.96605,0.0,-0.65533000000001,0.0,-15.480590551181162,0.0
540,-1.31068,0.65535999999999,-1.96606,9.9999999960687e-06,-19.350826771653544,3.8702952755904687
560,-6.55362,0.65537,-4.58753,0.65536,-65.79419291338583,7.740531496062992
580,-5.24288,0.65535999999999,-3.93216,0.65536,-54.18330708661418,7.740472440944823
600,-5.24288,1.31072,-3.93217,0.65536,-54.183366141732286,11.610708661417323
