T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.31073,0.0,-0.65537,0.0,-11.610826771653544
40,-1.31071,-1.96524,-0.65535,-1.96609,-11.610590551181103,-23.216515748031497
60,-1.3107,-3.27681,0.6554,-3.2768,-3.8698818897637794,-38.702421259842524
80,7.2091,-6.5536,9.83061,-5.89822,100.62820866141732,-73.53437007874017
100,9.17525,-6.55358,9.17525,-5.24285,108.36909448818898,-69.66395669291339
120,9.17526,-5.24284,9.83063,-5.24283,112.23950787401576,-61.92324803149607
140,9.83063,-5.89818,9.83064,-4.58745,116.10986220472441,-61.92301181102363
160,9.83066,-3.27672,11.14139,-2.62134,123.85068897637795,-34.831062992125986
180,10.48604,-3.27669,9.83069,-1.3106,119.98068897637795,-27.090295275590552
200,9.8307,-1.96595,9.8307,0.0001400000000018,116.11062992125984,-11.609114173228338
220,9.17535,0.65551,9.83071,1.96624,112.24051181102364,15.482775590551181
240,9.17536,1.96624,9.17535,3.27698,108.37033464566929,30.963897637795277
260,9.17535,2.62162,9.17534,3.93235,108.37021653543307,38.704547244094485
280,9.17534,3.93235,9.17534,5.24307,108.37015748031497,54.18555118110237
300,9.17534,5.24307,9.8307,5.89844,112.2403937007874,65.7963188976378
320,9.83071,4.58771,10.48607,5.24308,119.98098425196852,58.05584645669292
340,10.48608,4.58771,11.14144,5.89844,127.7215748031496,61.92608267716536
360,11.14144,4.58772,11.7968,5.24308,135.4620472440945,58.05590551181103
380,11.79681,5.24307,11.79682,6.55379,139.33246062992126,69.66649606299214
400,12.45219,6.55379,12.4522,7.86451,147.0731692913386,85.1474409448819
420,12.4522,7.20914,13.10757,7.8645,150.94352362204725,89.01755905511811
440,13.10757,7.86451,13.76293,8.51987,158.68405511811025,96.75814960629921
460,13.76293,8.51987,14.41828,9.8306,166.42446850393702,108.36891732283466
480,14.41827,9.17524,15.07362,10.48596,174.16470472440946,116.10944881889765
500,15.07362,11.14132,16.38434,12.45204,185.77535433070867,139.3308661417323
520,16.38434,13.76276,17.03969,16.38422,197.3860039370079,178.03334645669293
540,17.03968,16.38422,17.69502,17.69494,205.12618110236224,201.2548818897638
560,17.69501,18.35029,19.00571,19.00566,216.73653543307086,220.60600393700787
580,18.35034,19.00566,19.00569,19.66102,220.60647637795273,228.34653543307087
600,19.00567,19.66102,19.00565,20.97175,224.4762992125984,239.9573031496063
620,17.03954,20.97175,5.89823,21.62715,135.4592716535433,251.56830708661417
640,-1.96362,21.62715,-1.3108,23.59324,-19.33712598425197,267.0495472440945
660,-1.31081,24.2486,-0.65546,24.24861,-11.611830708661417,286.40084645669293
680,-1.31083,22.93789,-1.96622,20.97182,-19.35265748031496,259.30931102362206
