T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,0.0,0.65536,0.0,3.8702952755905704,0.0
40,0.65536,-1.0000000003174e-05,0.65536,0.0,7.740472440944883,-5.9055118128980315e-05
60,0.65536,-1.0000000003174e-05,0.65536,0.0,7.740472440944883,-5.9055118128980315e-05
80,0.65536,-1.0000000003174e-05,0.65536,-0.65536,7.740472440944883,-3.8702952755905704
100,0.65536,-0.65537,0.65536,0.0,7.740472440944883,-3.8702952755905513
120,0.65536,-1.0000000003174e-05,1.31072,0.0,11.610708661417323,-5.9055118128980315e-05
140,0.65535000000001,0.0,0.65535000000001,0.0,7.740354330708779,0.0
160,1.31071,0.65535000000001,1.31072,0.0,15.480885826771654,3.8701771653543897
180,1.31072,0.0,1.31071,0.0,15.480885826771654,0.0
200,0.65536,0.0,0.65535000000001,1.0000000003174e-05,7.740413385826831,5.9055118128980315e-05
220,1.31071,0.65536,1.31071,0.0,15.480826771653545,3.8702362204724414
240,1.31071,0.0,1.96607,0.0,19.351062992125986,0.0
260,1.31071,0.0,1.3107,-0.65536,15.480767716535434,-3.8702362204724414
280,1.31071,0.0,1.96606,-0.65536,19.351003937007874,-3.8702362204724414
300,1.3107,-0.65536,1.96606,-0.65536,19.350944881889763,-7.740472440944883
320,1.3107,-0.65536,1.3107,-0.65535,15.480708661417323,-7.7404133858267725
340,1.3107,-0.65536,1.3107,-0.65535,15.480708661417323,-7.7404133858267725
360,0.65534,-0.65536,0.65534,-0.65536,7.7402362204724415,-7.740472440944883
380,0.65535000000001,-0.65536,0.65534,-0.65536,7.74029527559061,-7.740472440944883
400,0.65534,-0.65537,0.65534,-1.31072,7.7402362204724415,-11.610767716535433
420,0.65535000000001,-1.31072,0.65534,-1.31072,7.74029527559061,-15.480944881889766
440,0.65534,-1.31073,0.65534,-1.31072,7.7402362204724415,-15.481003937007873
460,0.65534,-0.65537,0.65534,-1.31072,7.7402362204724415,-11.610767716535433
480,0.65535000000001,-0.65536,0.65535000000001,-0.65535,7.740354330708779,-7.7404133858267725
500,-9.9999999960687e-06,-0.65536,0.65534,-0.65536,3.870059055118134,-7.740472440944883
520,0.65535000000001,-0.65536,0.65534,0.0,7.74029527559061,-3.8702362204724414
540,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05,7.740354330708779,5.9055118128980315e-05
560,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05,7.740354330708779,5.9055118128980315e-05
580,0.65536,0.0,0.65535000000001,1.0000000003174e-05,7.740413385826831,5.9055118128980315e-05
600,0.65536,0.0,0.65535000000001,1.0000000003174e-05,7.740413385826831,5.9055118128980315e-05
620,0.65536,0.0,0.65535000000001,-0.65535,7.740413385826831,-3.8701771653543307
640,0.65536,0.0,0.65535000000001,-0.65535,7.740413385826831,-3.8701771653543307
660,0.65536,0.0,0.65535000000001,0.0,7.740413385826831,0.0
680,0.65536,0.0,0.65535000000001,1.0000000003174e-05,7.740413385826831,5.9055118128980315e-05
700,0.65535000000001,0.0,0.65535000000001,-0.65535,7.740354330708779,-3.8701771653543307
720,0.65535000000001,0.0,0.65535000000001,-0.65535,7.740354330708779,-3.8701771653543307
740,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05,7.740354330708779,5.9055118128980315e-05
760,0.65535000000001,1.0000000003174e-05,0.65535000000001,1.0000000003174e-05,7.740354330708779,0.00011811023625796063
780,-9.9999999960687e-06,0.0,0.65535000000001,2.0000000006348e-05,3.870118110236302,0.00011811023625796063
800,-9.9999999960687e-06,1.0000000003174e-05,0.65536,0.65538000000001,3.870177165354354,3.870413385826849
820,4.58759,1.31073,6.55372,1.96609,65.7951377952756,19.351299212598423
840,5.243,2.62145,5.24299,2.62146,61.925137795275596,30.96206692913386
860,5.243,2.62146,5.24299,2.62146,61.925137795275596,30.96212598425197
880,5.24299,3.27682,5.24299,2.62147,61.92507874015748,34.83242125984252
900,5.24299,3.27682,5.24299,2.62146,61.92507874015748,34.83236220472441
920,5.89835,2.62146,5.24299,3.27683,65.79531496062992,34.83242125984252
940,5.89835,3.27682,5.89835,2.62147,69.66555118110236,34.83242125984252
960,5.89834,2.62146,5.89834,1.9661,69.66543307086614,27.091889763779527
980,5.89835,2.62146,5.9009,1.9661,69.68061023622047,27.091889763779527
1000,5.89835,2.62146,5.24299,1.96611,65.79531496062992,27.09194881889764
1020,5.24299,2.62146,5.24299,1.96611,61.92507874015748,27.09194881889764
1040,5.24299,2.62146,5.24299,1.96611,61.92507874015748,27.09194881889764
1060,5.243,1.96609,5.243,2.62146,61.925196850393704,27.09183070866142
1080,5.243,2.62145,5.243,2.62146,61.925196850393704,30.96206692913386
1100,5.243,2.62145,5.243,2.62146,61.925196850393704,30.96206692913386
1120,5.24301,3.27682,5.24301,2.62147,61.92531496062992,34.83242125984252
1140,4.58764,2.62146,4.58764,2.62146,54.184724409448826,30.96212598425197
1160,4.58765,2.62146,4.58765,2.62146,54.18484251968504,30.96212598425197
1180,8.51989,2.62144,11.14144,2.62144,116.11021653543307,30.96188976377953
1200,11.79683,3.2768,11.14146,3.93217,135.46234251968502,42.57265748031496
1220,11.14146,4.58752,11.79683,4.58753,135.46234251968502,54.18336614173228
1240,11.79683,4.58753,11.14146,4.58753,135.46234251968502,54.18342519685039
1260,11.14147,4.58753,11.14146,5.24289,131.59210629921262,58.053661417322836
1280,11.14146,5.24289,11.14146,5.2429,131.5920472440945,61.923956692913386
1300,11.14146,5.24289,11.14146,5.2429,131.5920472440945,61.923956692913386
1320,11.14146,5.24289,11.79682,5.2429,135.46228346456692,61.923956692913386
1340,11.14146,5.24289,11.79682,5.24289,135.46228346456692,61.92389763779528
1360,11.14146,5.24289,11.79682,5.24289,135.46228346456692,61.92389763779528
1380,11.14147,5.24289,11.14401,5.2429,131.6071653543307,61.923956692913386
1400,11.14146,5.24289,11.79682,5.2429,135.46228346456692,61.923956692913386
1420,11.14146,5.24289,11.14146,5.2429,131.5920472440945,61.923956692913386
1440,11.79682,5.24289,11.79682,5.2429,139.3325196850394,61.923956692913386
1460,11.14146,5.24289,11.14146,5.2429,131.5920472440945,61.923956692913386
1480,11.79683,5.24289,11.79682,4.58754,139.3325787401575,58.05372047244094
1500,13.10765,4.58752,20.31682,5.24287,197.38860236220472,58.053484251968506
1520,24.24908,6.55359,22.28299,6.55361,274.79568897637796,77.40472440944882
1540,21.62763,7.20896,22.28299,7.20897,259.3146850393701,85.14525590551182
1560,22.28298,7.86433,22.28298,7.20898,263.1848031496063,89.01561023622047
1580,22.28298,7.20897,22.28298,7.20897,263.1848031496063,85.14531496062992
1600,22.28298,7.20897,22.28298,7.20898,263.1848031496063,85.14537401574805
1620,22.28298,7.20898,22.28297,6.55362,263.1847440944882,81.27519685039371
1640,22.28297,7.20897,22.28297,6.55362,263.1846850393701,81.27513779527558
1660,22.28297,7.20897,22.28297,6.55362,263.1846850393701,81.27513779527558
1680,22.28297,6.55362,21.6276,6.55363,259.31438976377956,77.40501968503938
1700,21.62761,6.55362,21.62761,6.55362,255.44421259842522,77.40496062992126
1720,21.62761,6.55362,21.6276,6.55362,255.44415354330712,77.40496062992126
1740,21.6276,6.55361,21.6276,5.89826,255.444094488189,73.53466535433071
1760,21.6276,6.55361,21.62759,6.55362,255.44403543307087,77.40490157480315
1780,21.6276,5.89825,20.97224,5.89826,251.57385826771653,69.66442913385826
1800,20.97224,5.89825,20.97224,5.89826,247.7036220472441,69.66442913385826
1820,21.6276,5.89825,20.97224,5.2429,251.57385826771653,65.79419291338583
1840,20.97224,5.89825,20.97223,5.24289,247.703562992126,65.79413385826771
