T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,-0.65537,-0.65536,-0.65536,-3.8702952755905278,-7.740531496062992
40,-0.65537,-0.65537,-0.65536,-0.65537,-7.740531496062992,-7.740590551181103
60,-1.31073,-0.65538,-1.31072,-0.65538,-15.481003937007873,-7.740708661417322
80,-1.31073,-1.31076,-1.31072,-1.31075,-15.481003937007873,-15.481358267716535
100,-1.31074,-1.31076,-0.65537,-2.62147,-11.610885826771653,-23.221830708661418
120,-1.9999999999243e-05,-1.96613,-0.65538,-2.62147,-3.8704724409448774,-27.09212598425197
140,-2.9999999995312e-05,-1.96613,-1.9999999999243e-05,-2.62148,-0.00029527559051902556,-27.09218503937008
160,0.65532,-2.6215,0.65533,-2.62149,7.74005905511811,-30.962539370078744
180,0.65532,-1.96614,1.31069,-1.96614,11.610295275590552,-23.22212598425197
200,1.31068,-1.31079,1.96604,-1.31079,19.350708661417325,-15.481771653543307
220,1.96604,-0.65545,2.6214,-7.9999999996971e-05,27.091181102362206,-3.871240157480297
240,2.62139,-9.0000000000146e-05,2.6214,-9.0000000000146e-05,30.961358267716538,-0.0010629921259859762
260,2.62139,-9.0000000000146e-05,2.6214,-9.9999999996214e-05,30.961358267716538,-0.001122047244072992
280,2.62138,-0.0001099999999993,3.27675,-0.0001099999999993,34.83147637795276,-0.0012992125984169292
300,3.93209,0.65524,3.9321,0.65524,46.44206692913386,7.739055118110237
320,4.58745,1.31059,4.58746,2.62132,54.18253937007874,23.219940944881888
340,5.89816,2.62131,6.55352,2.62131,73.53354330708662,30.96035433070866
360,7.20887,2.6213,7.86424,3.27667,89.01442913385827,34.830531496062996
380,8.51959,3.27666,9.17496,3.27667,104.49537401574803,38.70076771653544
400,9.17495,3.27665,9.17496,2.6213,108.36561023622048,34.83041338582677
420,9.17496,2.62129,9.17496,1.31058,108.36566929133859,23.21970472440945
440,9.17496,1.31058,8.51961,0.65522,104.49549212598424,11.609055118110236
460,7.86424,-0.0001500000000049,7.86426,-0.6555,92.88484251968504,-3.8719488188976663
480,7.20889,-0.65551,6.55354,-0.6555,81.27419291338583,-7.742185039370079
500,6.55353,-0.6555,5.89818,-0.65549,73.53372047244095,-7.742066929133858
520,5.24281,-0.65549,5.24282,-0.0001299999999986,61.92301181102363,-3.8717716535432993
540,5.24282,0.65523,5.24283,0.65525,61.92312992125984,7.739055118110237
560,4.58745,0.65524,4.58747,-0.0001099999999993,54.18259842519685,3.86887795275591
580,4.58746,0.65525,4.58747,-9.9999999996214e-05,54.18265748031496,3.8689960629921485
600,3.9321,-0.0001099999999993,4.58747,-0.65546,50.31242125984252,-3.8714763779527512
620,3.93211,-0.65547,3.93212,-0.65546,46.4423031496063,-7.741712598425196
640,3.93211,-1.31083,3.93212,-1.31083,46.4423031496063,-15.48224409448819
660,3.93211,-1.31084,3.93212,-0.65547,46.4423031496063,-11.612066929133858
680,3.27675,-0.65547,2.6214,-0.65546,34.831594488188976,-7.741712598425196
700,2.62139,-0.0001099999999993,2.6214,-1.31082,30.961358267716538,-7.741712598425194
720,2.62139,-1.31083,2.6214,-1.31082,30.961358267716538,-15.482185039370078
740,2.6214,-1.31082,1.96605,-1.31081,27.091240157480314,-15.48206692913386
760,1.96604,-1.31082,1.96605,-1.31081,23.221003937007875,-15.48206692913386
780,-47.18596,-1.31082,1.31069,-1.3108,-270.91694881889765,-15.482007874015748
800,1.31068,-1.31081,1.31069,-1.3108,15.480531496062994,-15.481948818897639
820,0.65533,-0.65545,0.65533,-7.9999999996971e-05,7.74011811023622,-3.871240157480297
840,0.65532,0.65528,-3.0000000002417e-05,0.65529,3.8698228346456554,7.739586614173229
860,-3.9999999998486e-05,1.31065,-0.65539,1.31065,-3.870649606299203,15.480118110236223
880,-0.6554,1.96601,-0.65539,1.96602,-7.740885826771653,23.220649606299215
900,-1.31076,1.96601,0.65534,1.31065,-3.870590551181101,19.35035433070866
920,3.93225,2.62137,5.89841,2.62137,58.055078740157484,30.96106299212599
940,5.24303,3.27673,5.24302,3.93211,61.92549212598425,42.57188976377953
960,4.58765,3.93212,4.58766,4.58749,54.18490157480315,50.31265748031496
980,4.58765,5.24285,4.58767,5.24287,54.18496062992126,61.92354330708662
1000,3.9323,5.24287,3.27694,5.89824,42.57425196850394,65.7939566929134
1020,3.27694,5.89824,2.62159,5.89826,34.83383858267717,69.66437007874016
1040,1.96622,5.89826,1.96623,5.89827,23.22312992125984,69.66454724409449
1060,1.31086,6.55363,1.31086,6.55366,15.48259842519685,77.40525590551182
1080,1.31085,6.55366,1.31087,6.55368,15.48259842519685,77.40555118110237
1100,1.31086,7.20903,1.31086,7.20904,15.48259842519685,85.14608267716535
1120,1.31076,9.83051,-1.31076,9.83052,0.0,116.10844488188977
1140,-1.31076,10.48587,-0.6554,10.4859,-11.611181102362204,123.84903543307087
1160,-0.65541,10.4859,-0.65539,10.48591,-7.740944881889764,123.84927165354331
1180,-0.6554,9.83054,-0.65539,9.17518,-7.740885826771653,112.23850393700786
1200,-0.6554,9.17518,-0.65539,9.17518,-7.740885826771653,108.36826771653543
1220,-0.6554,9.17517,-1.31075,9.17518,-11.611122047244095,108.36820866141731
1240,-1.31076,9.17517,-1.31074,9.83054,-15.481299212598426,112.23844488188978
1260,-1.31075,9.83053,-1.9661,10.4859,-19.351476377952757,119.97891732283465
1280,-2.62146,9.83053,-2.62145,9.83053,-30.96206692913386,116.1086220472441
1300,-2.62146,9.17515,-3.2768,8.5198,-34.832244094488196,104.49773622047243
1320,-3.27681,7.86442,-2.62143,7.86442,-34.832125984251974,92.88685039370078
1340,-3.2768,6.55369,-3.93215,5.89833,-42.57253937007874,73.53555118110236
1360,-3.93216,5.89832,-3.93215,5.89833,-46.44277559055118,69.66525590551181
1380,-3.93217,5.24297,-3.93216,5.24298,-46.4428937007874,61.92490157480316
1400,-2.62141,6.5537,-0.65519,7.20908,-19.35,81.27625984251968
1420,-0.65514,7.86444,-1.31051,8.51981,-11.608169291338582,96.75738188976379
1440,-1.96588,9.17517,-1.96587,9.17517,-23.218996062992126,108.36814960629921
1460,-2.62123,9.17517,-2.62122,9.17518,-30.959350393700788,108.36820866141731
1480,-2.62123,9.17517,-1.96587,8.51983,-27.08917322834646,104.49803149606299
1500,-1.96588,9.17517,-1.31051,9.17518,-19.348759842519687,108.36820866141731
1520,-1.31052,9.17517,-1.31051,8.51982,-15.478523622047245,104.49797244094486
1540,-1.31052,8.51981,-1.31051,8.51982,-15.478523622047245,100.62773622047244
1560,-1.31052,7.86445,-1.31051,7.86446,-15.478523622047245,92.88726377952754
1580,-0.65516,7.20909,-0.65515,7.2091,-7.738051181102362,85.14679133858267
1600,-0.65516,6.55372,-0.65515,5.89837,-7.738051181102362,73.53596456692914
1620,-0.65516,5.89836,-0.65515,5.89837,-7.738051181102362,69.66572834645669
1640,-0.65516,5.243,-0.65515,5.24301,-7.738051181102362,61.92525590551181
1660,-0.65516,5.243,-0.65515,5.89837,-7.738051181102362,65.79549212598425
1680,-0.65516,5.89836,-0.65515,6.55373,-7.738051181102362,73.53596456692914
1700,-1.31052,6.55372,-1.96581,7.20908,-19.348405511811027,81.27637795275591
1720,-1.96579,7.20908,-2.62115,7.86446,-27.088228346456695,89.01696850393702
1740,-2.62116,7.86445,-2.62114,8.51983,-30.958464566929134,96.75755905511812
1760,-2.62116,7.86446,-2.62113,7.86447,-30.958405511811026,92.88738188976379
1780,-2.62115,8.51982,-3.2765,8.51984,-34.828641732283465,100.62791338582676
1800,-2.62115,8.51983,-3.2765,9.1752,-34.828641732283465,104.49820866141734
1820,-3.2765,9.1752,-3.27649,9.17521,-38.698759842519685,108.36856299212599
1840,-3.27649,8.51984,-3.27648,7.86448,-38.69864173228347,96.75779527559057
1860,-3.93185,7.20911,-3.27648,5.89839,-42.568877952755905,77.40649606299213
1880,-3.93184,5.24302,-3.93183,3.93228,-46.438996062992125,54.18484251968504
1900,-2.62109,2.62153,3.27728,1.31082,3.8751377952755908,23.222539370078742
1920,6.55414,9.0000000000146e-05,6.55415,-1.31064,77.41116141732284,-7.739468503937007
1940,-47.18539,-1.31064,6.55414,-1.966,-239.94832677165357,-19.350236220472443
1960,5.89877,-3.27674,5.89878,-5.24284,69.67057086614174,-50.31248031496064
1980,5.24342,-5.89821,5.24343,-5.24283,61.930216535433075,-65.79354330708662
2000,5.24342,-3.9321,4.58808,-3.93208,58.06003937007874,-46.44200787401575
2020,4.58807,-3.27673,3.93272,-2.62135,50.31962598425197,-34.83118110236221
2040,3.93271,-2.62135,3.93271,-1.96598,46.44933070866142,-27.09053149606299
2060,3.93271,-1.96597,3.93272,-1.96597,46.44938976377953,-23.22011811023622
2080,3.93271,-2.62133,3.93271,-3.93205,46.44933070866142,-38.70106299212598
2100,5.24342,-3.93205,5.24343,-3.93205,61.930216535433075,-46.44153543307087
2120,5.89878,-4.58742,6.55415,-4.58742,73.5409251968504,-54.18212598425197
2140,5.89878,-4.58742,6.55415,-5.24278,73.5409251968504,-58.05236220472441
2160,7.2095,-5.89815,7.2095,-6.5535,85.15157480314961,-73.53336614173229
2180,7.86485,-7.20887,8.52022,-8.51958,96.76222440944882,-92.88454724409448
2200,9.17557,-9.17496,9.17558,-10.48568,108.37293307086615,-116.10614173228348
2220,9.83093,-11.14105,13.10776,-13.10713,135.46470472440947,-143.19791338582678
2240,23.59362,-13.10713,28.18121,-13.10712,305.7568700787402,-154.80856299212599
2260,28.1812,-13.10713,28.83656,-13.10711,336.71905511811025,-154.80850393700788
2280,28.18119,-12.45175,28.83656,-11.79638,336.7189960629921,-143.19761811023622
2300,28.83655,-11.79638,28.1812,-11.14101,336.7189960629921,-135.45702755905512
2320,28.18119,-10.48565,28.1812,-10.48564,332.84875984251966,-123.84620078740157
2340,28.83656,-9.83029,28.83656,-9.83028,340.58929133858265,-116.1057283464567
2360,28.83656,-10.48565,29.49193,-11.141,344.45958661417325,-127.71643700787403
2380,29.49192,-11.14101,30.14729,-11.14099,352.2000590551182,-131.58661417322836
2400,30.14728,-10.48564,30.1473,-10.48563,356.0703543307087,-123.84608267716536
2420,30.14728,-11.141,30.1473,-11.14099,356.0703543307087,-131.58655511811025
2440,30.14728,-11.141,29.49194,-11.79635,352.20011811023625,-135.45679133858266
2460,29.49193,-11.79636,33.42414,-11.79635,371.551594488189,-139.32702755905513
2480,36.70097,-12.45172,37.35635,-13.10706,437.3463779527559,-150.93767716535433
2500,37.35634,-13.10707,38.0117,-13.76241,445.0868503937008,-158.678031496063
2520,37.35634,-13.10706,38.01171,-13.10704,445.086909448819,-154.80767716535433
2540,37.35633,-13.76241,38.0117,-13.7624,445.0867913385827,-162.5480905511811
2560,38.01169,-13.76241,38.0117,-13.76239,448.9570275590552,-162.548031496063
2580,38.01168,-12.45168,38.01169,-12.45167,448.9569094488189,-147.06702755905513
2600,38.01168,-11.79631,37.35633,-11.79631,445.08667322834646,-139.32649606299213
2620,37.35632,-11.14095,36.70097,-11.14094,437.34620078740153,-131.58596456692914
2640,36.70096,-10.48559,36.0456,-9.83022,429.6056692913386,-119.97525590551182
2660,35.39023,-9.17486,35.39024,-9.17485,417.99490157480324,-108.36442913385828
2680,34.73487,-8.51949,34.07951,-7.86412,406.3841338582677,-96.75360236220472
2700,34.07951,-7.20876,33.42415,-6.55339,398.64366141732285,-81.27253937007875
2720,32.76878,-5.24268,32.11343,-4.58731,383.162657480315,-58.0511220472441
2740,31.45806,-4.58731,32.11343,-3.93194,375.42218503937005,-50.31053149606299
2760,31.45805,-3.93194,32.11342,-3.93194,375.42206692913385,-46.44023622047244
2780,32.76877,-3.93195,32.76878,-3.93194,387.03277559055124,-46.44029527559055
2800,33.42413,-3.93194,33.42414,-3.27657,394.77324803149605,-42.56994094488189
2820,32.76877,-3.27657,32.76878,-3.93192,387.03277559055124,-42.56982283464567
2840,33.42412,-3.27656,33.42414,-3.93191,394.77318897637804,-42.56970472440945
2860,33.42412,-4.58728,32.76877,-5.24263,390.90289370078744,-58.05064960629922
2880,33.42412,-5.24263,33.42413,-5.89799,394.7731299212599,-65.79106299212599
2900,33.42413,-5.89799,33.42413,-5.89798,394.7731889763779,-69.66124015748032
2920,34.07949,-5.24263,40.63319,-3.93189,441.2166141732284,-54.18023622047245
2940,43.25469,-3.27652,43.2547,-2.62114,510.88222440944884,-34.82870078740158
2960,43.25468,-1.96578,42.59934,-1.96576,507.0119291338583,-23.21775590551181
2980,42.59934,-1.3104,41.94399,-1.31039,499.2716338582677,-15.477106299212599
3000,41.94398,-1.3104,42.59935,-1.31039,499.2716338582677,-15.477106299212599
3020,41.94398,-1.96576,42.59935,-2.62111,499.2716338582677,-27.087814960629924
3040,41.94398,-1.96576,41.94399,-2.62111,495.40139763779524,-27.087814960629924
3060,42.59934,-1.96576,41.944,-1.96575,499.27169291338583,-23.21757874015748
3080,41.94399,-1.3104,41.944,-1.31039,495.4015157480315,-15.477106299212599
3100,41.28863,0.0003299999999981,41.28864,0.0003400000000013,487.66104330708663,0.003956692913382283
3120,41.28864,-0.65503,40.63328,-1.31039,483.7908661417323,-11.606811023622047
3140,38.01178,-2.62113,36.70104,-2.62113,441.21744094488184,-30.958228346456693
3160,37.35639,-3.27649,37.35641,-2.62112,441.2173228346457,-34.82840551181103
3180,37.3564,-2.62112,37.35641,-1.96575,441.21738188976383,-27.087814960629924
3200,36.70104,-1.3104,36.70105,-1.31039,433.4769094488189,-15.477106299212599
3220,36.70105,-1.3104,36.04569,-0.65503,429.60673228346457,-11.606870078740158
3240,36.04568,0.0003299999999981,35.39034,0.6557,421.8662598425197,3.8741929133858153
3260,35.39033,0.65569,34.73498,0.65569,414.1258464566929,7.7443700787401575
3280,34.07961,1.31104,33.42426,1.96641,398.6449015748032,19.35501968503937
3300,32.76889,2.62176,36.70115,5.24324,410.2561417322835,46.44685039370079
3320,41.94413,6.55397,43.25491,7.20936,503.143937007874,81.27950787401575
3340,42.59953,7.86472,41.94418,8.52011,499.2738779527559,96.76080708661418
3360,41.94418,9.83084,41.28884,9.83086,491.53358267716544,116.11240157480316
3380,41.28883,9.83086,41.28885,9.83088,487.66346456692906,116.1126377952756
3400,41.28884,10.48624,40.63349,10.48624,483.79328740157484,123.8532283464567
3420,40.63348,10.48624,40.6335,10.48625,479.9231102362205,123.8532874015748
3440,40.63349,10.48625,41.28886,9.8309,483.793405511811,119.9831692913386
3460,41.28885,9.83089,41.28885,9.17553,487.6635826771653,112.24263779527558
3480,41.9442,8.52016,42.59957,7.86481,499.2742322834645,96.76163385826773
3500,41.9442,8.52016,42.59957,8.52017,499.2742322834645,100.63187007874016
3520,42.59956,9.17552,41.9442,9.17553,499.2741732283465,108.37234251968505
3540,41.9442,9.17552,41.9442,9.17553,495.40393700787405,108.37234251968505
3560,41.9442,8.52016,41.94421,7.86481,495.4039960629921,96.76163385826773
3580,41.94419,7.20944,41.9442,6.55408,495.4038779527559,81.28062992125984
3600,41.9442,6.55408,41.9442,6.55408,495.40393700787405,77.41039370078741
3620,41.94419,5.89871,41.94421,5.89873,495.40393700787405,69.66992125984252
3640,41.28884,5.89872,41.9442,5.89873,491.5337007874016,69.66998031496063
3660,41.9442,5.89873,41.94421,6.5541,495.4039960629921,73.54033464566929
3680,41.28885,5.89872,41.28886,5.89875,487.66364173228345,69.67009842519685
3700,41.28886,5.89874,41.28887,5.89875,487.6637598425197,69.67021653543307
3720,40.63351,5.89875,39.97816,7.20949,476.05316929133863,77.41086614173227
3740,38.66741,8.52024,38.01207,9.17561,452.83157480314964,104.50305118110236
3760,38.66744,9.83099,38.01209,9.83101,452.83187007874017,116.11417322834646
3780,37.35673,11.14173,36.70139,11.14176,437.35110236220476,131.5954133858268
3800,36.70139,11.79711,36.04604,11.14176,429.61080708661416,135.46576771653545
3820,36.04603,11.14175,36.04604,11.14176,425.7405708661418,131.595531496063
3840,35.39068,11.14175,36.04605,10.4864,421.8704527559056,127.72529527559057
3860,35.39067,10.48639,35.39068,10.4864,418.0000984251969,123.85505905511812
3880,35.39067,10.48639,36.04604,10.4864,421.87033464566935,123.85505905511812
3900,35.39066,11.14175,36.04602,11.14176,421.87015748031496,131.595531496063
3920,36.04601,11.14175,36.04602,10.4864,425.7403346456693,127.72529527559057
3940,35.39064,10.48639,36.04601,10.48639,421.8699803149606,123.855
3960,36.04599,9.83102,36.70136,9.17566,429.61033464566935,112.24417322834645
3980,36.04598,9.17565,36.04599,8.52028,425.7399803149607,104.50352362204723
4000,35.39061,7.86491,36.04597,7.20954,421.8695669291339,89.02234251968504
4020,36.70132,6.55416,37.35668,6.55416,437.35039370078744,77.41133858267717
4040,37.35667,6.55414,37.35667,5.89878,441.22051181102364,73.5408661417323
4060,39.97813,6.55412,47.84254,7.86486,518.6260039370079,85.1514566929134
4080,49.15328,7.86485,49.15327,8.52023,580.5504921259843,96.76228346456692
4100,49.80863,9.17558,50.464,8.52022,592.1612007874016,104.5027559055118
4120,50.46399,8.52022,50.464,9.17558,596.031437007874,104.5027559055118
4140,51.11935,8.52021,50.464,8.52022,599.9016732283465,100.63246062992127
4160,51.11936,8.52021,51.11937,8.52021,603.7720275590551,100.63240157480315
4180,49.80865,8.52021,50.46402,7.86485,592.161437007874,96.7621653543307
4200,51.11937,8.5202,51.77473,8.52021,607.6423228346457,100.63234251968505
4220,51.77472,8.5202,51.77472,9.17557,611.512440944882,104.5025787401575
4240,52.43007,9.17556,57.01765,9.83092,646.3448031496064,112.24299212598427
4260,71.43569,11.79701,77.33402,12.45239,878.5612795275589,143.20511811023624
4280,77.98936,13.10774,77.334,13.10776,917.2639370078741,154.81594488188975
4300,77.33399,13.76311,77.98936,13.10776,917.2638779527559,158.6862401574803
4320,77.98935,13.76312,77.98936,13.76313,921.1341141732285,162.55659448818898
4340,78.64471,13.76312,78.64472,13.76313,928.8745866141733,162.55659448818898
4360,77.98935,14.41849,78.64472,14.41849,925.0043503937009,170.29712598425198
4380,78.64471,14.41848,78.64472,14.41849,928.8745866141733,170.29706692913388
4400,77.98935,15.07385,77.98936,15.07386,921.1341141732285,178.03765748031498
4420,77.98935,14.41848,77.334,14.41849,917.2638779527559,170.29706692913388
4440,77.33399,15.07385,77.334,14.41849,913.3936417322835,174.1673622047244
4460,77.334,13.76312,77.33401,14.41849,913.3937598425198,166.4268307086614
4480,77.334,13.76312,77.33401,13.76313,913.3937598425198,162.55659448818898
4500,77.33401,13.76313,78.64473,13.76314,921.1342913385828,162.5567125984252
