T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,0.65537,1.0000000003174e-05,1.0000000003174e-05,3.8702952755905704,3.8703543307086803
40,0.65536,0.65538,0.65537,0.65537,7.740531496062992,7.740649606299213
60,0.65536,1.31074,0.65537,1.31074,7.740531496062992,15.481181102362205
80,0.65536,1.96611,0.65537,1.9661,7.740531496062992,23.221712598425196
100,1.0000000003174e-05,2.62148,1.0000000003174e-05,2.62147,0.00011811023625796063,30.962303149606303
120,1.0000000003174e-05,3.27684,0.65538,3.27683,3.8704133858267897,38.702775590551184
140,2.6215,4.58757,3.27686,5.24294,34.832834645669294,58.05419291338583
160,3.27686,6.55368,3.27686,6.55368,38.703070866141736,77.40566929133858
180,3.27686,7.86441,3.27686,7.20904,38.703070866141736,89.01643700787403
200,3.93222,8.51977,3.93222,7.20904,46.443543307086614,92.88667322834645
220,3.93222,8.51977,3.93223,8.51977,46.44360236220472,100.62720472440944
240,3.93223,9.17514,3.93223,8.5203,46.443661417322836,104.50062992125986
260,5.24295,9.17513,5.24295,9.17513,61.924606299212606,108.36767716535432
280,5.89831,9.8305,6.55368,9.83049,73.53537401574803,116.10820866141734
300,7.20903,9.8305,7.20904,9.83049,85.14608267716535,116.10820866141734
320,7.86439,10.48585,8.51975,9.83049,96.75673228346459,119.97838582677164
340,8.51975,11.14122,9.17511,9.83049,104.49720472440944,123.84868110236222
360,11.79658,9.17513,22.28245,7.20902,201.25411417322837,96.75679133858267
380,28.83611,5.89829,29.49148,6.55366,344.45427165354334,73.53513779527559
400,29.49147,7.8644,29.49148,7.20903,348.32450787401575,89.0163188976378
420,30.14684,7.8644,30.14685,7.20903,356.0650984251968,89.0163188976378
440,30.14685,7.20903,30.14685,6.55367,356.06515748031495,81.2757874015748
460,29.49149,6.55367,29.4915,5.8983,348.3247440944882,73.5352559055118
480,29.4915,6.55367,28.83615,4.58758,344.45462598425195,65.79478346456693
500,28.83615,5.24294,28.83616,3.93221,340.5845078740158,54.18395669291339
520,28.83616,3.93222,28.83616,2.62149,340.58456692913387,38.70301181102363
540,28.83616,2.6215,28.83616,1.31076,340.58456692913387,23.22200787401575
560,28.83615,1.96612,28.18079,0.65539,336.7142125984252,15.481358267716535
580,28.83614,0.6554,28.18078,0.65539,336.714094488189,7.740885826771653
600,28.18077,2.9999999995312e-05,27.52541,-0.65534,328.9735039370079,-3.8699409448819173
620,27.5254,1.9999999999243e-05,27.5254,-0.65535,325.1031496062992,-3.870059055118115
640,26.87004,-0.65534,27.52541,-1.31071,321.2329724409449,-11.610531496062993
660,26.87005,-0.65534,26.87005,-1.96607,317.36279527559054,-15.480767716535434
680,27.52541,-1.96607,27.52541,-2.62145,325.10326771653547,-27.091653543307086
700,27.52541,-1.96608,27.52542,-2.62145,325.10332677165354,-27.091712598425197
720,27.52542,-2.62144,26.87006,-3.27681,321.2331496062992,-34.83218503937008
740,26.87006,-1.96609,26.2147,-1.9661,313.49267716535434,-23.221594488188977
760,26.2147,-1.96609,26.21471,-1.9661,309.6225,-23.221594488188977
780,26.21471,-1.31074,26.21473,-2.62147,309.62267716535433,-23.221712598425196
800,25.55937,-2.62147,25.55938,-3.93221,301.88238188976385,-38.70283464566929
820,19.66111,-4.58756,14.4182,-4.58758,201.25576771653544,-54.18389763779528
840,15.07357,-3.27683,15.72894,-3.27683,181.90458661417324,-38.70271653543307
860,15.72894,-2.62146,15.72894,-2.62148,185.77488188976378,-30.962244094488188
880,15.72895,-1.96611,15.07359,-1.96611,181.90476377952757,-23.221771653543307
900,15.0736,-0.65539,15.0736,-0.6554,178.03464566929136,-7.740885826771653
920,15.0736,-3.0000000002417e-05,15.07361,-0.6554,178.03470472440947,-3.870649606299227
940,14.41825,-0.65539,14.41826,-1.96612,170.2943503937008,-15.481358267716535
960,14.41826,-1.31075,11.79681,-2.62149,154.81340551181103,-23.22188976377953
980,-1.96587,-1.96613,-3.93202,-1.31078,-34.83005905511811,-19.351830708661417
1000,-3.27665,0.65533,-1.96592,1.31069,-30.96005905511811,11.610354330708663
1020,-1.96592,1.96607,-1.96592,1.96607,-23.219527559055116,23.221299212598424
1040,-1.31056,2.62143,-1.31056,1.31071,-15.479055118110235,23.221299212598424
1060,-1.31056,1.96609,-1.31056,1.31072,-15.479055118110235,19.351240157480316
1080,-0.65521,1.31073,-1.31057,1.0000000003174e-05,-11.608937007874017,7.740590551181121
1100,-0.65522,0.65538,-0.65522,1.0000000003174e-05,-7.738818897637795,3.8704133858267897
1120,0.0001299999999986,0.65538,0.0001299999999986,0.65538,0.0015354330708496065,7.740708661417322
1140,0.65548,1.96611,0.65547,2.62147,7.741830708661418,27.09200787401575
1160,1.96618,4.58756,2.62153,4.58755,27.092775590551184,54.183720472440946
