T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.31071,-1.31072,-0.65535,-1.96607,-11.610590551181103,-19.351122047244097
40,-1.31071,-1.96608,-0.65535999999999,-1.96608,-11.610649606299154,-23.221417322834647
60,-1.31071,-1.96608,0.65537,-0.65535999999999,-3.8701181102362208,-15.480944881889705
80,1.9999999999243e-05,-0.65535999999999,1.31073,0.65536,7.740649606299208,5.966356018162751e-14
100,0.65537,1.31072,2.62144,1.96608,19.351240157480316,19.351181102362204
120,1.31074,2.62144,3.27681,3.93215,27.09183070866142,38.7023031496063
140,2.62145,3.93215,3.93216,3.93215,38.702421259842524,46.44271653543307
160,3.93218,6.55359,7.20902,9.17504,65.79448818897637,92.88561023622046
180,6.55369,9.83039,7.86439,11.14111,85.14614173228347,123.84744094488188
200,7.8644,12.45184,9.83048,14.41791,104.49732283464566,158.67962598425197
220,9.83048,15.72862,11.79655,18.35006,127.71868110236221,201.25204724409448
240,11.79656,19.66078,13.76263,21.62685,150.94009842519685,243.82458661417323
260,12.45192,22.93758,15.07335,24.2483,162.55080708661418,278.6567716535433
280,13.76264,24.90365,15.72872,26.21437,174.16157480314962,301.87807086614174
300,15.72872,27.52509,17.03944,28.18045,193.5127559055118,328.9697244094488
320,15.73128,28.83581,17.6948,29.49117,197.39811023622048,344.4506692913386
340,17.03946,30.14653,18.35017,31.45725,208.9938779527559,363.8018503937008
360,17.69482,32.76797,19.66089,33.42333,220.60458661417326,390.8935039370079
380,18.35018,34.73405,19.66089,34.73405,224.47482283464566,410.24468503937015
400,19.00554,34.73404,20.31625,36.04477,232.21529527559056,417.98509842519684
420,19.6609,36.04477,20.97162,37.35549,239.95582677165353,433.46610236220477
440,19.00552,36.70013,20.97161,38.01086,236.0854133858268,441.20663385826776
460,19.6609,39.32158,20.97162,40.6323,239.95582677165353,472.1685826771654
480,20.31627,41.28766,22.28235,42.59838,251.56665354330707,495.39
500,21.627,43.25374,22.93771,44.56447,263.1774212598425,518.6114763779527
520,22.28236,45.21983,23.59308,45.21982,270.9179527559055,534.0924212598426
540,22.28236,45.21983,23.59308,45.21983,270.9179527559055,534.0924803149607
560,22.93773,45.21983,24.24844,45.21982,278.6584842519685,534.0924212598426
580,22.28236,45.21982,23.59308,45.87518,270.9179527559055,537.9625984251969
600,22.93773,45.21982,24.24844,45.21982,278.6584842519685,534.0923622047244
620,22.93772,45.87518,24.24844,45.21981,278.65842519685043,537.9625393700787
640,22.93772,45.21981,24.24844,45.2198,278.65842519685043,534.0921850393701
660,22.28237,44.56444,24.24844,45.2198,274.7882480314961,530.2218897637795
680,22.93773,44.56444,24.24844,44.56443,278.6584842519685,526.351594488189
700,23.59309,45.87514,27.52534,45.87514,301.88049212598423,541.8323622047244
720,28.83615,45.8751,29.49148,45.87511,344.45450787401575,541.8319488188977
740,28.18076,45.87512,29.49148,45.87512,340.584094488189,541.832125984252
760,28.18076,45.8751,28.83611,45.8751,336.7137992125984,541.8318897637796
780,28.18075,45.87509,29.49147,45.87509,340.5839763779528,541.8317716535433
800,28.18076,45.87508,29.49147,45.87508,340.5840354330709,541.8316535433071
820,28.18075,45.87507,30.14683,45.87507,344.4542125984252,541.8315354330709
840,26.87002,45.87507,26.86998,45.87507,317.3622047244095,541.8315354330709
860,25.55927,45.87506,27.52535,45.87507,313.4918503937008,541.8314763779528
880,25.55928,45.87507,26.86999,45.87506,309.6216732283465,541.8314763779528
900,24.90392,45.87506,26.21463,45.87505,301.88120078740155,541.8313582677166
920,24.90392,45.87505,26.21463,45.87505,301.88120078740155,541.8312992125984
940,24.90393,45.87504,26.21464,45.87504,301.8813188976378,541.8311811023622
960,24.90393,45.87503,26.21464,45.87503,301.8813188976378,541.831062992126
980,24.90393,45.87502,26.21464,45.87501,301.8813188976378,541.8308858267717
1000,25.55929,45.875,26.21464,45.87501,305.7515551181102,541.8307677165354
1020,24.90393,45.875,26.87,45.875,305.7515551181102,541.8307086614174
1040,25.55929,45.87499,26.87001,45.87498,309.6218503937008,541.830531496063
1060,24.24857,45.87498,24.24851,45.87498,286.4000787401575,541.830472440945
1080,22.93779,45.87499,24.90389,45.87498,282.52960629921256,541.830531496063
1100,23.59317,45.87498,24.90389,45.87497,286.3999606299213,541.8304133858268
1120,23.59318,45.87497,24.24854,45.87497,282.5298425196851,541.8303543307087
1140,23.59318,45.87496,24.90389,45.87496,286.4000196850394,541.8302362204724
1160,23.59318,45.87495,24.90389,45.87496,286.4000196850394,541.8301771653544
1180,23.59318,45.87494,24.24853,45.87495,282.52978346456695,541.8300590551181
1200,22.93782,45.87494,24.24854,45.87494,278.6596062992126,541.83
1220,22.93782,45.87494,24.24853,45.87494,278.6595472440945,541.83
