T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,-0.65537,-0.65537,-0.65535999999999,-3.8703543307086803,-7.740531496062933
40,-0.65537,-0.65537,-0.65537,-1.9661,-7.740590551181103,-15.481122047244094
60,-0.65537,-3.27683,-1.9999999999243e-05,-3.27682,-3.8704133858267675,-38.70265748031496
80,-0.65538,-3.27683,-0.65538,-3.27683,-7.740708661417322,-38.70271653543307
100,-0.65538,-3.27683,-1.31074,-3.27682,-11.610944881889765,-38.70265748031496
120,-1.31074,-3.93219,-1.31074,-3.27683,-15.481181102362205,-42.57295275590551
140,-1.31073,-3.93219,-0.65538,-3.93219,-11.610885826771653,-46.443188976377954
160,-0.65538,-4.58755,-1.31074,-3.93219,-11.610944881889765,-50.313425196850396
180,-1.31074,-3.9322,-1.31074,-3.93219,-15.481181102362205,-46.44324803149607
200,-1.31074,-4.58755,-1.31074,-4.58755,-15.481181102362205,-54.18366141732284
220,-0.65538,-5.24293,-1.9999999999243e-05,-5.24294,-3.8704724409448774,-61.92442913385827
240,-1.9999999999243e-05,-5.8983,0.65534,-5.24294,3.870000000000005,-65.79472440944882
260,0.65535,-5.89831,0.65535,-5.24294,7.740354330708661,-65.79478346456693
280,0.65534,-5.89831,0.65535,-5.89831,7.740295275590552,-69.66507874015748
300,0.65535,-5.89832,0.65535,-5.24296,7.740354330708661,-65.79496062992126
320,0.65535,-6.55368,-1.0000000003174e-05,-5.89831,3.8701181102362017,-73.53537401574803
340,0.0,-5.89832,-1.0000000003174e-05,-5.89832,-5.9055118128980315e-05,-69.6651968503937
360,0.65535,-6.55369,-1.0000000003174e-05,-5.89832,3.8701181102362017,-73.53549212598425
380,-1.0000000003174e-05,-6.55369,-1.0000000003174e-05,-5.89833,-0.00011811023625796063,-73.53555118110236
400,-1.0000000003174e-05,-6.55369,-1.0000000003174e-05,-5.89833,-0.00011811023625796063,-73.53555118110236
420,-1.0000000003174e-05,-6.5537,-1.0000000003174e-05,-5.89833,-0.00011811023625796063,-73.53561023622048
440,-1.0000000003174e-05,-6.5537,-1.0000000003174e-05,-6.55369,-0.00011811023625796063,-77.40584645669291
460,-1.9999999999243e-05,-7.20906,-1.0000000003174e-05,-6.5537,-0.00017716535434498227,-81.27614173228346
480,-1.0000000003174e-05,-7.20906,-1.0000000003174e-05,-6.5537,-0.00011811023625796063,-81.27614173228346
500,-1.0000000003174e-05,-7.86442,0.65535,-7.20907,3.8701181102362017,-89.01667322834646
520,0.65534,-7.86443,-1.9999999999243e-05,-7.86442,3.870000000000005,-92.8869094488189
540,-1.9999999999243e-05,-9.17515,-3.0000000002417e-05,-9.17516,-0.00029527559056098424,-108.36797244094488
560,-3.9999999998486e-05,-10.48589,-3.9999999998486e-05,-13.10734,-0.0004724409448640079,-139.33009842519684
580,-5.9999999997729e-05,-15.07345,-5.9999999997729e-05,-14.41807,-0.0007086614172960118,-174.16251968503937
600,-0.65541,-14.41808,-1.31077,-14.41807,-11.611299212598425,-170.29222440944883
620,-1.31077,-15.07344,-1.31076,-13.7627,-15.481476377952756,-170.2921653543307
640,6.55371,-9.8305,15.72895,-8.51977,131.59051181102362,-108.36773622047244
660,17.69508,-7.8644,15.729,-6.55366,197.38629921259846,-85.14602362204725
680,15.72899,-5.89829,15.07363,-5.89829,181.90523622047246,-69.66484251968504
700,14.41827,-5.89828,14.41826,-5.89829,170.294468503937,-69.66478346456692
720,14.41826,-5.89829,14.41826,-5.89829,170.2944094488189,-69.66484251968504
740,14.41826,-6.55365,15.07362,-5.89829,174.16464566929133,-73.53507874015749
760,14.41827,-5.24292,14.41828,-3.27682,170.29458661417323,-50.31342519685039
780,14.41829,-3.27682,13.10756,-2.62146,162.55423228346456,-34.83236220472441
800,3.277,-2.62147,-0.65521,-1.31073,15.483011811023621,-23.221653543307088
820,1.31094,-0.65535999999999,1.31096,0.65538,15.483661417322836,0.00011811023627959849
840,0.65559,1.31075,0.6556,1.96611,7.743248031496062,19.351535433070868
860,0.6556,1.31075,0.65561,2.62148,7.743366141732284,23.221830708661418
880,0.65561,1.96612,0.0002500000000011,1.96612,3.873188976377959,23.22188976377953
900,0.65561,1.96611,0.0002500000000011,1.96612,3.873188976377959,23.221830708661418
920,1.31097,1.31075,1.31096,1.31075,15.483838582677166,15.481299212598426
940,1.31096,1.31074,1.96632,1.31074,19.354015748031497,15.481181102362205
960,3.27704,0.65537,14.41832,2.62146,104.50015748031497,19.351358267716535
980,27.52571,3.27683,32.11331,4.58756,352.19893700787406,46.44324803149607
1000,31.45795,3.9322,30.80258,5.24293,367.6802952755906,54.18383858267716
1020,30.80259,4.58757,30.80258,5.24293,363.81005905511813,58.054133858267726
1040,30.80258,4.58757,30.80258,5.24293,363.81,58.054133858267726
1060,30.80257,4.58756,30.14722,5.24293,359.93970472440947,58.05407480314961
1080,30.14722,5.24293,30.14722,5.24293,356.06952755905513,61.92437007874016
1100,30.80257,5.24292,30.80258,5.24293,363.80994094488193,61.924311023622046
1120,30.14721,4.58756,36.04548,7.20902,390.9017125984252,69.66484251968504
1140,55.05116,12.45196,70.78002,13.7627,743.0975196850394,154.8109842519685
1160,76.67833,13.10733,75.3676,13.76271,897.9090354330709,158.68133858267717
1180,74.71223,14.41807,74.71224,14.41808,882.4279724409448,170.29222440944883
1200,74.71224,14.41807,74.71224,14.41807,882.428031496063,170.2921653543307
1220,74.05687,13.76271,74.05687,13.76271,874.6874409448819,162.55169291338584
1240,73.40151,13.76271,73.40151,13.76271,866.946968503937,162.55169291338584
1260,73.40151,13.10735,73.40152,13.7627,866.9470275590552,158.68139763779527
1280,73.40152,13.7627,73.40152,13.10734,866.9470866141733,158.6813385826772
1300,73.40152,12.45198,74.05689,13.10734,870.8173818897639,150.94086614173227
1320,73.40152,13.10734,73.40153,12.45198,866.9471456692912,150.94086614173227
1340,73.40153,11.79661,87.81957,13.10736,952.0931102362204,147.07068897637797
1360,108.79139,17.03957,117.96658,19.66104,1339.1218700787401,216.73588582677164
