T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,-0.65537,-0.65537,-9.9999999960687e-06,-7.740531496062933,-3.8703543307086377
40,-0.65535999999999,0.0,-1.31073,-0.65535999999999,-11.610767716535374,-3.870236220472382
60,-0.65535,-0.65537,-0.65537,-0.65537,-7.740472440944881,-7.740590551181103
80,-1.31071,-1.31073,-1.31073,-0.65537,-15.480944881889766,-11.610826771653544
100,-1.31072,-0.65537,-1.31072,-0.65537,-15.480944881889766,-7.740590551181103
120,-1.31071,0.0,-1.31071,0.65537,-15.480826771653545,3.8702952755905513
140,-1.31069,1.31073,-1.96606,1.9661,-19.350885826771652,19.351358267716535
160,-1.96604,2.62147,-1.96604,3.27684,-23.220944881889764,34.83253937007874
180,-2.62139,3.27684,-1.96604,3.9322,-27.0911220472441,42.573070866141734
200,-2.6214,3.9322,-1.96604,3.9322,-27.091181102362206,46.443307086614176
220,-1.96602,3.9322,-1.96604,3.9322,-23.22082677165354,46.443307086614176
240,-2.62139,3.9322,-1.96603,4.58757,-27.091062992125984,50.31360236220473
260,-1.96602,4.58757,-1.31067,4.58757,-19.350531496062995,54.18389763779528
280,-1.31067,3.27684,-7.86432,1.31082,-54.18301181102363,27.09248031496063
300,-27.52521,3.27709,-41.94327,4.58796,-410.24692913385826,46.44714566929134
320,-41.9434,3.9327,-41.94349,3.93271,-495.39501968503936,46.449271653543306
340,-41.94346,5.24341,-41.94346,5.24342,-495.39519685039375,61.93009842519686
360,-41.94346,5.24343,-41.94347,5.89878,-495.3952559055119,65.80045275590551
380,-41.94346,5.89878,-41.94347,6.55414,-495.3952559055119,73.5408661417323
400,-41.94346,5.89878,-41.94348,5.89878,-495.39531496063,69.67062992125985
420,-41.94347,5.24341,-41.94348,5.24341,-495.395374015748,61.93003937007874
440,-41.94347,5.24341,-41.94348,5.2434,-495.395374015748,61.92998031496063
460,-41.94347,5.2434,-41.94348,5.2434,-495.395374015748,61.92992125984252
480,-41.94347,4.58804,-41.94348,4.58804,-495.395374015748,54.189448818897645
500,-41.94347,3.93268,-41.94354,0.000550000000004,-495.39572834645674,23.227736220472465
520,-41.94362,-2.62088,-41.94366,-1.31016,-495.3973228346457,-23.2148031496063
540,-41.94364,-0.65479999999999,-41.94365,-0.65479,-495.3973818897638,-7.733799212598365
560,-41.94365,0.0005700000000032,-41.94366,1.3113,-495.39750000000004,7.747263779527578
580,-41.94365,0.65594,-41.94366,1.3113,-495.39750000000004,11.617559055118111
600,-41.94365,1.31131,-41.94366,1.96667,-495.39750000000004,19.35814960629921
620,-41.94365,2.62203,-41.94366,2.62204,-495.39750000000004,30.96891732283465
640,-41.94365,3.27741,-41.94366,3.93277,-495.39750000000004,42.5798031496063
660,-41.94365,3.93277,-41.94366,4.58814,-495.39750000000004,50.3203346456693
680,-41.94365,5.2435,-41.94366,5.89887,-495.39750000000004,65.80139763779528
700,-41.94365,5.89886,-41.94366,7.20959,-495.39750000000004,77.41210629921261
720,-41.94365,7.2096,-41.94366,8.52032,-495.39750000000004,92.8932283464567
740,-41.94365,9.17569,-41.94366,10.48642,-495.39750000000004,116.11482283464566
760,-41.94365,11.14178,-41.94366,12.45251,-495.39750000000004,139.33635826771655
780,-41.94365,13.10788,-41.94366,14.41861,-495.39750000000004,162.55801181102362
800,-41.94365,15.72934,-41.94366,17.04006,-495.39750000000004,193.52007874015752
820,-41.94365,18.35078,-41.94366,19.6615,-495.39750000000004,224.481968503937
840,-41.94365,20.31686,-41.94366,21.62758,-495.39750000000004,247.70338582677167
860,-41.94365,22.9383,-41.94366,24.90438,-495.39750000000004,282.53551181102364
880,-41.94365,26.2151,-41.94366,28.83654,-495.39750000000004,325.10811023622045
900,-41.94365,32.11334,-41.94366,36.0455,-495.39750000000004,402.5128346456693
920,-41.94365,39.97766,-41.94366,43.90982,-495.39750000000004,495.39850393700794
940,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
960,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
980,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1000,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1020,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1040,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1060,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1080,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1100,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1120,-35.38994,46.53126,-24.24871,46.53126,-352.1967519685039,549.5818110236221
1140,-23.59337,46.53126,-26.21492,46.53126,-294.14344488188976,549.5818110236221
1160,-25.55962,46.53126,-25.55966,46.53126,-301.88551181102366,549.5818110236221
1180,-25.55965,46.53126,-26.21502,46.53126,-305.7559251968504,549.5818110236221
1200,-26.87037,46.53126,-27.52574,46.53126,-321.23687007874014,549.5818110236221
1220,-27.52573,46.53126,-28.1811,46.53126,-328.977342519685,549.5818110236221
1240,-28.18109,46.53126,-28.83646,46.53126,-336.71781496062994,549.5818110236221
1260,-28.83645,46.53126,-28.83646,46.53126,-340.5880511811024,549.5818110236221
1280,-28.83645,46.53126,-28.83646,46.53126,-340.5880511811024,549.5818110236221
1300,-29.49181,46.53126,-29.49182,46.53126,-348.32852362204727,549.5818110236221
1320,-30.14717,46.53126,-30.14718,46.53126,-356.06899606299214,549.5818110236221
1340,-30.80253,46.53126,-36.70078,46.53126,-398.64159448818896,549.5818110236221
1360,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1380,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1400,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1420,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1440,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1460,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1480,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1500,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1520,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1540,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1560,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1580,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1600,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1620,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1640,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1660,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1680,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1700,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1720,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1740,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1760,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1780,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1800,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1820,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1840,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1860,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1880,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
1900,-41.94365,46.53126,-41.94366,46.53126,-495.39750000000004,549.5818110236221
