T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.65537,0.0,0.0,-3.8702362204724414,3.8702952755905513
40,0.0,1.0000000003174e-05,0.65536,-0.65536,3.8702362204724414,-3.8701771653543116
60,0.0,-0.65535999999999,0.0,-0.65536,0.0,-7.740472440944823
80,-0.65536,0.0,-1.0000000003174e-05,0.0,-3.8702952755905704,0.0
100,-0.65537,0.65537,-0.65537,9.9999999960687e-06,-7.740590551181103,3.8703543307086377
120,-0.65537,1.0000000003174e-05,0.0,9.9999999960687e-06,-3.8702952755905513,0.0001181102362160002
140,-0.65536,0.65537,-1.0000000003174e-05,9.9999999960687e-06,-3.8702952755905704,3.8703543307086377
160,-0.65537,0.65537,0.0,0.65537,-3.8702952755905513,7.740590551181103
180,-0.65537,0.65537,0.65534,0.65535999999999,-0.00017716535433055802,7.740531496062933
200,0.65534,0.65537,0.65534,0.65537,7.7402362204724415,7.740590551181103
220,0.65534,0.65538,1.3107,0.65537,11.610472440944882,7.740649606299213
240,0.65534,1.31074,1.3107,0.65537999999999,11.610472440944882,11.610944881889703
260,0.65534,1.31075,1.3107,1.31074,11.610472440944882,15.481240157480316
280,0.65534,1.96611,1.3107,1.9661,11.610472440944882,23.221712598425196
300,0.65534,1.96611,1.3107,1.96611,11.610472440944882,23.221771653543307
320,0.65534,2.62147,1.3107,1.96611,11.610472440944882,27.09200787401575
340,1.3107,3.27684,1.3107,2.62147,15.480708661417323,34.83253937007874
360,0.65534,3.27684,1.3107,2.62148,11.610472440944882,34.83259842519685
380,0.65533,3.27684,1.3107,3.27684,11.61041338582677,38.70283464566929
400,0.65533,3.9322,1.31069,3.27684,11.610354330708663,42.573070866141734
420,0.65534,3.93221,1.3107,3.27684,11.610472440944882,42.57312992125985
440,0.65534,3.93221,1.3107,3.9322,11.610472440944882,46.443366141732284
460,1.31069,4.58757,1.3107,4.58757,15.480649606299213,54.18389763779528
480,0.65533,4.58758,1.96605,4.58757,15.480590551181102,54.18395669291339
500,1.31069,5.24294,1.96606,5.24293,19.350885826771652,61.92442913385827
520,0.65533,5.24295,1.96605,5.24294,15.480590551181102,61.9245472440945
540,1.31069,5.24294,1.96606,5.8983,19.350885826771652,65.79472440944882
560,1.3107,6.55366,1.96606,5.8983,19.350944881889763,73.5351968503937
580,1.3107,6.55366,1.96605,6.55366,19.350885826771652,77.40543307086614
600,0.65534,7.86439,1.31069,7.20902,11.61041338582677,89.01620078740156
620,1.31069,7.86439,1.31069,7.20902,15.480590551181102,89.01620078740156
640,1.31069,7.86439,1.31069,8.51975,15.480590551181102,96.75673228346459
660,0.65533,8.51975,1.31069,8.51975,11.610354330708663,100.62696850393701
680,0.65533,8.51976,1.31068,8.51975,11.610295275590552,100.62702755905512
700,0.65532,8.51975,1.31068,8.51975,11.61023622047244,100.62696850393701
720,0.65532,9.17512,1.31068,8.51975,11.61023622047244,104.49726377952757
740,0.65533,9.17512,1.31069,9.17512,11.610354330708663,108.36755905511811
760,0.65533,9.83049,1.31068,9.83049,11.610295275590552,116.10814960629921
780,0.65532,9.83049,1.96604,9.83048,15.480472440944883,116.10809055118109
800,1.31068,9.83049,1.96604,9.83048,19.350708661417325,116.10809055118109
820,1.96603,9.83049,2.62139,9.83048,27.091062992125984,116.10809055118109
840,1.96603,9.83049,2.6214,9.83048,27.0911220472441,116.10809055118109
860,2.62139,10.48586,3.27676,9.83048,34.831594488188976,119.97838582677166
880,2.62139,10.48585,3.27676,9.83049,34.831594488188976,119.97838582677164
900,9.17511,8.51978,18.35032,7.20906,162.55175196850394,92.8868503937008
920,18.35034,7.86441,17.03958,9.17513,208.99559055118112,100.62720472440944
940,15.72884,10.48588,15.72885,10.48588,185.7737598425197,123.84897637795275
960,15.72885,10.48589,16.3842,11.14125,189.64399606299213,127.71933070866143
980,15.72884,11.14125,16.3842,10.48589,189.643937007874,127.71933070866143
1000,15.72884,11.79662,16.3842,11.14125,189.643937007874,135.4598622047244
1020,15.72884,11.14125,16.3842,11.14125,189.643937007874,131.58956692913387
1040,15.72884,11.79661,16.3842,11.14125,189.643937007874,135.4598031496063
1060,15.72884,11.79662,16.3842,11.79661,189.643937007874,139.33009842519684
1080,15.72884,11.79662,16.3842,11.79661,189.643937007874,139.33009842519684
1100,15.72884,12.45198,15.72884,11.79661,185.77370078740157,143.2003346456693
1120,15.72884,12.45198,15.72884,11.79662,185.77370078740157,143.20039370078743
1140,15.07348,12.45198,15.72884,11.79661,181.90346456692916,143.2003346456693
1160,11.79666,11.7966,4.5876,10.48585,96.75744094488188,131.5892716535433
1180,3.93222,11.14124,5.89833,11.79661,58.054429133858264,135.4597440944882
1200,4.58762,13.10734,5.24298,13.10734,58.05472440944882,154.81110236220474
1220,4.58762,13.76271,4.58762,13.76271,54.18448818897638,162.55169291338584
1240,3.93227,14.41807,4.58763,13.76271,50.31437007874016,166.42192913385827
1260,3.2769,14.41807,3.93227,13.76271,42.57383858267717,166.42192913385827
1280,3.27691,14.41808,3.2769,13.76271,38.70360236220473,166.42198818897637
1300,2.62154,14.41808,3.2769,13.10735,34.83330708661418,162.55175196850394
1320,2.62154,13.10736,2.62154,13.10735,30.963070866141734,154.81127952755907
1340,1.96618,13.10735,2.62154,12.45199,27.092834645669292,150.9409842519685
1360,1.96618,12.45199,2.62154,11.79662,27.092834645669292,143.2004527559055
1380,1.96618,12.45199,3.2769,11.79662,30.963070866141734,143.2004527559055
1400,1.96618,11.79662,3.2769,11.14125,30.963070866141734,135.4598622047244
1420,1.96617,11.79661,-3.93216,11.14122,-11.610177165354331,135.45962598425197
1440,-6.55366,11.14124,-3.27681,11.14124,-58.05395669291339,131.58944881889764
1460,-2.62142,11.79662,-1.96606,11.79662,-27.091417322834648,139.33015748031497
1480,-2.62142,12.45199,-1.96606,12.45198,-27.091417322834648,147.07068897637797
1500,-2.62142,12.45199,-1.3107,11.79662,-23.221181102362205,143.2004527559055
1520,-1.96605,12.45199,-1.31069,11.79662,-19.350826771653544,143.2004527559055
1540,-1.96606,12.45198,-1.3107,11.79662,-19.350944881889763,143.20039370078743
1560,-1.96606,12.45198,-1.3107,11.79661,-19.350944881889763,143.2003346456693
1580,-1.96606,12.45198,-1.31069,12.45198,-19.350885826771652,147.07062992125987
1600,-1.96606,12.45198,-1.31069,11.79661,-19.350885826771652,143.2003346456693
1620,-1.96605,12.45198,-0.65533,11.14125,-15.480590551181102,139.33009842519684
1640,-1.31069,11.79661,-0.65533,11.14124,-11.610354330708663,135.4597440944882
1660,3.9999999998486e-05,11.14125,7.20912,9.83053,42.573779527559054,123.84909448818897
1680,12.45213,9.17517,13.76287,9.83053,154.81299212598427,112.23838582677166
1700,11.14396,11.14128,11.79677,11.14128,135.47675196850392,131.58992125984253
1720,11.14142,12.45201,11.79678,12.45201,135.46181102362203,147.0709842519685
1740,11.14142,12.45201,11.14142,12.45201,131.5915748031496,147.0709842519685
1760,11.14142,12.45201,11.14142,12.452,131.5915748031496,147.0709251968504
1780,10.48606,11.79665,11.14142,11.79664,127.72133858267716,139.33045275590553
1800,10.48606,11.79664,11.14142,11.79663,127.72133858267716,139.3303346456693
1820,10.48606,11.79664,11.14142,11.14127,127.72133858267716,135.46009842519683
1840,10.48605,11.79663,11.14142,11.14127,127.72127952755905,135.46003937007873
1860,10.48606,11.14127,11.14142,10.48591,127.72133858267716,127.71956692913386
1880,9.8307,11.14127,10.48606,10.4859,119.98086614173228,127.71950787401575
1900,9.8307,11.14127,9.8307,10.4859,116.11062992125984,127.71950787401575
1920,9.8307,10.4859,10.48605,10.4859,119.98080708661418,123.84921259842521
1940,9.83069,10.4859,11.14141,9.83053,123.85098425196851,119.97891732283465
1960,9.83069,10.4859,11.14141,9.83054,123.85098425196851,119.97897637795276
1980,10.48605,10.4859,11.79676,9.83053,131.5913976377953,119.97891732283465
2000,11.1414,10.4859,11.79676,9.83053,135.46157480314963,119.97891732283465
2020,11.79676,9.83054,20.31658,8.51983,189.64570866141733,108.36832677165356
2040,27.52573,8.52066,30.14724,7.86448,340.588405511811,96.7626377952756
2060,29.49187,9.17521,29.49186,9.17522,348.3291141732284,108.3686811023622
2080,28.83651,9.83059,29.49187,9.83058,344.45893700787406,116.1092716535433
2100,29.49186,9.83058,30.14722,9.17522,352.19929133858267,112.23897637795277
2120,29.49186,9.83058,29.49186,9.83058,348.32905511811026,116.10921259842519
2140,29.49186,9.83058,30.14721,9.17522,352.19923228346454,112.23897637795277
2160,28.8365,9.83058,30.14721,9.17521,348.32899606299213,112.23891732283465
2180,30.14721,9.83058,30.14722,9.17521,356.06946850393706,112.23891732283465
2200,29.49185,9.17522,30.80257,9.17521,356.06940944881893,108.3686811023622
2220,30.14721,9.17521,30.80257,9.1752,359.93964566929134,108.36856299212599
2240,29.49185,9.17521,30.14721,8.51984,352.19917322834647,104.49832677165355
2260,29.49185,9.17521,30.1472,8.51985,352.19911417322834,104.49838582677164
2280,29.49184,9.17521,29.49184,8.51984,348.3288188976378,104.49832677165355
2300,28.83648,8.51984,33.42407,7.20912,367.6804133858268,92.88755905511812
2320,39.3225,6.55378,42.59936,5.89841,483.79051181102363,73.53655511811024
2340,41.94399,7.20914,42.59934,6.55378,499.2716338582677,81.27708661417323
2360,41.28863,7.20915,42.59935,7.20914,495.40145669291337,85.14738188976376
2380,41.94399,7.86451,41.94399,7.20915,495.40145669291337,89.01767716535433
2400,41.28863,7.86451,41.94399,7.20914,491.53122047244096,89.01761811023623
2420,-53.73857,7.86452,41.94398,7.86451,-69.6530905511811,92.88797244094488
