T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,0.0,0.0,1.31072,-5.905511808701989e-05,7.740472440944883
40,-9.9999999960687e-06,0.65537,-1.0000000003174e-05,1.31072,-0.0001181102362160002,11.610767716535433
60,-9.9999999960687e-06,1.31073,-1.0000000003174e-05,1.31071,-0.0001181102362160002,15.480944881889766
80,0.65535000000001,1.31073,0.65535,1.96608,7.740354330708721,19.351240157480316
100,-9.9999999960687e-06,1.96609,-1.0000000003174e-05,2.62144,-0.0001181102362160002,27.091712598425197
120,-9.9999999960687e-06,1.96609,-0.65536,2.62144,-3.8702952755905278,27.091712598425197
140,-9.9999999960687e-06,1.9661,-0.65536,3.27681,-3.8702952755905278,30.96206692913386
160,-0.65537,2.62146,0.0,3.27681,-3.8702952755905513,34.832303149606304
180,-0.65537,3.27682,0.0,3.93218,-3.8702952755905513,42.57283464566929
200,-9.9999999960687e-06,3.93218,0.0,4.58753,-5.905511808701989e-05,50.313248031496066
220,-0.65537,3.93218,-0.65536,4.58754,-7.740531496062992,50.313307086614174
240,-0.65537,3.93219,9.9999999960687e-06,4.58754,-3.8702362204724636,50.31336614173228
260,-0.65535999999999,4.58755,-0.65535,5.89826,-7.740413385826713,61.924074803149615
280,-0.65535,5.24292,-1.31071,6.55363,-11.610590551181103,69.66466535433071
300,-1.96607,6.55364,-1.3107,7.20899,-19.351003937007874,81.27537401574803
320,-1.31071,7.20901,-1.3107,8.51972,-15.480767716535434,92.88620078740156
340,-1.96607,8.51973,-1.96606,9.17509,-23.221240157480317,104.49696850393701
360,-1.96606,9.17511,-1.96605,9.83045,-23.221122047244098,112.23755905511811
380,-2.62142,9.17511,-2.62141,10.48582,-30.961594488188975,116.10785433070866
400,-2.62141,9.83047,-2.6214,10.48582,-30.96147637795276,119.9780905511811
420,-3.27677,10.48583,-2.6214,11.14118,-34.8317125984252,127.71856299212598
440,-2.6214,10.48583,-3.27675,11.14118,-34.831594488188976,127.71856299212598
460,-3.27676,11.1412,-3.27675,11.79654,-38.70183070866142,135.45909448818898
480,-3.93212,11.79656,-5.89821,11.14118,-58.053129921259846,135.45909448818898
500,-5.89821,10.48583,-5.24284,11.79654,-65.79360236220472,131.58879921259842
520,-5.89821,12.45192,-5.8982,13.10727,-69.66383858267717,150.94009842519685
540,-5.8982,13.10729,-5.24284,13.76263,-65.79354330708662,158.68062992125985
560,-5.24285,13.10729,-5.24285,13.76263,-61.923425196850395,158.68062992125985
580,-4.5875,13.10728,-4.58749,14.41799,-54.18301181102363,162.55080708661418
600,-4.5875,13.76264,-4.58749,15.07335,-54.18301181102363,170.29127952755906
620,-5.24286,14.418,-4.5875,15.07335,-58.053307086614176,174.1615157480315
640,-4.58751,14.41801,-4.5875,15.07335,-54.18312992125985,174.16157480314962
660,-4.58751,14.418,-4.5875,14.41799,-54.18312992125985,170.29127952755906
680,-5.24287,13.76264,2.62151,15.07334,-15.480472440944883,170.29122047244095
700,13.76278,13.76263,17.03967,13.10725,181.90423228346458,158.6803937007874
720,15.72893,13.76262,15.07357,15.07334,181.9045275590551,170.29110236220473
740,15.07356,14.41799,15.07356,15.07334,178.03417322834648,174.1613976377953
760,15.07355,14.41799,15.07355,14.41798,178.03405511811022,170.29116141732283
780,14.41818,13.76263,14.41818,14.41798,170.29346456692915,166.42092519685042
800,13.76281,13.76263,13.76282,13.76262,162.55293307086615,162.55068897637796
820,13.10744,13.10727,13.10745,13.76262,154.81234251968505,158.68045275590552
840,12.45208,13.10727,12.45208,13.76262,147.07181102362205,158.68045275590552
860,9.83061,15.07337,7.86451,14.41799,104.49874015748031,174.16157480314962
880,7.86451,13.10728,7.86451,14.41799,92.88791338582678,162.55080708661418
900,7.20915,14.41801,7.20915,14.41799,85.1474409448819,170.29133858267716
920,7.8645,13.10728,7.86451,13.76263,92.88785433070866,158.68057086614175
940,7.8645,13.10728,7.20915,13.76263,89.01761811023623,158.68057086614175
960,7.8645,13.10728,7.20915,13.10727,89.01761811023623,154.8103346456693
980,7.20914,13.10728,7.20915,13.76263,85.14738188976376,158.68057086614175
1000,6.55379,12.45192,6.5538,13.10727,77.40702755905512,150.94009842519685
