T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535999999999,-0.65537,-0.65535999999999,-1.0000000003174e-05,0.0,-3.8703543307086803
40,0.0,-0.65538,0.0,-1.0000000003174e-05,0.0,-3.8704133858267897
60,0.65535,-0.65538,0.0,-0.65538,3.8701771653543307,-7.740708661417322
80,0.65535999999999,-1.31074,-9.9999999960687e-06,-1.0000000003174e-05,3.8701771653542942,-7.740649606299232
100,0.65535,-0.65538,-0.65537,-1.9999999999243e-05,-0.00011811023622059054,-3.8704724409448774
120,-1.0000000003174e-05,-0.65538,0.0,-1.9999999999243e-05,-5.9055118128980315e-05,-3.8704724409448774
140,0.65535999999999,-1.31075,0.0,-0.65539,3.870236220472382,-11.611062992125985
160,1.31072,-1.31075,-9.9999999960687e-06,-1.9999999999243e-05,7.740413385826796,-7.740767716535429
180,0.65535,-1.31076,0.65536,-0.65539,7.7404133858267725,-11.611122047244095
200,1.31072,-1.96613,1.31071,-1.96612,15.480885826771654,-23.221948818897637
220,1.31072,-2.62148,1.31072,-1.31075,15.480944881889766,-23.221830708661418
240,1.96608,-1.96612,1.31072,-1.96612,19.351181102362204,-23.22188976377953
260,1.96608,-1.96612,1.31073,-1.31075,19.351240157480316,-19.35159448818898
280,1.31073,-1.96612,0.65537,-0.65539,11.610826771653544,-15.481358267716535
300,1.31074,-1.31075,0.65538,-1.9999999999243e-05,11.610944881889765,-7.740767716535429
320,1.31074,-1.31074,0.65538,-1.0000000003174e-05,11.610944881889765,-7.740649606299232
340,0.65537999999999,-0.65537,1.9999999999243e-05,0.65535,3.8704724409448183,-0.00011811023622059054
360,0.65537999999999,-1.9999999999243e-05,3.0000000002417e-05,-1.0000000003174e-05,3.8705314960629473,-0.00017716535434498227
380,0.65539,-0.65537,0.65539,0.65536,7.740826771653544,-5.905511810996746e-05
400,0.6554,-9.9999999960687e-06,4.0000000005591e-05,0.65536,3.870708661417356,3.870177165354354
420,0.6554,0.0,4.0000000005591e-05,1.31073,3.870708661417356,7.740531496062992
440,0.6554,0.0,4.0000000005591e-05,1.31073,3.870708661417356,7.740531496062992
