T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,-1.31072,-0.65536,-0.65536,-3.8702952755905278,-11.610708661417323
40,-0.65536,-1.31072,-0.65535000000001,-1.31072,-7.740413385826831,-15.480944881889766
60,-0.65536,-1.31072,9.9999999960687e-06,-1.96607,-3.870177165354354,-19.351122047244097
80,-0.65535,-1.31072,-0.65534,-1.96608,-7.740295275590552,-19.351181102362204
100,-0.65535,-1.96608,-0.65534,-1.31071,-7.740295275590552,-19.351122047244097
120,-1.31071,-1.31072,-0.65534,-1.96607,-11.610531496062993,-19.351122047244097
140,-1.31071,-1.96608,-0.65534,-1.96607,-11.610531496062993,-23.221358267716536
160,-1.96606,-1.96608,-4.58753,-1.96607,-38.7023031496063,-23.221358267716536
180,-3.93218,-1.96608,-3.27682,-1.31071,-42.57283464566929,-19.351122047244097
200,-3.27683,-0.65536,-3.27684,-0.65535,-38.702775590551184,-7.7404133858267725
220,-2.62149,-1.31072,-2.62149,-1.31072,-30.962480314960633,-15.480944881889766
240,-2.6215,-0.65536,-2.6215,-0.65535,-30.962598425196852,-7.7404133858267725
260,-2.62151,0.0,-1.96614,-0.65536,-27.09242125984252,-3.8702362204724414
280,-2.62149,-0.65536,-2.62149,-0.65535,-30.962480314960633,-7.7404133858267725
300,-3.27685,-0.65536,-2.62148,-0.65535,-34.83265748031496,-7.7404133858267725
320,-3.27684,-0.65536,-3.27684,-1.31071,-38.70283464566929,-11.610649606299212
340,-3.27685,-0.65536,-3.9322,-1.31072,-42.57312992125985,-11.610708661417323
360,-3.27684,-1.31073,-3.27684,-1.31072,-38.70283464566929,-15.481003937007873
380,-3.27684,-1.31073,-3.9322,-1.96608,-42.573070866141734,-19.351240157480316
400,-3.9322,-1.31073,-3.93219,-1.96608,-46.44324803149607,-19.351240157480316
420,-3.9322,-1.96609,-3.9322,-1.96608,-46.443307086614176,-23.221476377952758
440,-3.9322,-2.62145,-3.27684,-2.62145,-42.573070866141734,-30.962007874015747
460,-3.9322,-1.9661,-3.93221,-1.96609,-46.443366141732284,-23.221594488188977
480,-3.93221,-1.96609,-3.9322,-1.96608,-46.443366141732284,-23.221476377952758
500,-4.58757,-1.31073,-3.9322,-1.96609,-50.31360236220473,-19.351299212598423
520,-4.58757,-1.31074,-4.58756,-1.96608,-54.18383858267716,-19.351299212598423
540,1.31075,-1.31073,5.89835,-1.3107,42.573425196850394,-15.480885826771654
560,5.89834,9.9999999960687e-06,5.24297,1.9999999999243e-05,65.7951377952756,0.0001771653543030219
580,4.58761,0.65537,4.58762,1.9999999999243e-05,54.18442913385827,3.8704133858267675
600,4.58761,9.9999999960687e-06,4.58762,1.9999999999243e-05,54.18442913385827,0.0001771653543030219
620,3.93225,0.65535999999999,3.93225,1.0000000003174e-05,46.443897637795274,3.87029527559051
640,3.93225,9.9999999960687e-06,3.93226,0.65536,46.44395669291339,3.8702952755905278
660,3.93225,0.0,3.93226,0.65536,46.44395669291339,3.8702362204724414
680,3.27689,0.65535999999999,3.93225,0.65536,42.57366141732283,7.740472440944823
700,3.27689,-1.0000000003174e-05,5.89835,-0.65536,54.184488188976374,-3.8702952755905704
720,15.07355,-0.65536,19.66115,-1.31071,205.12618110236218,-11.610649606299212
740,19.00576,9.9999999960687e-06,19.00576,0.65537,224.47748031496062,3.8703543307086377
760,18.3504,0.65537,19.00576,0.65538,220.6072440944882,7.740649606299213
780,18.3504,1.31073,18.3504,1.31073,216.73700787401577,15.481062992125985
800,18.35039,1.31073,18.3504,0.65538,216.73694881889764,11.610885826771653
820,17.69504,1.31073,18.3504,1.31073,212.8667716535433,15.481062992125985
840,18.3504,1.31072,17.69505,1.31073,212.86683070866144,15.481003937007873
860,18.3504,1.96608,18.3504,1.96609,216.73700787401577,23.221476377952758
