T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65537,0.0,-0.65536,0.0,-7.740531496062992,0.0
40,-1.31073,0.0,-7.86443,-0.65536,-54.1840157480315,-3.8702362204724414
60,-12.45204,0.0,-12.45202,0.0,-147.07122047244096,0.0
80,-12.45202,1.0000000003174e-05,-11.79666,0.0,-143.2008661417323,5.9055118128980315e-05
100,-11.79667,0.0,-11.79666,-0.65536,-139.33068897637796,-3.8702362204724414
120,-11.14132,-0.65536,-10.48596,-0.65537,-127.72015748031495,-7.740531496062992
140,-10.48597,-0.65537,-9.8306,-1.31073,-119.97974409448818,-11.610826771653544
160,-9.83062,-0.65537,-9.83061,-1.31073,-116.10962598425198,-11.610826771653544
180,-9.83062,-0.65538,-9.17525,-1.31074,-112.23938976377954,-11.610944881889765
200,-9.17526,-1.31074,-9.17525,-1.31074,-108.36915354330709,-15.481181102362205
220,-9.17526,-0.65538,-8.51989,-1.31075,-104.49891732283464,-11.611003937007874
240,-8.5199,-0.65538,-8.51989,-1.31075,-100.62868110236221,-11.611003937007874
260,-8.5199,-0.65538,-8.51989,-0.65538,-100.62868110236221,-7.740708661417322
280,-8.51989,-0.65538,-7.86453,-1.31075,-96.75838582677164,-11.611003937007874
300,-7.86453,-0.65539,-7.86453,-0.65539,-92.88814960629922,-7.740826771653544
320,-8.51989,-0.65539,-8.51988,-0.65539,-100.62856299212599,-7.740826771653544
340,-7.86453,-0.65538,-8.51988,-0.65539,-96.75832677165356,-7.740767716535434
360,-8.51989,-0.65538,-8.51988,-3.0000000002417e-05,-100.62856299212599,-3.8705314960630064
380,-8.51989,-0.65539,-7.86452,-0.65539,-96.75832677165354,-7.740826771653544
400,-8.51989,-0.65538,-7.86452,-0.65539,-96.75832677165354,-7.740767716535434
420,-8.51989,-0.65539,-7.86453,-0.65539,-96.75838582677164,-7.740826771653544
440,-7.86453,-0.65539,-8.51989,-0.65539,-96.75838582677164,-7.740826771653544
460,-7.86454,-1.31075,-8.51989,-1.31076,-96.75844488188977,-15.481358267716535
480,-8.51989,-1.31075,-8.51989,-1.31076,-100.6286220472441,-15.481358267716535
500,-9.83061,-0.65539,-9.8306,-0.65539,-116.10950787401575,-7.740826771653544
520,-10.48596,-3.0000000002417e-05,-11.14131,0.65533,-127.72009842519685,3.8698818897637652
540,-11.79668,0.65533,-11.79667,0.65532,-139.3308070866142,7.74005905511811
560,-5.89832,-0.65542,3.93227,-1.31079,-11.610531496062993,-11.611476377952757
580,4.58768,-1.31078,2.62159,-0.65543,42.57442913385827,-11.611476377952757
600,1.31086,-5.9999999997729e-05,0.65551,-0.65542,11.61242125984252,-3.87094488188975
620,0.65551,-5.9999999997729e-05,0.0001499999999978,-7.0000000000903e-05,3.8720078740157353,-0.0007677165354249921
