T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,1.9661,0.0,1.9661,-3.870236220472382,23.221653543307088
40,-0.65535,3.27684,-0.65535999999999,1.9661,-7.740413385826713,30.962244094488188
60,0.0,3.9322,-1.9999999999243e-05,1.9661,-0.00011811023621600198,34.83248031496063
80,-1.9999999999243e-05,3.9322,-2.9999999995312e-05,2.62147,-0.00029527559051902556,38.702775590551184
100,0.65533,3.27684,1.31067,1.0000000003174e-05,11.61023622047244,19.351476377952775
120,7.86433,3.27685,17.03948,6.0000000004834e-05,147.0697440944882,19.351830708661446
140,26.21465,0.65541,34.73443,-6.5536,359.9355118110237,-34.831830708661414
160,42.59882,-9.83044,51.11856,-10.48581,553.4490944881891,-119.97785433070867
180,64.22588,-8.51971,70.77955,-7.86434,797.2761614173228,-96.7562007874016
200,68.15813,-7.20897,66.8474,-7.86433,797.276751968504,-89.01555118110237
220,66.8474,-6.5536,66.8474,-7.86433,789.5362204724408,-85.14525590551182
240,66.19204,-6.5536,65.53668,-7.86433,777.9255118110237,-85.14525590551182
260,64.88132,-6.5536,65.53667,-8.5197,770.1849803149606,-89.01555118110237
280,65.53668,-7.86433,65.53668,-9.17506,774.0552755905512,-100.6263188976378
300,65.53668,-7.86433,64.88132,-9.83042,770.1850393700788,-104.49655511811024
320,64.88132,-9.17506,64.88132,-10.48579,766.3148031496064,-116.10738188976379
340,65.53668,-9.17506,64.88132,-11.14115,770.1850393700788,-119.97761811023624
360,36.70066,-16.38404,5.89834,-17.03943,251.56889763779526,-197.38269685039367
380,-3.27696,-6.55362,-5.24306,-1.96608,-50.315078740157475,-50.31318897637796
400,-3.93231,0.65539,-3.93232,1.9999999999243e-05,-46.44466535433071,3.8705314960629873
420,-4.58767,1.31075,-3.93231,0.65538,-50.314842519685044,11.611003937007874
440,-4.58767,1.96611,-4.58768,0.65538,-54.185137795275594,15.481240157480316
460,-4.58768,1.96612,-4.58767,1.9999999999243e-05,-54.185137795275594,11.61106299212598
480,-44.56464,1.31076,-4.58768,-0.65533,-290.2696062992126,3.8706496062992124
500,-4.58768,3.9999999998486e-05,-3.93232,-1.31069,-50.31496062992126,-7.7400590551181185
520,-4.58768,3.9999999998486e-05,-4.58768,-1.31069,-54.1851968503937,-7.7400590551181185
540,-4.58767,0.6554,-4.58768,3.0000000002417e-05,-54.185137795275594,3.870649606299227
560,-4.58768,1.31077,-4.58768,3.9999999998486e-05,-54.1851968503937,7.741003937007865
580,-4.58767,2.6215,-4.58768,1.31076,-54.185137795275594,23.22200787401575
600,-4.58767,2.6215,-3.93231,0.65541,-50.314842519685044,19.351830708661417
620,-4.58767,2.6215,-4.58767,1.31077,-54.185078740157486,23.22206692913386
640,-4.58767,1.96614,-3.93231,0.6554,-50.314842519685044,15.481535433070867
660,-3.93231,1.31077,-3.93231,-0.65532,-46.4446062992126,3.870767716535433
680,-2.62159,0.65541,-2.6216,-0.65533,-30.963720472440947,0.00047244094488236215
700,-2.6216,0.6554,-1.96624,-1.31069,-27.093543307086616,-3.8698228346456682
720,-1.96623,0.6554,-1.96624,-1.3107,-23.223248031496063,-3.8698818897637794
740,-1.31086,3.0000000002417e-05,-1.31087,-1.96606,-15.48265748031496,-11.610413385826757
760,-1.31086,-0.65534,-1.31086,-2.62143,-15.48259842519685,-19.351003937007874
780,-0.65549,-1.3107,-0.65549,-3.27619,-7.742007874015749,-27.087933070866146
