T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,0.0,-0.65535999999999,1.31072,-7.740472440944764,7.740472440944883
40,-0.65535999999999,0.0,0.0,-9.9999999960687e-06,-3.870236220472382,-5.905511808701989e-05
60,-0.65535999999999,0.65536,-9.9999999960687e-06,1.31072,-3.8702952755904687,11.610708661417323
80,-0.65535999999999,1.31071,-9.9999999960687e-06,1.96608,-3.8702952755904687,19.351122047244097
100,-0.65537,1.96609,-0.65537,3.2768,-7.740590551181103,30.96194881889764
120,-0.65537,2.62145,-0.65537,1.96608,-7.740590551181103,27.091712598425197
140,-9.9999999960687e-06,1.31071,-0.65537999999999,1.96607,-3.8704133858266894,19.351062992125986
160,-0.65537999999999,1.31072,-0.65537999999999,1.96607,-7.740708661417204,19.351122047244097
180,-1.31074,1.31072,-1.31075,1.96608,-15.481240157480316,19.351181102362204
200,-1.31074,1.31072,-1.31075,1.96608,-15.481240157480316,19.351181102362204
220,-1.31075,1.31072,-1.31075,2.62144,-15.481299212598426,23.221417322834654
240,-1.31074,1.31072,-1.31074,1.31071,-15.481181102362205,15.480885826771654
260,-1.31075,1.31071,-1.31074,1.31071,-15.481240157480316,15.480826771653545
280,-1.96611,1.31072,-1.31075,1.31071,-19.351535433070868,15.480885826771654
300,-1.3082,0.65535,-1.96611,0.65535,-19.336476377952756,7.740354330708661
320,-1.96611,-1.0000000003174e-05,-1.96611,-1.9999999999243e-05,-23.221771653543307,-0.00017716535434498227
340,-1.96611,-0.65538,-1.96612,-0.6554,-23.221830708661418,-7.740826771653542
360,-1.96611,-1.31076,-1.96611,-1.31076,-23.221771653543307,-15.481417322834645
380,-1.96611,-1.96612,-1.31076,-1.96613,-19.35159448818898,-23.221948818897637
400,-1.31075,-2.62149,-1.31076,-1.96614,-15.481358267716535,-27.0923031496063
420,-1.31076,-3.27687,-1.31076,-2.62151,-15.481417322834645,-34.83295275590552
440,-1.31076,-3.27687,-1.96612,-3.93224,-19.351653543307087,-42.5734842519685
460,-1.31076,-4.5876,-1.96612,-4.5876,-19.351653543307087,-54.18425196850394
480,-1.96612,-5.89832,-1.31077,-5.24297,-19.3517125984252,-65.79501968503936
500,-1.31076,-5.89833,-1.31076,-5.24297,-15.481417322834645,-65.79507874015748
520,-1.31076,-6.5537,-1.31077,-6.5537,-15.481476377952756,-77.40590551181103
540,-1.31077,-7.20906,-1.96612,-7.20907,-19.3517125984252,-85.14643700787401
560,-1.96613,-7.20906,-1.96613,-7.86443,-23.22200787401575,-89.01667322834646
580,-1.31077,-8.51979,-1.96613,-7.86444,-19.351771653543306,-96.75726377952758
600,-1.96613,-8.5189,-1.96614,-8.51981,-23.22206692913386,-100.62230314960631
620,-1.96614,-9.17517,-1.31078,-9.17517,-19.35188976377953,-108.36814960629921
640,-1.96614,-9.83054,-1.31078,-9.17518,-19.35188976377953,-112.23850393700786
660,-1.96615,-9.17517,-1.31079,-7.86445,-19.35200787401575,-100.62767716535433
680,-1.31079,-7.86445,-1.96615,-5.89836,-19.35200787401575,-81.27643700787402
700,-1.96615,-5.24298,-1.96614,-2.62153,-23.22218503937008,-46.44395669291339
720,-2.6215,-1.96615,-2.6215,-5.9999999997729e-05,-30.962598425196852,-11.611476377952743
740,-3.27686,1.31067,-3.93222,3.27677,-42.57330708661418,27.091181102362206
760,-3.93221,4.58751,-3.93221,5.89825,-46.44342519685039,61.92377952755906
780,-4.58757,6.55362,-4.58756,7.86435,-54.18383858267716,85.14549212598426
800,-5.89828,8.51973,-5.89828,9.83046,-69.66472440944882,108.36726377952758
820,-5.89827,11.14119,-6.55363,12.45192,-73.53484251968504,139.32938976377952
840,-6.55362,13.76266,-7.20898,15.72876,-81.27519685039371,174.16192913385828
860,-0.65532,17.0395,24.904,20.97169,143.2008661417323,224.47553149606298
880,34.73711,22.93777,-51.773,25.55922,-100.60564960629922,286.3995472440945
900,28.83626,25.55925,28.83626,27.52534,340.58574803149605,313.4916732283465
920,29.49164,28.18071,28.83628,29.49144,344.456220472441,340.583562992126
940,28.83628,31.45753,28.83629,34.07899,340.58604330708664,387.02669291338583
960,28.8363,36.70045,29.49167,39.97726,344.4565157480315,452.82112204724416
980,30.8024,41.288,31.45777,43.25408,367.67816929133863,499.26425196850397
1000,32.11314,44.56482,32.76851,46.5309,383.15935039370083,537.9668503937008
1020,33.42388,46.53091,33.42388,47.84163,394.77023622047244,557.3181496062992
1040,34.07925,47.18628,-51.77291,47.84165,-104.49011811023622,561.188562992126
1060,34.73461,46.53092,34.07924,45.87556,406.3810039370079,545.7075590551182
1080,34.07924,44.56484,33.42388,44.56484,398.64047244094485,526.3563779527559
1100,32.76853,43.25413,32.76852,43.25413,387.02982283464564,510.8755511811024
1120,32.76852,43.25413,32.11316,42.59877,383.15952755905516,507.00531496062996
1140,32.11315,42.59877,31.45779,41.9434,375.41893700787404,499.26478346456696
1160,30.80242,41.9434,30.80242,41.9434,363.8081102362205,495.39448818897637
1180,41.28829,41.94341,64.22626,43.25415,623.1174212598426,503.13519685039375
1200,79.2998,44.56487,79.29978,43.90948,936.6116929133859,522.4863188976378
1220,76.02293,42.59876,75.36757,41.9434,894.0383858267717,499.26472440944883
1240,76.02293,40.63267,75.36756,39.9773,894.0383267716536,476.0431299212599
1260,75.36755,38.66658,74.71219,38.01121,886.2976771653545,452.821594488189
1280,74.05682,36.7005,73.40146,35.38977,870.8166141732283,425.72994094488195
1300,73.40145,33.42368,72.74608,33.42367,863.0759645669293,394.76781496062995
1320,72.74608,32.76831,72.09071,32.11294,855.3353740157481,383.15698818897636
1340,72.0907,30.80222,71.43534,31.45757,847.5947244094488,367.6759251968504
1360,71.43534,31.45757,71.43534,32.11292,843.7244881889764,375.4162795275591
1380,72.09071,32.11292,72.09071,32.76827,851.4650787401575,383.15663385826775
1400,72.09072,33.42363,72.74609,34.07897,855.3354921259844,398.63740157480316
1420,72.74611,34.73433,72.74612,35.38967,859.2060826771655,414.11811023622045
1440,74.05686,36.70037,74.05688,38.01106,874.6874409448819,441.20923228346453
1460,75.36762,39.32177,76.67838,41.9432,897.9094488188977,479.91124015748034
1480,77.98913,43.90928,79.29988,46.53072,928.8721062992128,534.0944881889764
1500,80.61064,47.18609,81.26602,47.84145,955.9645275590552,561.1862598425197
1520,88.4751,47.84148,107.48086,49.80758,1157.2202362204725,576.6676771653543
1540,117.31145,49.15221,116.65606,48.49683,1381.6978937007875,576.6675590551181
1560,114.68991,47.18612,114.68989,45.8754,1354.6051181102362,549.575905511811
1580,114.68989,44.56469,114.0345,43.90933,1350.7345866141732,522.4843700787402
1600,113.37913,43.25397,112.72376,43.90933,1335.2532874015749,514.7438976377954
1620,112.72375,42.59862,112.72375,42.59861,1331.382874015748,503.1332480314961
1640,113.37911,41.28789,112.72375,41.94325,1335.2531102362204,491.5224803149606
1660,112.72374,40.63254,112.72374,40.63253,1331.3827559055119,479.9118307086614
1680,112.72373,39.3218,112.72371,39.32178,1331.3825196850394,464.4305905511811
1700,112.06835,38.01106,114.68981,38.01105,1339.1229921259844,448.949468503937
1720,132.38483,38.66644,142.87082,41.28786,1625.5254921259843,472.171062992126
1740,141.56006,39.97712,138.28318,41.28784,1652.6175590551181,479.9111811023622
1760,138.28318,41.9432,138.28318,42.59854,1633.2659055118108,499.2622440944882
1780,138.93855,43.2539,139.59392,44.56461,1644.8767913385827,518.6132480314961
1800,139.59394,46.53069,140.24931,47.84141,1652.6176181102364,557.3155511811024
1820,140.90469,48.49676,141.56007,48.49675,1668.0989763779526,572.7963188976378
1840,142.21544,46.53066,142.87081,45.87529,1683.5802165354332,545.7044291338583
1860,142.21545,43.9092,142.87081,42.59847,1683.5802755905515,510.8720669291339
1880,142.87081,40.63238,142.21544,39.32165,1683.5802165354332,472.169468503937
1900,142.21543,38.01093,142.21541,37.35557,1679.70968503937,445.0777559055118
1920,141.56004,34.73413,140.90467,34.73414,1668.098681102362,410.2456889763779
1940,140.90466,33.42343,140.24929,32.76808,1660.3579724409449,390.89474409448815
1960,139.59392,31.45737,139.59392,31.45737,1648.7470866141732,371.54374015748033
1980,138.93856,30.80203,138.28318,30.80203,1637.1362598425194,363.80350393700786
2000,138.28318,29.49132,137.62781,30.14667,1629.3956102362204,352.19285433070866
2020,137.62781,29.49133,136.31709,30.14668,1617.7848425196853,352.1929724409449
2040,128.45265,24.90377,82.57682,9.17496,1246.2370275590552,201.25234251968504
2060,12.45246,-7.86453,-38.01082,-10.48601,-150.9351968503937,-108.36933070866141
2080,-36.70018,-6.5538,-25.55896,-1.31088,-367.6720866141732,-46.44496062992126
2100,-22.28214,2.62133,-23.59287,6.55353,-270.9154133858268,54.1822440944882
2120,-22.93751,9.17501,-21.62679,12.45182,-263.175,127.71750000000002
2140,-20.97142,13.76257,-20.31607,14.41793,-243.82375984251968,166.42027559055117
2160,-19.6607,14.41794,-19.00533,15.72868,-228.3426968503937,178.03122047244094
2180,-19.00531,17.03942,-18.34995,17.69479,-220.60192913385828,205.12328740157483
2200,-18.34993,18.35017,-17.69456,19.66091,-212.86116141732285,224.4748818897638
2220,-17.69455,20.31628,-17.03918,21.62699,-205.12045275590552,247.69647637795276
2240,-16.38382,22.93773,-16.38382,24.90382,-193.50968503937008,282.52883858267717
2260,-16.38381,26.21455,-17.03917,28.18064,-197.3798031496063,321.23143700787404
2280,-17.69454,28.18065,-17.69454,29.49137,-208.99062992125985,340.58279527559057
2300,-17.69455,29.49138,-17.69455,29.49138,-208.99074803149605,348.32338582677164
2320,-15.72846,27.52531,0.65569,30.80215,-89.01242125984253,344.4535039370079
2340,17.03989,32.1129,22.9382,32.11291,236.09108267716536,379.28627952755903
2360,21.62747,31.45756,20.31674,32.11294,247.70202755905513,375.4163385826772
2380,20.31676,31.4576,20.31677,31.45758,239.96179133858269,371.54633858267715
2400,20.31677,30.80222,20.31677,30.14685,239.96185039370081,359.93545275590554
2420,21.6275,29.49148,22.93823,28.18074,263.1834448818898,340.5839763779528
2440,24.24895,26.21464,26.21503,25.55926,298.01562992125986,305.7513779527559
2460,27.52575,24.24852,28.83646,23.59314,332.8476968503937,282.52948818897636
2480,29.49182,22.93776,30.14717,22.93774,352.1987598425197,270.9183070866142
2500,30.14716,21.62701,30.14714,21.627,356.0687007874016,255.43706692913386
2520,30.14714,20.31628,30.14713,20.97163,356.0685236220472,243.8262401574803
2540,30.14712,19.66091,29.49175,19.00555,352.19805118110236,228.34523622047246
2560,30.1471,17.69483,30.1471,17.03946,356.06811023622043,205.1237598425197
2580,30.1471,16.38411,30.80247,15.72874,359.938405511811,189.64281496062995
2600,30.80248,15.72875,31.45783,15.72874,367.6789960629921,185.77257874015748
2620,13.76299,13.10728,-17.69454,12.45192,-23.217814960629923,150.94015748031498
2640,-24.24823,12.45193,-17.69458,13.76265,-247.6937598425197,154.81051181102364
2660,-13.76238,14.41803,-13.76239,15.07338,-162.54785433070867,174.16187007874015
2680,-13.76239,15.07338,-13.10702,15.07337,-158.6776181102362,178.03198818897638
2700,-12.45165,15.07337,-12.45166,15.72872,-147.06679133858268,181.9021062992126
2720,-12.45165,14.418,-12.45166,15.07335,-147.06679133858268,174.1615157480315
2740,-12.45165,14.418,-12.45165,14.41799,-147.06673228346457,170.29127952755906
2760,-12.45166,13.76264,-12.45166,13.76263,-147.0668503937008,162.55080708661418
2780,-12.45166,12.45191,-11.7963,13.10727,-143.19661417322834,150.94003937007875
2800,-11.7963,11.79655,-11.7963,11.14118,-139.3263779527559,135.45903543307085
2820,-11.7963,10.48582,-11.79631,10.48582,-139.32643700787403,123.84826771653545
2840,-11.79631,10.48582,-11.14094,11.14118,-135.45620078740157,127.71850393700787
2860,-10.48558,10.48582,-10.48558,11.79654,-123.84543307086615,131.58874015748032
2880,-9.83021,10.48582,-9.83021,11.79653,-116.10484251968504,131.58868110236222
2900,-9.83021,10.48581,-9.83021,11.14116,-116.10484251968504,127.71832677165355
2920,-9.17485,9.83045,-9.17484,10.4858,-108.36431102362205,119.97785433070867
2940,-9.17484,9.17508,-9.17484,9.17508,-108.36425196850394,108.36708661417323
2960,-9.17484,8.51972,-9.17484,9.17508,-108.36425196850394,104.4968503937008
