T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.65535999999999,0.0,3.870236220472382
60,-0.65538,0.65535,-0.65538,0.65537,-7.740708661417322,7.740472440944881
80,-0.65538,0.65537,-1.9999999999243e-05,1.31074,-3.8704724409448774,11.610885826771653
100,-0.65538,1.31073,-1.9999999999243e-05,0.65538,-3.8704724409448774,11.610885826771653
120,-0.65537,0.65538,-1.9999999999243e-05,0.65538,-3.8704133858267675,7.740708661417322
140,-1.9999999999243e-05,0.65537,-1.9999999999243e-05,0.65538,-0.00023622047243200396,7.740649606299213
160,-1.0000000003174e-05,0.65538,-0.65537,0.65538,-3.8703543307086803,7.740708661417322
180,-1.0000000003174e-05,0.65537,-0.65537,0.65539,-3.8703543307086803,7.740708661417324
200,-0.65537,0.65537,-1.0000000003174e-05,0.65539,-3.8703543307086803,7.740708661417324
220,-1.0000000003174e-05,1.31074,-1.0000000003174e-05,0.65538,-0.00011811023625796063,11.610944881889765
240,-1.0000000003174e-05,0.65538,-1.0000000003174e-05,1.9999999999243e-05,-0.00011811023625796063,3.8704724409448774
260,-1.0000000003174e-05,1.0000000003174e-05,-1.0000000003174e-05,0.65539,-0.00011811023625796063,3.870472440944901
280,-1.0000000003174e-05,0.65538,-0.65537,0.65539,-3.8703543307086803,7.740767716535434
300,-0.65537,0.65538,-1.0000000003174e-05,0.65539,-3.8703543307086803,7.740767716535434
320,-1.0000000003174e-05,0.65538,-0.65537,1.31076,-3.8703543307086803,11.611062992125985
340,-0.65537,0.65539,-0.65537,0.6554,-7.740590551181103,7.740885826771653
360,-0.65536,1.31075,0.0,1.31076,-3.8702362204724414,15.481358267716535
380,0.0,1.31075,-0.65536,0.6554,-3.8702362204724414,11.611122047244095
400,-0.65536,0.65539,-1.31073,1.31076,-11.610767716535433,11.611122047244095
420,-1.31072,1.31075,-1.31072,0.6554,-15.480944881889766,11.611122047244095
440,-1.31072,1.31076,-1.31072,1.31076,-15.480944881889766,15.481417322834645
460,-1.96608,1.31075,-1.31072,1.31076,-19.351181102362204,15.481358267716535
480,11.14117,1.31075,43.90937,2.62149,325.10161417322837,23.22188976377953
500,48.49698,3.27685,45.87552,3.93223,557.3179133858268,42.57330708661418
520,44.56479,4.58759,43.90943,5.24296,522.4855511811024,58.054429133858264
540,43.25407,5.24296,43.25407,5.24298,510.87484251968505,61.924842519685036
560,43.25407,5.24297,43.25407,5.24298,510.87484251968505,61.92490157480316
580,43.25407,5.24297,43.25407,5.89834,510.87484251968505,65.7951377952756
600,42.59871,5.24297,43.25407,5.89833,507.0046062992126,65.79507874015748
620,43.25407,5.89833,42.59871,5.89834,507.0046062992126,69.66537401574803
640,43.25407,5.89832,43.25407,5.89833,510.87484251968505,69.66525590551181
660,40.63262,5.24295,37.3558,5.24296,460.5615354330709,61.92466535433071
680,38.66652,5.24295,38.66652,5.24297,456.6911811023622,61.92472440944882
700,38.66653,5.89832,38.66653,5.89833,456.69129921259844,69.66525590551181
720,38.66653,5.89832,38.66653,5.24297,456.69129921259844,65.79501968503936
740,38.66653,5.24296,38.66653,5.24297,456.69129921259844,61.92478346456693
760,38.66654,5.24296,38.66654,5.24297,456.69141732283464,61.92478346456693
780,39.3219,5.89832,38.66654,5.24296,460.5616535433071,65.79496062992126
800,38.66654,5.24296,38.66654,5.24296,456.69141732283464,61.92472440944882
820,38.66654,5.24295,38.01118,4.5876,452.8211811023622,58.05442913385827
840,47.18627,5.24294,57.67218,5.24295,619.24281496063,61.9245472440945
860,58.98294,5.24294,58.32756,5.89832,692.7785433070867,65.79484251968505
880,57.6722,6.55368,57.6722,5.89832,681.1677165354331,73.53543307086615
900,57.6722,5.89831,58.32755,5.89832,685.0378937007874,69.6651377952756
920,57.67219,5.24295,57.67219,5.24296,681.1675984251968,61.92466535433071
940,57.67219,5.89831,57.67219,5.24296,681.1675984251968,65.79490157480315
960,57.6722,5.89831,57.6722,5.24296,681.1677165354331,65.79490157480315
980,57.6722,5.24295,57.67219,5.24296,681.167657480315,61.92466535433071
1000,57.6722,5.24295,57.01684,5.24296,677.2974803149607,61.92466535433071
1020,57.01684,5.24296,57.01685,5.24296,673.4273031496064,61.92472440944882
1040,57.01684,5.24295,57.01684,5.24296,673.4272440944883,61.92466535433071
1060,56.36149,5.24295,58.32757,5.24296,677.297598425197,61.92466535433071
1080,66.84736,5.89832,73.40107,6.5537,828.2387598425196,73.53555118110236
1100,72.74573,7.20905,72.09035,7.86443,855.3311811023622,89.01661417322835
1120,72.09035,7.86443,71.43499,7.86444,847.5905905511811,92.88702755905513
1140,72.09035,7.86443,71.43499,7.86444,847.5905905511811,92.88702755905513
1160,71.43499,8.5198,71.43499,7.86516,843.7203543307087,96.7615748031496
1180,71.43499,8.5198,71.43499,8.51981,843.7203543307087,100.62761811023623
1200,71.43499,8.5198,70.77963,7.86445,839.8501181102362,96.75738188976379
1220,70.77964,7.86444,71.43499,8.51981,839.8501771653544,96.75738188976379
1240,70.77963,7.86444,70.77964,7.86445,835.979940944882,92.88714566929134
1260,70.77963,7.86445,70.77963,8.51981,835.9798818897638,96.75744094488188
1280,71.435,7.86444,71.43499,7.86445,843.7204133858268,92.88714566929134
1300,72.09035,7.86444,72.09034,7.86444,851.4607677165354,92.88708661417323
1320,72.09034,7.86443,72.74569,7.86444,855.3308858267717,92.88702755905513
1340,72.7457,7.86443,72.74569,7.20907,859.2011220472441,89.01673228346456
1360,80.61008,7.86443,89.78525,9.17588,1006.2716338582677,100.63175196850393
1380,90.44065,9.17516,89.78527,9.83054,1064.3262992125985,112.23838582677166
1400,89.1299,9.83053,89.1299,10.48591,1052.7153543307088,119.97897637795276
