T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.9999999960687e-06,0.0,7.20902,0.0,42.5730118110236,0.0
40,20.97177,-1.3107,24.24863,-0.65533,267.0496062992126,-11.61041338582677
60,22.9379,-0.65534,21.62718,2.0000000006348e-05,263.1796062992126,-3.8699999999999624
80,22.28254,-0.65534,21.62718,-0.65534,259.3093700787402,-7.7402362204724415
100,21.62719,-0.65534,20.97182,2.0000000006348e-05,251.5689566929134,-3.8699999999999624
120,21.62719,-0.65535,20.97182,-0.65534,251.5689566929134,-7.740295275590552
140,21.62719,-0.65535,20.97183,-0.65535,251.56901574803152,-7.740354330708661
160,20.97183,-1.31071,20.97183,-0.65535,247.69877952755908,-11.610590551181103
180,20.97184,-1.31071,20.97183,-1.31071,247.69883858267715,-15.480826771653545
200,20.97184,-1.31072,20.31647,-1.31071,243.82860236220475,-15.480885826771654
220,20.31648,-1.96608,20.31648,-1.96608,239.95842519685038,-23.221417322834647
240,19.66112,-1.96609,20.31647,-1.96608,236.08812992125985,-23.221476377952758
260,19.66112,-2.62145,20.31647,-2.62145,236.08812992125985,-30.962007874015747
280,19.66113,-2.62146,19.66112,-2.62145,232.21801181102362,-30.96206692913386
300,19.00577,-2.62146,19.66112,-3.27682,228.3477755905512,-34.83236220472441
320,19.66113,-3.27682,19.00577,-3.93219,228.34783464566928,-42.572893700787404
340,19.66113,-4.58755,19.66114,-4.58755,232.21812992125987,-54.18366141732284
360,19.66114,-5.24292,19.66114,-5.24292,232.21818897637795,-61.92425196850394
380,19.66115,-5.24292,23.59332,-9.1751,255.43978346456691,-85.14578740157481
400,29.49166,-17.03951,30.80236,-17.03951,356.0670472440945,-201.25405511811024
420,30.14699,-15.07342,30.14698,-15.07341,356.066751968504,-178.03246062992127
440,31.4577,-15.07342,31.45769,-15.07342,371.5475787401575,-178.03251968503938
460,32.11305,-15.07342,32.11305,-15.72878,379.28799212598426,-181.9027559055118
480,32.11306,-15.72879,32.11306,-15.72879,379.28811023622046,-185.77311023622048
500,30.80233,-15.07342,19.66104,-7.86436,298.0120275590551,-135.4593307086614
520,9.1752,-4.58752,7.86447,-5.89826,100.62797244094489,-61.923897637795264
540,9.83055,-5.24291,9.83055,-5.2429,116.10885826771654,-61.924074803149615
560,9.83055,-5.24291,9.17519,-5.24291,112.23862204724409,-61.92413385826772
580,9.17519,-5.24292,8.51983,-4.58755,104.49814960629921,-58.05395669291339
600,8.51983,-4.58756,8.51983,-4.58756,100.62791338582679,-54.183779527559054
620,8.51983,-4.58756,8.51983,-3.9322,100.62791338582679,-50.31354330708661
640,8.51984,-3.9322,8.51983,-3.27684,100.62797244094489,-42.573070866141734
660,8.51984,-3.93221,8.51983,-3.27684,100.62797244094489,-42.57312992125985
680,8.51983,-3.27685,8.51983,-2.62148,100.62791338582679,-34.83265748031496
700,3.27691,-0.65537,1.96617,0.0,30.963070866141734,-3.8702952755905513
720,2.62153,-0.65537999999999,2.62152,-0.65537,30.962893700787404,-7.7406496062991526
740,2.62152,-0.65537999999999,2.62151,-1.31073,30.962775590551182,-11.610885826771593
760,2.62152,-1.31074,2.62152,-1.31074,30.96283464566929,-15.481181102362205
780,2.62152,-1.31074,3.27688,-1.9661,34.83307086614173,-19.351417322834646
800,2.62152,-1.96611,3.27688,-1.9661,34.83307086614173,-23.221712598425196
820,3.27688,-1.96611,3.27689,-1.96611,38.70336614173228,-23.221771653543307
840,3.27689,-1.96611,3.27689,-2.62147,38.7034251968504,-27.09200787401575
860,3.27689,-2.62147,3.27689,-2.62147,38.7034251968504,-30.962244094488188
880,3.27689,-2.62147,3.27688,-3.27683,38.70336614173228,-34.83248031496063
900,3.27689,-3.9322,3.27688,-3.93219,38.70336614173228,-46.44324803149607
920,3.27688,-3.9322,11.79662,-3.93219,89.01673228346456,-46.44324803149607
940,21.62717,-4.58753,22.28256,-4.58752,259.3094291338583,-54.18336614173228
960,20.97183,-4.58753,20.97183,-3.93217,247.69877952755908,-50.31318897637796
