T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,0.0,0.0,0.65537,3.8702362204724414,3.8702952755905513
40,0.65536,1.0000000003174e-05,9.9999999960687e-06,1.0000000003174e-05,3.8702952755905278,0.00011811023625796063
60,0.65536,0.65536,3.93222,0.65537,27.09200787401575,7.740531496062992
80,6.55371,0.65537,5.89835,0.65537,73.53578740157481,7.740590551181103
100,5.89834,1.31073,5.89835,1.31073,69.66549212598426,15.481062992125985
120,5.89834,1.31073,5.24298,1.9661,65.79519685039371,19.351358267716535
140,5.89834,1.96609,4.58763,1.96609,61.92501968503937,23.221535433070866
160,5.24298,1.96609,3.93226,1.96609,54.18448818897638,23.221535433070866
180,3.93225,1.31073,2.62153,1.9661,38.7034251968504,19.351358267716535
200,2.62152,1.31073,1.96616,1.31074,27.09259842519685,15.481122047244094
220,1.31078,1.31073,0.65543,1.31073,11.611476377952757,15.481062992125985
240,0.65541,1.31073,-2.62143,1.31073,-11.610354330708663,15.481062992125985
260,-2.62144,1.31073,-3.27679,1.9661,-34.83206692913386,19.351358267716535
280,-1.96606,1.9661,-2.62142,1.9661,-27.091417322834648,23.221653543307088
300,-1.3107,1.9661,-2.62141,2.62146,-23.221122047244098,27.091889763779527
320,-1.31069,2.62146,-1.96605,2.62146,-19.350826771653544,30.96212598425197
340,-1.31069,2.62146,-1.96604,2.62146,-19.350767716535433,30.96212598425197
360,-1.96605,2.62146,-2.6214,2.62146,-27.091240157480314,30.96212598425197
380,-1.96605,2.62146,-3.27676,2.62146,-30.96147637795276,30.96212598425197
400,-2.62141,2.62146,-1.96604,2.62146,-27.091240157480314,30.96212598425197
420,12.45205,2.62145,32.76853,2.62145,267.0506692913386,30.962007874015747
440,39.97767,1.31071,36.04549,2.62144,448.9556692913386,23.221358267716536
460,35.39008,2.62144,34.73474,2.62145,414.12295275590554,30.96194881889764
480,35.39009,2.62145,34.73472,2.62145,414.1228937007874,30.962007874015747
500,34.73471,2.62145,34.07935,2.62145,406.3822440944882,30.962007874015747
520,34.7347,2.62145,34.07935,2.62145,406.3821850393701,30.962007874015747
540,34.7347,2.62145,34.7347,2.62146,410.25236220472436,30.96206692913386
560,35.39006,2.62145,32.7686,2.62146,402.5117716535433,30.96206692913386
580,27.52564,2.62146,24.90416,3.27683,309.6248031496063,34.83242125984252
600,25.55952,3.27683,25.55953,3.27684,301.8841535433071,38.702775590551184
620,26.21488,3.27684,25.55952,3.9322,305.7543307086614,42.573070866141734
640,26.21488,3.27684,26.21489,3.27684,309.62462598425196,38.70283464566929
660,27.52561,3.27684,26.87025,3.27685,321.2353937007874,38.7028937007874
680,28.18097,3.27685,26.21489,3.27685,321.2353937007874,38.702952755905514
700,19.00582,3.93222,15.729,3.27686,205.12688976377953,42.57330708661418
720,17.03973,3.27686,16.38438,3.93223,197.38647637795276,42.573366141732286
740,17.69509,3.93224,17.03974,3.93224,205.12694881889766,46.44377952755906
760,18.35045,3.27688,17.6951,3.27688,212.86742125984253,38.703307086614174
780,19.00583,3.27687,19.00583,2.62151,224.47830708661417,34.83295275590552
800,19.6612,3.27687,19.66121,3.27687,232.21895669291337,38.70318897637796
820,19.66121,3.27687,19.00586,3.27687,228.3488385826772,38.70318897637796
840,19.66122,3.27687,18.3505,3.27687,224.47866141732283,38.70318897637796
860,18.35049,3.27688,17.03977,3.27688,208.99759842519686,38.703307086614174
880,17.03976,3.27688,16.3844,3.27689,197.38677165354332,38.70336614173228
900,17.03974,3.27689,16.38438,3.27689,197.3865354330709,38.7034251968504
920,16.38437,2.62153,15.729,3.2769,189.6458858267717,34.83324803149607
940,16.38436,2.62153,15.729,3.2769,189.64582677165356,34.83324803149607
960,16.38436,3.2769,16.38437,3.2769,193.51612204724412,38.70354330708661
980,17.03972,3.93226,16.38438,3.93226,197.38641732283463,46.4440157480315
1000,16.38438,3.93226,17.03975,4.58762,197.38659448818902,50.31425196850394
1020,27.52565,4.58762,37.35623,4.58763,383.1607086614173,54.18454724409449
1040,41.94382,4.58763,40.63309,4.58763,487.65891732283467,54.1846062992126
1060,41.28844,4.58763,39.97772,4.58763,479.91826771653547,54.1846062992126
1080,41.28843,4.58763,39.97771,4.58763,479.9181496062992,54.1846062992126
1100,40.63306,4.58762,40.63306,4.58763,479.918031496063,54.18454724409449
1120,40.63306,3.93226,39.9777,4.58763,476.04779527559054,50.31431102362205
1140,40.63306,4.58762,40.63307,3.93226,479.91809055118114,50.31425196850394
1160,41.28842,3.93226,40.63307,4.58762,483.7883267716536,50.31425196850394
1180,41.28842,3.93226,40.63307,3.93226,483.7883267716536,46.4440157480315
1200,41.28843,3.93225,40.63307,3.93226,483.7883858267716,46.44395669291339
1220,40.63307,4.58762,40.63307,4.58762,479.9181496062992,54.18448818897638
1240,41.28842,3.93226,40.63308,4.58762,483.7883858267716,50.31425196850394
1260,41.28842,3.93226,39.97771,3.93226,479.91809055118114,46.4440157480315
1280,41.28842,3.93225,39.97771,3.93226,479.91809055118114,46.44395669291339
1300,41.94379,3.93225,49.15288,5.24368,537.9724606299213,54.188562992125995
1320,57.67272,4.58764,58.32812,4.58764,685.0443307086614,54.184724409448826
1340,58.3281,4.58763,57.01739,4.58764,681.174153543307,54.18466535433072
1360,58.3281,4.58764,57.67275,4.58764,685.0443897637796,54.184724409448826
1380,57.67274,4.58764,57.01738,4.58764,677.3038582677165,54.184724409448826
1400,57.67273,4.58763,57.01738,4.58764,677.3037992125985,54.18466535433072
1420,57.67274,4.58763,57.01738,3.93228,677.3038582677165,50.31442913385827
1440,57.67274,3.93227,57.01738,3.93227,677.3038582677165,46.44413385826772
