T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.9999999960687e-06,-0.65537,1.0000000003174e-05,0.0,0.0001181102362160002,-3.8702952755905513
40,9.9999999960687e-06,0.0,1.0000000003174e-05,0.0,0.0001181102362160002,0.0
60,0.65537,-1.0000000003174e-05,1.9999999999243e-05,0.0,3.8704133858267675,-5.9055118128980315e-05
80,1.9999999999243e-05,-0.65537,1.9999999999243e-05,-9.9999999960687e-06,0.00023622047243200396,-3.8703543307086377
100,2.9999999995312e-05,-2.0000000006348e-05,1.9999999999243e-05,0.65535,0.00029527559051902556,3.8700590551180727
120,0.65539,-2.0000000006348e-05,3.0000000002417e-05,0.65535,3.8705905511811167,3.8700590551180727
140,0.65539,-2.0000000006348e-05,3.0000000002417e-05,0.65535,3.8705905511811167,3.8700590551180727
160,1.31076,-2.0000000006348e-05,0.6554,0.65534,11.611181102362204,3.8699999999999624
180,1.31077,-2.0000000006348e-05,1.31076,-1.9999999999243e-05,15.481476377952756,-0.00023622047247396258
200,1.96613,-2.0000000006348e-05,1.31076,-1.9999999999243e-05,19.3517125984252,-0.00023622047247396258
220,1.96613,-3.0000000002417e-05,1.31077,-2.9999999995312e-05,19.351771653543306,-0.0003543307086480059
240,2.62149,-3.0000000002417e-05,1.96613,-2.9999999995312e-05,27.09224409448819,-0.0003543307086480059
260,2.6215,-0.65539,2.6215,-2.9999999995312e-05,30.962598425196852,-3.870590551181074
280,3.27686,-0.6554,2.6215,-0.6554,34.832834645669294,-7.740944881889764
300,3.27686,-1.31077,2.62151,-3.9999999998486e-05,34.8328937007874,-7.741003937007865
320,3.27687,-1.31077,2.6215,-0.65541,34.8328937007874,-11.611299212598425
340,3.27687,-1.31077,2.62151,-0.65541,34.83295275590552,-11.611299212598425
360,3.27687,-1.31077,2.62151,-0.65541,34.83295275590552,-11.611299212598425
380,3.27688,-0.65541,2.62151,-5.000000000166e-05,34.833011811023624,-3.8708267716535527
400,3.27688,-0.65542000000001,2.62151,-5.000000000166e-05,34.833011811023624,-3.8708858267717225
420,3.27688,-0.65542000000001,2.62152,-5.9999999997729e-05,34.83307086614173,-3.870944881889809
440,3.27688,-0.65543,11.79665,1.31067,89.0169094488189,3.8695275590551184
460,19.00575,1.31067,20.97186,0.65531,236.08824803149605,11.610118110236222
480,20.3165,-6.0000000004834e-05,19.66114,0.65531,236.0884251968504,3.869586614173199
500,20.31651,-6.0000000004834e-05,19.66115,-5.000000000166e-05,236.0885433070866,-0.0006496062992509488
520,20.31651,-0.65542000000001,19.66116,-0.65542,236.08860236220474,-7.741181102362264
540,20.31653,-1.31078,19.66117,-1.31079,236.08877952755904,-15.481712598425199
560,19.66117,-1.96615,19.66118,-1.96615,232.21860236220473,-23.22224409448819
580,20.31654,-2.62152,19.66118,-2.62151,236.0888976377953,-30.962775590551182
600,20.31654,51.77337,20.31654,-1.96614,239.95913385826773,294.1371850393701
620,20.97189,-2.6215,20.31652,-1.31077,243.82919291338584,-23.22206692913386
640,21.62723,-1.31078,26.2148,-3.9999999998486e-05,282.53167322834645,-7.7410629921259755
660,28.83628,-4.0000000005591e-05,28.18091,-3.9999999998486e-05,336.715688976378,-0.00047244094490596654
680,28.83626,-4.0000000005591e-05,28.1809,0.65533,336.7155118110236,3.8698228346456363
700,28.83626,-4.0000000005591e-05,27.52554,-1.9999999999243e-05,332.8452755905512,-0.00035433070868996455
720,28.1809,-0.65539,27.52554,-0.65538,328.9750393700788,-7.740767716535434
740,28.1809,-0.65538,27.52553,-9.9999999960687e-06,328.97498031496065,-3.8704133858267484
760,28.18089,-0.65537,28.18089,0.0,332.845157480315,-3.8702952755905513
780,29.49162,-1.0000000003174e-05,38.66678,2.62147,402.51023622047245,15.481062992125965
800,45.22047,1.96612,45.87583,1.31077,537.9702755905512,19.3517125984252
820,45.87583,0.65541,45.22047,1.31078,537.9702755905512,11.611358267716536
840,45.87583,0.65542,45.22047,0.65543,537.9702755905512,7.7412401574803145
860,45.22047,6.9999999993797e-05,45.22047,8.0000000004077e-05,534.1000393700788,0.0008858267716409882
880,45.22048,-0.65529,45.22048,-0.65528,534.100157480315,-7.739586614173229
900,45.22048,-1.31065,45.22047,-0.65528,534.1000984251968,-11.60982283464567
920,45.22048,-1.31064,45.22048,-0.65527,534.100157480315,-11.609704724409449
940,45.87584,-1.31063,45.87584,-0.65527,541.8406299212598,-11.60964566929134
960,45.87585,-1.31063,45.22048,-0.65526,537.9704527559055,-11.609586614173228
980,45.87585,-1.31063,45.87584,-0.65526,541.8406889763779,-11.609586614173228
1000,45.87585,-1.31063,45.87585,-1.31062,541.8407480314961,-15.479822834645669
1020,45.87584,-1.96599,44.56511,-1.31062,534.1000984251967,-19.35005905511811
1040,44.5651,-1.96598,43.90973,-1.31062,522.4891535433071,-19.35
1060,44.56511,-1.96598,43.90974,-1.31062,522.4892716535434,-19.35
1080,44.56511,-1.96599,44.56511,-1.31062,526.3595669291338,-19.35005905511811
1100,44.56511,-1.31062,43.9123,-1.96598,522.5043897637796,-19.35
1120,44.56511,-1.96598,43.90975,-1.96597,522.4893307086614,-23.220177165354333
1140,43.90975,-2.62134,43.90975,-2.62134,518.619094488189,-30.960708661417325
1160,44.56511,-3.2767,43.25439,-2.62133,518.619094488189,-34.830885826771656
1180,50.46341,-1.96596,62.91544,0.65553,669.5601377952756,-7.738759842519685
1200,74.0567,1.31092,76.67819,0.65558,890.1666732283466,11.613188976377952
1220,76.67819,-0.65514,76.02282,-0.65514,901.7776181102362,-7.737874015748031
1240,76.67819,-1.3105,76.67818,-1.31049,905.6478543307087,-15.478287401574804
1260,77.33355,-1.96586,76.67818,-1.31049,909.5180905511811,-19.348523622047242
1280,77.33354,-1.96585,76.67818,-1.96585,909.518031496063,-23.218700787401577
1300,77.33354,-3.27657,77.33353,-2.62121,913.3882086614174,-34.8294094488189
1320,77.98889,-3.93193,77.33354,-3.27657,917.2584448818898,-42.56988188976378
1340,77.98889,-3.93193,77.33353,-3.27656,917.2583858267717,-42.56982283464567
1360,77.98889,-3.93193,82.57644,-1.96583,948.2204527559056,-34.82929133858268
1380,87.16403,-1.96582,87.81939,-2.62117,1033.3666535433072,-27.088523622047244
1400,88.47475,-3.9319,87.16403,-3.27653,1037.2368897637796,-42.56946850393701
1420,87.8194,-3.9319,87.8194,-3.93189,1037.2370078740157,-46.43970472440945
1440,87.8194,-4.58725,87.8194,-3.93188,1037.2370078740157,-50.30982283464567
1460,88.47476,-4.58725,87.8194,-4.58725,1041.1072440944884,-54.18011811023622
1480,89.13012,-5.24261,88.47476,-5.24261,1048.8477165354332,-61.92059055118111
1500,89.13011,-5.24261,88.47474,-4.58724,1048.8475393700787,-58.05029527559056
1520,89.1301,-5.24261,89.13009,-3.93188,1052.717657480315,-54.180059055118114
1540,89.13008,-4.58725,89.78543,-3.93189,1056.587657480315,-50.30988188976378
1560,90.44078,-3.93189,89.78542,-3.27653,1064.3279527559055,-42.5694094488189
1580,90.44077,-3.9319,90.44077,-3.27653,1068.1980708661417,-42.56946850393701
1600,91.75149,-3.27653,102.89274,1.31106,1149.4737992125984,-11.6071062992126
1620,114.68939,3.27722,117.31086,1.96652,1370.080216535433,30.966968503937007
1640,116.65549,0.65579,116.00014,0.6558,1373.9505708661418,7.745610236220473
1660,117.31085,0.0004399999999975,117.31084,0.65581,1385.5611614173229,3.8754921259842376
1680,117.31084,0.0004499999999936,117.31083,0.65583,1385.5610433070867,3.875669291338545
1700,119.27691,0.000479999999996,119.2769,1.31122,1408.782342519685,7.746259842519662
1720,120.58761,0.65588,121.24296,1.31126,1428.1332874015748,11.61696850393701
1740,121.89832,1.31127,121.24295,1.31129,1435.8736417322834,15.48755905511811
1760,123.20902,1.96665,123.20902,2.62202,1455.2246456692912,27.098444881889762
1780,123.86438,2.62202,123.86438,3.2774,1462.9651181102363,34.83909448818898
1800,123.86438,2.62204,123.20901,3.27741,1459.0948228346456,34.83927165354331
