T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,0.0,0.0,0.0,-5.905511808701989e-05,0.0
40,-9.9999999960687e-06,0.0,0.0,-0.65536,-5.905511808701989e-05,-3.8702362204724414
60,-9.9999999960687e-06,0.0,0.0,-0.65536,-5.905511808701989e-05,-3.8702362204724414
80,-9.9999999960687e-06,9.9999999960687e-06,0.65536,-0.65536,3.870177165354354,-3.870177165354354
100,0.65536,-0.65535,0.65536,-0.65536,7.740472440944883,-7.7404133858267725
120,-1.31074,9.9999999960687e-06,-2.62146,2.9999999995312e-05,-23.221653543307088,0.0002362204723900435
140,-2.62146,1.9999999999243e-05,-2.62145,0.65538,-30.96206692913386,3.8704724409448774
160,-2.62146,0.65538,-2.62145,0.65538,-30.96206692913386,7.740708661417322
180,-2.62146,0.65538,-2.62145,1.9999999999243e-05,-30.96206692913386,3.8704724409448774
200,-3.27681,0.65538,-2.62145,0.65538,-34.83224409448819,7.740708661417322
220,-2.62145,0.65538,-2.62144,0.65538,-30.96194881889764,7.740708661417322
240,-3.27681,0.65539,-2.62144,0.65538,-34.83218503937008,7.740767716535434
260,-3.27681,0.65539,-3.2768,1.31074,-38.702421259842524,11.611003937007874
280,-3.27681,1.31075,-3.27679,0.65539,-38.70236220472441,11.611062992125985
300,-3.93217,0.65539,-3.2768,1.31075,-42.57265748031496,11.611062992125985
320,-3.93216,1.31076,-3.93215,1.31075,-46.44277559055118,15.481358267716535
340,-3.93216,1.31075,-3.93215,1.31075,-46.44277559055118,15.481299212598426
360,-3.93216,1.31076,-3.93215,1.31075,-46.44277559055118,15.481358267716535
380,-3.93216,1.31076,-3.93215,1.31075,-46.44277559055118,15.481358267716535
400,-3.93216,1.31076,-4.58751,1.31076,-50.31301181102362,15.481417322834645
420,-3.93215,1.31076,-3.93214,1.31076,-46.442657480314956,15.481417322834645
440,-3.93215,1.31076,-3.27677,1.31076,-42.57236220472441,15.481417322834645
460,-3.27678,1.31076,-2.62141,1.31076,-34.831830708661414,15.481417322834645
480,-2.62142,1.31076,-2.62143,1.31076,-30.9617125984252,15.481417322834645
