T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,9.9999999960687e-06,9.9999999960687e-06,5.905511808701989e-05,5.905511808701989e-05
40,-0.65536,9.9999999960687e-06,-0.65535000000001,0.65536,-7.740413385826831,3.8702952755905278
60,-0.65536,0.65537,9.9999999960687e-06,9.9999999960687e-06,-3.870177165354354,3.8703543307086377
80,-0.65535,0.65537,-0.65535000000001,0.65537,-7.740354330708721,7.740590551181103
100,-0.65535,0.65537,-0.65535000000001,0.65537,-7.740354330708721,7.740590551181103
120,-0.65535,0.65537,-1.31071,0.65537,-11.610590551181103,7.740590551181103
140,-1.31071,0.65537,-0.65535000000001,0.65537,-11.610590551181161,7.740590551181103
160,-1.31071,0.65537,-1.3107,0.65537,-15.480767716535434,7.740590551181103
180,-1.31071,1.31074,-1.3107,1.31074,-15.480767716535434,15.481181102362205
200,-1.96606,1.31074,-1.96606,1.31074,-23.221181102362205,15.481181102362205
220,-1.96606,1.31074,-1.96606,1.31074,-23.221181102362205,15.481181102362205
240,-1.96607,1.9661,-1.31071,1.31074,-19.351062992125986,19.351417322834646
260,-1.31072,1.9661,-1.31072,2.62146,-15.480944881889766,27.091889763779527
280,-1.31072,2.62147,-1.31072,2.62147,-15.480944881889766,30.962244094488188
300,-1.96609,2.62147,-1.96609,2.62147,-23.221535433070866,30.962244094488188
320,-1.96609,2.62147,-1.96608,40.63236,-23.221476377952758,255.43600393700788
340,-1.96609,3.27684,-1.96608,3.27684,-23.221476377952758,38.70283464566929
360,-1.96609,3.9322,-1.96608,3.9322,-23.221476377952758,46.443307086614176
380,-1.96608,3.9322,-2.62143,3.9322,-27.091594488188978,46.443307086614176
400,-2.62144,3.9322,-1.96607,4.58756,-27.091594488188978,50.31354330708661
420,-2.62144,4.58757,-3.93216,5.24293,-38.70236220472441,58.054133858267726
440,-3.93216,5.8983,-3.93215,5.8983,-46.44277559055118,69.66496062992125
460,-3.93215,5.89831,-3.93215,5.89831,-46.44271653543307,69.66507874015748
480,-4.58751,6.55367,-4.58751,6.55367,-54.183188976377956,77.40555118110237
500,-4.58751,6.55367,-4.5875,6.55367,-54.18312992125985,77.40555118110237
520,-4.58751,6.55367,-4.5875,6.55367,-54.18312992125985,77.40555118110237
540,-4.58751,6.55368,-4.5875,6.55367,-54.18312992125985,77.40561023622048
560,-4.58751,6.55368,-5.24286,6.55368,-58.05336614173228,77.40566929133858
580,-5.24287,6.55368,-5.24286,6.55368,-61.923602362204726,77.40566929133858
600,-5.24287,6.55368,-5.24286,6.55367,-61.923602362204726,77.40561023622048
620,-5.24286,6.55367,-5.24286,6.55438,-61.92354330708662,77.40974409448819
640,-4.5875,6.55367,-4.58749,7.20903,-54.18301181102363,81.2757874015748
660,-4.5875,7.20904,-4.58749,7.20904,-54.18301181102363,85.14614173228347
680,-4.58749,6.55368,-4.58749,7.20904,-54.18295275590551,81.27590551181102
700,-5.24285,7.20904,-5.24285,6.55368,-61.923425196850395,81.27590551181102
720,-5.24285,7.20904,-5.24284,7.20903,-61.92336614173229,85.14608267716535
740,-5.24285,7.20904,-5.24285,7.20904,-61.923425196850395,85.14614173228347
760,-4.58749,7.8644,-5.24284,7.8644,-58.053129921259846,92.88661417322835
780,-4.58749,7.8644,-4.58748,7.8644,-54.1828937007874,92.88661417322835
800,-4.58748,7.8644,1.96616,8.51976,-15.480236220472444,96.7568503937008
820,13.7628,9.17512,17.03967,9.17512,181.90435039370078,108.36755905511811
840,15.72893,9.83048,15.72893,9.83049,185.77476377952758,116.10809055118109
