T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.31072,0.0,-9.9999999889633e-06,0.0,7.740413385826837
40,-0.65537,0.65536,-1.0000000003174e-05,-9.9999999889633e-06,-3.8703543307086803,3.8701771653543955
60,-1.9999999999243e-05,0.65535,-1.0000000003174e-05,-9.9999999889633e-06,-0.00017716535434498227,3.8701181102362856
80,-1.0000000003174e-05,0.65536,-1.0000000003174e-05,-0.65537999999999,-0.00011811023625796063,-0.000118110236160927
100,-1.9999999999243e-05,0.65536,-1.9999999999243e-05,-0.65537999999999,-0.00023622047243200396,-0.000118110236160927
120,-1.9999999999243e-05,0.65535,0.65534,-1.9999999992137e-05,3.870000000000005,3.8700590551181566
140,-1.9999999999243e-05,0.65535,0.65534,-1.9999999992137e-05,3.870000000000005,3.8700590551181566
160,0.65533,0.65535,0.65534,-1.9999999992137e-05,7.740177165354331,3.8700590551181566
180,0.65534,0.65534,-1.9999999999243e-05,-0.65537999999999,3.870000000000005,-0.00023622047238151757
200,0.65534,0.65534,0.65534,-2.9999999995312e-05,7.7402362204724415,3.8699409448819173
220,0.65534,-2.0000000006348e-05,0.65534,-0.65539,7.7402362204724415,-3.87053149606303
240,-3.0000000002417e-05,0.65532999999999,-1.9999999999243e-05,-2.9999999995312e-05,-0.00029527559056098424,3.8698818897637475
260,0.65534,0.65532999999999,-1.9999999999243e-05,0.65533000000001,3.870000000000005,7.74011811023622
280,0.65534,1.31069,0.65534,-2.9999999995312e-05,7.7402362204724415,7.7401181102362475
300,-3.0000000002417e-05,1.3107,0.65534,-2.9999999995312e-05,3.869940944881876,7.740177165354359
320,0.65533,0.65532999999999,0.65534,-2.9999999995312e-05,7.740177165354331,3.8698818897637475
340,-3.0000000002417e-05,1.31069,-1.9999999999243e-05,-2.9999999995312e-05,-0.00029527559056098424,7.7401181102362475
360,-3.0000000002417e-05,1.31069,-3.0000000002417e-05,0.65533000000001,-0.00035433070868996455,11.610354330708718
380,-3.0000000002417e-05,1.31069,-0.65539,0.65533000000001,-3.8705905511811167,11.610354330708718
400,-0.6554,1.31069,-3.0000000002417e-05,0.65532000000001,-3.870649606299227,11.61029527559061
420,-0.65539,1.31069,-0.65539,-2.9999999995312e-05,-7.740826771653544,7.7401181102362475
440,-3.0000000002417e-05,-2.9999999995312e-05,-3.0000000002417e-05,-1.31075,-0.00035433070868996455,-7.740826771653516
460,-3.0000000002417e-05,-0.65539,-3.9999999998486e-05,-1.96612,-0.00041338582677698623,-15.481358267716535
480,-3.9999999998486e-05,-1.31075,-0.6554,-1.96612,-3.8707086614173134,-19.35159448818898
500,-3.9999999998486e-05,-0.65539,-0.6554,-1.96612,-3.8707086614173134,-15.481358267716535
520,-0.6554,-0.65539,-0.6554,-0.65539,-7.740944881889764,-7.740826771653544
540,-0.65541,-2.9999999995312e-05,-0.6554,-0.65539999999999,-7.741003937007874,-3.8706496062991254
560,-0.65542,-2.9999999995312e-05,-2.62151,0.65533000000001,-19.351948818897636,3.869881889763866
580,-3.27687,1.96606,-2.62151,1.31068,-34.83295275590552,19.350826771653544
600,-2.62151,2.62141,-2.62151,1.96604,-30.96271653543307,27.091240157480314
620,-2.62151,2.62141,-2.62151,1.31068,-30.96271653543307,23.221003937007875
640,-1.96616,1.96605,-1.96616,1.96604,-23.22236220472441,23.221003937007875
660,-1.96616,2.62141,-1.96616,1.96604,-23.22236220472441,27.091240157480314
680,-1.96616,2.62141,-1.96616,1.96604,-23.22236220472441,27.091240157480314
700,-1.96616,1.96604,-1.96615,1.31068,-23.2223031496063,19.350708661417325
720,-1.96616,2.62141,-1.96616,1.31068,-23.22236220472441,23.221003937007875
740,-1.96616,1.96604,-1.96616,1.96604,-23.22236220472441,23.220944881889764
760,-1.96616,2.6214,-1.96616,1.96604,-23.22236220472441,27.091181102362206
780,-1.96616,2.6214,-1.96616,1.31067,-23.22236220472441,23.220885826771653
800,-1.96616,1.96604,-1.96616,1.31068,-23.22236220472441,19.350708661417325
820,-1.96616,1.96604,-1.96615,0.65531000000001,-23.2223031496063,15.480413385826832
840,-1.3108,1.96604,-1.96616,0.65531000000001,-19.35212598425197,15.480413385826832
860,-1.3108,1.96604,-1.96615,0.65531000000001,-19.35206692913386,15.480413385826832
880,-1.3108,1.31068,-1.31079,-4.9999999987449e-05,-15.481830708661416,7.7399409448819645
900,-1.3108,0.65532,-0.65543,-1.31077,-11.611594488188976,-3.870767716535433
920,-7.9999999996971e-05,-0.65541,-0.65543,-1.96613,-3.871122047244076,-15.481535433070867
940,-0.65543,-1.31076,-0.65543,-1.96613,-7.741299212598425,-19.3517125984252
960,-0.65543,-1.31077,-0.65543,-1.96613,-7.741299212598425,-19.351771653543306
980,-0.65544,-1.96613,-0.65543,-2.62149,-7.741358267716535,-27.09224409448819
1000,-0.65543,-1.96613,1.31067,-1.96613,3.8695275590551184,-23.22200787401575
1020,9.1751,-6.0000000004834e-05,11.79661,-0.65541999999999,123.84868110236222,-3.8709448818897334
1040,10.48588,-5.000000000166e-05,10.48587,-4.9999999987449e-05,123.84891732283465,-0.0005905511810380453
1060,10.48587,0.65531,10.48587,-5.9999999990623e-05,123.84885826771654,3.869586614173283
1080,11.14123,0.65531,11.14123,-4.9999999987449e-05,131.58933070866144,3.869645669291412
1100,11.14123,-5.000000000166e-05,11.14123,-0.65541999999999,131.58933070866144,-3.870885826771604
