T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.65537,-1.0000000003174e-05,0.0,-3.8702952755905704,3.8702952755905513
40,-1.31072,1.31074,-0.65537,1.31075,-11.610767716535433,15.481240157480316
60,-1.31072,1.96612,-0.65537,1.9661,-11.610767716535433,23.221771653543307
80,-1.31072,1.96612,-0.65537,1.96611,-11.610767716535433,23.221830708661418
100,-1.31072,2.62148,-0.65537,3.27685,-11.610767716535433,34.83265748031496
120,-1.31072,3.93222,-1.31073,3.93222,-15.481003937007873,46.443543307086614
140,-1.96608,4.5876,-1.30819,4.58759,-19.336240157480315,54.18419291338583
160,-1.96609,4.58761,-1.9661,4.5876,-23.221594488188977,54.18431102362205
180,-1.96608,5.89834,-1.9661,5.24297,-23.221535433070866,65.7951377952756
200,-2.62145,6.55371,-1.9661,5.89834,-27.09183070866142,73.5357283464567
220,-3.27681,7.20908,-1.9661,5.89836,-30.96206692913386,77.40614173228347
240,-3.27681,7.2091,-2.62146,7.2091,-34.832303149606304,85.14685039370079
260,-3.27681,7.86448,-2.62146,7.2091,-34.832303149606304,89.01720472440945
280,-3.27681,7.86448,-1.96609,6.55374,-30.962007874015747,85.14696850393702
300,-2.62145,7.20911,-1.9661,5.89837,-27.09183070866142,77.40637795275592
320,-2.62144,6.55374,-1.96609,5.243,-27.091712598425197,69.6657874015748
340,-2.62144,5.89837,-1.96609,5.243,-27.091712598425197,65.79549212598425
360,-2.62144,5.24301,-1.96609,4.58762,-27.091712598425197,58.05490157480315
380,-2.62144,3.93227,-1.31072,2.62152,-23.221417322834654,38.703484251968504
400,-1.96608,3.27689,-0.65536,1.96614,-15.480944881889766,30.962775590551182
420,-1.31072,2.62152,-0.65536,1.96614,-11.610708661417323,27.09248031496063
440,-1.31071,2.6215,-0.65536,1.96614,-11.610649606299212,27.092362204724413
460,-1.31071,2.62152,-0.65536,1.96614,-11.610649606299212,27.09248031496063
480,-1.96607,2.62151,-0.65536,1.96614,-15.480885826771654,27.09242125984252
500,-1.31071,2.62151,-0.65536,2.6215,-11.610649606299212,30.96265748031496
520,-1.31071,3.27687,-0.65535,2.6215,-11.610590551181103,34.8328937007874
540,-1.31071,3.27688,-0.65536,2.62151,-11.610649606299212,34.833011811023624
560,-1.31071,3.27688,-0.65535,2.62151,-11.610590551181103,34.833011811023624
580,-1.96606,3.93225,-0.65535,2.62152,-15.480767716535434,38.70336614173228
600,-1.3107,3.93225,-1.31071,3.27688,-15.480767716535434,42.573602362204724
620,-1.96606,3.93225,-0.65534,3.93224,-15.480708661417323,46.44383858267717
640,-1.96606,3.93225,-0.65534,3.27687,-15.480708661417323,42.57354330708662
660,-1.96606,4.58761,-1.3107,4.5876,-19.350944881889763,54.18431102362205
680,-1.96606,4.58762,-1.3107,3.93225,-19.350944881889763,50.31419291338583
700,-1.96605,5.24298,-2.62143,4.5876,-27.091417322834648,58.05460629921261
720,-12.45191,5.89834,-15.07339,6.55372,-162.55098425196852,73.53578740157481
740,-15.72872,7.86447,-14.418,7.2091,-178.03181102362205,89.01714566929134
760,-15.07337,7.2091,-15.07337,6.55373,-178.03192913385828,81.27655511811024
780,-15.72872,7.86446,-14.418,7.20909,-178.03181102362205,89.01702755905511
800,-15.07335,7.86447,-14.418,7.20909,-174.1615157480315,89.01708661417324
820,-15.72871,7.2091,-14.418,6.55372,-178.03175196850393,81.27649606299214
840,-14.41799,6.55373,-14.41799,5.89836,-170.29122047244095,73.53596456692914
860,-15.07334,6.55372,-13.76263,5.89835,-170.29116141732283,73.53584645669292
880,-14.41798,6.55372,-13.76262,5.24298,-166.4208661417323,69.66555118110237
900,-15.07334,6.55372,-13.76262,5.89834,-170.29110236220473,73.53578740157481
920,-14.41798,5.89835,-13.76263,5.89834,-166.42092519685042,69.66549212598426
940,-14.41798,6.55371,-11.14117,5.24298,-150.93986220472442,69.66549212598426
960,-5.24285,7.86446,-5.24284,7.20909,-61.92336614173229,89.01702755905511
980,-7.20893,7.86447,-5.89822,7.20909,-77.40442913385827,89.01708661417324
1000,-6.55358,7.86446,-5.89822,7.20909,-73.53425196850394,89.01702755905511
1020,-6.55357,8.51983,-6.55358,7.2091,-77.40442913385827,92.88738188976379
1040,-7.20894,7.86447,-5.89822,7.2091,-77.40448818897639,89.01714566929134
1060,-6.55358,7.86446,-5.89822,6.55372,-73.53425196850394,85.14673228346457
1080,-6.55357,6.55372,-5.24286,5.89835,-69.66395669291339,73.53584645669292
1100,-5.89822,4.58761,-5.24287,2.6215,-65.79383858267717,42.5734842519685
1120,-5.89822,3.27687,-5.24287,2.6215,-65.79383858267717,34.8328937007874
