T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,0.65536,0.65536,7.740472440944883,-5.905511810996746e-05
40,0.65535,-1.0000000003174e-05,0.65536,0.65536,7.7404133858267725,3.8701771653543116
60,0.65535,-1.0000000003174e-05,1.31071,0.65536,11.610590551181103,3.8701771653543116
80,0.65534,-0.65537,0.65535,0.65536,7.740295275590552,-5.905511810996746e-05
100,0.65535,-0.65536,0.65535,0.0,7.740354330708661,-3.8702362204724414
120,0.65534,-0.65536,0.65534,0.0,7.7402362204724415,-3.8702362204724414
140,0.65534,-0.65536,0.65534,0.65536,7.7402362204724415,0.0
160,1.31069,-0.65536,1.3107,0.0,15.480649606299213,-3.8702362204724414
180,0.65534,0.0,1.3107,0.65536,11.610472440944882,3.8702362204724414
200,1.31069,0.0,1.3107,0.65536,15.480649606299213,3.8702362204724414
220,1.31069,-0.65536,1.3107,0.0,15.480649606299213,-3.8702362204724414
240,1.96605,0.0,1.3107,0.0,19.350885826771652,0.0
260,1.96605,-0.65536,1.31069,0.0,19.350826771653544,-3.8702362204724414
280,1.31069,-0.65536,1.96605,0.0,19.350826771653544,-3.8702362204724414
300,1.96604,-0.65536,1.96605,0.65537,23.221003937007875,5.905511810996746e-05
320,1.96605,0.0,1.96605,0.65536,23.221062992125987,3.8702362204724414
340,1.96605,0.0,1.96605,0.65536,23.221062992125987,3.8702362204724414
360,1.96605,9.9999999960687e-06,1.96605,0.65536,23.221062992125987,3.8702952755905278
380,1.96605,0.0,1.96605,0.65536,23.221062992125987,3.8702362204724414
400,1.96605,0.0,1.3107,1.31073,19.350885826771652,7.740531496062992
420,1.96605,9.9999999960687e-06,1.3107,1.31073,19.350885826771652,7.740590551181079
440,1.3107,0.65537,1.3107,1.31073,15.480708661417323,11.610826771653544
460,1.31069,1.31072,0.65534,1.31073,11.61041338582677,15.481003937007873
480,0.65534,0.65537,0.65534,1.96609,7.7402362204724415,15.481062992125985
500,0.65534,1.31073,0.65535,2.62145,7.740295275590552,23.221535433070866
520,0.65534,1.96609,-1.9999999999243e-05,2.62146,3.870000000000005,27.09183070866142
540,0.65534,2.62145,0.65534,3.27681,7.7402362204724415,34.83224409448819
560,0.65534,2.62145,0.65535,3.27681,7.740295275590552,34.83224409448819
580,0.65535,2.62145,0.65535,3.27681,7.740354330708661,34.83224409448819
600,0.65535,3.27681,0.65535,3.93217,7.740354330708661,42.572716535433074
620,0.65535,3.27681,0.0,4.58754,3.8701771653543307,46.443011811023624
640,-9.9999999960687e-06,3.93217,0.0,4.58753,-5.905511808701989e-05,50.31318897637796
660,-9.9999999960687e-06,3.93217,-0.65535,4.58754,-3.870236220472417,50.313248031496066
680,0.0,3.93217,-0.65535,5.24289,-3.8701771653543307,54.18342519685039
700,-1.31072,4.58753,-1.31071,4.58753,-15.480885826771654,54.18342519685039
720,-0.65535,3.93216,3.93221,5.89825,19.351535433070868,58.05360236220473
740,13.76282,2.62142,15.72895,1.31069,174.1639960629921,23.221122047244098
760,15.07354,3.2768,15.07354,3.27681,178.03393700787402,38.702421259842524
780,15.72889,3.2768,15.7289,3.93217,185.7743503937008,42.57265748031496
800,15.72888,3.2768,15.72889,3.93216,185.77423228346458,42.57259842519685
820,15.72889,2.62143,15.72889,3.2768,185.77429133858269,34.83206692913386
840,16.38425,2.62143,15.7289,3.2768,189.64458661417325,34.83206692913386
860,15.07354,2.62143,15.07354,3.93216,178.03393700787402,38.7023031496063
880,14.41818,3.93215,13.76283,5.89824,166.4232874015748,58.05348425196851
900,14.41819,5.24288,14.41819,6.55359,170.29358267716535,69.66419291338582
920,15.07354,5.89824,15.07355,5.89823,178.03399606299212,69.66419291338582
940,16.38426,5.24287,16.38427,5.89824,193.5149409448819,65.7939566929134
960,17.03962,5.24288,17.69499,5.89823,205.12564960629925,65.7939566929134
980,17.69499,5.24287,12.45206,5.89827,178.0337598425197,65.79413385826771
1000,3.27685,7.86439,-0.65535999999999,5.8983,15.481240157480377,81.27572834645669
1020,1.31072,7.20902,2.62145,7.86438,23.221476377952758,89.01614173228346
1040,3.2768,7.20901,3.27681,7.86437,38.702421259842524,89.01602362204724
1060,3.2768,6.55364,3.93217,7.20901,42.57265748031496,81.27549212598426
1080,3.93217,5.89828,3.93217,7.209,46.442952755905516,77.4051968503937
1100,4.58753,6.55364,4.58753,7.209,54.18342519685039,81.27543307086614
1120,4.58753,6.55364,4.58754,7.209,54.1834842519685,81.27543307086614
1140,4.58754,6.55364,4.58754,7.209,54.183543307086616,81.27543307086614
1160,4.58754,6.55364,4.58755,7.209,54.18360236220473,81.27543307086614
1180,4.58754,6.55364,3.93219,6.55364,50.31336614173228,77.4051968503937
1200,3.93219,5.89828,4.58756,7.209,50.313484251968504,77.4051968503937
1220,3.93219,6.55364,3.9322,7.20899,46.44324803149607,81.27537401574803
1240,3.9322,5.89827,3.9322,7.20899,46.443307086614176,77.40507874015748
1260,3.9322,5.89827,3.27685,7.20899,42.57312992125985,77.40507874015748
1280,3.93221,6.55362,10.48593,8.51969,85.14649606299213,89.01561023622047
1300,16.38427,5.89824,17.03967,7.20895,197.3854724409449,77.4046653543307
1320,17.03964,6.5536,17.69501,7.86432,205.12588582677168,85.1451968503937
1340,17.695,7.20896,17.69501,7.86432,208.9961220472441,89.01543307086615
1360,17.695,7.20896,17.69501,7.86432,208.9961220472441,89.01543307086615
1380,17.695,7.20896,17.03964,8.51968,205.12582677165355,92.88566929133857
1400,17.03964,7.86432,17.03964,8.51968,201.2555905511811,96.75590551181102
1420,17.03964,7.86432,16.38428,8.51969,197.38535433070865,96.75596456692914
1440,16.38428,8.51969,16.38429,8.51969,193.51517716535432,100.6262598425197
1460,16.38428,8.51969,16.38428,9.17505,193.51511811023624,104.49649606299215
1480,16.38428,8.51969,16.38429,9.17505,193.51517716535432,104.49649606299215
1500,16.38428,7.86433,17.03964,8.51969,197.38535433070865,96.75602362204724
1520,17.03964,7.86433,17.69499,8.51969,205.12576771653542,96.75602362204724
1540,17.69499,6.55361,17.69499,7.20896,208.99594488188978,81.27501968503937
1560,18.35034,6.5536,19.0057,7.20896,220.60653543307086,81.27496062992127
1580,19.00569,6.5536,18.35033,6.5536,220.60641732283466,77.40472440944882
1600,22.9379,7.86432,32.76848,7.86431,328.9746850393701,92.88561023622046
1620,37.35611,5.24284,37.35611,7.20892,441.2138976377953,73.53401574803149
1640,37.35609,7.20893,37.35609,6.55358,441.2136614173229,81.27466535433072
