T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.96609,-0.65536,4.58757,-0.65537,38.702716535433076,-7.740531496062992
40,5.8983,0.65536,5.24293,1.31072,65.79466535433072,11.610708661417323
60,5.8983,1.96608,5.24294,1.96608,65.79472440944882,23.221417322834647
80,5.8983,1.96609,5.24294,1.96608,65.79472440944882,23.221476377952758
100,5.24294,1.96608,5.24294,1.96608,61.924488188976376,23.221417322834647
120,5.24294,2.62145,5.24294,1.96608,61.924488188976376,27.091712598425197
140,5.24294,1.96609,5.24294,1.96608,61.924488188976376,23.221476377952758
160,5.24294,2.62145,4.58758,2.62144,58.05425196850394,30.96194881889764
180,5.24294,3.27681,5.24294,2.62144,61.924488188976376,34.83218503937008
200,5.24294,3.27681,4.58758,3.2768,58.05425196850394,38.702421259842524
220,5.24294,3.93217,5.24295,3.93217,61.9245472440945,46.442952755905516
240,5.24295,3.93218,4.58759,4.58753,58.054370078740156,50.313248031496066
260,5.24295,5.2429,4.58759,5.89826,58.054370078740156,65.79425196850393
280,5.24295,6.55363,5.24295,6.55362,61.924606299212606,77.40501968503938
300,5.24296,6.55363,5.24296,7.20899,61.92472440944882,81.27531496062993
320,5.24296,7.86436,5.24296,7.86435,61.92472440944882,92.88608267716535
340,5.89832,9.17508,5.24296,9.17508,65.79496062992126,108.36708661417323
360,5.24296,9.83045,5.24297,9.83045,61.92478346456693,116.10767716535435
380,5.24297,10.48581,5.24297,9.83044,61.924842519685036,119.97785433070867
400,5.89833,10.48581,5.24297,10.48581,65.79507874015748,123.84814960629923
420,5.89834,11.14117,5.24298,11.14117,65.79519685039371,131.58862204724412
440,5.89834,11.14118,5.24299,11.14117,65.79525590551181,131.58868110236222
460,5.89835,11.79654,5.24298,11.14117,65.79525590551181,135.45891732283465
480,5.89835,11.14117,6.55372,11.79653,73.53584645669292,135.45885826771655
500,14.41813,14.41798,18.35035,16.38406,193.51464566929133,181.90181102362206
520,19.00571,17.03943,17.69499,17.69479,216.73641732283463,205.12334645669293
540,19.00572,17.69479,18.35036,17.69478,220.60677165354332,208.9935236220473
560,19.00572,17.69479,19.00572,17.03943,224.47700787401575,205.12334645669293
580,19.00572,17.03943,18.35036,16.38406,220.60677165354332,197.38281496062993
600,19.66108,16.38406,19.00572,16.38406,228.34724409448822,193.5125196850394
620,19.00572,17.03943,19.00572,16.38406,224.47700787401575,197.38281496062993
640,19.66108,16.38406,19.00572,15.07333,228.34724409448822,185.7719881889764
660,19.66108,15.7287,19.66108,13.76261,232.21748031496062,174.16127952755906
680,19.66107,13.10724,19.0057,11.79652,228.34706692913386,147.06944881889763
700,11.1413,9.83045,-1.31067,8.51973,58.05490157480315,108.36720472440946
720,-3.27681,10.48582,-1.96607,11.79655,-30.96188976377953,131.58879921259842
740,-1.3107,11.79656,-1.31071,11.14119,-15.480767716535434,135.4591535433071
760,-0.65535,11.14119,-0.65535000000001,10.48582,-7.740354330708721,127.71856299212598
780,-0.65536,9.17509,-0.65536,7.86436,-7.740472440944883,100.62667322834648
800,0.0,5.89827,-0.65537,3.93217,-3.8702952755905513,58.05377952755905
820,-1.0000000003174e-05,3.93217,-0.65538,2.62144,-3.8704133858267897,38.702421259842524
840,-1.9999999999243e-05,2.62144,-1.31074,1.96607,-7.740708661417319,27.091594488188978
860,-1.31075,1.96607,-1.31076,1.3107,-15.481358267716535,19.351003937007874
880,-1.31075,1.31071,-1.96612,0.65534,-19.35159448818898,11.610531496062993
900,-1.31076,1.31071,-1.96613,0.65534,-19.3517125984252,11.610531496062993
920,3.27679,1.3107,11.14122,1.31069,85.14572834645669,15.480649606299213
940,13.10733,2.62141,12.45196,3.27677,150.94068897637797,34.831771653543306
960,12.45195,3.27678,11.79659,2.62141,143.20003937007874,34.831830708661414
980,12.45195,2.62141,12.45195,2.6214,147.07027559055118,30.96147637795276
1000,12.45195,3.27677,11.79659,2.6214,143.20003937007874,34.8317125984252
1020,12.45195,3.27677,11.79658,3.27676,143.19998031496064,38.70194881889764
1040,12.45194,3.93213,12.45194,3.93212,147.07015748031498,46.44242125984252
1060,12.45449,3.93212,11.79658,3.93212,143.21498031496063,46.44236220472441
1080,15.0734,4.58748,23.59318,5.24283,228.34594488188978,58.05301181102363
1100,29.4915,7.2089,28.83614,7.2089,344.4545669291339,85.14448818897638
1120,28.18077,7.86427,28.83613,7.2089,336.71397637795275,89.01478346456693
1140,28.83613,7.2089,28.83613,6.55354,340.5842125984252,81.27425196850393
1160,28.83613,7.86426,29.49148,7.2089,344.45438976377955,89.01472440944882
1180,29.49149,7.2089,29.49149,7.86426,348.3246850393701,89.01472440944882
1200,30.14685,7.86426,29.4915,7.20889,352.1949803149607,89.01466535433072
1220,30.14686,7.2089,29.4915,6.55353,352.19503937007875,81.27419291338583
1240,30.14686,7.20889,30.14686,7.20889,356.0652755905512,85.14437007874017
1260,30.14686,7.20889,30.80223,7.20889,359.93557086614175,85.14437007874017
1280,38.66664,8.51961,42.59888,9.83032,479.91448818897646,108.3657283464567
1300,42.59888,9.83032,42.59887,10.48568,503.1363188976378,119.9763779527559
1320,42.59888,10.48568,42.59888,10.48567,503.13637795275594,123.84655511811025
1340,43.25424,10.48568,42.59888,10.48568,507.0066141732284,123.84661417322836
1360,43.25425,11.14104,42.59889,11.14103,507.00673228346454,131.58702755905512
1380,43.25425,10.48567,43.25425,10.48567,510.876968503937,123.84649606299214
1400,43.25426,11.79639,43.25425,11.14103,510.87702755905514,135.45720472440948
1420,43.90962,11.7964,43.25426,11.7964,514.7473228346457,139.32755905511812
1440,43.25426,11.14104,43.25426,10.48567,510.87708661417327,127.71679133858268
1460,46.5311,12.45176,52.42943,14.41784,584.4125787401575,158.67874015748032
1480,53.08482,15.0732,52.42944,15.07321,623.1157086614173,178.02998031496062
1500,52.42944,15.72857,52.42944,15.0732,619.2453543307087,181.9002165354331
1520,52.42945,15.72857,51.77408,15.0732,615.3751771653543,181.9002165354331
1540,52.42944,15.07321,52.42944,13.76248,619.2453543307087,170.28950787401575
1560,52.42944,13.10712,51.77408,13.10711,615.3751181102363,154.80844488188978
1580,52.42944,13.10711,52.42944,12.45175,619.2453543307087,150.93814960629922
1600,53.08479,13.10711,52.42942,12.45175,623.1154133858269,150.93814960629922
1620,53.08479,13.76247,52.42943,13.76247,623.1154724409448,162.54885826771655
1640,53.08479,15.0732,52.42943,14.41784,623.1154724409448,174.1596850393701
1660,53.08479,14.41784,52.42942,14.41784,623.1154133858269,170.28944881889765
1680,53.08478,14.41784,52.42942,14.41784,623.1153543307087,170.28944881889765
1700,52.42941,14.41785,51.77405,13.76249,615.3747637795276,166.41933070866142
1720,52.42941,14.41786,57.01698,15.72858,646.3369488188977,178.03015748031495
1740,64.88144,17.0393,66.84756,17.0393,777.9271653543307,201.25157480314962
1760,66.19219,18.35004,65.53682,19.00539,777.927224409449,220.60293307086613
1780,66.19219,19.66076,65.53682,19.66076,777.927224409449,232.2137007874016
1800,65.53683,19.66077,64.88146,19.0054,770.186751968504,228.34352362204726
1820,64.88146,19.66077,64.2261,19.66077,762.446220472441,232.2138188976378
1840,64.2261,19.66078,63.57074,19.66078,754.7057480314961,232.21393700787402
1860,64.2261,20.31615,63.57074,20.31615,754.7057480314961,239.95452755905512
1880,64.2261,20.31615,63.57074,20.31615,754.7057480314961,239.95452755905512
1900,-40.63149,20.31615,63.57074,19.66078,135.46801181102364,236.0842322834646
1920,58.32781,18.35007,44.56506,17.03935,607.6350590551182,208.9926377952756
1940,38.66672,18.35008,38.66672,20.31618,456.6935433070866,228.34405511811025
1960,40.63282,22.93764,39.97746,23.593,476.04496062992126,274.7872440944882
1980,40.63282,25.55909,39.97746,26.21445,476.04496062992126,305.7492519685039
2000,40.63282,26.86982,40.63282,27.52518,479.9151968503937,321.2303149606299
2020,40.63282,28.18055,39.97746,28.83591,476.04496062992126,336.7113779527559
2040,40.63282,29.49128,39.97746,29.49127,476.04496062992126,348.3221456692914
2060,40.63282,30.14664,39.97746,30.14663,476.04496062992126,356.0626181102362
2080,40.63282,30.802,39.97746,30.802,476.04496062992126,363.8031496062992
2100,41.28819,30.80201,40.63282,30.802,483.78549212598426,363.80320866141733
2120,41.28818,30.802,40.63282,30.802,483.7854330708662,363.8031496062992
2140,40.63282,31.45737,40.63283,30.80201,479.9152559055118,367.67350393700787
2160,41.28818,31.45737,40.63282,31.45737,483.7854330708662,371.54374015748033
2180,40.63282,31.45737,40.63282,30.802,479.9151968503937,367.67344488188974
2200,40.63282,30.14665,39.97746,30.14664,476.04496062992126,356.06273622047246
2220,40.63282,30.14664,39.97745,29.49128,476.04490157480313,352.1924409448819
2240,40.63282,29.49128,39.97746,29.49128,476.04496062992126,348.32220472440946
2260,40.63282,29.49128,40.63281,29.49127,479.9151377952756,348.3221456692914
2280,40.63282,28.83592,40.63282,28.83591,479.9151968503937,340.58167322834646
2300,41.28818,28.83591,40.63282,28.18055,483.7854330708662,336.7113779527559
2320,41.28818,28.18055,41.28818,27.52518,487.65566929133854,328.9708464566929
