T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-11.14121,5.000000000166e-05,-25.55926,0.65548,-216.73505905511814,3.8712401574803246
40,-28.83613,9.9999999996214e-05,-26.21465,1.96618,-325.103031496063,11.611889763779505
60,-25.55928,2.62154,-26.87002,3.27691,-309.6218503937008,34.833366141732284
80,-26.21467,2.62154,-26.21467,3.2769,-309.62208661417327,34.83330708661418
100,-26.87003,1.96618,-26.21468,2.62154,-313.4923818897638,27.092834645669292
120,-26.21468,1.96617,-26.87005,2.62154,-313.4925,27.092775590551184
140,-26.21469,2.62153,-26.21469,3.2769,-309.6223228346457,34.83324803149607
160,-26.21469,3.2769,-26.21469,3.93226,-309.6223228346457,42.573779527559054
180,-26.21469,3.27689,-26.21469,3.93226,-309.6223228346457,42.57372047244095
200,-26.21469,3.2769,-26.21469,4.58762,-309.6223228346457,46.4440157480315
220,-26.21469,3.93283,-26.21469,4.58762,-309.6223228346457,50.317618110236225
240,-26.87005,3.93226,-26.87005,3.93226,-317.36279527559054,46.4440157480315
260,-26.87005,3.93226,-26.21469,4.58762,-313.4925590551181,50.31425196850394
280,-26.21469,3.93226,-25.55934,3.93225,-305.7521456692914,46.44395669291339
300,-24.90397,3.93224,-18.35029,3.9322,-255.43854330708663,46.443543307086614
320,-17.03953,2.62145,-17.03954,3.9322,-201.2543503937008,38.70265748031496
340,-17.03956,3.9322,-17.03956,4.58757,-201.25464566929136,50.31360236220473
360,-17.03956,3.9322,-17.03956,4.58756,-201.25464566929136,50.31354330708661
380,-17.03956,3.93219,-16.38419,3.27684,-197.38435039370077,42.573011811023626
400,-16.3842,2.62147,-16.3842,3.27683,-193.51417322834646,34.83248031496063
420,-16.38419,2.62147,-16.38419,3.27683,-193.51405511811024,34.83248031496063
440,-16.38419,1.96611,-16.38419,2.62148,-193.51405511811024,27.09206692913386
460,-17.03956,2.62147,-17.03955,2.62148,-201.25458661417323,30.962303149606303
480,-17.03954,2.62147,-17.03954,2.62148,-201.25440944881888,30.962303149606303
500,-17.6949,2.62147,-17.6949,2.62148,-208.9948818897638,30.962303149606303
520,-17.69489,1.31075,-17.03953,1.96611,-205.1245275590551,19.351535433070868
540,-17.69489,1.31075,-17.69489,1.96611,-208.99476377952757,19.351535433070868
560,-17.69488,1.96611,-17.69488,1.96611,-208.99464566929137,23.221771653543307
580,-18.35024,1.96611,-18.35024,1.96612,-216.73511811023621,23.221830708661418
600,-19.0056,1.96611,-18.35024,1.96612,-220.60535433070868,23.221830708661418
620,-18.35024,1.31075,-18.35023,1.96612,-216.73505905511814,19.35159448818898
640,-18.35024,1.96611,-18.35023,1.96612,-216.73505905511814,23.221830708661418
660,-18.35023,2.62147,-18.35023,2.62148,-216.735,30.962303149606303
680,-18.35023,2.62148,-18.35023,2.62148,-216.735,30.96236220472441
700,-18.35023,2.62148,-18.35022,3.27684,-216.73494094488188,34.83259842519685
720,-18.35022,2.62148,-18.35022,3.27685,-216.73488188976378,34.83265748031496
740,-18.35022,2.62149,-18.35022,2.62149,-216.73488188976378,30.962480314960633
760,-19.00557,2.62149,-19.66093,2.62149,-228.3454724409449,30.962480314960633
780,-19.66093,2.62149,-20.31629,3.27685,-236.0859448818898,34.83271653543307
800,-20.31628,2.62149,-20.97164,3.27685,-243.82629921259843,34.83271653543307
820,-20.97163,2.62149,-21.62698,3.27686,-251.566594488189,34.832775590551186
840,-20.97163,3.27686,-21.62698,3.27686,-251.566594488189,38.703070866141736
860,-20.97162,2.6215,-20.97162,2.62149,-247.69629921259846,30.962539370078744
880,-20.97162,1.31077,-20.97162,3.9999999998486e-05,-247.69629921259846,7.741003937007865
900,-20.97162,-0.65532,-20.97162,-1.31068,-247.69629921259846,-11.61023622047244
920,-22.28234,-1.31069,-22.28234,-2.62141,-263.17724409448823,-23.221062992125987
940,-22.9377,-3.27678,-22.28234,-3.27677,-267.04748031496064,-38.70206692913386
960,-22.93769,-3.27678,-22.93769,-2.62142,-270.91759842519684,-34.83188976377953
980,-18.35014,-4.58752,-4.58739,-5.24292,-135.45785433070867,-58.05377952755905
1000,-2.62116,-5.89831,-2.62115,-4.58758,-30.958523622047245,-61.9245472440945
1020,-3.27656,-4.58757,-3.27655,-3.27684,-38.69946850393701,-46.443366141732284
1040,-2.62118,-3.93221,-2.62119,-3.27684,-30.95887795275591,-42.57312992125985
1060,-1.96583,-3.93221,-1.96584,-3.27684,-23.218523622047243,-42.57312992125985
1080,-1.96584,-3.27613,-1.96585,-2.62148,-23.218641732283466,-34.82840551181103
1100,-1.96585,-3.27684,-1.96585,-3.27684,-23.218700787401577,-38.70283464566929
1120,-1.96585,-3.27684,-1.96585,-2.62148,-23.218700787401577,-34.83259842519685
1140,-1.96585,-3.27684,-1.31049,-2.62149,-19.348464566929135,-34.83265748031496
1160,-1.96586,-3.27685,-1.31049,-3.27685,-19.348523622047242,-38.702952755905514
1180,-1.96586,-3.27685,-1.96585,-2.62149,-23.218759842519685,-34.83271653543307
1200,-1.31049,-3.27685,-1.31049,-3.27685,-15.478228346456692,-38.702952755905514
1220,-1.96585,-3.93221,-1.31049,-3.93221,-19.348464566929135,-46.44342519685039
1240,0.0002900000000067,-3.27687,5.89871,-1.96615,34.8366141732284,-30.96271653543307
1260,9.17559,-2.62153,7.86485,-1.31079,100.63251968503937,-23.22236220472441
1280,7.86483,-1.96616,7.86484,-1.96615,92.89175196850394,-23.2223031496063
1300,7.86484,-2.62151,7.86483,-1.96615,92.89175196850394,-27.09248031496063
1320,7.20947,-2.62151,7.20947,-2.62151,85.15122047244094,-30.96271653543307
1340,7.20948,-2.62151,7.20948,-1.96614,85.15133858267717,-27.09242125984252
1360,6.55411,-1.96614,6.55412,-1.96613,77.41080708661418,-23.22206692913386
1380,6.55411,-1.96614,6.55412,-1.96613,77.41080708661418,-23.22206692913386
1400,5.89876,-1.96614,5.89876,-1.31076,69.6703937007874,-19.351771653543306
1420,5.89877,-1.31077,5.24341,-0.6554,65.80027559055118,-11.611240157480315
1440,5.24341,-1.96613,10.48632,-0.65541,92.8921062992126,-15.481535433070867
1460,22.28294,-7.0000000000903e-05,26.21517,0.65529,286.40616141732283,3.869409448818892
1480,26.21515,0.6553,26.21513,1.31067,309.62763779527563,11.61005905511811
1500,26.87049,1.31067,26.8705,1.96604,317.3680511811024,19.350649606299214
1520,26.87049,2.6214,26.21513,3.27677,313.49775590551184,34.8317125984252
1540,26.21513,3.93214,26.21513,4.58751,309.6275196850394,50.312893700787406
1560,26.21513,4.58751,26.21513,5.89824,309.6275196850394,61.92372047244094
1580,26.21514,5.24288,26.21514,6.55361,309.62763779527563,69.66431102362205
1600,26.87049,6.55361,26.21514,7.20897,313.49781496062997,81.27507874015748
1620,27.52587,7.20897,38.66713,11.14115,390.90354330708664,108.36685039370079
1640,44.56548,11.79651,45.22087,13.10725,530.2343503937008,147.06944881889763
1660,44.56548,13.76262,44.56549,15.07335,526.3639960629922,170.29116141732283
1680,43.91013,15.07335,44.5655,15.72872,522.4938779527558,181.9019881889764
1700,43.91014,15.07335,43.91014,15.72872,518.6237007874016,181.9019881889764
1720,44.5655,15.72872,43.91014,15.72872,522.493937007874,185.77228346456693
1740,43.91014,15.72871,44.56551,15.72872,522.4939960629921,185.77222440944882
1760,43.91014,15.07336,44.56551,16.38409,522.4939960629921,185.77234251968505
1780,43.9127,15.72872,43.91015,15.72873,518.6388779527559,185.77234251968505
1800,43.91015,15.07337,43.91015,15.72873,518.6238188976379,181.90216535433072
1820,43.25479,15.07337,43.25479,16.38409,510.88334645669295,185.77240157480315
1840,43.25479,15.72873,43.25478,15.72874,510.8832874015748,185.77246062992126
1860,43.25478,15.07337,42.59943,15.07338,507.01305118110236,178.03198818897638
1880,42.59942,15.07337,42.59942,15.72873,503.1427559055119,181.90216535433072
1900,48.49773,15.72873,57.67301,19.00555,626.9925590551181,205.12370078740156
1920,63.57142,19.00554,62.91606,19.00555,746.9733070866142,224.47494094488192
1940,62.26066,19.00555,62.26066,19.00555,735.362125984252,224.475
1960,62.91603,19.00555,62.91602,19.66092,743.1026574803151,228.34529527559053
1980,62.91601,19.66091,62.91601,20.31628,743.1024803149606,236.08576771653543
2000,62.91601,19.66092,62.91601,20.97165,743.1024803149606,239.95612204724412
2020,62.916,20.31628,62.91599,21.62701,743.1023031496063,247.69659448818896
2040,62.91599,20.97164,62.91599,21.62701,743.1022440944882,251.56683070866143
2060,62.91598,20.97164,62.91597,20.97165,743.1020669291339,247.69659448818896
2080,63.57133,20.97165,64.22669,21.62701,754.7127165354331,251.56688976377956
2100,64.88205,20.31627,63.57129,18.35019,758.5827165354331,228.34523622047246
2120,40.63347,11.79662,-4.58674,4.58765,212.8743897637795,96.75750000000001
2140,-20.97109,-0.65524,-23.59267,-0.65525,-263.17181102362207,-7.739114173228348
2160,-20.97128,1.96621,-20.97127,3.9323,-247.6922244094488,34.833720472440945
2180,-20.97131,3.27693,-19.66062,3.9323,-239.95234251968503,42.57419291338583
2200,-19.66062,3.93229,-18.34992,4.58766,-224.47169291338588,50.31466535433071
2220,-17.69458,3.93229,-17.03923,3.93229,-205.12092519685038,46.44437007874016
2240,-16.38387,3.93228,-15.72852,4.58765,-189.6400984251969,50.31454724409449
2260,-15.72853,3.93229,-15.72853,4.58765,-185.77003937007873,50.3146062992126
2280,-15.07318,3.93229,-15.07319,3.93229,-178.0297440944882,46.44437007874016
2300,-15.0732,3.27692,-14.41784,3.93229,-174.1596850393701,42.57407480314961
2320,-15.07319,6.55376,-14.41782,7.20913,-174.15950787401576,81.2769094488189
2340,-14.41783,6.55377,-13.7625,7.20913,-166.41927165354332,81.27696850393701
2360,-13.76251,5.89841,-13.76252,5.89841,-162.54938976377954,69.6662598425197
2380,-13.76253,5.24305,-13.76254,5.89841,-162.54962598425197,65.79602362204724
2400,-13.10718,5.24305,-13.76254,5.89841,-158.67944881889764,65.79602362204724
2420,-13.76255,5.24304,-13.76255,5.8984,-162.5498031496063,65.79590551181103
2440,-13.10719,5.24304,-13.76255,5.8984,-158.67956692913387,65.79590551181103
2460,-17.03935,9.17524,-18.35007,9.8306,-208.9926377952756,112.2392125984252
2480,-18.35007,8.51988,-18.35008,8.51988,-216.73316929133858,100.62850393700788
2500,-19.00545,7.86452,-19.66081,8.51988,-228.34405511811025,96.75826771653543
2520,-19.66082,7.20915,-19.66082,7.86452,-232.2144094488189,89.01773622047244
2540,-19.66082,6.55379,-19.66082,6.55379,-232.2144094488189,77.40696850393701
2560,-19.66082,5.89842,-20.31618,5.89842,-236.08464566929132,69.66637795275591
2580,-20.97155,5.24305,-20.97155,5.24305,-247.69547244094488,61.92578740157481
2600,-20.97154,4.58769,-21.6269,4.58769,-251.5655905511811,54.185314960629924
2620,-21.6269,3.93232,-21.6269,4.58768,-255.43582677165355,50.31496062992126
2640,-22.28226,3.27695,-22.28227,3.93232,-263.1763582677165,42.57442913385827
2660,-22.28227,2.62159,-22.28227,2.62159,-263.17641732283465,30.963661417322832
2680,-22.28228,1.96623,-22.28228,2.62159,-263.17653543307085,27.093425196850394
2700,-22.93764,1.96622,-23.593,2.62159,-274.7872440944882,27.093366141732286
2720,-23.593,1.31086,-22.93764,1.31086,-274.7872440944882,15.48259842519685
2740,-23.593,1.31085,-23.593,1.31085,-278.65748031496065,15.48248031496063
2760,-16.38399,-0.65526,-9.83021,1.3108,-154.80826771653545,3.8712992125984256
2780,-8.51936,0.65542,-8.51939,0.65543,-100.62253937007874,7.7412401574803145
2800,-8.51942,7.0000000000903e-05,-7.86406,0.65543,-96.75283464566928,3.8710629921259887
2820,-7.86405,0.65543,-7.86406,1.31079,-92.88253937007873,11.611535433070866
2840,-7.86406,1.31079,-7.86406,1.96615,-92.88259842519686,19.35200787401575
2860,-7.86406,1.31079,-7.2087,1.31079,-89.01236220472441,15.481771653543307
2880,-7.2087,0.65542,-7.2087,0.65542,-85.14212598425198,7.741181102362205
2900,-6.55333,0.65541,-6.55334,0.65542,-77.40159448818899,7.741122047244096
2920,-6.55334,5.000000000166e-05,-6.55334,0.65542,-77.40165354330709,3.8708858267716626
2940,-6.55333,5.9999999997729e-05,-6.55333,0.65542,-77.40153543307086,3.87094488188975
2960,-6.55334,0.65541,-6.55334,0.65542,-77.40165354330709,7.741122047244096
2980,-6.55334,5.000000000166e-05,-4.58719,1.31076,-65.790531496063,7.741003937007884
3000,9.17561,2.62146,17.04007,2.62145,154.81700787401576,30.96206692913386
3020,15.72933,2.62146,15.07393,3.27683,181.90901574803152,34.83242125984252
3040,15.7293,2.62146,16.38466,3.27682,189.64937007874016,34.83236220472441
3060,15.72929,2.62146,15.72929,3.27682,185.7790157480315,34.83236220472441
3080,15.72929,3.27682,15.72929,3.27683,185.7790157480315,38.70265748031496
3100,15.72929,2.62145,15.72929,3.27682,185.7790157480315,34.832303149606304
3120,15.72771,2.62145,15.07393,3.27682,181.89944881889764,34.832303149606304
