T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-36.70063,-6.55352,-26.87008,-3.27676,-375.41757874015747,-58.05283464566929
40,-42.5989,-6.55352,-26.21214,-2.62142,-406.36440944881895,-54.182716535433066
60,-41.94354,-6.55353,-26.21468,-2.62142,-402.50917322834647,-54.18277559055119
80,-41.94353,-6.55354,-25.55932,-2.62143,-398.6388779527559,-54.1828937007874
100,-41.94353,-6.55355,-25.55932,-2.62144,-398.6388779527559,-54.18301181102363
120,-41.28817,-6.55355,-24.90396,-2.62144,-390.89840551181106,-54.18301181102363
140,-41.28817,-6.55356,-24.90396,-3.27681,-390.89840551181106,-58.05336614173228
160,-41.28817,-6.55357,-24.2486,-2.62146,-387.0281692913386,-54.18324803149606
180,-41.28817,-5.89822,-24.90396,-1.31074,-390.89840551181106,-42.57259842519685
200,-41.28817,-4.5875,-25.55933,-0.65538,-394.76870078740154,-30.96188976377953
220,-41.28818,-3.93214,-25.55933,-1.9999999999243e-05,-394.76875984251967,-23.221417322834647
240,-41.28818,-3.27677,-24.90398,-2.9999999995312e-05,-390.8985826771654,-19.351181102362176
260,-39.97747,-3.93214,-23.59327,-0.65539,-375.41775590551185,-27.091712598425197
280,-39.32213,-4.5875,-22.28255,-1.31075,-363.8071653543307,-34.83218503937009
300,-38.01141,-5.24286,-21.6272,-1.31076,-352.1965157480315,-38.70248031496063
320,-37.35605,-5.24286,-20.97184,-1.96612,-344.4560433070866,-42.572716535433074
340,-36.70068,-5.24287,-19.66111,-1.96613,-332.84521653543305,-42.57283464566929
360,-36.04533,-5.24288,-19.00575,-1.96613,-325.1048031496063,-42.572893700787404
380,-34.73461,-5.89824,-19.00576,-2.62149,-317.3643897637795,-50.31336614173229
400,-34.73461,-6.55361,-18.3504,-3.27685,-313.49415354330705,-58.05389763779528
420,-34.73461,-7.20897,-17.69505,-3.27686,-309.6239763779528,-61.92419291338583
440,-34.73462,-7.20897,-18.35041,-3.93222,-313.4942716535433,-65.79442913385827
460,-34.73462,-7.20897,-18.35041,-3.27686,-313.4942716535433,-61.92419291338583
480,-37.35608,-7.86432,-23.59334,-2.62147,-359.9375196850394,-61.923956692913386
500,-39.32218,-5.89823,-22.93796,-1.96612,-367.6779921259843,-46.443011811023624
520,-39.32217,-5.24287,-22.93796,-1.96612,-367.6779330708661,-42.57277559055118
540,-39.97753,-5.24287,-23.59331,-1.31076,-375.4183464566929,-38.70253937007874
560,-39.97752,-5.24288,-23.59331,-1.31076,-375.41828740157484,-38.702598425196854
580,-39.97752,-4.58752,-24.24866,-1.31077,-379.2884645669291,-34.83242125984252
600,-40.63288,-4.58752,-24.24866,-0.65541,-383.1587007874016,-30.96218503937008
620,-40.63286,-4.58752,-24.24864,-1.31077,-383.1584645669292,-34.83242125984252
640,-41.28822,-4.58752,-24.904,-0.65542,-390.89893700787405,-30.962244094488188
660,-41.28821,-4.58753,-24.904,-0.65542,-390.8988779527559,-30.962303149606303
680,-41.94356,-4.58753,-25.55934,-5.000000000166e-05,-398.63917322834646,-27.09200787401576
700,-42.59891,-3.93217,-26.21469,-5.9999999997729e-05,-406.3795275590551,-23.221830708661404
720,-42.5989,-3.27681,-26.87004,-5.9999999997729e-05,-410.2496456692914,-19.35159448818896
740,-43.25425,-3.27681,-27.52284,-5.9999999997729e-05,-417.9749409448819,-19.35159448818896
760,-43.90959,-3.27682,-27.52538,0.65529,-421.86005905511814,-15.481476377952756
780,-43.90959,-3.93219,-27.52537,-7.0000000000903e-05,-421.86,-23.222007874015752
800,-44.56493,-3.93218,-27.52536,-7.0000000000903e-05,-425.7300590551181,-23.221948818897644
820,-44.56493,-3.27682,-28.83607,0.65529,-433.4704724409449,-15.481476377952756
840,-45.87563,-3.27682,-30.14676,0.65529,-448.9511220472441,-15.481476377952756
860,-46.53097,-2.62146,-30.14674,1.31065,-452.82112204724416,-7.741003937007873
880,-46.53095,-2.62147,-30.80209,1.31065,-456.6911811023622,-7.7410629921259835
900,-47.84166,-2.62146,-31.45744,0.65528,-468.3017716535433,-11.611299212598425
920,-48.49701,-3.27683,-31.45744,-7.9999999996971e-05,-472.1719488188976,-19.3518307086614
940,-48.49701,-3.27682,-32.1128,-0.65543,-476.04218503937017,-23.221948818897637
960,-48.49702,-4.58754,-32.11281,-0.65544,-476.0423031496063,-30.962480314960633
980,-49.15239,-4.58755,-32.76817,-1.3108,-483.78283464566925,-34.832775590551186
1000,-49.15239,-5.24291,-33.42354,-1.3108,-487.65312992125985,-38.70301181102363
1020,-49.80775,-5.24292,-32.76818,-1.31081,-487.65312992125985,-38.703129921259844
1040,-49.15239,-5.24293,-32.76817,-1.96618,-483.78283464566925,-42.5734842519685
1060,-48.49703,-5.24294,-32.11281,-1.96619,-476.04236220472444,-42.573602362204724
1080,-48.49703,-5.8983,-31.45746,-1.96619,-472.1721850393701,-46.44383858267717
1100,-47.84167,-5.89831,-32.11283,-1.96619,-472.1722440944882,-46.443897637795274
1120,-48.49704,-5.8983,-32.76819,-1.96619,-479.91277559055123,-46.44383858267717
1140,-49.15241,-5.89829,-33.42355,-1.96618,-487.65330708661423,-46.443720472440944
1160,-50.46313,-6.55365,-33.42356,-2.62154,-495.3938385826772,-54.18419291338583
1180,-49.80777,-6.55366,-32.7682,-3.93227,-487.6533661417323,-61.92478346456693
1200,-45.87557,-7.20903,-28.83599,-4.58763,-441.21000000000004,-69.66531496062991
1220,-45.22021,-7.86439,-28.836,-4.58763,-437.33982283464564,-73.53555118110236
1240,-45.87557,-7.86438,-30.14673,-3.93227,-448.9505905511811,-69.66525590551181
1260,-46.53093,-7.86438,-30.14673,-4.58762,-452.82082677165357,-73.53543307086615
1280,-47.18629,-7.86438,-30.80208,-3.93227,-460.56124015748037,-69.66525590551181
1300,-47.18629,-7.86438,-30.14672,-3.93228,-456.6910039370079,-69.66531496062991
1320,-35.3897,-5.89831,-11.79641,-2.62155,-278.65812992125984,-50.314133858267724
1340,-30.14673,-6.55367,-14.41788,-1.96619,-263.17683070866144,-50.314133858267724
1360,-30.80209,-5.89831,-14.41788,-1.9662,-267.0470669291339,-46.44395669291339
1380,-30.80209,-5.89831,-14.41789,-2.62156,-267.047125984252,-50.31419291338583
1400,-31.45746,-5.89831,-15.07325,-2.62156,-274.787657480315,-50.31419291338583
1420,-31.45747,-5.89831,-15.07325,-2.62156,-274.7877165354331,-50.31419291338583
1440,-31.45747,-6.55368,-15.72861,-2.62157,-278.6579527559055,-54.18454724409449
1460,-32.11283,-6.55368,-15.72862,-3.27692,-282.5282480314961,-58.05472440944882
1480,-32.11283,-6.55368,-16.38399,-3.27693,-286.39854330708664,-58.05478346456693
1500,-32.7682,-7.20904,-16.38399,-3.27693,-290.2688385826772,-61.92501968503937
1520,-33.42356,-7.20904,-17.03935,-3.93229,-298.00931102362205,-65.79525590551181
1540,-33.42356,-7.20905,-7.86422,-1.31084,-243.8254724409449,-50.31431102362205
1560,-11.14106,-3.93222,6.5539,-0.65547,-27.089527559055117,-27.092657480314962
1580,-11.7964,-3.93222,4.5878,-0.65546,-42.57047244094488,-27.09259842519685
1600,-11.79641,-4.58758,5.24314,-1.31083,-38.70041338582678,-34.83312992125985
1620,-11.14108,-5.24294,5.24313,-1.96618,-34.83041338582677,-42.57354330708662
1640,-11.79644,-5.24294,4.58777,-1.31081,-42.57088582677165,-38.70324803149607
1660,-11.79644,-5.24292,3.9324,-1.31081,-46.441181102362215,-38.703129921259844
1680,-12.45181,-5.24292,3.27704,-1.3108,-54.1817125984252,-38.703070866141736
1700,-13.10718,-5.24291,2.62167,-1.3108,-61.9223031496063,-38.70301181102363
1720,-14.41791,-5.2429,1.31094,-1.96615,-77.40336614173228,-42.57312992125985
1740,-15.07327,-5.89826,1.31093,-2.62151,-81.27366141732284,-50.31360236220472
1760,-15.72864,-6.55363,0.65556,-3.27687,-89.01425196850393,-58.054133858267726
1780,-15.72865,-7.20899,0.65556,-3.27688,-89.01431102362206,-61.92442913385827
1800,-15.72866,-7.20899,0.0001900000000034,-3.27688,-92.88466535433069,-61.92442913385827
1820,-16.38402,-7.20899,0.0001900000000034,-3.93224,-96.75490157480313,-65.79466535433072
1840,-16.38403,-7.86436,5.24311,-2.62151,-65.79283464566929,-61.92442913385826
1860,-0.65522,-6.55361,16.38438,-2.6215,92.88874015748031,-54.183720472440946
1880,-1.31058,-6.5536,15.07362,-3.27685,81.27779527559055,-58.05383858267717
1900,-1.31059,-7.20896,15.07361,-3.93221,81.27767716535433,-65.79431102362206
1920,-1.96597,-7.20895,14.41824,-3.93221,73.53702755905512,-65.79425196850393
1940,-1.96598,-7.86432,14.41823,-3.93221,73.53690944881889,-69.66454724409449
1960,-1.96599,-7.20896,14.41822,-3.93222,73.53679133858267,-65.79437007874016
1980,-1.96599,-7.86433,14.41823,-3.93223,73.53685039370079,-69.66472440944882
2000,-1.31062,-7.20898,14.41824,-3.27687,77.40720472440945,-61.92431102362205
2020,-1.96598,-6.55363,15.0736,-1.96616,77.40720472440945,-50.31372047244095
2040,9.83065,-2.62145,35.39006,2.62141,267.05143700787403,-0.00023622047243986984
2060,17.03977,0.0,31.45791,5.24285,286.40362204724414,30.961712598425198
2080,14.41834,1.96609,30.14719,6.55356,263.1822637795276,50.312893700787406
