T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,0.0,-0.65537,3.8702362204724414,-7.740590551181103
40,0.65537,-0.65538,0.65536,-0.65537,7.740531496062992,-7.740649606299213
60,0.65535,-1.31073,1.31072,-0.65537,11.610649606299212,-11.610826771653544
80,1.31072,-1.31074,1.31073,-1.31073,15.481003937007873,-15.481122047244094
100,1.96608,-1.9661,1.96608,-1.31073,23.221417322834647,-19.351358267716535
120,1.96608,-1.9661,1.96608,-1.96609,23.221417322834647,-23.221594488188977
140,1.96608,-2.62147,1.96608,-1.96609,23.221417322834647,-27.091889763779527
160,2.62144,-3.27683,2.62144,-2.62145,30.96188976377953,-34.83236220472441
180,2.62144,-3.27683,2.62144,-3.27682,30.96188976377953,-38.70265748031496
200,3.2768,-3.9322,3.93215,-3.93218,42.57253937007874,-46.443188976377954
220,3.93216,-4.58755,4.58752,-5.24291,50.31307086614173,-58.05389763779528
240,4.58751,-5.89829,4.58751,-5.89827,54.183188976377956,-69.66472440944882
260,5.24287,-5.89829,4.58751,-5.24291,58.0534251968504,-65.79448818897639
280,4.58751,-5.24292,4.58752,-5.2429,54.18324803149606,-61.92413385826772
300,4.58752,-5.24291,3.93216,-5.2429,50.31307086614173,-61.924074803149615
320,4.58752,-5.24291,4.58752,-5.2429,54.18330708661417,-61.924074803149615
340,4.58752,-5.89827,4.58752,-5.2429,54.18330708661417,-65.79431102362206
360,4.58752,-5.24291,3.93217,-4.58753,50.31312992125985,-58.05377952755905
380,3.27681,-4.58754,3.27681,-3.93216,38.70248031496063,-50.31318897637796
400,3.27682,-3.2768,2.62145,-3.2768,34.832303149606304,-38.70236220472441
420,2.62146,-3.27681,1.9661,-3.27679,27.091889763779527,-38.70236220472441
440,1.9661,-3.27681,1.9661,-2.62143,23.221653543307088,-34.832125984251974
460,1.9661,-3.2768,1.31074,-3.27679,19.351417322834646,-38.7023031496063
480,1.9661,-3.93217,1.9661,-4.58752,23.221653543307088,-50.31312992125985
500,2.62145,-6.55362,3.93216,-7.86434,38.702421259842524,-85.14543307086615
520,3.93217,-9.17508,5.24288,-13.10726,54.183366141732286,-131.58862204724412
540,6.55358,-13.76265,5.89823,-15.07336,73.53431102362205,-170.29139763779528
560,5.24286,-15.72874,10.48578,-15.07337,92.88566929133859,-181.90222440944882
580,36.04517,-11.79658,58.32774,-5.89828,557.3203346456693,-104.49720472440944
600,59.63855,-4.58757,53.74029,-1.31073,669.5600787401575,-34.832480314960634
620,51.11885,0.65535,51.11886,2.62146,603.7660039370079,19.351240157480316
640,49.15279,3.93219,48.49744,5.24293,576.6745866141732,54.183779527559054
660,48.49745,5.24293,48.49745,5.8983,572.8045275590551,65.79466535433072
680,47.8421,6.55366,47.18675,7.20904,561.1939960629921,81.2757874015748
700,47.18676,7.20902,47.18676,7.8644,557.3239370078741,89.01625984251967
